"L1","L2","L3","L4","L5","L6","Output11","L7","L8","L9","L10","L11"
58,22,"I",70.448,71.016,12.599,"Class2",35.74,"A",29,18.971,26.523
38,30,"I",58.28,79.147,9.716,"Class2",37.112,"A",34,18.524,40.787
55,40,"K",67.461,81.452,18.501,"Class2",33.024,"A",27,18.862,39.981
42,38,"G",57.849,80.442,10.394,"Class2",29.623,"V",34,18.904,34.964
42,44,"W",23.868,42.193,19.456,"Class1",37.384,"Y",47,48.88,52.201
41,52,"W",66.569,36.217,22.266,"Class1",55.094,"Y",73,49.056,50.983
35,37,"Y",15.629,36.197,8.774,"Class1",50.794,"S",71,43.512,50.321
29,25,"K",57.906,71.71,14.755,"Class2",31.23,"A",25,18.276,27.968
56,36,"K",66.037,75.629,17.25,"Class2",32.454,"V",25,19.142,12.857
18,43,"S",53.249,78.179,12.89,"Class2",39.803,"H",35,18.373,31.31
26,25,"S",50.684,76.593,19.353,"Class2",33.06,"V",38,18.835,31.387
38,46,"K",51.659,44.84,22.425,"Class1",NA,"X",16,52.38,52.056
41,70,NA,13.053,56.09,22.046,"Class1",46.249,"N",73,39.635,50.779
66,34,"S",52.271,83.847,26.21,"Class2",33.84,"H",38,18.45,5.447
34,45,"Y",22.769,43.188,18.121,"Class1",44.434,"O",47,51.847,49.611
65,29,"G",58.329,78.769,14.35,"Class2",31.012,"V",29,18.616,19.667
68,28,"K",60.469,74.049,15.063,"Class2",39.336,"V",28,19.014,30.925
28,27,"I",63.091,85.293,17.608,"Class2",31.192,"A",36,18.148,27.64
42,20,"Y",20.566,61.331,22.429,"Class1",43.875,"O",75,49.971,50.008
37,34,"J",69.803,39.935,32.325,"Class1",NA,"X",29,48.959,48.788
40,28,"K",46.103,42.579,16.155,"Class1",69.234,"X",58,46.38,53.557
28,21,"Z",61.182,71.683,9.658,"Class2",35.534,"B",27,17.866,-11.675
43,47,"I",63.89,72.509,24.185,"Class2",29.975,"Z",25,18.683,22.761
72,30,"K",63.829,69.928,19.323,"Class2",29.247,"V",25,18.737,33.065
38,38,"Z",67.707,72.656,16.511,"Class2",37.594,"H",30,18.717,25.208
39,50,"G",54.905,78.443,19.996,"Class2",31.554,"Z",33,18.282,38.225
9,39,"K",48.981,69.538,22.79,"Class2",38.212,"B",27,18.837,34.707
16,28,"Z",60.339,79.364,22.34,"Class2",30.583,"Z",34,18.451,31.826
40,79,"J",66.752,45.565,1.612,"Class1",51.895,"Y",32,45.673,50.814
36,89,"J",9.847,56.725,26.26,"Class1",70.818,"S",29,53.049,54.212
57,37,"K",52.329,83.697,24.006,"Class2",36.689,"H",24,18.712,4.388
42,42,"K",19.035,51.878,21.946,"Class1",44.771,"S",53,40.123,51.323
58,38,"S",66.379,76.474,10.512,"Class2",39.991,"A",41,18.28,19.906
45,43,"K",49.394,69.621,10.751,"Class2",36.642,"V",34,18.777,21.434
39,56,"J",64.49,45.605,20.886,"Class1",51.956,"O",33,51.104,49.789
43,58,NA,65.268,46.422,27.538,"Class1",56.758,"Y",45,53.084,52.562
41,53,"Y",63.925,50.105,13.765,"Class1",56.207,"S",28,51.568,51.77
29,45,"G",57.541,72.4,17.026,"Class2",33.768,"H",25,18.31,32.899
43,75,"Y",68.469,39.873,-6.097,"Class1",37.112,"N",32,48.511,48.497
41,28,"I",53.577,81.1,12.254,"Class2",NA,"H",25,17.902,25.064
28,36,"I",52.493,85.093,23.583,"Class2",NA,"V",25,18.944,40.148
22,28,"S",51.268,82.406,20.802,"Class2",32.77,"A",37,18.53,24.971
36,55,"Y",55.556,42.562,-7.799,"Class1",81.898,"X",63,48.797,51.187
42,47,"I",49.171,80.038,14.232,"Class2",31.137,"B",41,18.68,17.644
21,50,"I",64.089,79.564,18.311,"Class2",30.826,"Z",34,18.272,23.575
34,74,"W",36.345,43.218,18.304,"Class1",61.928,"N",11,37.852,51.416
39,41,"J",56.95,54.68,22.68,"Class1",35.774,"Y",19,41.694,49.636
