"B1","B2","B3","B4","B5","B6","B7","B8","Output1","B9","B10","B11"
"T","Z",17.88,69,56.367,79.971,29.22,98,"Class1",29.465,70,51.283
"V","P",5.565,12,39.682,85.89,45.606,74,"Class2",82.08,41,47.926
"P","W",4.785,13,89.866,81.044,40.99,64,"Class2",62.844,32,47.23
"V","W",6.231,12,53.067,68.284,39.893,69,"Class2",52.759,45,48.461
"P","A",18.36,67,56.118,82.891,22.021,53,"Class1",34.685,14,88.725
"P","A",28.708,70,56.761,70.869,31.334,46,"Class1",35.641,20,48.811
"U","W",4.965,13,65.02,50.925,36.231,44,"Class2",77.51,29,46.167
"W","D",17.142,73,56.02,85.516,39.364,81,"Class1",27.138,89,50.838
"J","H",32.097,59,56.397,78.435,22.181,79,"Class1",25.309,32,53.098
"R","Z",27.072,77,56.467,68.018,20.747,51,"Class1",25.664,39,65.856
"C","L",9.728,12,69.176,58.869,28.411,50,"Class2",90.34,47,49.147
"W","A",10.298,67,56.263,81.834,37.611,67,"Class1",36.439,47,48.953
"R","H",35.023,73,56.896,82.174,36.221,68,"Class1",33.938,85,47.449
"U","W",4.301,12,64.781,55.056,37.531,68,"Class2",79.668,35,50.041
"C","P",10.291,12,63.892,51.55,33.36,60,"Class2",86.185,41,49.462
"P",NA,33.737,62,56.093,79.247,39.487,96,"Class1",32.698,78,50.904
"R","D",19.286,65,56.134,83.954,34.587,42,"Class1",27.513,82,83.716
"T","P",8.169,13,30.722,72.219,44.149,63,"Class2",65.131,39,48.806
"T","H",30.826,82,56.168,80.614,39.657,49,"Class1",38.147,88,42.007
"J","G",24.406,83,56.489,74.094,35.267,87,"Class1",24.897,15,49.679
"C","G",6.26,12,42.97,45.962,21.297,63,"Class2",68.07,51,48.343
"P","L",8.166,12,41.339,61.917,38.468,71,"Class2",85.41,39,50.158
"J","D",29.106,75,56.122,79.537,35.99,44,"Class1",37.02,23,78.043
"P",NA,6.682,12,NA,54.583,24.218,66,"Class2",82.855,30,47.903
"C","L",5.916,13,36.35,64.798,24.152,74,"Class2",82.997,45,48.669
"T","G",32.819,83,NA,78.58,38.865,81,"Class1",24.885,6,39.996
"W","G",11.67,59,56.203,84.77,37.022,55,"Class1",37.541,63,66.15
"W","H",15.081,68,56.277,78.103,23.696,60,"Class1",26.425,82,73.89
"W","D",25.419,82,56.51,81.016,31.474,87,"Class1",26.046,7,72.657
"P","Z",29.67,63,56.392,86.06,16.233,42,"Class1",32.791,19,52.483
"T","Q",9.313,12,66.913,62.921,31.15,73,"Class2",73.835,48,48.604
"P","L",13.302,12,43.171,71.2,45.637,66,"Class2",62.698,44,49.617
"C","P",13.965,12,NA,64.266,23.809,64,"Class2",97.578,35,48.819
"U","W",14.46,13,62.314,88.561,40.753,59,"Class2",89.922,39,47.891
"T","P",10.573,13,88.876,60.267,44.982,55,"Class2",77.677,33,48.3
"U","G",13.389,12,83.678,67.794,29.048,59,"Class2",58.836,51,47.93
"C","Q",8.432,12,52.699,69.519,22.642,48,"Class2",81.016,41,48.001
"T","L",9.55,13,73.83,80.252,44.691,77,"Class2",77.445,50,47.651
"P","G",27.726,72,56.719,84.699,35.445,99,"Class1",24.781,34,64.589
"P","Q",15.343,12,38.451,73.586,40.096,54,"Class2",69.694,34,46.651
"T","Q",12.6,13,28.444,74.513,22.796,63,"Class2",59.666,42,50.892
"W","A",32.959,69,56.143,89.107,26.019,53,"Class1",27.375,7,65.952
"W","D",24.587,83,56.798,87.744,30.592,89,"Class1",30.136,37,50.095
"V","P",15.575,13,36.162,68.305,40.671,63,"Class2",63.263,31,49.164
"R","Z",11.683,62,56.959,77.416,19.215,44,"Class1",26.147,56,87.672
"W","D",26.953,65,56.739,83.594,38.479,48,"Class1",27.796,2,69.722
"T",NA,6.463,12,27.679,58.572,35.339,60,"Class2",68.863,39,47.033
"V",NA,15.736,13,73.481,71.306,45.542,54,"Class2",79.967,44,47.557
"R","D",27.588,74,56.621,80.552,32.857,79,"Class1",27.942,41,60.83
"J","A",34.405,68,56.371,76.173,24.293,90,"Class1",25.655,29,63.329
"P","W",10.503,13,71.583,79.289,41.33,68,"Class2",73.971,34,49.686
"W","H",34.852,65,56.242,65.605,25.489,65,"Class1",36.547,72,47.371
"J","A",18.079,80,56.478,81.443,24.4,90,"Class1",33.833,78,35.2
"U","Q",14.898,12,52.245,48.906,28.622,48,"Class2",78.534,35,49.501
"V","P",4.513,13,26.746,85.998,22.432,58,"Class2",82.404,39,48.906
"P","A",19.241,78,56.87,80.422,38.167,84,"Class1",22.982,73,51.183
"J","H",26.574,79,56.111,77.528,37.989,94,"Class1",34.935,40,35.755
"V","G",11.915,12,77.215,54.895,32.078,58,"Class2",116.936,45,48.597
"C","P",17.745,12,39.635,77.987,43.89,54,"Class2",66.38,38,50.32
"V","P",8.08,12,NA,41.313,42.902,75,"Class2",63.259,31,47.842
"T","G",8.335,12,89.706,68.813,25.739,48,"Class2",67.427,44,49.384
"J","Z",31.185,80,56.123,75.094,38.967,72,"Class1",31.082,71,71.321
"T","H",15.737,60,56.832,79.269,25.504,87,"Class1",37.621,66,45.185
"J","G",30.058,69,56.216,81.17,35.242,45,"Class1",27.552,22,57.283
"J","A",12.888,60,56.669,82.024,19.022,82,"Class1",36.717,48,33.765
"V","Q",10.285,12,81.003,76.93,30.764,62,"Class2",91.7,43,47.018
"R","D",22.441,72,56.916,75.922,34.365,46,"Class1",24.818,2,53.962
"V","W",5.149,12,67.601,62.356,40.065,65,"Class2",54.688,30,51.148
"R","H",35.667,73,56.316,82.419,30.039,72,"Class1",29.113,42,77.624
"T","Q",10.054,13,42.306,76.633,22.105,60,"Class2",72.354,29,48.137
"W","H",35.694,77,56.23,81.206,38.998,88,"Class1",22.383,21,52.341
"U","L",6.116,12,65.24,52.858,34.436,55,"Class2",76.077,39,47.87
"U","G",5.335,12,73.596,51.837,32.218,58,"Class2",89.183,46,49.257
"V","G",15.983,13,27.32,33.861,31.937,54,"Class2",50.807,37,47.774
"U","W",6.42,12,58.856,52.457,31.184,66,"Class2",85.291,33,49.698
"P","W",7.814,13,31.335,59.529,21.84,64,"Class2",51.045,30,47.63
"U","L",8.236,12,86.641,65.985,37.134,71,"Class2",48.04,29,48.263
