"K1","K2","K3","K4","K5","K6","K7","K8","K9","Output36","K10","K11"
13,95.44,44.377,66,38.129,7.724,14.076,"V",44,"Class3","C",15.14
43,56.079,73.906,73,22.397,47.268,68.604,"Q",71,"Class1","A",61.405
45,34.663,71.469,14,18.369,52.919,92.131,"K",69,"Class1","U",71.116
55,80.859,71.552,15,25.733,16.676,57.811,"B",27,"Class4","Q",86.371
33,35.519,72.469,10,21.728,53.058,67.424,"V",58,"Class1","U",56.375
18,85.511,49.181,36,28.454,16.976,29.871,"V",56,"Class3","Q",16.106
11,88.362,76.001,48,50.596,15.257,43.587,"S",47,"Class3","Q",13.419
10,79.611,93.845,34,19.003,21.138,23.668,"X",20,"Class3","C",13.035
11,78.039,80.595,22,43.856,8.91,9.699,"B",14,"Class3","R",13.084
68,0.018,30.376,76,62.533,64.119,22.002,"D",39,"Class2","S",18.788
75,77.013,56.186,59,12.765,17.444,67.251,"P",18,"Class4","V",87.881
73,-0.132,59.327,74,63.43,65.515,-4.669,"E",46,"Class2","A",59.951
46,43.698,68.656,65,21.062,54.812,80.039,"Q",64,"Class1","U",40.818
53,65.108,51.389,48,15.276,14.651,15.861,"U",42,"Class4","G",85.535
31,27.289,69.418,38,21.951,52.074,86.649,"K",57,"Class1","U",71.016
11,69.817,46.057,40,50.014,15.948,9.55,"S",15,"Class3","Q",13.184
34,28.8,71.173,8,16.519,52.842,70.078,"V",81,"Class1","U",69.564
66,0.627,52.37,77,37.356,68.886,23.026,"M",67,"Class2","L",27.146
72,62.859,64.572,49,15.752,21.843,17.845,"T",24,"Class4","G",83.177
8,80.86,37.577,68,55.315,14.952,32.826,"B",29,"Class3","E",13.048
69,73.42,57.852,29,13.222,24.598,38.44,"P",42,"Class4","S",83.515
73,0.444,30.936,47,8.911,58.887,21.505,"M",59,"Class2","C",18.772
45,21.235,70.496,44,19.212,49.62,72.9,"Q",81,"Class1","U",43.888
5,80.546,67.728,33,41.846,6.392,30.962,"V",20,"Class3","Q",7.292
68,0.732,31.646,71,52.333,66.82,11.942,"Z",53,"Class2","L",31.79
33,10.676,71.4,29,20.39,45.528,68.962,"V",68,"Class1","R",58.233
6,83.782,65.27,70,81.347,18.908,41.429,"S",66,"Class3","Q",7.705
41,39.231,70.938,46,18.468,50.291,76.069,"J",71,"Class1","D",68.343
28,5.276,70.399,49,22.964,58.495,73.044,"Q",61,"Class1","U",46.11
66,0.554,51.639,49,60.92,58.69,32.932,"Z",53,"Class2","L",58.517
73,0.33,NA,36,9.126,62.918,8.877,"D",53,"Class2","I",28.872
70,-0.522,NA,45,12.198,66.657,34.603,"D",48,"Class2","L",23.328
38,10.602,72.172,25,19.476,50.273,78.297,"V",56,"Class1","D",58.754
53,66.297,76.664,11,36.386,NA,29.637,"U",30,"Class4","Q",87.389
29,37.968,68.627,64,20.166,52.203,87.501,"J",54,"Class1","A",66.379
13,73.711,81.648,37,51.18,6.653,43.678,"B",56,"Class3","C",13.468
69,0.644,34.32,53,3.232,66.933,47.521,"D",68,"Class2","L",66.278
80,40.775,75.944,44,14.048,16.945,-2.306,"B",19,"Class4","G",84.725
16,78.429,65.391,52,82.682,26.932,30.949,"S",61,"Class3","U",16.947
40,17.269,71.045,73,20.218,50.684,73.833,"V",61,"Class1","F",44.523
46,31.431,71.351,61,22.683,54.204,66.78,"C",67,"Class1","F",69.178
33,25.686,73.987,27,21.791,52.539,77.068,"C",61,"Class1","A",57.339
16,83.278,72.27,59,44.918,14.312,7.052,"S",25,"Class3","C",14.807
17,92.921,NA,69,50.859,5.683,22.184,"X",39,"Class3","C",8.16
66,0.64,53.501,45,35.943,60.71,21.36,"E",37,"Class2","I",35.885
54,54.365,68.24,49,31.954,16.997,46.242,"F",22,"Class4","S",86.999
58,71.18,52.111,7,37.543,20.36,44.724,"B",37,"Class4","Q",86.934
43,39.126,71.509,86,23.779,50.133,76.598,"Q",61,"Class1","U",62.733
71,0.168,61.248,62,35.4,59.023,42.618,"Z",57,"Class2","C",60.23
28,31.601,72.309,19,21.028,50.975,71.135,"C",67,"Class1","D",43.251
78,61.037,NA,25,18.513,16.528,-15.242,"P",42,"Class4","V",85.528
31,26.7,68.432,91,19.323,52.448,69.312,"K",65,"Class1","F",45.509
75,67.684,57.374,46,12.737,17.054,65.152,"U",31,"Class4","G",83.23
