"J1","J2","J3","J4","J5","J6","J7","J8","J9","Output35","J10","J11"
68.743,27.046,62.003,"R",48,31,13.814,74,"L","Class2",28.498,80.995
52.239,90.607,58.42,"T",70,56,11.025,68,"C","Class2",53.224,38.845
96.228,26.455,80.702,"N",20,25,18.287,20,"K","Class3",42.101,72.459
92.121,10.041,81.697,"N",18,94,12.415,19,"A","Class3",35.361,73.219
51.694,67.567,32.082,"K",94,32,90.463,81,"N","Class1",72.197,59.74
48.08,86.542,60.979,"T",37,42,12.53,72,"X","Class2",18.504,89.087
43.814,51.291,76.129,"D",92,46,80.477,74,"C","Class1",64.174,58.309
23.352,53.675,55.713,"K",65,28,13.42,69,"C","Class2",38.574,35.768
54.596,66.577,49.138,"T",95,25,11.253,81,"Y","Class2",11.157,61.172
49.67,71.724,72.647,"S",80,55,11.741,82,"L","Class2",66.334,63.566
88.999,22.359,82.819,"R",22,57,24.208,22,"K","Class3",65.457,49.699
80.794,11.12,82.213,"M",22,NA,17.118,36,"E","Class3",26.213,58.965
79.127,88.264,44.231,"T",80,46,11.886,93,"X","Class2",75.165,62.85
45.235,63.89,88.868,"F",89,20,74.942,69,"B","Class1",63.276,58.093
88.726,11.45,80.777,"P",22,20,11.665,8,"M","Class3",57.615,35.072
64.693,69.298,77.7,"D",84,36,86.59,82,"B","Class1",55.232,59.544
79.198,82.378,44.88,"T",63,36,12.409,59,"C","Class2",0.236,65.591
68.779,38.062,71.392,"S",89,53,80.847,82,"N","Class1",58.896,58.304
89.781,10.971,79.454,"M",19,37,21.034,29,"A","Class3",72.172,57.261
62.355,34.686,21.318,"S",58,27,14.614,60,"Q","Class2",55.841,61.805
69.625,42.396,26.908,"K",85,51,75.621,74,"Y","Class1",59.598,59.868
66.77,62.776,69.485,"R",94,51,13.448,46,"Y","Class2",21.788,70.129
79.873,51.152,58.786,"S",32,39,13.125,47,"Q","Class2",34.134,42.416
100.987,16.652,80.292,"M",20,14,24.832,6,"E","Class3",80.457,77.272
70.86,44.827,42.067,"S",73,35,11.924,92,"X","Class2",32.951,85.358
73.468,46.367,52.881,"L",34,41,11.905,82,"C","Class2",25.574,62.872
75.912,49.157,59.269,"T",70,33,12.406,67,"Q","Class2",53.02,68.587
29.283,42.079,42.846,"F",87,20,87.971,76,"C","Class1",72.631,58.099
25.023,73.797,58.165,"K",49,26,14.387,68,"L","Class2",26.465,20.359
57.622,58.241,74.059,"S",47,NA,12.652,65,"Y","Class2",26.01,23.637
44.501,97.857,37.097,"K",44,16,11.851,47,"C","Class2",42.083,33.019
87.638,20.984,82.069,"P",20,23,24.16,17,"K","Class3",1.513,68.604
77.531,19.746,83.378,"M",22,14,18.126,17,"E","Class3",98.941,59.435
58.233,74.05,42.248,"T",83,44,10.648,82,"Y","Class2",35.086,39.266
56.217,67.431,51.852,"K",89,45,78.34,93,"W","Class1",47.506,59.937
28.782,93.898,13.238,"T",46,47,12.298,70,"C","Class2",59.645,49.363
60.116,32.415,36.92,"S",94,52,81.515,78,"W","Class1",80.71,59.786
60.48,27.991,69.17,"S",76,46,11.691,56,"Y","Class2",17.495,39.757
32.641,77.236,64.597,"D",82,41,81.409,93,"Y","Class1",33.702,58.489
36.38,42.758,33.78,"L",85,43,12.409,59,"C","Class2",8.553,37.914
86.048,26.992,83.355,"N",19,NA,7.678,32,"K","Class3",50.693,75.31
78.483,17.657,80.842,"X",18,80,23.533,28,"E","Class3",86.387,53.038
86.161,25.732,83.639,"R",21,52,23.866,21,"K","Class3",85.937,62.295
47.948,34.917,53.29,"Q",91,41,82.493,69,"C","Class1",48.682,59.105
44.724,48.449,43.843,"Q",83,20,67.72,92,"B","Class1",36.979,59.425
61.701,64.951,43.834,"L",71,27,10.12,88,"L","Class2",51.892,35.57
75.339,68.9,61.652,"K",86,54,78.239,70,"W","Class1",71.597,59.482
83.711,16.051,80.365,"P",22,90,20.693,23,"U","Class3",95.973,66.062
56.671,66.127,-24.773,"Q",92,21,84.382,72,"Y","Class1",74.014,59.776
81.473,63.518,77.533,"S",82,31,13.116,78,"C","Class2",37.007,67.457
64.823,50.576,36.446,"Q",92,17,74.583,91,"W","Class1",76.699,58.722
76.384,20.677,81.355,"N",21,89,24.585,27,"U","Class3",36.78,35.326
78.703,21.782,78.793,"P",17,78,13.083,28,"A","Class3",48.777,35.3
56.258,50.912,98.14,"D",84,10,75.625,92,"B","Class1",84.785,58.574
50.123,31.983,31.93,"T",28,28,12.098,62,"Q","Class2",45.462,75.053
80.436,89.727,70.54,"T",22,22,12.762,72,"Y","Class2",27.647,59.624
53.657,33.123,100.243,"K",84,26,79.118,88,"C","Class1",43.617,59.991
48.791,76.534,79.839,"S",91,5,81.752,81,"W","Class1",75.93,58.188
91.924,67.342,77.422,"T",70,54,12.763,82,"L","Class2",74.642,46.801
38.66,79.87,49.631,"K",83,5,77.809,87,"C","Class1",37.373,58.718
86.636,18.564,82.588,"M",22,80,20.329,29,"M","Class3",39.285,71.716
71.104,46.851,82.47,"D",97,39,79.098,93,"N","Class1",67.421,58.276
63.424,32.944,54.033,"F",77,45,80.586,83,"C","Class1",62.213,58.536
63.531,55.055,112.335,"S",86,5,81.64,80,"N","Class1",60.876,59.61
56.533,72.031,84.061,"D",77,33,83.561,78,"C","Class1",29.216,59.579
84.354,80.832,56.55,"K",39,53,12.96,94,"C","Class2",35.526,83.52
91.697,62.997,42.367,"S",85,35,10.831,73,"Y","Class2",61.764,81.741
85.747,22.497,80.803,"R",19,88,21.555,13,"U","Class3",40.338,70.727
78.667,14.844,80.528,"R",20,61,21.613,29,"E","Class3",15.415,79.088
