"L1","Output11","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11"
88.021,"Class2",42.514,56.783,"K",59.217,42,"I",68,30.371,48.388,58
12.258,"Class1",10.499,49.063,"I",61.649,63,"L",52,14.212,51.603,79
72.342,"Class3",90.208,53.601,"E",36.316,55,"F",32,67.381,71.584,89
86.011,"Class2",50.265,51.62,"A",65.693,39,"M",68,11.444,36.605,57
78.293,"Class3",88.051,27.842,"R",46.186,52,"S",33,NA,67.23,92
74.975,"Class3",82.83,26.87,"U",36.215,40,"J",26,NA,39.104,89
10.947,"Class1",34.812,16.11,"I",74.965,64,"Y",74,15.054,61.646,75
24.471,"Class1",33.391,6.454,"Z",58.012,65,"Q",22,11.118,48.271,36
90.466,"Class2",56.423,61.316,"S",60.228,46,"M",73,23.405,46.012,57
79.815,"Class3",72.192,33.911,"U",71.68,19,"F",39,67.532,20.229,91
20.499,"Class1",49.308,34.85,"I",49.231,65,"Q",74,9.568,49.544,49
34.171,"Class1",10.742,39.247,"Z",59.921,63,"L",46,7.134,69.675,64
87.246,"Class2",55.002,52.989,"A",60.932,51,"C",69,68.97,31.097,59
66.481,"Class3",70.727,50.058,"U",49.932,47,"F",46,65.752,88.874,90
69.471,"Class3",62.645,33.3,"C",71.341,25,"F",12,59.424,46.869,96
75.875,"Class3",83.143,31.295,"L",95.048,56,"S",29,58.529,88.004,87
88.771,"Class2",64.29,54.699,"K",59.743,37,"O",70,91.948,61.425,57
80.539,"Class3",77.258,29.824,"R",41.132,57,"J",55,68.192,51.361,94
76.449,"Class3",82.05,23.795,"L",73.407,36,"F",44,61.45,48.662,93
23.526,"Class1",23.392,38.657,NA,64.671,63,"K",76,11.305,67.32,48
26.765,"Class1",56.3,44.687,"Z",48.299,63,"K",43,7.923,19.529,41
86.021,"Class2",52.553,55.542,"R",62.415,42,"I",73,49.137,40.882,57
79.302,"Class3",84.88,32.653,"E",76.701,26,"S",30,68.293,82.875,87
25.42,"Class1",76.675,50.64,"I",73.235,64,"L",72,20.283,40.375,82
