"Output4","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11"
"Class3",34,58,61.622,66.504,73.682,"V",38.282,88,41.044,"D",64.594
"Class3",33,59,42.425,53.95,77.331,"O",19.557,80,45.61,"M",53.402
"Class2",85,93,59.023,6.947,39.616,"H",28.954,71,NA,"L",46.605
"Class2",87,93,59.147,22.551,35.599,"H",32.711,49,21.772,"V",77.017
"Class2",96,92,59.433,6.143,36.54,"J",22.687,60,NA,"V",77.534
"Class3",36,19,58.638,27.971,77.875,"F",35.784,93,41.284,"P",65.946
"Class4",37,84,61.907,25.634,49.739,"E",45.136,65,54.65,"U",81.769
"Class3",32,31,56.437,35.069,87.969,"V",37.875,88,42.706,"Z",49.053
"Class4",38,54,62.527,52.216,64.017,"U",45.216,63,61.026,"B",79.935
"Class1",26,68,78.419,84.138,66.659,"I",51.937,42,58.583,"K",28.151
"Class1",24,67,81.266,83.792,46.084,"Q",38.937,43,61.877,"J",22.182
"Class4",33,55,60.985,72.506,75.804,"U",45.688,58,55.203,"U",64.001
"Class3",33,24,56.166,29.826,82.757,"F",31.891,80,44.373,"M",54.403
"Class3",34,52,49.446,25.048,83.237,"V",58.131,92,77.432,"M",65.284
"Class2",50,92,58.731,18.983,45.746,"J",28.955,68,26.588,"L",64.706
"Class2",95,92,59.373,19.572,27.434,"F",36.608,54,19.259,"U",71.678
"Class1",2,71,69.758,65.125,84.454,"Q",81.98,61,43.817,"U",16.519
"Class1",28,80,68.465,69.962,73.119,"H",51.405,58,60.4,"J",21.15
"Class4",14,93,21.382,63.945,76.362,"U",45.176,62,54.83,"U",63.553
"Class3",33,17,58.81,50.119,73.774,"T",42.118,82,64.033,"Z",51.747
"Class1",23,71,69.332,64.118,69.385,"I",54.674,21,52.124,"R",29
"Class4",11,65,34.319,63.267,49.17,"U",45.669,50,50.973,"T",96.603
"Class2",39,93,58.537,8.547,30.979,"J",36.619,64,18.729,"U",51.8
"Class3",34,19,46.16,33.54,78.351,"O",35.025,75,56.429,"Z",64.162
"Class2",86,94,57.106,7.042,32.379,"J",24.465,63,24.882,"V",71.256
"Class2",45,94,57.268,11.744,37.709,"L",26.545,65,21.206,"B",64.211
"Class1",17,77,90.077,78.352,45.731,"F",83.903,41,32.676,"J",27.795
"Class3",32,38,46.531,39.062,74.413,"F",42.029,87,NA,"M",50.42
"Class4",25,65,37.319,26.833,57.546,"J",45.472,57,54.87,"D",92.279
"Class2",94,94,59.397,11.036,32.351,"J",39.968,66,8.487,"L",59.686
"Class3",32,20,47.664,69.345,83.214,"T",47.317,81,53.392,"D",58.45
"Class3",31,83,58.108,39.496,87.028,"V",49.668,74,45.2,"A",49.25
"Class2",85,92,59.709,7.652,47.295,"L",29.444,54,14.969,"J",77.209
"Class2",89,92,59.463,20.685,29.083,"J",41.307,48,26.594,"B",62.793
"Class1",18,79,64.804,69.271,48.563,"Q",44.842,48,42.028,"J",26.983
"Class4",27,55,82.407,64.735,48.115,"L",45.644,55,59.196,"H",87.505
"Class3",34,84,60.462,22.275,90.988,"T",46.176,93,66.255,"A",63.518
"Class3",34,75,46.457,24.778,81.591,"L",34.871,94,44.872,"M",65.032
"Class4",11,81,65.106,49.331,54.14,"E",45.079,65,59.318,"D",69.68
"Class2",56,92,57.497,10.407,45.201,"J",25.131,56,24.375,"B",68.782
"Class3",32,50,46.253,59.422,85.791,"L",44.26,83,35.768,"M",52.599
"Class2",46,92,57.777,12.349,30.87,"H",41.612,48,8.189,"B",59.715
"Class4",14,77,23.718,56.692,79.433,"J",46.063,61,45.421,"U",66.072
"Class2",51,92,59.797,4.771,42.61,"O",25.312,66,37.077,"J",54.449
"Class1",21,76,66.103,63.822,55.844,"Q",58.456,34,66.987,"U",19.918
"Class2",80,92,58.969,23.386,47.891,"O",31.334,51,22.849,"V",73.711
"Class4",39,56,30.239,31.616,74.007,"U",45.724,56,57.927,"D",94.173
"Class4",19,68,57.635,70.574,71.214,"J",45.426,48,45.6,"H",82.727
"Class3",33,16,36.852,69.895,86.022,"F",31.69,90,56.31,"P",61.417
"Class4",8,75,86.125,74.38,80.145,"J",45.494,64,54.137,"B",95.13
"Class1",18,76,69.801,62.161,57.425,"Q",78.562,62,37.832,"K",27.68
"Class1",29,72,63.639,88.744,44.767,"F",46.164,16,76.738,"C",28.022
"Class2",61,93,60.84,15.669,43.57,"H",35.83,55,7.942,"L",62.729
"Class3",35,75,53.019,37.909,82.149,"L",38.694,83,49.895,"A",54.647
"Class2",77,93,61.339,15.813,35.109,"L",21.698,66,4.235,"U",52.601
"Class4",34,79,50.275,39.935,45.999,"L",45.389,53,44.426,"B",84.474
"Class2",86,94,59.109,16.194,31.172,"J",41.843,65,10.18,"J",50.949
"Class2",89,93,57.357,12.267,38.819,"H",40.066,70,12.317,"U",56.701
"Class2",47,94,60.732,11.226,45.033,"F",41.183,70,3.064,"V",44.844
"Class2",58,94,62.401,23.894,48.745,"H",28.176,71,12.123,"B",60.68
"Class2",51,93,58.933,19.469,45.055,"J",43.366,51,22.333,"L",57.471
"Class2",96,93,56.973,8.056,33.125,"L",38.996,53,8.762,"J",62.532
"Class1",18,78,56.3,78.766,70.782,"I",50.541,34,48.715,"K",18.59
"Class2",68,94,59.959,14.622,32.525,"O",40.314,60,5.456,"L",52.27
"Class3",36,57,47.471,71.448,77.298,"V",35.548,87,NA,"D",49.718
"Class3",30,39,48.531,23.278,75.534,"T",43.704,89,40.765,"P",49.039
"Class2",76,93,57.873,13.969,32.459,"F",27.787,59,10.464,"B",64.572
"Class2",92,94,58.809,8.203,41.026,"L",32.331,54,6.115,"J",65.804
"Class4",14,60,85.003,71.634,47.15,"U",45.623,64,45.583,"U",92.642
"Class4",33,58,57.581,27.672,72.482,"E",45.51,63,54.929,"T",66.67
"Class3",34,58,51.406,24.715,84.131,"T",35.917,87,31.074,"M",54.196
"Class2",45,94,59.53,18.794,39.885,"O",30.653,59,10.588,"L",50.054
"Class2",72,94,57.968,7.323,36.795,"L",21.299,61,NA,"J",68.184
"Class3",36,75,58.536,71.262,89.946,"T",43.17,77,57.504,"A",58.204
"Class2",60,93,61.286,22.009,41.591,"J",44.09,57,15.018,"L",45.183
"Class4",22,83,51.934,32.356,79.023,"J",45.221,50,53.92,"H",92.98
"Class1",19,67,76.184,77.4,84.112,"I",45.517,51,62.862,"U",27.391
"Class4",36,51,50.473,66.19,53.47,"U",45.284,54,55.413,"T",73.834
"Class4",37,82,59.355,37.657,75.49,"J",45.515,52,44.641,"H",74.262
"Class1",26,68,63.984,79.878,49.96,"E",68.769,28,46.15,"C",28.573
"Class4",23,78,54.362,41.675,46.604,"L",45.503,48,51.136,"U",88.614
"Class4",25,92,54.814,31.672,53.959,"M",45.227,59,57.042,"U",84.165
"Class3",28,13,45.365,49.478,92.385,"V",38.966,85,37.297,"D",53.979
"Class3",29,23,60.649,69.35,81.887,"T",42.394,76,63.365,"D",56.307
"Class4",24,61,25.192,49.415,79.519,"M",45.387,49,47.158,"B",82.425
"Class2",91,93,55.987,21.257,26.875,"L",32.703,70,0.442,"J",53.443
"Class3",28,76,42.797,47.605,89.888,"O",41.169,91,55.197,"M",56.215
"Class2",43,94,59.931,12.825,46.518,"H",32.404,61,18.52,"V",77.695
"Class3",34,78,45.998,41.042,83.997,"L",31.291,93,40.158,"M",50.59
"Class2",76,92,57.863,22.369,27.21,"O",34.733,60,6.016,"U",75.388
"Class1",9,71,82.808,92.221,59.405,"H",90.212,38,48.792,"C",19.312
"Class1",15,70,63.34,66.434,58.122,"H",48.5,38,62.23,"K",26.534
"Class2",40,94,58.819,13.94,43.707,"J",31.589,59,17.158,"V",42.545
"Class2",37,93,59.161,21.952,48.401,"L",38.816,70,16.732,"V",52.95
"Class1",20,79,59.13,66.981,50.421,"Q",65.235,63,54.174,"J",29.162
"Class4",8,58,54.186,36.565,63.803,"J",45.161,61,52.768,"U",76.746
"Class1",31,75,85.018,69.571,66.131,"E",42.842,48,NA,"U",23.611
"Class3",32,84,55.895,30.776,77.558,"F",33.458,77,81.264,"P",54.194
"Class1",19,77,83.789,NA,68.224,"H",38.121,35,47.153,"U",28.833
"Class4",2,87,62.861,69.471,80.785,"U",45.427,55,58.11,"D",75.345
"Class4",15,68,33.533,31.826,46.941,"M",45.738,61,49.282,"B",64.455
"Class4",23,87,65.09,48.23,64.052,"U",45.961,59,49.804,"U",88.127
"Class4",24,55,68.77,41.819,67.905,"M",46.215,55,55.781,"B",77.894
"Class4",26,75,25.848,26.673,86.049,"U",45.066,58,62.477,"B",85.008
"Class2",63,93,59.522,3.774,30.473,"O",24.465,56,10.876,"V",70.429
"Class4",39,59,52.108,66.401,53.192,"L",44.981,64,55.523,"H",76.417
"Class4",21,63,-9.628,66.275,57.959,"E",45.502,53,47.094,"B",88.248
"Class1",17,73,81.735,79.931,65.918,"F",51.3,17,38.701,"R",18.713
"Class2",90,94,60.56,3.091,34.455,"O",23.005,59,16.223,"V",53.162
"Class2",38,94,61.468,15.148,36.106,"F",31.83,69,13.081,"B",50.935
"Class4",5,66,69.183,50.261,47.958,"M",45.232,54,53.504,"U",65.432
"Class2",66,92,56.603,12.272,31.195,"J",33.039,70,22.157,"B",65.282
"Class2",78,93,59.137,18.426,34.769,"H",16.205,68,20.147,"V",46.302
"Class3",30,52,50.739,44.282,82.908,"T",30.08,88,7.951,"P",53.913
"Class3",32,69,55.323,49.399,78.792,"V",34.592,81,36.225,"A",56.541
"Class3",35,55,62.462,26.629,92.286,"L",39.925,87,67.256,"A",53.483
"Class4",8,64,36.4,55.1,56.468,"E",45.74,59,57.116,"B",66.024
"Class4",7,78,42.435,58.353,57.937,"M",45.591,63,53.445,"T",89.9
"Class3",35,79,50.234,71.835,84.669,"L",36.324,81,53.069,"M",52.133
"Class1",14,79,69.195,66.613,41.587,"F",69.547,16,41.653,"J",27.279
"Class4",10,96,25.754,53.553,67.945,"U",45.768,60,59.825,"D",94.494
"Class1",17,78,90.404,77.821,74.363,"E",51.543,55,NA,"J",19.711
"Class3",34,21,54.806,68.438,82.398,"F",32.319,94,29.129,"D",63.159
"Class4",7,94,48.262,33.773,82.664,"J",45.344,56,56.275,"H",92.01
"Class3",34,60,49.763,55.261,77.722,"T",30.076,90,26.49,"P",58.234
"Class4",24,65,40.685,37.93,63.699,"L",45.64,54,53.136,"H",71.154
"Class3",35,44,34.481,35.648,74.215,"L",26.194,74,49.688,"P",50.157
"Class2",52,94,59.376,17.221,49.21,"O",31.315,71,21.924,"J",70.965
"Class3",32,43,52.557,NA,93.237,"O",34.162,89,71.628,"D",51.498
"Class4",22,60,-7.853,23.51,57.835,"M",45.457,62,56.392,"D",70.568
"Class1",7,67,56.684,88.135,70.42,"H",42.207,54,51.509,"K",23.196
"Class3",35,63,60.36,53.267,88.114,"T",38.564,80,34.114,"M",51.53
"Class4",14,93,55.619,31.308,86.776,"J",44.859,56,51.541,"H",79.207
"Class2",58,92,61.855,7.73,32.321,"L",29.498,51,17.906,"B",70.804
"Class1",22,77,76.568,82.126,49.879,"E",79.554,49,45.733,"K",16.611
"Class4",39,53,60.612,21.931,67.135,"M",44.887,51,62.904,"D",65.329
"Class2",78,94,60.113,8.682,45.487,"F",39.143,67,19.204,"V",47.412
"Class4",36,66,32.6,52.812,75.784,"U",45.188,65,48.442,"U",94.318
"Class3",31,81,58.489,64.973,83.016,"F",35.779,75,67.867,"P",61.142
"Class4",28,66,76.758,20.488,63.043,"M",45.588,65,51.177,"B",91.05
"Class2",55,93,58.588,19.629,41.971,"F",37.86,65,32.459,"V",54.325
"Class3",36,82,58.246,58.803,87.804,"L",42.405,75,97.258,"P",56.166
"Class1",21,77,59.774,81.686,75.907,"E",90.399,69,NA,"C",26.388
"Class3",30,40,50.26,43.011,79.183,"O",35.044,85,51.435,"D",54.229
"Class2",42,92,58.665,7.202,32.058,"J",37.705,51,15.898,"B",65.219
"Class1",11,73,75.884,90.307,61.594,"E",54.614,63,64.737,"U",16.544
"Class2",65,94,58.116,7.595,28.531,"J",33.506,51,16.294,"U",73.758
"Class1",21,76,56.706,62.42,77.512,"H",55.984,51,43.509,"K",20.391
"Class3",35,65,53.322,48.915,76.635,"V",48.461,91,65.05,"Z",54.839
"Class2",94,92,55.521,4.78,46.813,"O",24.737,68,14.43,"L",47.413
"Class4",18,93,51.988,65.408,79.728,"U",45.695,58,62.017,"T",69.839
"Class4",21,58,50.585,52.43,46.055,"J",45.402,59,61.84,"D",69.861
"Class3",34,20,52.28,65.227,81.492,"O",50.114,91,49.977,"P",56.739
"Class4",7,85,42.949,57.289,83.963,"M",45.896,55,64.734,"D",91.082
"Class3",30,25,53.745,23.402,86.891,"O",28.804,92,29.841,"M",57.552
"Class1",10,73,63.194,86.736,38.865,"H",43.529,35,25.788,"J",16.137
"Class2",56,93,60.384,7.328,49.933,"O",30.19,70,0.038,"L",75.433
"Class4",14,68,84.032,60.207,69.09,"E",44.67,59,61.19,"H",65.057
"Class1",30,68,90.681,68.388,83.41,"F",52.253,47,49.292,"U",29.612
"Class1",23,70,87.343,82.999,46.037,"H",80.137,23,51.728,"K",27.573
"Class3",33,53,49.603,33.436,77.903,"O",47.205,82,51.836,"A",60.102
"Class1",23,78,46.58,91.017,53.142,"E",55.591,35,47.112,"C",16.499
"Class3",29,27,40.757,36.26,77.172,"F",28.89,91,50.87,"M",60.835
"Class4",16,78,81.758,68.325,62.575,"J",45.535,53,52.589,"U",71.245
"Class4",3,72,68.899,72.897,74.871,"E",44.881,48,55.063,"B",94.37
"Class3",36,51,50.259,68.752,91.278,"L",21.217,75,73.987,"Z",49.2
"Class1",25,75,90.681,70.053,61.148,"E",54.94,71,56.432,"R",18.8
"Class2",69,94,59.618,14.388,49.206,"H",32.4,70,5.932,"J",47.885
"Class4",35,88,60.353,55.114,50.805,"L",45.744,57,NA,"U",72.56
"Class3",35,32,50.256,61.773,81.015,"T",64.1,84,67.144,"M",59.203
"Class1",27,76,62.797,70.482,73.677,"H",30.321,53,39.284,"U",22.251
"Class2",99,94,59.528,19.505,42.91,"L",31.875,56,10.69,"J",77.969
"Class1",25,76,82.859,76.872,47.228,"I",42.56,48,68.663,"C",20.098
"Class2",97,94,59.515,NA,29.216,"J",30.107,56,-2.263,"L",61.375
"Class1",2,70,74.212,88.69,71.245,"H",65.592,34,53.18,"U",27.567
"Class1",6,81,56.845,90.996,88.784,"I",47.827,70,50.122,"U",22.187
"Class1",7,76,67.244,89.285,77.395,"F",72.443,26,58.745,"J",24.74
"Class2",64,94,64.439,11.749,47.243,"H",24.271,69,14.727,"U",74.955
"Class1",15,77,56.507,68.745,54.306,"E",50.322,61,31.274,"R",21.812
"Class1",15,72,87.212,82.438,75.2,"Q",59.376,46,42.976,"R",25.888
"Class2",71,94,59.53,18.383,28.359,"L",39.473,48,5.881,"U",59.382
"Class3",36,16,53.435,65.895,80.808,"V",39.133,75,48.44,"D",63.557
"Class2",97,93,61.47,NA,39.7,"F",26.6,62,-0.944,"U",53.347
"Class1",27,77,64.985,69.84,72.804,"Q",53.672,21,76.105,"J",21.987
"Class2",74,93,60.822,21.066,30.839,"F",30.188,69,27.34,"U",67.491
"Class4",36,57,31.308,26.214,83.487,"E",45.992,54,53.022,"H",93.537
"Class4",30,90,41.644,36.821,67.8,"M",45.437,55,58.118,"B",91.434
"Class4",5,55,61.937,33.489,57.632,"M",45.61,53,54.982,"T",72.391
"Class1",2,80,62.391,71.284,74.663,"F",74.749,57,34.993,"C",22.651
"Class4",31,76,36.4,22.468,81.713,"M",45.618,52,60.779,"H",84.524
"Class4",28,77,31.2,26.896,44.852,"L",45.445,51,58.134,"D",73.967
"Class4",2,84,70.707,55.139,50.377,"E",46.211,53,54.566,"D",69.838
"Class1",14,67,66.981,68.191,84.897,"H",55.78,43,51.158,"K",25.088
"Class4",33,79,64.953,61.344,73.447,"J",46.079,60,61.922,"U",70.529
"Class2",62,92,57.829,7.396,40.552,"J",30.659,68,16.633,"L",59.185
"Class2",66,92,60.07,21.161,48.159,"H",33.121,48,12.801,"J",45.068
"Class2",75,92,62.14,9.003,39.021,"J",29.492,71,20.904,"U",65.136
"Class3",35,28,50.357,22.89,87.011,"O",32.11,79,57.261,"M",50.29
"Class2",49,94,60.957,NA,45.146,"H",37.605,53,10.239,"U",46.661
"Class2",88,92,60.308,18.464,44.023,"F",34.972,66,16.717,"J",69.06
"Class1",5,77,64.517,85.927,54.516,"F",59.115,59,57.93,"K",20.262
"Class3",31,22,55.648,51.647,78.501,"T",24.366,79,42.324,"D",60.698
"Class3",35,67,60.029,50.695,88.519,"T",40.838,75,52.368,"M",52.94
"Class1",15,69,74.292,82.013,57.044,"E",71.492,62,46.056,"J",15.584
"Class2",48,92,55.29,19.058,26.697,"F",33.151,62,25.519,"B",59.023
"Class3",34,86,47.355,66.55,83.616,"L",41.332,86,52.331,"D",50.538
"Class2",62,93,58.928,5.203,35.121,"J",22.657,62,26.692,"J",52.124
"Class4",34,79,60.971,27.423,77.309,"M",45.515,52,57.461,"B",77.351
"Class2",88,93,60.719,NA,49.807,"J",35.88,58,23.406,"V",74.144
"Class3",35,24,63.861,55.827,91.072,"O",27.92,92,62.9,"Z",51.295
"Class3",36,64,59.828,65.463,82.28,"L",20.273,91,57.94,"P",56.37
"Class4",15,89,65.097,25.556,68.082,"J",45.084,58,58.366,"T",77.153
"Class3",33,63,50.425,NA,87.25,"L",34.78,83,58.295,"D",55.67
"Class3",29,80,43.395,28.934,76.939,"V",55.491,77,42.754,"A",49.104
"Class4",36,82,66.056,36.27,45.198,"U",45.508,65,51.84,"D",83.621
"Class1",30,75,84.644,84.476,62.974,"Q",49.356,45,56.235,"U",29.451
"Class3",29,66,34.654,67.127,75.074,"T",22.334,75,45.528,"M",55.819
"Class4",33,78,73.179,48.197,55.728,"J",45.263,54,55.132,"U",93.974
"Class3",28,31,53.07,27.401,81.627,"L",27.945,74,NA,"Z",50.636
"Class4",2,57,60.43,68.415,78.115,"E",45.162,55,45.949,"T",69.456
"Class4",36,87,35.159,54.173,44.063,"U",45.675,53,54.512,"H",78.066
"Class3",34,74,56.192,48.988,74.827,"F",44.003,91,38.611,"M",50.124
"Class1",22,81,79.112,63.839,65.555,"I",50.644,26,54.479,"C",24.599
"Class4",28,96,59.011,63.686,69.024,"U",46.127,63,56.031,"B",68.229
"Class1",32,67,90.303,63.056,85.693,"H",31.731,68,49.938,"R",28.27
"Class2",50,92,60.456,4.453,40.074,"L",41.841,66,-6.738,"B",72.499
"Class2",58,94,58.031,8.63,31.706,"F",21.116,62,22.256,"U",75.505
"Class2",43,94,61.279,11.627,28.389,"J",32.463,51,10.806,"L",52.067
"Class4",23,87,90.096,55.342,52.068,"L",45.271,62,50.05,"D",71.982
"Class2",47,92,58.627,4.654,46.424,"H",30.359,59,28.364,"J",52.703
"Class2",72,94,62.96,20.437,44.188,"L",31.067,50,18.764,"V",61.618
"Class2",88,94,59.924,21.806,46.667,"H",34.946,71,14.587,"V",57.494
"Class3",29,22,53.006,65.832,85.778,"O",41.205,92,50.822,"A",60.802
"Class4",16,59,40.624,26.67,53.079,"L",45.428,54,58.716,"D",81.012
"Class3",35,35,48.672,69.093,74.125,"F",36.955,91,NA,"A",56.833
"Class4",33,51,67.556,27.406,86.788,"J",45.503,58,55.499,"U",82.004
"Class1",2,67,75.087,81.22,95.043,"H",47.859,43,36.558,"K",15.803
"Class3",32,48,48.995,34.824,82.114,"T",30.138,91,78.868,"A",50.169
"Class2",72,94,60.537,7.768,34.554,"F",35.001,69,5.974,"L",64.045
"Class3",36,29,36.692,58.603,85.393,"T",31.857,82,102.386,"P",50.084
"Class1",19,79,83.567,67.771,76.786,"I",70.553,48,44.907,"U",28.288
"Class1",24,74,79.364,76.035,58.953,"H",61.527,65,51.989,"K",26.907
"Class4",39,72,58.148,29.616,75.342,"E",45.323,49,49.383,"H",75.932
"Class2",68,94,61.947,7.934,41.14,"O",37.61,71,8.572,"L",43.444
"Class3",31,30,37.189,39.171,81.323,"V",33.367,74,41.271,"D",54.086
"Class3",35,44,46.87,64.233,79.396,"F",42.344,82,30.628,"P",65.149
"Class4",13,82,39.297,57.536,80.915,"J",45.71,53,52.553,"H",79.207
"Class3",34,70,45.932,58.543,77.912,"F",44.017,85,58.957,"P",55.868
"Class4",13,51,81.843,60.16,46.996,"E",45.948,51,47.818,"H",94.718
"Class2",68,94,57.992,12.838,31.075,"J",20.125,69,3.944,"L",60.877
"Class4",3,91,80.516,21.893,79.022,"L",45.698,54,51.766,"T",78.19
"Class1",31,76,91.028,70.547,65.133,"Q",18.992,25,57.723,"C",23.719
"Class3",34,22,49.28,64.778,85.183,"L",29.443,88,34.786,"P",50.652
"Class1",25,68,91.49,90.216,41.716,"F",67.682,52,40.423,"U",24.019
"Class4",10,60,28.218,44.861,68.677,"M",45.672,56,57.565,"B",70.663
"Class3",35,48,60.617,59.398,78.788,"F",31.215,79,60.813,"P",55.623
"Class1",15,76,105.694,73.614,88.189,"H",70.167,34,68.126,"R",16.757
"Class2",78,92,62.744,20.449,47.442,"J",25.157,65,23.199,"U",66.659
"Class1",21,67,94.289,64.915,58.841,"I",58.161,55,33.349,"C",24.607
"Class1",30,68,87.392,64.243,72.347,"H",71.925,59,59.092,"R",20.855
"Class1",16,68,46.447,87.035,65.273,"H",39.859,47,54.584,"R",21.305
"Class4",20,60,36.84,25.779,59.828,"U",46.01,55,52.676,"D",78.585
"Class1",24,67,73.669,77.259,70.791,"Q",56.209,72,49.223,"J",26.441
"Class1",27,67,84.349,88.945,77.428,"E",87.471,32,45.175,"R",20.017
"Class3",36,17,45.122,55.464,77.495,"O",44.648,82,64.928,"M",52.59
"Class2",51,92,60.171,9.392,29.206,"H",34.083,62,5.953,"L",69.871
"Class1",24,78,66.696,77.63,75.321,"Q",90.482,28,60.213,"U",19.055
"Class1",10,67,95.865,71.69,47.352,"H",41.484,51,30.471,"K",26.398
"Class3",29,38,52.09,48.74,84.44,"V",47.096,80,11.798,"M",65.047
"Class3",34,61,55.958,32,89.174,"L",48.8,83,39.489,"M",63.558
"Class4",27,71,58.119,65.003,62.68,"L",45.274,54,59.165,"T",83.864
"Class4",31,60,66.864,57.138,62.096,"E",45.557,53,55.916,"T",83.352
"Class2",87,92,58.429,21.931,36.342,"F",35.652,51,23.111,"L",59.353
"Class2",84,93,57.462,6.02,46.844,"L",41.365,68,12.62,"V",65.988
"Class1",9,78,66.352,89.387,73.847,"I",66.305,17,44.805,"U",26.822
"Class3",28,60,66.127,72.3,84.177,"V",36.479,77,73.724,"Z",63.08
"Class2",79,93,59.047,3.894,26.534,"H",30.88,59,13.582,"U",58.262
"Class3",36,28,56.16,35.969,88.788,"L",26.476,91,13.252,"D",57.212
"Class2",50,93,61.694,9.62,45.528,"F",28.693,61,3.281,"V",61.887
"Class3",28,26,42.986,60.462,78.52,"V",49.666,90,56.918,"A",60.671
"Class1",16,74,70.893,90.393,42.144,"H",61.93,24,63.45,"C",24.826
"Class4",32,58,68.731,40.163,52.71,"M",45.616,61,49.027,"B",88.455
"Class4",19,58,10.867,31.363,71.291,"U",45.405,49,55.72,"H",74.513
"Class4",5,83,83.025,38.578,86.071,"J",45.699,52,50.932,"B",73.469
"Class3",29,73,54.439,54.865,84.037,"L",33.75,81,46.082,"D",57.578
"Class4",4,64,54.937,62.811,48.664,"L",45.296,56,49.587,"U",92.779
"Class4",16,78,54.972,55.114,75.305,"U",45.219,62,57.45,"T",68.109
"Class2",57,93,61.128,22.396,28.682,"H",39.123,54,16.642,"L",71.559
"Class3",35,75,53.77,56.522,88.076,"L",25.953,88,64.529,"P",63.605
"Class1",16,72,80.138,83.779,38.819,"I",63.579,71,36.301,"J",23.399
"Class1",16,72,71.413,NA,38.114,"F",29.448,32,55.078,"J",28.128
"Class3",33,59,55.048,27.634,75.198,"O",57.27,92,42.685,"M",62.506
"Class1",31,78,66.465,67.327,66.844,"H",72.019,57,40.841,"K",25.938
"Class4",3,65,47.733,52.696,81.554,"E",45.478,59,NA,"U",79.603
"Class3",32,14,52.072,72.159,79.909,"T",32.21,93,65.602,"P",63.999
"Class2",78,94,59.548,6.019,32.466,"O",22.952,50,14.223,"L",44.762
"Class4",31,72,53.512,54.82,64.221,"L",45.318,49,57.29,"B",72.898
"Class1",9,77,87.181,NA,43.052,"Q",58.803,32,51.612,"K",19.309
"Class4",33,71,43.186,30.843,47.606,"U",46.509,56,60.544,"T",90.599
"Class3",31,52,43.032,42.744,86.338,"O",45.295,92,47.622,"A",63.001
"Class3",30,71,58.752,37.479,76.989,"L",52.713,83,51.768,"P",49.721
"Class3",29,49,39.821,48.196,73.894,"F",41.234,86,16.264,"A",51.244
"Class2",94,94,55.775,17.417,43.769,"F",36.377,60,-1.073,"J",76.223
"Class2",43,93,60.175,17.395,30.925,"F",32.783,57,21.673,"U",60.997
"Class3",29,23,46.918,24.213,90.741,"L",44.822,90,53.237,"M",58.184
"Class3",28,39,55.247,61.06,78.773,"L",45.607,79,49.912,"A",50.985
"Class2",84,93,55.916,12.65,39.956,"J",32.002,68,8.011,"U",59.388
"Class4",36,68,14.13,69.386,85.678,"J",45.398,59,57.369,"B",68.281
"Class3",29,73,43.215,45.586,86.099,"V",37.641,90,66.959,"M",50.846
"Class3",36,80,53.528,27.809,87.074,"O",40.475,88,65.458,"P",64.338
"Class2",41,94,60.541,6.38,35.376,"L",41.238,65,33.232,"U",73.621
"Class2",99,94,62.274,4.141,44.026,"F",38.723,71,29.206,"L",65.082
"Class3",29,29,45.263,36.094,76.039,"V",36.104,80,47.505,"P",50.892
"Class2",90,92,61.373,11.833,47.74,"L",30.519,49,3.924,"L",60.861
"Class4",27,88,54.741,28.431,66.675,"E",45.686,49,57.392,"T",75.451
"Class4",22,90,49.638,72.624,86.82,"L",45.873,61,55.701,"U",84.963
"Class2",77,92,61.948,12.879,48.672,"J",26.374,52,9.952,"L",49.618
"Class1",29,70,69.77,70.052,43.009,"E",54.663,24,65.108,"K",24.534
"Class3",33,51,49.605,59.186,77.584,"L",36.062,74,20.929,"D",63.463
"Class1",7,72,68.114,80.334,87.32,"H",55.991,59,29.206,"C",19.894
"Class4",4,66,77.157,28.942,71.186,"E",45.019,50,53.476,"D",61.793
"Class1",10,72,59.002,76.943,85.682,"I",44.51,18,42.462,"C",20.758
"Class3",35,58,54.34,53.518,92.865,"V",31.69,90,54.789,"D",53.574
"Class4",5,92,80.755,42.626,50.135,"E",45.39,63,NA,"B",66.7
"Class3",31,63,59.09,48.52,93.97,"O",38.377,79,26.57,"A",62.526
"Class1",10,81,92.011,74.037,63.064,"F",52.991,60,61.734,"U",17.341
"Class2",98,93,61.123,10.631,45.22,"H",36.687,55,23.687,"J",71.936
"Class2",57,92,57.42,15.771,44.888,"J",29.398,65,8.223,"B",54.313
"Class4",36,56,56.038,66.023,67.326,"L",45.096,49,48.331,"U",73.795
"Class3",35,68,48.311,63.286,92.193,"T",46.553,85,55.492,"A",61.18
