"M1","M2","M3","M4","M5","M6","M7","Output12","M8","M9","M10","M11"
92.471,62,"J",11.768,67.644,86.034,27,"Class3","Y",59.509,16.861,81
48.88,45,"N",61.445,48.048,24.425,25,"Class1","U",64.727,73.377,72
87.414,52,"T",50.463,31.023,41.592,23,"Class4","Y",96.91,6.344,52
87.119,37,"A",52.218,33.01,41.273,22,"Class4","X",96.478,3.508,65
48.329,44,"F",74.005,48.047,60.67,84,"Class1","U",47.003,73.772,65
85.235,63,"C",31.5,64.66,46.357,7,"Class3","L",52.185,15.908,82
87.401,54,"O",36.114,39.296,42.107,22,"Class4","Y",96.515,1.709,84
18.306,55,"M",69.96,79.531,16.147,89,"Class2","J",51.709,90.743,41
97.02,62,"Q",13.617,64.982,46.453,24,"Class3","N",57.771,16.432,85
89.805,63,"Q",74.474,66.392,67.106,37,"Class3","T",59.211,15.82,20
17.312,42,"I",66.148,82.438,12.888,85,"Class2","X",67.402,100.699,31
87.738,53,"U",31.525,52.099,41.615,23,"Class4","R",96.338,4.715,50
87.525,54,"J",23.076,62.573,41.615,23,"Class4","Y",96.856,1.87,74
19.985,41,"I",64.878,77.007,17.474,94,"Class2","Q",64.747,83.233,34
18.128,37,"M",68.147,81.555,12.887,90,"Class2","J",65.278,90.443,45
88.076,54,"A",45.541,54.498,42.059,21,"Class4","X",96.899,3.564,65
87.555,38,"U",45.237,36.376,41.146,21,"Class4","X",96.836,3.79,76
87.447,43,"U",42.988,58.544,41.115,22,"Class4","X",96.355,3.396,85
87.326,62,"Q",NA,65.324,75.701,21,"Class3","L",56.058,16.889,92
45.485,45,"L",23.033,48.625,80.518,13,"Class1","W",66.033,73.324,63
87.134,36,"J",33.636,57.254,41.531,22,"Class4","X",96.632,3.339,72
56.042,43,"F",26.178,48.455,23.138,15,"Class1","R",53.587,73.475,87
59.564,63,"O",39.977,65.564,68.889,75,"Class3","L",58.766,16.409,31
87.215,57,"J",40.655,57.822,41.074,21,"Class4","J",96.025,4.609,57
87.341,36,"J",34.957,34.477,41.213,22,"Class4","X",96.98,1.761,89
87.954,39,"J",46.579,72.602,41.642,21,"Class4","Y",96.915,3.773,84
71.75,62,"M",42.616,69.885,8.677,64,"Class3","D",58.326,15.773,13
51.043,44,"F",58.783,48.593,38.717,71,"Class1","R",53.706,73.147,65
20.894,57,"F",NA,75.289,12.996,90,"Class2","T",55.856,88.236,35
21.637,57,"Z",70.128,75.47,14.057,80,"Class2","T",59.213,92.834,41
19.976,65,"F",66.072,77.603,12.108,85,"Class2","X",50,95.488,42
19.972,41,"I",72.345,78.573,11.197,88,"Class2","X",53.196,65.14,45
19.384,50,"F",67.433,77.211,15.333,89,"Class2","T",68.511,86.128,36
87.234,46,"O",48.045,39.8,41.453,21,"Class4","X",96.208,1.757,85
68.015,45,"L",44.329,48.445,60.536,25,"Class1","R",26.445,73.425,86
87.598,43,"A",23.909,56.485,41.738,23,"Class4","X",96.188,2.006,57
87.657,50,"J",55.047,68.196,41.407,21,"Class4","J",96.011,0.93,61
93.618,63,"C",34.869,67.381,63.935,75,"Class3","L",50.272,16.868,53
87.729,54,"O",34.658,29.07,42.077,23,"Class4","A",96.945,4.127,78
21.094,36,"I",68.293,78.737,12.257,96,"Class2","J",60.435,86.668,39
42.946,43,"N",32.48,48.616,84.847,13,"Class1","W",33.89,73.264,76
76.847,61,"J",68.18,63.768,67.492,21,"Class3","L",53.307,16.501,55
63.857,46,"T",15.309,48.591,38.844,82,"Class1","U",51.655,73.727,77
18.674,35,"L",66.167,79.803,14.796,83,"Class2","Q",51.785,82.067,33
91.576,61,"Q",70.752,66.629,46.263,28,"Class3","T",53.045,16.288,25
80.103,61,"C",56.487,64.164,50.05,40,"Class3","Y",55.895,16.511,33
87.614,47,"U",41.98,33.42,41.735,23,"Class4","X",96.378,4.695,76
87.593,61,"O",66.622,68.067,72.394,68,"Class3","D",53.47,16.446,85
69.757,63,"J",56.265,66.067,34.235,72,"Class3","D",57.752,16.208,88
20.649,38,"F",71.854,78.715,11.746,81,"Class2","K",70.071,109.779,35
19.519,58,"Z",69.084,76.489,9.745,95,"Class2","T",70.152,86.006,38
19.569,42,"Z",67.371,78.54,8.77,85,"Class2","K",54.626,98.407,45
73.838,62,"O",54.604,64.329,30.772,64,"Class3","D",54.511,16.304,69
102.28,62,"Q",63.822,64.275,69.216,9,"Class3","Y",48.643,16.497,33
79.935,61,"C",23.341,69.574,10.531,34,"Class3","D",49.407,16.229,64
19.153,60,"M",69.646,76.087,16.804,88,"Class2","X",69.751,92.569,41
87.993,46,"O",45.748,32.685,41.588,23,"Class4","A",96.951,4.607,70
20.697,54,"F",67.49,80.263,6.85,96,"Class2","T",58.363,92.053,42
87.586,42,"O",40.819,60.931,41.206,23,"Class4","X",96.403,3.248,77
19.942,58,"I",65.323,76.413,14.809,90,"Class2","X",68.608,90.021,39
20.902,56,"Z",69.991,75.6,14.272,84,"Class2","T",51.708,79.943,43
40.371,44,"L",67.123,48.787,62.295,63,"Class1","G",25.247,74.038,64
51.343,44,"G",60.787,48.352,63.159,76,"Class1","G",49.107,73.889,82
18.61,41,"F",65.745,78.1,8.54,89,"Class2","K",71.39,96.297,42
20.328,65,"L",72.374,75.146,17.595,91,"Class2","Q",66.139,89.869,30
21.193,56,"Z",NA,79.957,7.76,84,"Class2","Q",69.937,78.455,30
84.622,61,"Q",76.874,68.81,36.487,73,"Class3","N",58.439,16.24,50
88.705,62,"Q",69.403,69.978,47.927,10,"Class3","Y",59.573,15.763,92
73.089,62,"M",39.353,68.333,69.067,45,"Class3","N",48.663,16.305,71
16.533,45,"G",53.784,48.475,9.484,18,"Class1","U",40.321,73.327,81
70.999,44,"L",75.128,48.917,40.195,17,"Class1","W",30.96,73.654,74
87.608,47,"O",26.481,44.29,41.176,23,"Class4","J",96.611,4.267,84
87.422,40,"O",44.572,75.945,41.696,23,"Class4","X",96.109,0.262,74
29.694,44,"F",40.813,48.296,78.393,67,"Class1","H",60.703,73.014,61
19.886,44,"I",66.241,78.915,15.852,95,"Class2","J",60.847,100.431,42
94.328,61,"Q",60.037,65.698,33.877,33,"Class3","T",46.594,16.732,42
50.717,44,"G",21.219,48.108,73.579,50,"Class1","G",58.553,73.037,69
17.48,56,"Z",72.893,76.309,12.624,88,"Class2","T",61.239,81.023,30
87.191,45,"U",43.855,66.625,41.332,21,"Class4","Y",96.267,5.919,86
87.705,40,"U",40.37,50.546,40.954,22,"Class4","Y",96.16,3.608,51
35.818,44,"F",65.427,48.392,53.58,58,"Class1","U",69.448,73.13,81
87.286,44,"U",27.428,60.38,41.944,21,"Class4","Y",96.272,2.854,51
76.243,62,"M",70.423,67.91,47.643,7,"Class3","T",47.735,15.86,77
19.902,64,"M",69.459,77.411,12.066,87,"Class2","J",49.673,84.922,36
18.978,36,"F",67.572,81.595,9.401,89,"Class2","K",50.718,100.017,41
19.826,36,"L",65.668,79.615,11.438,86,"Class2","K",67.407,92.616,34
79.297,61,"C",39.076,64.314,107.995,8,"Class3","N",54.652,16.396,54
55.065,44,"L",45.731,48.943,52.551,71,"Class1","W",63.69,73.597,74
18.501,56,"L",NA,78.547,16.105,81,"Class2","K",65.164,102.718,43
60.899,62,"C",33.798,64.341,45.095,38,"Class3","N",58.507,16.273,60
87.621,40,"J",47.449,52.896,41.743,21,"Class4","A",96.083,2.162,73
87.695,55,"O",32.96,37.265,41.202,22,"Class4","A",96.64,2.194,49
18.565,40,"F",66.578,76.354,14.051,82,"Class2","T",52.483,87.277,36
87.715,53,"J",30.474,50.863,41.618,22,"Class4","J",96.67,2.707,56
78.375,62,"C",27.33,65.747,77.18,33,"Class3","Y",49.972,16.846,28
87.238,50,"J",NA,31.395,41.724,22,"Class4","R",96.263,1.764,73
20.556,35,"L",66.789,76.712,10.32,82,"Class2","Q",58.752,86.607,36
87.531,52,"J",23.243,26.182,41.545,22,"Class4","J",96.114,1.99,76
85.728,63,"J",76.515,65.153,97.098,53,"Class3","T",56.172,16.546,35
20.01,61,"M",70.178,78.21,12.533,91,"Class2","Q",53.705,97.135,34
27.078,45,"L",60.528,48.993,72.661,50,"Class1","G",65.626,73.873,71
69.173,62,"C",19.352,67.68,55.593,75,"Class3","Y",55.459,16.754,47
87.294,63,"C",13.369,67.914,31.138,77,"Class3","N",51.269,16.298,34
19.827,44,"Z",71.527,75.275,18.803,90,"Class2","J",63.076,92.183,32
50.545,45,"L",49.856,48.24,42.501,60,"Class1","H",65.146,73.14,82
19.643,52,"F",63.574,78.269,14.635,94,"Class2","T",65.974,84.921,39
87.139,47,"A",51.806,46.493,41.547,21,"Class4","X",96.91,3.246,55
89.29,61,"Q",77.276,67.496,39.162,25,"Class3","D",59.66,16.706,12
50.168,46,"F",28.137,48.828,63.638,73,"Class1","R",41.76,72.985,66
87.458,46,"O",52.269,68.068,41.562,21,"Class4","R",96.339,3.197,74
35.228,44,"G",75.127,48.622,85.402,36,"Class1","R",61.332,73.693,83
48.404,46,"F",24.665,48.795,25.09,40,"Class1","H",63.378,73.81,84
87.057,61,"O",61.246,64.71,78.049,22,"Class3","Y",49.543,16.48,9
78.989,61,"O",38.628,63.195,94.982,8,"Class3","L",56.595,16.586,66
87.611,50,"O",44.175,51.518,41.874,23,"Class4","Y",96.542,3.916,82
21.358,49,"Z",69.387,79.979,15.524,96,"Class2","K",59.113,101.685,44
91.766,62,"M",23.452,67.594,35.409,63,"Class3","L",NA,16.605,54
81.765,61,"J",37.17,66.085,78.155,66,"Class3","L",46.944,16.608,24
27.785,45,"F",77.698,48.062,37.918,37,"Class1","R",31.46,73.35,88
88.063,51,"A",26.805,75.774,40.331,21,"Class4","X",96.847,2.557,61
88.178,49,"A",25.464,29.811,41.714,23,"Class4","Y",96.491,3.75,67
73.002,63,"J",53.541,63.651,55.368,28,"Class3","Y",52.349,16.291,88
87.129,52,"J",51.161,62.186,41.852,21,"Class4","J",96.651,4.005,71
42.524,45,"G",35.343,48.236,77.111,41,"Class1","G",64.145,73.469,61
87.893,63,"Q",63.45,64.428,51.054,20,"Class3","T",54.864,16.574,47
87.69,50,"J",28.507,75.155,42.211,22,"Class4","A",96.019,3.982,49
52.977,45,"L",31.924,48.103,34.492,45,"Class1","G",62.257,73.177,85
31.366,46,"N",54.777,48.987,60.832,85,"Class1","U",54.175,73.866,88
79.287,44,"T",61.08,48.854,29.761,51,"Class1","R",30.015,73.805,78
30.406,44,"T",NA,48.452,35.788,55,"Class1","G",46.596,73.022,74
