"Y1","Output24","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11"
59.734,"Class2",69.654,"W","Y",36,81.204,64.502,84,65.775,50,57.369
NA,"Class2",67.479,"W","Z",39,104.894,65.888,83,58.392,56,21.962
63.189,"Class1",25.904,"C","Y",25,67.433,42.012,15,43.558,40,33.056
64.205,"Class1",41.906,"T","Y",53,23.701,49.337,20,41.193,59,77.002
76.66,"Class2",67.808,"K","O",41,90.159,72.682,82,65.605,40,37.112
63.061,"Class2",68.647,"S","J",39,90.153,63.739,78,63.453,29,18.925
76.244,"Class1",-0.534,"T","Y",4,88.431,49.832,13,40.012,33,67.663
30.305,"Class2",67.636,"L","Z",32,87.862,83.481,69,76.292,24,12.6
63.089,"Class1",65.35,"I","Z",3,5.511,19.474,4,43.33,45,35.524
28.328,"Class2",67.574,"K","O",34,87.574,82.977,69,77.578,27,19.875
30.409,"Class2",68.25,"V","J",43,85.138,65.02,87,74.303,29,34.296
40.806,"Class2",69.42,"V","Y",35,74.73,84.744,77,68.744,33,37.14
59.046,"Class1",8.919,"I","Z",10,84.718,69.847,14,44.14,47,53.212
58.136,"Class2",67.492,"L","H",43,90.533,81.512,71,80.62,52,13.382
72.699,"Class1",12.273,"C",NA,34,83.019,11.68,19,44.029,35,51.868
59.043,"Class1",34.338,"T","U",11,74.451,54.891,17,41.183,65,45.639
73.74,"Class1",31.204,"T","U",15,49.575,47.114,12,42.849,62,46.944
63.007,"Class1",58.414,"T","Y",23,53.26,42.59,4,45.792,35,61.036
75.969,"Class2",69.59,"S","J",31,93.085,63.102,88,63.573,27,58.708
68.056,"Class1",-4.234,"C","Y",38,51.228,36.611,3,45.826,63,51.573
83.658,"Class1",73.646,"C","Z",18,70.081,57.985,12,40.26,49,53.901
63.333,"Class1",66.967,"Q","H",44,49.716,36.295,20,38.995,31,40.265
75.966,"Class2",69.498,"V","O",33,61.243,84.593,88,77.028,49,10.905
67.942,"Class1",57.375,"T","H",52,78.619,28.222,11,45.671,68,33.593
65.403,"Class2",68.3,"W","J",37,85.059,84.472,83,50.926,49,-6.57
78.997,"Class2",68.49,"S","H",39,68.774,73.334,71,57.825,45,60.242
76.471,"Class1",-2.097,"C","Z",29,53.102,33.048,3,45.167,71,58.747
74.013,"Class1",51.254,"T","H",49,6.258,32.532,5,38.547,70,47.921
24.026,"Class2",68.467,"W","Y",33,94.058,79.45,78,55.978,30,26.009
61.699,"Class1",16.521,"I","W",41,65.9,25.558,6,40.327,34,47.005
72.674,"Class2",67.696,"S","J",40,88.1,66.857,82,69.424,38,6.948
31.432,"Class2",69.071,"W","O",37,82.434,75.991,71,49.477,34,4.091
60.191,"Class1",30.784,"I","Z",26,-24.615,54.818,17,44.374,69,50.904
73.117,"Class1",4.53,"Q","U",20,81.254,11.349,6,42.262,70,60.253
59.633,"Class1",16.86,"Q","H",53,76.894,47.588,4,41.656,70,59.972
78.878,"Class1",-14.135,"I","Y",17,18.205,22.488,9,40.597,36,58.017
NA,"Class1",26.787,"I","H",3,85.78,45.635,18,41.727,69,52.981
80.787,"Class1",63.421,"C","Y",33,85.823,23.95,5,40.142,74,53.716
79.752,"Class1",40.884,"I",NA,5,64.361,17.229,11,39.01,70,44.207
70.259,"Class2",68.119,"K","J",38,74.159,82.412,82,68.51,54,14.724
83.531,"Class1",66.798,"Q","Z",25,59.829,58.678,6,43.849,31,57.179
32.69,"Class2",67.914,"K","Y",34,80.691,58.467,77,58.5,48,11.648
28.541,"Class2",67.929,"L","Z",33,99.633,64.096,79,72.581,39,85.028
42.459,"Class2",68.972,"V","Z",37,88.617,78.188,70,51.782,41,-7.854
58.659,"Class2",67.444,"K","Z",43,70.912,63.8,71,52.939,50,31.09
84.429,"Class1",24.149,"C","H",8,19.98,26.436,8,39.945,37,60.508
85.864,"Class1",73.334,"T","U",45,56.76,57.302,9,39.49,69,35.569
54.508,"Class2",68.501,"V","Z",34,86.134,80.536,71,70.552,56,-4.493
61.481,"Class2",69.328,"K","H",36,79.426,63.556,85,53.427,23,68.181
69.816,"Class1",66.74,"T","H",35,48.524,76.32,4,39.673,68,57.689
83.956,"Class1",16.074,"B","H",7,51.793,57.395,11,41.755,39,52.524
73.7,"Class1",80.898,"Q","U",34,51.566,76.733,9,41.879,66,45.209
81.708,"Class1",48.433,"I","W",56,44.953,70.309,5,41.708,56,62.934
84.117,"Class1",-21.182,"B","W",48,20.258,76.829,19,42.104,66,58.327
79.585,"Class2",68.796,"L","H",40,85.923,58.225,69,77.298,39,50.353
74.803,"Class1",45.701,"T","Z",6,29.598,66.824,11,38.717,57,56.06
75.648,"Class1",24.21,"B","W",22,98.061,19.304,16,38.846,70,54.101
20.074,"Class2",68.259,"S","Y",35,71.917,61.368,78,61.794,42,23.935
32.773,"Class2",70.125,"K","Y",33,77.97,80.411,77,52.865,41,53.875
45.398,"Class2",67.886,"K","H",43,88.146,60.842,83,50.664,50,23.051
68.342,"Class1",55.893,"B","Z",50,56.851,52.976,19,44.761,48,28.173
63.574,"Class1",66.799,"Q","Z",38,-2.852,56.353,13,43.791,55,44.727
63,"Class1",27.872,"T","Z",50,86.354,21.862,13,40.706,61,53.541
75.178,"Class2",69.18,"W","Z",38,80.925,62.872,79,82.45,27,33.923
35.703,"Class2",66.368,"V","J",43,85.425,83.809,84,56.159,42,-14.814
NA,"Class2",68.488,"K","H",34,95.685,76.703,78,58.907,40,7.998
75.628,"Class1",70.792,"B","H",50,27.371,77.368,20,43.287,73,41.297
NA,"Class1",67.967,"C","Y",14,47.149,67.453,9,40.837,55,55.339
75.789,"Class1",100.164,"C","H",48,30.013,49.358,8,41.088,48,55.008
75.978,"Class2",68.526,"W","Z",43,78.763,68.188,85,70.006,53,48.607
30.178,"Class2",67.71,"V","Z",39,83.755,64.818,79,60.312,53,10.586
26.974,"Class2",68.198,"W","Z",40,72.463,59.602,71,73.068,41,17.455
63.466,"Class2",69.598,"W","H",39,86.167,59.831,70,75.206,32,67.24
51.541,"Class2",68.644,"S","O",31,80.639,72.556,72,57.205,53,27.614
NA,"Class2",68.316,"V","O",41,86.477,60.662,79,49.124,34,28.443
69.103,"Class1",55.021,"T","U",6,21.543,24.626,18,39.718,74,51.57
63.889,"Class1",69.726,"I","H",5,44.367,21.387,9,42.661,69,47.968
26.127,"Class2",67.73,"S","Y",32,78.998,70.803,83,72.37,56,42.344
NA,"Class1",16.756,"T","U",22,94.749,69.671,14,45.641,59,54.457
80.509,"Class1",40.269,"Q","Z",53,82.852,21.352,5,45.746,35,46.92
NA,"Class2",70.633,"W","O",37,80.345,62.19,86,67.81,25,32.513
20.31,"Class2",69.474,"W","Z",34,90.932,84.201,87,64.446,43,18.447
64.736,"Class1",-7.005,"T","H",28,34.73,71.634,3,45.379,41,56.762
NA,"Class2",68.146,"L","Z",42,81.809,69.739,75,57.1,31,24.405
22.85,"Class2",67.017,"S","H",39,87.488,69.08,78,69.815,42,51.386
72.317,"Class2",68.83,"L","Y",38,65.574,71.964,70,66.536,28,3.526
53.926,"Class2",66.82,"L","H",32,90.764,72.949,76,51.297,54,88.421
50.88,"Class2",67.709,"K",NA,36,84.647,65.315,88,71.075,35,4.795
21.264,"Class2",66.865,"K","Z",31,76.467,83.787,70,79.815,42,11.839
75.224,"Class2",69.841,"K","J",38,78.401,57.171,88,76.284,43,-4.803
52.473,"Class2",67.752,"L","Y",30,78.826,62.628,73,75.333,43,-7.019
78.865,"Class1",35.475,"T","U",8,47.58,16.082,14,40.695,74,58.811
70.878,"Class1",4.858,"B",NA,4,31.848,57.713,19,45.144,32,47.58
80.076,"Class1",113.278,"I","U",21,88.84,49.664,15,45.418,53,42.315
48.83,"Class2",68.847,"V","O",34,89.153,82.603,82,75.564,40,24.102
49.293,"Class2",69.17,"V","Z",34,92.088,62.853,80,62.697,31,17.091
27.04,"Class2",70.343,"K","H",42,79.05,56.35,79,69.365,50,71.609
26.827,"Class2",67.632,"K","O",36,78.153,75.576,76,64.343,46,14.538
63.898,"Class1",70.912,"C","W",53,79.287,15.178,6,43.183,35,53.509
71.006,"Class2",69.531,"K","J",38,92.451,76.256,79,56.413,55,73.82
28.06,"Class2",69.287,"W","O",34,71.865,55.316,69,72.611,52,36.713
70.517,"Class1",65.136,"I","Y",40,82.247,17.638,13,43.693,49,67.257
79.418,"Class2",67.67,"L","Y",37,80.714,70.092,85,50.24,53,-0.873
52.714,"Class2",69.8,"L","J",35,85.899,78.567,86,74.587,38,69.432
64.535,"Class2",68.558,"W","O",36,68.037,81.819,84,57.552,55,45.109
75.918,"Class2",69.245,"L","H",41,94.013,63.132,74,64.03,26,24.141
40.031,"Class2",67.349,"K","O",30,88.86,75.998,71,74.866,51,25.154
67.456,"Class2",68.93,"V","O",30,83.095,77.036,85,71.793,47,51.067
69.846,"Class1",63.08,"B","H",24,44.635,50.917,16,44.536,70,55.515
44.94,"Class2",67.379,"L","Z",34,77.071,77.372,72,82.001,42,29.078
25.495,"Class2",68.148,"V","H",38,78.913,78.103,85,82.895,28,5.956
84.731,"Class1",18.116,"T","U",21,26.412,11.582,13,38.937,73,36.419
76.974,"Class1",43.616,"B","Y",54,24.696,71.58,3,39.594,41,33.581
NA,"Class1",8.412,"C","W",43,55.487,15.2,4,40.123,69,50.51
32.058,"Class2",67.089,"L","Y",38,84.237,79.036,78,81.389,43,42.083
80.854,"Class1",23.467,"T","Y",3,28.742,38.232,20,38.333,48,59.291
81.516,"Class1",45.313,"C","Y",15,48.296,75.292,7,44.26,47,42.778
36.684,"Class2",68.62,"S","J",37,100.241,84.373,81,78.639,22,42.62
43.769,"Class2",68.941,"W","J",35,93.069,79.723,69,49.509,38,28.853
65.543,"Class2",67.934,"V",NA,41,79.382,72.45,82,56.422,32,57.369
84.849,"Class1",48.475,"T","Z",51,34.449,69.133,20,43.323,69,47.329
66.952,"Class1",31.408,"T","U",18,68.846,44.444,2,38.375,38,53.371
22.085,"Class2",69.535,"L","Z",32,81.425,66.578,74,81.634,54,-3.165
NA,"Class2",68.282,"S","J",31,78.432,60.47,72,58.161,50,15.216
48.037,"Class2",68.316,"S","J",41,87.467,83.223,86,60.438,29,23.626
59.449,"Class2",68.873,"W","Y",40,90.781,55.769,72,50.426,22,39.054
20.949,"Class2",69.621,"V","Y",38,77.885,75.636,83,64.382,35,38.822
72.638,"Class2",67.415,"V","J",40,81.762,65.574,81,78.799,30,71.676
73.097,"Class1",52.568,"I","W",34,61.3,22.32,5,42.311,71,55.478
77.305,"Class1",72.445,"C","H",34,85.305,69.86,12,39.112,35,55.137
63.73,"Class1",26.758,"C","W",24,18.675,17.084,9,43.771,55,52.638
79.534,"Class1",42.789,"Q","H",3,22.43,35.447,8,40.871,30,49.163
59.46,"Class1",27.285,"Q","W",46,40.055,22.469,12,45.332,40,47.472
75.197,"Class2",68.376,"K",NA,32,86.788,78.116,87,53.795,53,63.539
59.565,"Class2",69.674,"S","Y",35,95.101,70.257,77,58.853,22,44.915
38.924,"Class2",67.992,"W","O",32,81.836,79.028,69,59.614,30,51.297
49.528,"Class2",68.889,"W","Y",39,75.238,76.824,77,57.384,31,19.127
59.334,"Class2",69.523,"V","H",34,92.63,65.753,82,52.127,36,3.536
68.573,"Class2",68.573,"L","Z",30,67.323,56.735,78,63.448,32,3.633
63.764,"Class2",69.607,"S","Z",30,83.521,82.393,86,79.102,35,35.046
59.523,"Class1",64.848,"I","Z",14,52.339,22.048,11,40.773,49,61.719
71.056,"Class2",68.042,"L","Z",35,95.338,55.327,71,50.329,39,82.943
83.829,"Class1",21.205,"I","Z",4,49.505,41.122,17,45.481,31,53.385
NA,"Class2",68.765,"K","H",41,110.516,68.82,84,72.186,26,24.735
21.112,"Class2",68.18,"S","Z",38,86.2,79.457,72,66.951,33,44.693
25.478,"Class2",68.446,"L","Z",30,86.946,81.729,74,55.066,53,-1.634
84.331,"Class1",100.757,"T","Y",25,-12.355,33.706,18,45.067,46,38.826
