"Output5","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"Class1","E",71.751,40.746,92.916,"Y",42,65.738,46.211,54.726,25,3
"Class3",NA,69.941,79.806,0.416,"A",79,70.352,71.215,53.952,40,50
"Class2","D",89.463,39.18,51.28,"U",46,69.78,26.382,72.619,41,55
"Class3","C",70.481,106.534,31.158,"A",64,63.846,60.615,35.641,15,77
"Class3","J",66.694,80.934,21.746,"N",62,60.628,45.883,41.877,73,NA
"Class1","F",71.634,50.589,93.176,"G",61,59.916,42.259,31.153,22,14
"Class2","R",94.008,45.882,55.785,"H",41,77.851,25.721,50.076,89,52
"Class3","J",70.533,75.947,34.452,"E",81,70.211,56.213,41.54,30,33
"Class1","P",72.037,28.29,88.51,"Y",80,77.265,29.237,53.421,22,3
"Class3","Z",69.168,65.938,33.304,"N",65,69.068,67.475,33.995,74,46
"Class3","J",71.645,79.913,29.347,"A",78,64.996,39.716,46.981,20,77
"Class3","Z",71.351,89.927,13.023,"E",67,53.067,65.462,51.773,83,37
"Class3","E",71.066,76.059,0.306,"L",66,52.547,67.942,31.057,66,23
"Class3",NA,68.219,35.017,13.236,"O",66,71.135,42.709,47.025,61,42
"Class2","R",98.377,59.585,47.795,"K",42,41.763,28.192,45.255,45,58
"Class3","Z",70.499,44.765,3.646,"L",61,86.276,56.641,57.678,16,78
"Class3","C",70.001,90.039,11.652,"L",59,66.877,54.109,32.704,76,65
"Class3","C",72.53,88.962,34.353,"N",72,73.167,61.887,41.563,24,69
"Class3",NA,71.083,96.559,25.98,"E",66,61.366,67.068,47.85,48,33
"Class2","C",72.066,67.465,49.486,"K",41,80.351,7.877,20.022,52,NA
"Class2","C",81.611,57.553,53.834,"H",45,68.741,4.306,64.193,91,52
"Class2","C",77.777,63.648,48.167,"U",43,84.184,13.857,23.106,68,58
"Class1","P",72.017,41.047,88.974,"D",63,83.592,34.243,42.382,24,8
"Class1","Q",71.216,44.946,92.471,"D",42,87.019,35.041,15.292,20,12
"Class2","R",88.73,57.986,47.775,"K",41,90.652,3.951,70.666,36,58
"Class2","A",77.929,47.193,59.577,"A",40,41.147,29.954,22.724,75,61
"Class2","A",89.638,64.194,47.048,"U",37,55.259,30.115,34.461,96,51
"Class3","E",69.241,65.568,21.024,"E",75,65.619,39.098,49.364,46,30
"Class3","C",70.308,51.441,10.974,"N",79,55.877,55.523,46.176,81,17
