"H1","H2","H3","H4","H5","Output7","H6","H7","H8","H9","H10","H11"
37.899,7.284,81.502,68.968,47.055,"Class4",46.166,11,"V",58,"G",24
59.09,20.207,80.04,75.743,25.36,"Class3",92.861,27,"H",51,"Q",76
62.07,23.112,85.791,77.642,50.28,"Class3",77.483,48,"K",51,"Q",68
3.642,29.296,85.672,74.166,15.601,"Class4",11.397,16,"W",45,"I",27
54.364,20.469,74.426,47.824,28.354,"Class4",70.042,16,"V",44,NA,22
70.351,NA,81.657,59.911,30.91,"Class4",43.635,13,"V",44,NA,23
45.694,NA,19.708,4.675,20.586,"Class1",60.809,9,"T",74,"F",18
5.662,9.069,77.081,71.951,31.76,"Class4",25.748,21,"V",59,"I",25
31.482,95.663,77.974,56.082,79.073,"Class2",12.096,19,"C",19,"X",20
26.395,8.323,78.239,55.753,48.691,"Class4",47.258,20,"J",52,"G",27
64.703,52.905,82.642,57.465,58.138,"Class4",52.357,12,"D",43,"I",22
60.489,23.03,78.759,50.593,35.187,"Class3",68.129,35,"H",43,"U",70
57.588,22.521,86.485,64.851,33.384,"Class3",73.988,37,"Q",42,"Z",88
44.579,22.241,81.574,78.388,20.747,"Class3",6.184,28,"R",48,"H",71
43.959,48.924,30.954,37.671,15.6,"Class1",64.033,10,"I",74,"P",15
48.931,46.92,32.052,-8.166,17.665,"Class1",62.597,15,"X",32,"C",32
31.769,90.985,85.918,60.638,78.34,"Class2",12.028,31,"K",21,"V",31
38.758,22.273,39.292,54.009,36.636,"Class3",75.339,49,"Q",51,"O",71
49.688,38.952,25.15,76.524,13.031,"Class1",68.757,5,"X",71,"F",77
60.251,40.715,80.639,55.057,47.817,"Class4",30.724,24,"D",49,"S",23
57.269,71.542,31.667,74.677,23.03,"Class1",65.68,17,"V",48,"F",41
38.909,32.872,80.493,54.131,40.918,"Class4",22.911,20,"G",29,"S",26
46.387,63.355,23.663,32.208,22.88,"Class1",65.011,8,"T",74,"C",30
33.226,34.106,76.085,58.885,78.295,"Class2",13.335,21,"Z",22,"V",23
53.391,21.951,70.531,67.578,35.028,"Class3",20.448,36,"H",45,"U",81
36.706,54.814,23.308,20.062,18.983,"Class1",58.29,0,"T",37,"P",85
31.612,87.648,78.559,57.24,78.898,"Class2",13.434,21,"A",19,"K",22
22.783,45.943,79.807,48.915,53.681,"Class4",70.657,9,"G",35,"T",25
66.258,58.41,71.939,54.912,76.796,"Class4",25.837,17,"W",26,"R",23
30.546,69.505,84.125,63.703,77.019,"Class2",12.125,20,"Z",24,"V",26
36.841,35.89,81.316,51.276,77.41,"Class2",12.24,22,"K",16,"N",28
50.832,72.927,25.801,15.901,11.736,"Class1",60.101,4,"T",70,"P",39
33.499,87.144,78.491,47.269,79.1,"Class2",12.9,28,"K",15,"N",25
54.111,66.447,28.3,56.567,13.507,"Class1",65.527,3,"S",53,"O",47
50.913,39.538,83.464,44.658,80.791,"Class4",44.042,24,"D",40,"S",22
53.198,26.257,30.713,13.301,11.758,"Class1",65.281,12,"T",40,"C",14
42.323,31.823,26.955,33.258,20.649,"Class1",68.55,11,"T",70,"C",32
32.214,32.172,78.892,31.818,78.178,"Class2",12.22,29,"Z",21,"N",21
41.822,23.041,66.052,70.041,42.527,"Class3",12.12,18,"J",44,"O",67
57.03,22.629,53.309,84.945,40.056,"Class3",59.203,30,"K",41,"U",89
49.253,64.322,27.122,79.079,14.468,"Class1",61.241,3,"S",70,"C",53
40.636,47.935,84.62,59.607,80.965,"Class4",27.771,18,"V",28,"S",24
32.234,60.917,80.484,65.415,79.498,"Class2",13.445,24,"C",20,"V",24
