"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Output21"
"E",83,31,79.31,16.055,33.515,56.979,90.628,20.445,"G",79,"Class4"
"H",70,25,70.312,8.909,21.859,85.99,65.618,19.177,"K",39,"Class4"
"Q",92,67,6.692,11.967,63.471,59.579,83.94,65.118,"H",41,"Class1"
"E",85,50,44.195,33.04,12.234,42.983,73.594,37.879,"E",76,"Class3"
"G",91,88,2.562,12.495,35.416,49.352,82.142,42.876,"N",NA,"Class1"
"Q",89,72,3.59,14.919,41.222,50.813,85.46,29.264,"F",45,"Class1"
"G",88,36,4.203,26.694,35.79,82.652,85.802,39.741,"K",39,"Class1"
"T",78,NA,43.257,27.863,18.804,35.547,68.569,54.187,"M",86,"Class3"
"W",38,59,50.606,60.521,43.122,39.589,54.313,89.939,"P",56,"Class2"
"E",65,56,44.345,16.608,12.92,38.664,72.209,53.961,"C",75,"Class3"
"Z",33,57,27.479,59.994,51.887,42.023,45.365,86.954,"P",59,"Class2"
"G",90,32,48.811,29.477,20.12,67.157,16.084,19.46,"L",17,"Class4"
"F",68,85,53.756,15.724,6.872,36.72,91.413,27.017,"C",66,"Class3"
"I",89,59,5.831,17.611,20.061,40.721,84.535,26.924,"H",44,"Class1"
"Q",79,95,2.738,32.372,72.453,48.827,81.725,33.336,"X",42,"Class1"
"J",24,25,78.485,23.959,47.227,87.563,69.336,19.665,"L",28,"Class4"
"H",42,26,61.235,12.569,25.59,73.042,31.538,20.882,"L",46,"Class4"
"K",88,77,3.773,23.522,46.282,37.233,84.259,51.828,"H",39,"Class1"
"P",47,58,73.995,60.367,25.142,38.252,50.68,93.103,"H",63,"Class2"
"G",97,26,60.1,19.292,21.192,70.953,23.432,19.702,"V",68,"Class4"
"H",45,32,60.072,26.769,34.173,50.09,55.683,20.604,"K",57,"Class4"
"E",73,71,52.192,25.116,10.379,33.38,91.848,40.388,"T",57,"Class3"
"Q",85,81,4.739,21.803,49.52,36.24,83.866,59.796,"K",41,"Class1"
"G",77,68,2.177,22.815,8.803,48.392,81.661,23.818,"F",43,"Class1"
"F",91,52,36.446,20.785,8.767,31.277,72.743,27.989,"M",84,"Class3"
"G",87,53,4.729,22.616,37.218,85.023,83.984,40.344,"K",43,"Class1"
"W",38,62,71.667,60.738,50.269,40.932,54.649,94.075,"I",63,"Class2"
"T",79,46,40.656,22.159,4.642,44.385,80.635,42.944,"X",78,"Class3"
"H",63,29,82.524,25.786,50.993,60.039,16.792,20.723,"A",82,"Class4"
"X",82,48,51.959,24.156,14.457,43.147,78.83,42.232,"E",80,"Class3"
"R",88,27,68.025,20.225,14.015,74.064,57.576,20.923,"A",8,"Class4"
"J",72,31,67.442,19.544,17.632,58.723,11.766,20.794,"G",78,"Class4"
"Q",88,42,-0.393,25.918,47.464,63.501,84.547,31.713,"X",45,"Class1"
"T",80,27,5.979,40.748,34.555,48.77,83.203,42.775,"X",40,"Class1"
"K",87,62,4.958,30.462,29.575,85.784,84.975,71.84,"H",44,"Class1"
"Y",76,NA,37.583,44.92,5.55,39.815,82.452,47.748,"C",81,"Class3"
"I",81,63,3.861,26.293,16.487,39.042,81.468,34.957,"K",43,"Class1"
"K",85,73,1.433,15.04,36.012,81.417,83.414,41.961,"X",41,"Class1"
"J",62,28,69.689,10.219,49.45,71.392,56.528,19.032,"G",33,"Class4"
"D",32,56,62.427,60.739,28.393,42.763,45.9,92.219,"P",63,"Class2"
"X",62,74,49.488,17.626,20.654,36.22,89.549,61.444,"X",65,"Class3"
"K",89,25,5.691,12.073,42.842,60.83,83.63,37.673,"N",42,"Class1"
"T",83,58,2.382,19.311,51.326,37.684,85.897,24.054,"F",45,"Class1"
"H",87,25,36.333,19.37,38.924,73.328,42.126,19.546,"V",5,"Class4"
"X",92,82,54.482,22.773,11.144,31.943,70.76,48.876,"E",78,"Class3"
"G",92,43,4.27,27.105,4.033,50.932,81.712,43.545,"K",NA,"Class1"
"Y",58,51,38.653,10.3,17.415,32.702,89.499,53.245,"X",82,"Class3"
"Q",79,39,2.004,23.66,15.218,76.39,84.189,39.625,"H",43,"Class1"
"H",63,29,82.121,21.001,12.427,65.824,36.813,20.528,"A",82,"Class4"
"M",39,66,60.99,60.007,59.353,41.233,48.373,93.609,"L",59,"Class2"
