"Q1","Q2","Q3","Output16","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11"
1.455,"R",55,"Class2",45,95.269,90,39.199,"Q",0.7,53.43,91.979
8.716,"U",59,"Class2",50,93.659,32,45.9,"Q",0.485,53.604,62.961
11.965,"U",56,"Class2",35,94.242,47,41.85,"P",0.24,52.972,90.266
11.435,NA,57,"Class1",93,67.597,78,30.602,"I",15.931,23.834,10.099
7.51,"S",61,"Class2",26,90.828,59,37.385,"Y",1.861,53.505,82.627
2.047,"S",58,"Class2",54,94.682,86,53.313,"C",0.505,53.222,98.857
8.479,"X",54,"Class2",34,93.422,96,37.743,"Q",0.522,53.367,75.751
83.811,"D",51,"Class1",93,53.487,85,31.938,"Z",15.056,31.578,54.514
91.943,"K",60,"Class1",94,53.078,78,42.631,"Y",15.477,11.47,74.932
16.943,"D",55,"Class1",94,56.408,74,39.539,"O",15.204,2.871,49.922
4.686,"X",55,"Class2",45,96.034,96,45.26,"M",1.47,54.025,80.135
1.803,"S",53,"Class2",50,96.727,33,55.511,"Y",1.748,53.489,61.57
10.081,"X",58,"Class2",40,95.167,59,37.122,"M",1.742,53.165,92.074
77.305,"D",46,"Class1",94,71.841,89,40.334,"Y",15.499,20.31,25.476
79.202,"D",63,"Class1",93,66.638,91,37.02,"Y",15.908,10.135,5.269
10.847,"X",57,"Class2",31,93.888,27,67.32,"P",0.106,53.48,95.829
58.841,"N",52,"Class1",95,63.849,79,44.189,"O",15.516,22.551,75.085
56.691,"D",53,"Class1",93,49.666,98,42.182,"Y",15.759,26.23,38.557
11.673,"U",64,"Class2",30,94.937,32,54.047,"Y",1.919,52.999,47.548
47.929,"J",53,"Class1",95,74.69,75,44.582,"C",15.71,19.158,50.638
4.519,"Q",NA,"Class2",38,96.826,82,70.509,"Y",1.126,53.536,56.489
35.601,"J",NA,"Class1",94,60.13,83,62.938,"Z",15.424,19.315,24.824
6.244,"X",54,"Class2",46,93.531,92,53.641,"P",1.855,53.192,71.084
8.717,"U",57,"Class2",49,92.139,46,29.85,"M",0.638,53.542,48.936
10.702,"U",57,"Class2",29,92.237,31,44.786,"C",1.378,52.791,52.116
67.281,"D",63,"Class1",94,79.707,77,26.686,"Z",15.517,28.063,30.863
12.287,"R",64,"Class2",37,94.334,42,72.603,"Q",0.775,53.011,72.473
2.036,"Q",53,"Class2",51,98.377,68,60.257,"C",0.297,53.647,97.128
7.935,"X",63,"Class2",32,97.277,54,58.06,"P",1.087,53.116,69.594
98.139,"N",51,"Class1",95,73.577,89,42.862,"I",15.928,27.792,3.111
6.409,"S",60,"Class2",51,92.62,52,50.879,"M",1.685,53.642,87.035
64.48,"Q",59,"Class1",94,80.823,93,52.005,"I",15.204,23.753,8.538
0.935,"U",55,"Class2",35,95.158,67,47.847,"M",1.759,53.988,94.782
14.011,"N",46,"Class1",94,56.098,94,55.155,"I",15.551,22.211,39.667
22.941,NA,55,"Class1",95,55.311,84,35.588,"Z",15.121,27.964,69.911
21.403,"J",48,"Class1",95,59.211,92,40.69,"Z",15.592,30.154,42.067
11.795,"J",NA,"Class1",95,37.863,82,32.212,"I",15.288,21.894,65.326
4.327,"X",57,"Class2",40,92.61,38,39.655,"C",1.578,53.532,72.84
9.205,"S",53,"Class2",46,93.723,49,53.434,"Y",0.872,53.995,90.622
97.241,"D",45,"Class1",94,63.802,74,43.828,"O",15.75,31.401,48.66
10.487,"U",61,"Class2",36,93.392,92,46.497,"Y",1.951,53.338,45.156
54.95,"N",59,"Class1",95,50.611,90,33.969,"I",15.828,24.516,6.195
22.972,"Q",50,"Class1",94,52.622,74,46.197,"I",15.223,26.967,35.916
4.42,"U",59,"Class2",26,94.736,98,53.303,"Y",0.731,53.6,86.16
93.644,"K",54,"Class1",95,54.875,74,36.058,"C",15.436,21.733,20.594
89.546,"K",52,"Class1",93,51.33,83,37.413,"Z",15.476,24.679,73.134
4.429,"X",58,"Class2",53,88.598,43,41.081,"P",1.903,53.281,89.533
94.396,"K",51,"Class1",93,59.731,88,41.729,"O",15.496,15.663,67.446
66.123,"J",49,"Class1",93,69.261,74,56.94,"C",15.087,25.399,34.103
10.705,"U",63,"Class2",33,89.84,48,41.234,"P",0.956,53.61,93.521
7.584,"U",58,"Class2",23,97.619,98,53.555,"Q",0.828,53.049,50.928
57.646,"K",49,"Class1",93,64.267,77,37.582,"Z",15.436,26.929,28.906
69.168,"Q",58,"Class1",93,61.757,93,45.169,"I",15.775,23.336,32.507
72.166,NA,56,"Class1",94,67.367,76,30.564,"Z",15.863,15.036,72.188
39.115,"J",48,"Class1",95,48.524,83,32.583,"Y",15.26,23.637,8.398
3.734,"S",NA,"Class2",50,93.679,90,62.604,"M",0.335,53.089,95.143
8.552,"U",57,"Class2",54,92.287,76,40.906,"P",0.447,53.617,96.015
49.549,"N",54,"Class1",95,60.565,90,33.782,"Y",15.751,22.79,37.857
37.978,"N",59,"Class1",94,60.816,83,32.745,"I",15.276,17.69,9.105
49.911,"N",55,"Class1",94,69.563,91,43.637,"Z",15.714,9.345,20.142
64.672,"J",56,"Class1",95,71.758,79,39.822,"Y",15.389,45.767,36.174
8.293,"Q",56,"Class2",30,93.806,53,44.371,"Y",0.99,53.554,66.812
26.776,"N",56,"Class1",93,54.344,77,57.811,"Z",15.1,31.146,63.047
11.389,"R",62,"Class2",40,93.788,46,60.12,"Y",0.843,53.589,42.941
7.517,"X",64,"Class2",49,94.083,77,28.841,"P",1.654,53.416,87.703
12.442,"X",61,"Class2",44,94.09,98,57.895,"Y",0.598,53.741,46.926
48.96,"Q",52,"Class1",94,57.582,73,34.436,"Y",15.764,26.719,11.48
46.504,"D",61,"Class1",95,36.791,98,53.364,"I",15.245,41.195,19.182
5.208,"Q",61,"Class2",41,94.382,82,57.426,"P",1.016,54.02,62.979
10.273,"R",59,"Class2",22,97.722,64,45.662,"C",1.514,53.821,69.46
98.382,"Q",NA,"Class1",94,56.5,73,37.386,"Z",15.689,15.819,35.871
87.387,"D",52,"Class1",93,67.323,80,38.296,"O",15.795,34.212,74.891
76.078,"N",55,"Class1",95,66.594,90,17.378,"C",15.138,43.766,38.548
9.915,"Q",57,"Class2",48,97.523,90,30.414,"P",1.993,53.619,79.744
13.946,NA,60,"Class2",51,94.626,81,57.731,"C",0.798,52.993,58.811
8.156,"U",64,"Class2",43,94.274,52,56.154,"Q",0.135,53.472,54.644
13.521,"S",56,"Class2",49,93.296,90,57.404,"Q",1.767,53.583,69.142
70.937,"J",62,"Class1",94,52.853,78,48.969,"O",15.337,18.196,67.979
32.013,"J",46,"Class1",95,60.08,77,36.895,"O",15.113,30.239,36.973
80.27,"Q",45,"Class1",95,49.624,77,33.637,"C",15.941,27.383,74.657
9.292,"S",61,"Class2",43,96.689,58,41.999,"P",0.248,53.741,61.375
8.447,"S",61,"Class2",42,95.187,64,52.076,"P",0.565,53.156,49.34
81.569,"N",NA,"Class1",95,55.003,95,38.564,"C",15.391,43.114,14.169
30.549,"N",49,"Class1",94,75.747,94,35.812,"I",15.36,30.882,16.373
8.276,"R",64,"Class2",45,94.875,41,50.71,"Y",0.511,53.937,55.864
39.673,"N",53,"Class1",94,48.561,92,43.328,"Z",15.639,8.964,75.766
34.22,"K",55,"Class1",95,58.954,74,45.616,"I",15.414,19.574,12.875
11.019,"X",60,"Class2",31,90.601,85,51.589,"P",1.025,53.818,74.91
