"N1","N2","N3","N4","N5","N6","N7","N8","N9","Output13","N10","N11"
51.983,81.068,52,69.059,"O",20,75.5,67.127,"G","Class2",59,73.317
28.841,62.978,48,14.208,"X",77,88.589,67.575,"V","Class1",75,19.731
31.783,51.112,56,7.096,"W",71,84.9,64.144,"A","Class1",75,14.116
37.428,53.213,51,2.366,"X",74,85.437,88.342,"G","Class1",72,68.84
30.98,56.845,56,14.622,"R",85,78.241,27.398,"V","Class1",75,26.119
52.964,88.496,59,73.153,"N",16,75.573,74.52,"G","Class2",92,59.724
4.758,52.799,51,NA,"X",76,82.549,45.428,"V","Class1",76,53.844
48.113,64.376,59,19.784,"X",92,74.372,63.617,"V","Class1",74,53.322
44.564,84.453,37,71.187,"R",17,75.732,88.408,"O","Class2",26,80.626
47.803,52.284,65,75.714,"O",24,75.853,76.351,"E","Class2",40,64.468
53.599,67.677,42,70.696,"R",21,75.55,79.151,"B","Class2",61,67.775
61.231,46.157,49,5.914,"J",88,76.067,68.85,"A","Class1",72,28.457
46.038,44.005,35,72.2,NA,25,75.115,86.565,"E","Class2",39,55.442
59.48,74.746,71,71.389,"M",17,75.937,78.62,"B","Class2",73,70.493
25.916,66.573,51,13.812,"R",77,90.704,15.165,"A","Class1",72,30.852
49.245,59.357,51,4.474,"U",93,80.043,36.245,"Q","Class1",73,32.315
53.195,51.123,43,72.735,"N",16,75.207,75.218,"O","Class2",61,67.558
53.926,54.65,54,5.165,"W",78,91.567,76.874,"A","Class1",78,43.581
54.338,67.828,54,3.128,"X",84,72.866,78.285,"V","Class1",77,31.876
52.872,52.851,65,72.073,"N",19,75.982,83.883,"B","Class2",86,57.414
51.794,44.629,54,0.487,NA,83,73.168,69.271,"V","Class1",76,29.554
52.043,85.345,56,71.354,"O",22,75.972,68.827,"C","Class2",93,81.955
46.731,87.884,40,70.95,NA,21,75.314,80.095,"E","Class2",73,67.462
42.161,59.708,57,12.75,"R",77,75.323,68.906,"Z","Class1",72,82.13
34.805,51.161,56,14.635,"W",74,85.684,76.952,"A","Class1",74,42.432
55.44,55.521,41,68.366,"O",22,75.987,88.041,"E","Class2",65,67.763
45.38,80.02,63,67.484,"M",19,75.58,69.818,"C","Class2",40,71.735
47.899,90.179,51,71.417,"J",21,75.141,82.887,"B","Class2",46,68.732
41.048,65.357,54,67.515,"J",21,75.909,66.963,"O","Class2",21,73.9
19.226,63.807,58,7.985,"X",77,80.328,8.18,"A","Class1",75,27.042
48.652,48.785,56,16.033,"U",94,75.46,36.109,"V","Class1",75,58.214
45.446,51.752,49,11.06,"W",86,77.108,23.682,"Q","Class1",77,26.12
60.558,57.787,54,9.338,"J",74,84.481,76.4,"A","Class1",73,63.017
46.027,52.42,67,71.996,"N",21,75.767,71.469,"C","Class2",18,51.615
27.855,67.433,48,7.583,"J",88,75.045,79.04,"Z","Class1",74,75.705
42.8,61.296,58,-4.328,"X",71,86.704,30.894,"Q","Class1",78,47.7
49.475,66.299,52,14.068,"W",82,91.815,21.78,"A","Class1",75,-0.771
55.26,79.117,38,70.031,"J",16,75.229,86.837,"G","Class2",23,71.624
44.892,53.589,55,1.763,"X",69,86.092,21.124,"Z","Class1",75,22.611
52.036,67.658,53,19.52,"X",69,76.711,76.927,"A","Class1",78,40.409
51.325,91.443,53,71.843,"R",16,75.836,67.147,"G","Class2",38,66.624
30.801,73.263,49,8.331,"W",95,75.645,29.498,"A","Class1",74,55.558
51.686,71.465,67,71.405,"N",22,75.029,75.027,"O","Class2",47,74.677
40.562,51.777,47,70.995,"N",17,75.006,67.347,"G","Class2",62,76.381
47.119,49.559,45,72.531,"N",22,75.774,66.968,"E","Class2",66,77.667
44.989,58.975,47,70.685,"R",21,75.72,87.967,"O","Class2",45,76.627
44.141,50.591,54,-2.46,"W",70,88.021,38.564,"Z","Class1",77,23.65
46.985,78.229,68,71.031,"J",18,75.187,68.561,"E","Class2",75,68.675
52.824,75.901,46,68.132,"O",22,75.723,66.464,"B","Class2",85,73.055
43.573,86.745,62,72.737,"O",25,75.352,77.683,"C","Class2",83,69.507
44.238,60.244,56,67.246,"R",23,75.676,85.675,"O","Class2",34,68.599
64.515,70.976,53,12.22,"J",85,88.674,65.258,"V","Class1",73,54.311
47.944,54.173,42,72.243,"J",23,75.378,82.637,"O","Class2",85,74.139
34.613,74.199,48,6.674,"W",86,91.417,75.927,"Q","Class1",77,78.102
52.229,48.788,35,70.975,"M",25,75.308,89.715,"C","Class2",22,71.918
73.527,61.869,52,-1.576,"R",75,73.049,50.104,"Q","Class1",77,27.956
49.441,74.75,63,73.033,"N",19,75.055,66.616,"O","Class2",37,62.763
69.329,50.669,57,-3.69,"U",77,84.556,72.991,"Z","Class1",78,3.931
42.404,67.439,71,72.667,"M",17,75.964,68.459,"B","Class2",45,70.365
51.737,48.451,56,71.149,"O",17,75.717,84.375,"G","Class2",26,79.41
37.585,56.848,55,11.406,"U",70,74.165,44.263,"V","Class1",78,43.277
27.577,71.706,54,16.116,"X",91,78.368,44.676,"A","Class1",74,57.879
47.278,56.991,63,NA,NA,21,75.5,86.18,"E","Class2",79,66.841
46.155,46.641,71,69.69,"J",23,75.715,89.106,"C","Class2",32,70.779
45.987,61.565,52,68.83,"R",16,75.192,79.556,"C","Class2",91,78.677
49.772,65.002,38,72.141,NA,25,75.817,86.877,"B","Class2",81,68.879
54.241,57.619,45,72.224,"J",18,75.275,85.226,"B","Class2",52,62.159
56.619,56.456,61,70.312,"R",18,75.888,88.63,"C","Class2",26,69.72
48.901,50.937,62,72.892,"O",17,75.544,75.803,"E","Class2",49,71.276
40.319,46.198,59,11.847,"R",78,79.45,47.843,"Q","Class1",77,78.735
33.7,43.818,49,9.516,NA,89,84.613,89.135,"Z","Class1",74,48.091
14.331,47.951,58,1.58,"W",76,78.827,62.449,"A","Class1",75,49.446
47.493,89.07,46,70.445,"R",22,75.326,88.437,"C","Class2",17,62.202
55.437,68.228,36,72.819,"M",24,75.197,74.788,"C","Class2",92,71.182
28.915,48.745,48,7.915,NA,78,73.466,87.121,"V","Class1",73,75.425
49.937,49.142,58,70.821,"R",22,75.572,85.776,"C","Class2",33,78.33
51.894,50.884,63,72.803,"O",24,75.964,81.44,"G","Class2",40,75.288
22.383,64.164,50,21.744,"U",76,81.346,45.171,"Q","Class1",78,38.127
51.025,90.266,42,72.469,"O",25,75.355,84.953,"E","Class2",19,66.76
54.137,56.143,57,72.815,"N",20,75.648,89.655,"G","Class2",61,85.453
52.705,86.163,55,69.316,"M",24,75.507,67.684,"B","Class2",20,62.919
57.935,46.731,53,9.227,"W",91,72.885,92.703,"Z","Class1",78,30.208
