"P1","P2","P3","Output15","P4","P5","P6","P7","P8","P9","P10","P11"
85.809,"S",48.341,"Class2",54,64.339,23.435,88,38.389,"U",25.794,79
53.796,"S",56.435,"Class2",59,71.335,20.507,90,44.597,"J",47.637,76
68.113,"B",47.118,"Class2",73,62.45,27.106,66,40.628,"Z",55.168,79
90.805,"C",66.087,"Class4",53,62.154,79.488,20,72.624,"Z",41.213,50
48.29,"M",56.562,"Class2",67,58.798,11.205,91,34.744,"U",35.659,75
35.139,"Z",54.289,"Class1",9,7.122,39.052,89,43.003,"X",63.546,22
72.739,"K",68.666,"Class4",80,52.2,76.373,15,72.129,"U",41.304,31
44.21,"F",8.11,"Class3",72,53.434,33.799,70,87.768,"F",6.438,14
60.514,"C",82.875,"Class4",44,57.359,76.773,16,72.64,"U",52.506,56
34.372,"R",15.384,"Class3",78,61.531,47.544,76,90.038,"D",20.374,48
2.841,"R",29.894,"Class3",77,85.824,45.182,80,79.412,"N",43.433,37
28.695,"F",21.563,"Class3",77,78.275,45.308,74,85.355,"N",12.064,29
43.274,"V",24.486,"Class3",73,61.482,34.488,79,95.246,"F",48.271,25
16.96,"Y",20.872,"Class3",80,47.746,45.107,77,83.174,"D",11.09,47
66.553,"U",46.893,"Class1",44,8.046,39.786,78,24.504,"X",46.994,30
56.331,"R",48.354,"Class1",7,7.75,31.686,52,13.27,"J",53.687,14
28.935,"U",62.011,"Class4",19,52.043,81.697,19,72.17,"T",52.31,34
62.806,"O",53.052,"Class1",41,7.647,34.22,45,12.986,"L",54.545,24
92.48,"C",104.98,"Class4",9,56.736,77.088,17,72.985,"J",57.466,46
25.654,"R",12.59,"Class3",79,75.114,41.947,77,88.292,"N",13.01,27
81.714,"C",NA,"Class4",85,58.379,78.376,18,72.626,"J",55.762,67
81.209,"S",53.696,"Class2",59,73.206,12.328,92,42.986,"U",32.353,75
66.676,"Z",66.706,"Class4",56,61.719,76.778,17,72.276,"T",46.976,45
71.104,"Z",52.124,"Class1",45,7.252,41.653,67,37.857,"J",57.217,17
70.383,"M",52.841,"Class2",52,71.201,28.692,88,40.647,"P",18.181,81
30.744,"S",11.95,"Class3",69,56.16,31.776,68,80.737,"C",51.225,37
64.652,"B",59.798,"Class2",66,59.106,12.168,79,43.016,"J",39.991,79
38.57,"R",55.45,"Class1",49,7.976,34.926,84,20.952,"S",54.872,25
4.315,"Z",49.983,"Class1",10,7.919,33.558,60,28.398,"S",45.741,14
