"X1","X2","X3","X4","X5","X6","X7","X8","X9","Output23","X10","X11"
62,"Q",50.574,53,84.54,40.612,72.083,84.48,"H","Class2",30.656,69
63,"S",77.874,82,83.888,42.38,51.69,93.045,"M","Class2",67.306,60
57,"Q",65.642,27,66.454,38.54,72.794,80.79,"B","Class2",112.239,52
57,"D",46.603,45,82.65,28.866,51.587,97.122,"Q","Class2",99.924,43
66,"B",65.153,62,18.31,85.306,67.512,78.97,"R","Class1",83.618,84
56,"Q",66.084,59,18.743,86.265,82.591,73.879,"O","Class1",67.638,89
NA,"Q",53.165,59,18.977,95.309,74.103,83.538,"F","Class1",69.651,88
59,"B",60.175,38,18.95,96.521,64.299,60.078,"K","Class1",64.6,81
65,"L",69.576,43,76.032,18.777,45.93,83.607,"M","Class2",47.052,41
67,"B",70.419,45,65.722,64.373,60.788,87.477,"M","Class2",79.975,65
60,"N",69.864,70,18.394,94.45,61.053,85.776,"R","Class1",63.772,79
65,"B",58.118,63,75.422,50.685,57.889,94.093,"Q","Class2",41.169,39
56,"N",59.184,56,18.032,93.34,56.629,65.452,"K","Class1",66.992,82
57,"N",69.502,71,17.451,82.4,58.618,76.023,"F","Class1",60.178,90
61,"B",42.929,22,83.466,49.89,55.732,78.192,"U","Class2",60.522,73
66,"Q",57.761,53,75.893,57.436,44.643,75.27,"Q","Class2",67.911,48
51,"B",44.983,53,17.684,84.979,56.777,83.23,"D","Class1",50.227,88
59,"Q",50.817,44,68.966,48.274,52.722,76.554,"Q","Class2",25.881,45
57,"Q",22.357,58,68.707,23.313,66.342,75.995,"U","Class2",70.078,40
63,"D",74.957,52,72.746,38.102,54.274,77.577,"H","Class2",62.615,44
55,"J",65.294,73,17.848,97.849,53.618,69.018,"D","Class1",83.382,83
56,"D",21.338,89,75.709,29.235,56.275,95.556,"U","Class2",97.517,60
54,"N",68.784,62,17.76,90.016,79.503,70.978,"F","Class1",74.958,80
72,"B",50.653,55,18.297,88.723,78.135,68.649,"D","Class1",55.788,83
65,"L",70.198,74,87.609,29.605,30.054,81.045,"M","Class2",98.083,40
58,"S",50.71,68,84.429,29.332,79.447,92.664,"H","Class2",108.031,69
60,"S",37.665,15,70.387,31.217,57.196,82.354,"M","Class2",87.082,71
