"R1","R2","R3","R4","Output17","R5","R6","R7","R8","R9","R10","R11"
52.647,48,58,"S","Class3",60.366,74.969,60.744,52.858,"A",60,70.577
55.007,22,91,"I","Class1",66.757,49.526,94.569,60.203,"Y",35,98.779
40.704,12,89,"Z","Class1",80.072,48.981,87.041,57.101,"S",78,84.364
42.446,75,33,"X","Class2",85.707,57.726,56.368,15.166,"F",62,44.764
37.614,94,60,"Z","Class3",39.038,64.932,59.401,61.461,"L",59,21.116
58.939,92,56,"S","Class3",11.567,75.921,69.209,55.982,"S",63,41.568
42.451,60,36,"B","Class2",43.62,57.075,55.108,19.767,"F",64,47.984
49.322,39,87,"K","Class1",84.411,48.984,87.817,57.984,"E",81,95.422
39.069,48,60,"G","Class3",27.706,85.975,65.125,45.953,"S",52,48.577
42.479,50,29,"M","Class2",31.627,57.519,41.529,20.896,"C",56,50.771
44.902,49,55,"V","Class3",10.235,72.029,58.057,44.537,"L",NA,17.993
35.267,68,61,"G","Class3",9.973,75.125,63.898,63.354,"L",57,64.648
38.966,30,87,"W","Class1",82.35,49.471,85.781,58.253,"A",44,91.316
42.93,35,43,"X","Class2",65.182,NA,74.875,20.824,"W",39,58.795
42.897,44,30,"B","Class2",45.91,58.716,21.634,89.529,"C",53,55.636
59.96,46,56,"Z","Class3",48.935,66.125,58.817,54.347,"L",63,86.526
95.201,94,59,"Z","Class3",59.494,81.817,67.423,52.544,"O",62,4.377
66.335,20,87,"W","Class1",84.846,49.766,94.656,58.115,"S",81,94.441
42.877,54,42,"S","Class2",41.239,58.079,74.506,30.608,"F",55,51.464
42.065,65,43,"B","Class2",62.984,56.961,32.354,37.399,"B",55,56.186
42.474,34,34,"L","Class2",46.886,57.307,54.914,80.137,"F",47,58.627
83.26,51,58,"G","Class3",69.863,66.532,58.34,45.428,"O",53,81.701
59.043,20,90,"P","Class1",83.575,49.502,89.206,58.019,"S",30,96.78
57.66,84,60,"B","Class3",72.928,66.535,67.755,50.24,"O",58,100.354
70.321,32,61,"G","Class3",60.731,64.573,67.276,41.883,"A",61,78.677
42.065,52,34,"B","Class2",59.377,58.292,21.037,39.317,"W",39,51.898
41.563,58,61,"Z","Class3",11.6,69.017,69.958,48.088,"O",63,3.701
42.163,41,37,"X","Class2",43.637,56.982,46.031,19.755,"W",32,57.055
40.603,91,60,"G","Class3",52.748,63.28,61.597,51.405,"O",62,45.841
42.423,58,32,"S","Class2",62.21,59.366,56.593,10.69,"I",63,54.68
42.612,72,44,"B","Class2",59.863,58.164,73.426,27.933,"I",31,51.83
21.742,7,89,"Z","Class1",62.84,49.259,77.499,59.175,"E",64,96.448
54.561,79,58,"V","Class3",25.968,74.773,60.346,39.577,"A",59,80.444
26.154,25,86,"W","Class1",70.591,49.518,81.587,59.45,"A",NA,85.483
27.397,17,91,"Z","Class1",60.264,48.794,93.152,60.108,"Y",23,92.664
42.973,65,36,"M","Class2",47.09,58.775,74.291,10.488,"B",79,51.802
33.409,83,59,"V","Class3",79.444,55.844,66.81,48.857,"N",61,48.575
48.506,42,86,"I","Class1",80.991,49.087,82.323,57.789,"Y",64,94.011
39.792,79,56,"G","Class3",36.871,65.636,59.652,60.208,"N",57,58.727
41.435,23,85,"Z","Class1",84.606,49.373,81.046,59.941,"Q",79,90.79
42.497,34,42,"L","Class2",23.858,57.819,50.189,28.093,"W",27,59.403
20.558,38,87,"K","Class1",74.878,NA,86.17,59.427,"A",42,90.671
40.115,93,59,"V","Class3",79.668,58.067,65.185,59.848,"L",58,44.517
17.153,28,90,"K","Class1",70.982,48.923,95.451,59.162,"A",NA,89.604
54.184,47,61,"Z","Class3",55.549,76.254,66.943,52.004,"O",51,18.784
56.593,78,57,"V","Class3",24.407,71.672,62.061,41.681,"S",52,34.877
62.072,46,55,"S","Class3",61.609,77.868,62.23,53.015,"O",52,20.195
42.643,68,41,"M","Class2",67.217,57.329,76.677,40.853,"I",55,56.929
42.594,75,42,"L","Class2",40.748,58.19,25.007,14.437,"I",40,55.498
41.073,96,56,"S","Class3",30.393,78.375,66.469,43.012,"S",59,82.512
6.516,33,91,"Z","Class1",78.756,49.875,83.69,58.237,"Y",26,86.258
42.944,70,33,"M","Class2",63.73,58.424,20.164,28.931,"I",NA,50.421
42.617,73,30,"M","Class2",32.62,57.763,45.399,54.844,"F",32,51.222
81.533,13,91,"Z","Class1",67.716,49.414,92.636,59.294,"S",60,98.466
28.195,46,56,"V","Class3",9.199,72.225,61.024,45.61,"S",62,61.233
42.268,49,29,"L","Class2",67.362,56.732,34.748,56.726,"C",40,62.569
75.276,29,85,"W","Class1",67.616,49.151,80.624,58.401,"Q",30,95.628
28.264,16,85,"I","Class1",71.947,49.143,88.505,57.282,"E",44,90.179
59.077,14,89,"K","Class1",64.456,49.526,89.225,58.998,"S",21,88.604
69.621,34,87,"W","Class1",68.278,49.121,93.557,58.727,"Q",48,90.038
42.072,75,38,"X","Class2",58.831,57.635,49.908,61.249,"C",27,57.008
41.819,58,41,"L","Class2",53.991,59.209,75.815,70.351,"C",46,55.992
66.08,29,90,"W","Class1",74.105,49.644,84.503,58.497,"S",39,97.765
67.863,86,59,"Z","Class3",19.565,73.168,59.378,43.136,"L",58,37.617
26.63,30,89,"K","Class1",77.228,49.39,96.251,59.597,"Y",39,93.224
42.555,49,40,"X","Class2",19.236,57.119,23.705,59.485,"B",45,49.094
38.239,44,61,"G","Class3",14.969,NA,66.066,41.465,"N",61,67.003
39.222,58,58,"B","Class3",59.574,80.673,65.575,47.746,"L",51,59.54
65.616,17,89,"Z","Class1",88.934,49.636,80.71,60.402,"E",32,96.542
47.605,82,55,"G","Class3",3.825,63.251,64.998,55.698,"O",58,50.709
36.158,54,60,"G","Class3",5.29,71.61,61.202,48.102,"S",60,21.383
42.375,69,31,"L","Class2",82.221,58.102,18.032,62.019,"C",39,56.804
35.81,61,61,"G","Class3",77.78,74.036,63.939,43.948,"O",62,71.12
50.519,32,58,"S","Class3",11.187,59.468,64.468,49.65,"O",52,27.603
68.24,63,59,"Z","Class3",60.774,62.597,68.942,62.596,"A",52,61.399
42.392,85,55,"Z","Class3",22.182,63.946,69.866,63.02,"A",60,22.946
42.906,63,40,"L","Class2",22.26,58.265,75.24,44.598,"C",68,58.963
42.924,35,33,"B","Class2",23.283,58.548,57.835,66.753,"B",63,54.005
68.08,89,61,"V","Class3",35.696,63.155,68.912,62.557,"A",61,42.367
42.64,51,34,"S","Class2",73.836,57.93,67.349,69.778,"F",32,55.524
44.025,19,91,"P","Class1",88.29,49.604,80.206,60.679,"S",36,87.173
42.828,51,42,"L","Class2",84.504,57.928,51.874,68.29,"C",71,51.595
36.776,79,61,"Z","Class3",15.626,81.871,64.6,38.729,"L",54,53.017
50.122,16,86,"I","Class1",66.2,49.512,84.101,58.031,"A",72,94.633
41.925,38,44,"L","Class2",44.843,57.17,49.838,15.937,"C",36,60.893
56.737,25,91,"K","Class1",58.018,49.262,74.679,59.426,"S",81,94.084
82.883,21,90,"K","Class1",87.753,49.465,86.533,58.015,"A",35,93.839
42.408,34,37,"L","Class2",32.226,58.121,18.281,67.925,"F",40,57.363
42.613,38,31,"L","Class2",29.734,57.655,43.019,14.455,"I",29,58.128
42.136,46,44,"X","Class2",28.436,58.924,23.034,36.102,"I",34,56.019
23.197,31,59,"G","Class3",19.022,69.883,57.835,45.896,"S",51,97.393
29.515,75,61,"Z","Class3",15.546,NA,65.178,52.093,"O",58,67.406
23.526,67,61,"B","Class3",65.292,84.564,71.734,49.068,"L",59,39.139
48.068,42,87,"W","Class1",78.968,49.497,87.507,60.856,"E",37,88.133
61.099,23,90,"P","Class1",63.18,49.209,90.802,58.341,"Q",29,90.426
66.176,43,56,"S","Class3",36.916,69.21,63.065,50.856,"L",51,61.018
48.286,32,56,"G","Class3",22.409,54.133,59.256,42.409,"S",60,81.109
58.026,66,59,"V","Class3",23.911,51.883,65.673,51.862,"A",51,48.767
22.418,70,58,"Z","Class3",64.874,65.998,67.802,59.271,"N",52,15.371
47.437,66,57,"B","Class3",15.205,69.422,69.38,38.456,"A",62,82.531
27.094,39,59,"G","Class3",45.619,59.941,66.768,57.2,"S",57,41.616
-0.002,30,90,"P","Class1",64.078,49.855,93.183,60.516,"Y",29,87.7
42.848,58,34,"B","Class2",28.929,58.015,70.342,46.189,"W",23,49.9
42.699,48,38,"B","Class2",22.769,58.284,41.074,38.283,"C",74,46.714
74.374,91,61,"S","Class3",15.003,62.693,62.478,60.746,"L",63,30.85
40.204,61,55,"Z","Class3",41.729,76.013,68.756,64.88,"S",60,63.654
11.331,23,89,"I","Class1",80.772,50.096,75.154,58.465,"Y",68,88.354
53.146,29,87,"K","Class1",81.612,49.149,74.984,58.44,"Y",21,86.883
48.575,37,85,"Z","Class1",83.767,49.536,92.929,58.294,"Q",75,88.126
36.089,57,60,"V","Class3",66.009,66.865,70.822,45.643,"N",56,57.774
51.422,37,87,"P","Class1",63.622,49.382,90.639,57.6,"S",75,90.671
68.696,93,60,"B","Class3",79.587,75.343,68.474,65.783,"A",59,57.351
42.613,34,43,"S","Class2",80.343,57.87,23.528,28.195,"F",75,58.047
42.093,58,41,"X","Class2",70.625,58.096,34.118,10.225,"W",52,55.022
42.458,60,37,"M","Class2",22.661,NA,61.521,36.35,"C",NA,53.816
42.604,76,43,"X","Class2",28.645,58.103,31.391,64.505,"B",74,50.535
64.546,41,90,"K","Class1",73.86,49.387,80.772,58.096,"E",74,95.445
68.329,30,59,"Z","Class3",63.506,61.89,64.262,51.708,"A",63,55.947
45.974,91,60,"B","Class3",19.916,58.628,57.309,49.437,"O",58,34.459
63.052,55,57,"S","Class3",33.098,67.068,64.449,65.269,"S",52,67.556
42.971,43,43,"S","Class2",73.979,56.869,50.49,88.94,"B",46,56.238
23.118,89,55,"G","Class3",49.411,70.781,63.885,52.925,"N",61,18.226
68.599,67,56,"Z","Class3",50.95,69.734,67.845,63.371,"O",56,55.145
42.208,35,39,"B","Class2",65.837,58.075,25.096,65.447,"B",50,54.112
64.372,52,56,"Z","Class3",22.47,78.337,67.668,46.328,"L",57,34.433
42.717,69,31,"S","Class2",43.318,57.692,63.016,73.962,"I",71,39.557
42.75,33,32,"X","Class2",33.905,57.112,63.237,27.978,"C",67,59.145
19.688,76,55,"Z","Class3",72.187,65.037,63.227,44.266,"A",57,37.496
45.851,82,59,"V","Class3",21.163,67.001,59.471,62.802,"S",63,48.362
42.62,51,34,"X","Class2",46.313,58.174,43.457,12.37,"W",49,50.399
49.916,23,87,"K","Class1",85.318,50.126,86.44,58.804,"Q",37,90.333
7.039,14,90,"W","Class1",78.889,49.691,88.274,59.265,"A",74,94.958
141.162,21,89,"W","Class1",67.572,49.318,79.443,59.889,"S",60,84.443
42.185,50,39,"S","Class2",33.218,57.993,39.381,59.264,"F",45,56.09
42.625,63,39,"B","Class2",31.361,56.998,27.756,59.522,"F",78,54.535
73.638,66,56,"G","Class3",80.993,68.857,64.357,41.063,"L",58,78.7
42.416,71,32,"S","Class2",21.525,57.887,39.908,78.42,"I",39,52.842
48.632,28,59,"B","Class3",65.814,65.779,64.366,55.167,"O",53,127.82
42.61,34,32,"L","Class2",66.465,NA,34.918,22.085,"C",60,57.812
42.584,36,40,"S","Class2",79.429,58.005,21.244,74.205,"C",29,57.415
43.307,44,61,"S","Class3",31.971,77.813,65.549,65.569,"S",54,60.497
69.049,10,87,"K","Class1",85.92,49.709,83.743,59.349,"S",22,105.266
43.013,40,39,"L","Class2",81.757,58.691,32.839,65.893,"W",78,58.305
42.825,63,36,"L","Class2",42.198,58.294,45.452,37.14,"I",79,59.407
42.776,65,32,"S","Class2",41.3,58.289,69.214,42.611,"B",36,60.031
23.21,34,56,"V","Class3",25.016,88.81,67.221,44.851,"L",NA,42.989
42.274,74,36,"X","Class2",20.211,57.296,76.247,9.127,"C",25,50.374
108.027,42,55,"V","Class3",15.354,64.934,68.487,49.538,"A",51,62.062
41.887,36,33,"M","Class2",17.76,58.284,67.947,82.64,"C",26,45.034
87.639,24,89,"P","Class1",60.962,50.067,90.73,60.195,"A",76,99.115
21.704,29,90,"Z","Class1",83.738,49.126,94.544,57.87,"Y",35,93.994
23.352,61,55,"B","Class3",48.871,60.983,64.27,61.525,"N",57,73.957
46.022,85,56,"G","Class3",26.122,NA,63.944,49.334,"A",51,41.075
42.639,65,32,"B","Class2",75.976,57.508,61.152,36.052,"B",67,52.787
42.41,63,37,"M","Class2",77.207,57.771,21.752,65.568,"I",NA,56.471
48.295,8,88,"K","Class1",71.753,48.891,90.326,58.59,"Y",74,94.173
35.721,84,55,"Z","Class3",12.856,72.589,60.793,62.6,"S",63,70.783
34.162,28,59,"V","Class3",24.921,62.207,62.628,63.826,"S",57,84.564
37.406,95,60,"Z","Class3",63.766,57.247,69.92,44.975,"A",52,47.404
55.171,70,59,"S","Class3",5.271,NA,62.579,50.856,"A",53,44.313
42.691,68,40,"X","Class2",61.744,57.932,21.664,65.307,"I",48,55.021
59.153,51,56,"Z","Class3",63.356,74.239,66.37,57.751,"L",59,3.395
35.659,64,55,"G","Class3",25.119,76.212,60.389,47.018,"O",52,84.554
70.487,78,57,"B","Class3",67.801,66.792,68.407,41.31,"O",61,57.897
29.828,92,56,"Z","Class3",8.123,69.292,60.769,39.64,"A",61,25.837
42.348,57,40,"X","Class2",16.828,57.821,46.475,89.731,"F",34,51.173
41.944,41,32,"L","Class2",57.822,59.287,65.248,87.34,"C",72,52.55
42.843,55,31,"L","Class2",50.823,58.161,68.942,52.092,"B",26,53.82
42.799,43,31,"B","Class2",24.795,58.218,25.466,76.63,"F",62,52.865
42.374,39,43,"S","Class2",61.798,58.086,30.52,68.062,"F",30,58.331
66.433,9,91,"P","Class1",62.587,49.657,79.472,57.037,"E",65,89.136
42.734,68,37,"M","Class2",43.745,57.424,36.105,6.031,"C",30,53.6
42.771,73,41,"L","Class2",74.187,56.316,19.326,71.927,"W",31,53.8
60.724,86,61,"G","Class3",21.258,66.658,68.051,62.221,"S",62,51.148
47.703,63,59,"B","Class3",74.853,NA,57.594,57.448,"O",60,36.774
