"G1","G2","G3","G4","Output6","G5","G6","G7","G8","G9","G10","G11"
95,62.304,"B",65,"Class3",77.127,53.094,91.46,71.116,61,"R",96.722
30,92.572,"X",41,"Class1",34.722,84.868,41.89,87.553,22,"N",17.025
43,86.556,"N",35,"Class1",85.25,88.85,48.274,86.741,24,"G",13.481
95,40.861,"B",28,"Class3",21.613,44.851,87.136,47.42,73,"Z",28.669
59,14.925,"V",77,"Class4",60.446,31.017,53.88,5.831,35,"K",54.885
38,85.403,"D",41,"Class1",75.431,94.684,34.01,82.091,26,"R",19.065
61,43.448,"V",73,"Class2",74.351,46.352,85.247,50.326,73,"H",67.958
59,64.911,"C",73,"Class2",79.515,44.875,84.923,17.518,76,"F",6.601
18,52.282,"D",31,"Class1",57.864,90.56,72.46,81.229,28,"G",17.024
45,44.13,"N",72,"Class2",36.473,46.242,83.889,49.539,77,"H",50.321
38,84.118,"X",42,"Class1",51.707,92.847,58.932,86.186,20,"P",16.028
14,48.134,"X",73,"Class2",33.899,47.648,86.114,19.465,71,"G",47.935
NA,24.99,"P",61,"Class4",52.22,7.046,61.931,5.534,34,"K",79.269
96,41.159,"Q",55,"Class3",37.503,45.455,87.915,48.699,6,"S",76.662
37,60.943,"I",43,"Class1",72.375,89.37,53.885,92.123,17,"G",8.986
94,67.573,"G",42,"Class3",24.695,49.296,84.285,45.753,75,"S",69.871
27,74.002,"I",42,"Class1",48.548,89.569,49.742,84.836,13,"P",7.025
94,16.762,"L",55,"Class3",24.163,-2.586,86.965,21.969,23,"R",65.104
75,3.023,"S",63,"Class4",57.045,18.155,56.527,5.65,34,"Y",67.462
NA,26.926,"G",72,"Class4",54.672,23.63,77.264,5.097,34,"K",73.945
84,12.79,"V",69,"Class4",54.941,61.072,44.047,5.931,33,"K",81.881
52,69.485,"U",33,"Class1",39.6,94.676,59.597,83.596,11,"B",9.407
95,35.237,"K",55,"Class3",78.652,42.699,83.039,73.43,49,"P",17.435
88,NA,"C",72,"Class2",72.052,46.534,86.838,10.467,72,"G",37.035
9,48.346,"N",42,"Class1",73.841,88.67,55.585,86.369,27,"R",29.298
41,47.785,"C",73,"Class2",78.114,45.504,86.513,11.441,77,"G",45.768
94,NA,"G",61,"Class3",74.657,39.22,86.312,48.241,53,"R",76.852
28,62.935,"U",72,"Class2",61.951,44.642,87.349,47.779,72,"H",57.508
47,86.976,"X",34,"Class1",59.619,95.87,66.601,89.727,19,"B",12.476
66,26.72,"P",82,"Class4",59.474,12.296,61.627,5.148,35,"Y",74.073
16,86.187,"N",42,"Class1",64.323,89.95,38.958,88.923,19,"P",7.662
56,NA,"V",72,"Class4",48.575,48.305,58.391,5.995,33,"P",64.289
94,35.68,"L",53,"Class3",54.026,-3.046,82.874,69.183,43,"Z",23.153
22,90.746,"N",43,"Class1",43.236,91.288,47.632,91.24,19,"G",12.591
39,48.875,"X",30,"Class1",88.021,89.753,37.41,82.368,14,"N",12.545
NA,NA,"S",73,"Class4",54.975,81.856,62.698,5.625,33,"Y",67.544
NA,26.044,"G",61,"Class4",60.868,80.563,72.987,5.231,35,"K",50.95
NA,88.113,"X",41,"Class1",32.825,84.786,50.727,81.971,16,"G",15.782
44,47.09,"N",73,"Class2",64.862,47.245,90.343,34.712,70,"U",54.175
37,51.835,"X",29,"Class1",43.018,91.992,40.611,81.215,29,"G",14.43
27,61.012,"N",72,"Class2",58.799,46.647,86.434,22.291,78,"H",68.164
77,5.661,"V",64,"Class4",53.056,36.045,69.921,5.359,33,"I",73.734
76,9.53,"W",81,"Class4",61.587,10.438,53.505,5.697,33,"Y",67.307
33,22.606,"S",74,"Class4",51.65,17.917,43.811,5.676,35,"K",76.567
49,54.303,"U",72,"Class2",73.212,46.92,84.521,27.801,78,"U",63.735
96,39.627,"Q",34,"Class3",75.879,34.941,87.695,47.319,19,"Z",10.057
54,60.822,"N",72,"Class2",52.146,46.303,90.312,23.303,74,"F",49.856
96,28.48,"Q",43,"Class3",71.54,1.751,90.582,21.678,10,"Z",66.822
96,76.96,"Q",59,"Class3",79.938,56.478,86.789,32.99,19,"P",30.799
94,68.107,"L",45,"Class3",42.559,38.896,85.592,16.914,58,"P",13.434
26,78.288,"I",41,"Class1",76.776,83.494,47.718,86.906,15,"P",26.322
63,25.717,"X",73,"Class2",39.503,47.017,85.423,30.352,71,"G",37.478
NA,49.691,"K",49,"Class3",79.841,38.508,80.589,26.848,64,"W",22.328
NA,78.508,"X",33,"Class1",56.529,92.488,46.667,84.994,18,"N",17.413
15,48.213,"N",35,"Class1",35.097,89.804,60.714,89.795,27,"N",15.881
77,43.474,"X",73,"Class2",37.389,44.057,88.927,14.967,77,"F",29.29
71,48.264,"C",73,"Class2",53.929,45.231,85.132,38.721,72,"U",71.725
40,7.386,"W",61,"Class4",50.008,16.184,63.283,5.874,35,"P",50.783
96,26.506,"B",40,"Class3",76.906,23.173,84.656,30.305,25,"Z",32.751
43,17.315,"X",72,"Class2",49.174,46.314,87.426,42.442,74,"F",29.744
37,66.99,"N",31,"Class1",59.747,94.786,64.414,86.017,11,"N",11.312
47,53.136,"N",34,"Class1",56.174,96.233,46.113,89.702,20,"R",3.984
63,36.827,"U",73,"Class2",77.841,47.275,90.404,26.664,75,"G",68.056
63,23.653,"P",62,"Class4",58.38,30.678,81.533,5.784,35,"J",81.514
49,NA,"D",39,"Class1",88.557,85.821,34.057,87.029,17,"B",13.368
44,85.806,"I",31,"Class1",76.523,90.271,48.551,87.938,16,"G",12.616
66,15.839,"V",78,"Class4",50.901,30.235,39.34,5.752,34,"Y",64.34
84,56.363,"V",73,"Class2",35.491,47.146,79.274,32.901,72,"H",53.983
94,76.361,"L",38,"Class3",75.882,18.176,88.057,75.005,55,"R",91.739
27,90.968,"X",29,"Class1",85.581,86.052,50.012,90.261,11,"G",19.689
96,17.129,"L",38,"Class3",24.488,13.964,89.007,77.062,35,"Z",5.511
81,25.916,"V",73,"Class2",69.39,46.718,82.704,10.286,71,"G",73.603
NA,56.531,"U",30,"Class1",66.184,83.188,52.65,83.7,13,"N",11.578
55,18.82,"X",73,"Class2",79.369,47.289,90.849,44.227,71,"H",39.225
NA,75.019,"G",36,"Class3",42.794,48.427,86.253,47.501,47,"S",25.735
27,86.411,"U",28,"Class1",34.133,94.707,39.309,83.384,19,"R",7.162
42,87.855,"N",30,"Class1",57.873,82.128,67.226,87.91,18,"N",7.308
34,11.117,"V",66,"Class4",58.749,65.722,74.112,5.05,33,"K",65.132
93,33.052,"K",61,"Class3",77.574,27.265,86.138,19.884,15,"W",38.676
57,58.63,"X",73,"Class2",75.161,44.262,82.509,16.487,74,"H",50.768
35,20.522,"S",62,"Class4",52.751,83.673,60.639,5.785,35,"I",75.904
93,49.045,"Q",61,"Class3",70.1,38.053,90.503,25.098,12,"Z",66.666
60,59.152,"U",73,"Class2",75.382,45.49,84.162,31.954,75,"G",30.12
12,39.043,"U",73,"Class2",75.814,47.442,83.952,54.639,74,"U",43.387
96,61.396,"K",40,"Class3",44.654,21.885,89.13,76.489,53,"S",62.232
38,67.342,"D",42,"Class1",86.646,88.142,51.469,92.343,29,"P",8.98
71,22.983,"V",70,"Class4",52.238,28.592,33.25,5.217,35,"J",81.462
9,88.518,"D",36,"Class1",44.19,88.814,45.579,91.927,27,"R",16.132
24,37.827,"U",72,"Class2",49.699,46.367,81.284,43.511,75,"Z",57.478
69,10.759,"S",77,"Class4",59.94,46.798,62.886,5.419,34,"J",59.538
38,8.435,"V",72,"Class4",51.253,15.269,42.043,5.982,34,"K",80.339
42,17.193,"V",81,"Class4",50.982,5.241,67.889,5.202,35,"P",70.48
40,4.766,"S",73,"Class4",51.158,45.411,47.371,5.961,34,"P",52.953
37,71.083,"U",43,"Class1",45.095,78.319,63.043,82.799,18,"B",13.913
34,89.415,"U",35,"Class1",54.451,84.709,31.013,86.626,25,"B",2.579
50,81.336,"X",35,"Class1",46.286,86.241,54.281,81.994,28,"N",14.457
NA,11.722,"S",79,"Class4",48.915,35.684,62.211,5.973,33,"P",77.112
79,13.779,"G",67,"Class4",54.686,48.4,70.99,5.961,34,"I",85.083
61,19.034,"V",79,"Class4",57.539,32.968,50.426,5.196,35,"I",54.618
45,21.162,"N",73,"Class2",73.067,46.882,87.358,53.05,71,"F",51.457
48,25.348,"V",75,"Class4",49.901,23.813,60.197,5.155,35,"P",59.081
35,93.285,"I",39,"Class1",60.005,85.965,66.097,87.644,16,"B",12.942
52,9.525,"S",82,"Class4",49.182,53.299,57.253,5.539,34,"I",66.296
94,34.431,"L",50,"Class3",23.243,54.969,79.64,87.661,26,"R",96.997
51,62.627,"U",38,"Class1",82.272,88.55,42.077,84.798,17,"G",8.294
93,15.938,"G",38,"Class3",74.505,6.788,89.555,13.462,47,"P",94.192
96,21.76,"K",48,"Class3",25.528,39.923,89.856,66.162,13,"W",83.066
55,24.605,"U",73,"Class2",34.998,46.587,85.571,56.642,76,"G",35.644
93,55.99,"Q",40,"Class3",16.322,32.482,96.966,54.444,6,"W",63.013
23,45.618,"V",72,"Class2",55.283,46.27,81.902,12.978,70,"G",29.766
39,62.046,"N",30,"Class1",94.371,89.471,60.677,89.851,19,"R",8.49
NA,53.115,"C",73,"Class2",36.917,44.32,84.675,13.555,78,"G",62.947
39,12.781,"V",72,"Class4",59.328,55.727,58.453,5.257,34,"I",45.822
NA,52.406,"G",37,"Class3",35.419,29.26,87.065,44.962,38,"R",33.664
93,39.487,"G",60,"Class3",19.36,16.57,84.61,33.831,72,"Z",23.898
40,10.049,"X",72,"Class2",64.823,44.859,84.751,46.919,73,"Z",47.039
59,6.909,"S",72,"Class4",59.622,26.023,73.671,5.5,33,"I",71.741
63,7.584,"C",73,"Class2",73.498,47.406,87.937,43.513,71,"Z",58.93
96,52.866,"K",57,"Class3",45.37,38.011,88.931,43.534,27,"S",74.164
93,65.657,"Q",56,"Class3",13.753,27.778,91.887,46.246,9,"W",46.228
59,47.78,"C",73,"Class2",46.487,44.455,84.145,42.093,74,"G",56.194
43,64.033,"N",37,"Class1",84.493,92.601,54.124,85.535,17,"N",8.478
26,63.025,"U",43,"Class1",93.273,95.369,62.147,92.874,14,"G",8.25
94,39.507,"K",49,"Class3",29.435,54.243,85.05,50.445,49,"S",70.895
95,12.166,"Q",50,"Class3",20.158,10.763,89.382,85.391,21,"R",23.902
65,41.472,"C",73,"Class2",44.936,46.929,86.982,39.454,76,"U",79.492
52,74.603,"N",43,"Class1",43.399,88.427,56.639,90.226,29,"P",18.495
