"D1","D2","D3","D4","D5","D6","Output3","D7","D8","D9","D10","D11"
62.771,98.667,79.519,69.252,57,12.582,"Class3",70.821,"V",76,"S",36
19.972,83.534,36.134,63.946,42,29.877,"Class2",32.947,"F",42,"F",51
53.789,21.487,63.218,44.791,35,59.948,"Class1",74.056,"S",31,"Q",39
65.253,48.303,34.677,69.935,53,71.128,"Class4",88.951,"X",60,"Z",5
30.612,83.017,33.985,62.837,51,45.433,"Class2",54.862,"B",77,"J",57
21.574,83.073,32.847,64.585,45,33.718,"Class2",39.141,"F",73,"V",56
15.963,48.717,32.733,70.361,31,71.927,"Class4",92.974,"I",78,"C",11
25.246,83.659,31.869,64.432,36,20.542,"Class2",47.855,"A",36,"T",64
16.076,83.271,24.36,62.605,34,NA,"Class2",76.826,"A",42,"F",55
38.208,83.866,14.675,63.497,35,53.264,"Class2",72.137,"Q",67,"T",55
26.081,83.864,32.733,63.47,45,61.592,"Class2",80.392,"F",35,"H",61
42.478,83.82,36.648,62.387,50,46.526,"Class2",73.581,"P",61,"H",50
63.306,40.177,44.515,13.855,49,73.201,"Class5",86.015,"C",81,"E",95
31.269,83.926,16.284,62.802,34,60.353,"Class2",56.421,"B",54,"V",59
42.866,83.065,37.055,63.612,47,24.147,"Class2",78.431,"Q",32,"T",55
82.32,47.308,69.179,69.187,29,35.734,"Class4",68.737,"V",76,"Z",30
19.43,43.856,54.658,5.512,29,64.997,"Class1",82.53,"A",33,"V",7
78.644,50.844,82.229,69.541,51,69.072,"Class4",76.388,"I",61,"I",35
62.982,79.594,76.478,69.273,32,40.881,"Class3",77.947,"V",70,"K",29
40.99,83.247,23.145,64.181,NA,59.075,"Class2",34.303,"B",39,"H",64
24.109,92.48,55.95,14.647,24,65.007,"Class1",64.693,"H",34,"Q",10
14.567,50.164,37.884,69.98,53,55.425,"Class4",75.456,"I",62,"I",9
62.962,35.995,58.106,27.556,35,68.088,"Class1",83.074,"M",31,"V",23
39.537,83.09,30.376,63.361,51,18.776,"Class2",36.717,"F",33,"T",60
38.065,52.6,50.922,69.455,37,54.494,"Class4",88.66,"L",65,"I",19
92.818,52.542,40.079,18.436,51,67.227,"Class5",87.57,"W",79,"A",64
39.123,26.652,58.537,23.21,32,69.211,"Class1",83.134,"M",33,"W",15
61.053,17.329,65.055,36.178,23,63.074,"Class1",56.269,"A",32,"V",12
42.687,83.789,30.489,63.896,52,45.222,"Class2",60.778,"A",48,"V",57
61.82,95.457,76.869,70.552,27,28.733,"Class3",86.546,"H",44,"S",44
59.952,39.552,42.315,26.494,61,76.458,"Class5",97.844,"C",79,"F",78
71.445,74.95,83.005,69.966,47,38.656,"Class3",31.494,"A",51,"K",32
60.778,65.053,33.034,23.148,54,71.166,"Class5",88.467,"Y",79,"F",77
50.302,56.633,36.419,13.23,55,75.362,"Class5",89.656,"S",79,"N",88
41.027,71.803,57.271,52.357,36,61.082,"Class1",60.08,"H",30,"Q",24
79.198,50.808,41.732,70.086,35,73.495,"Class4",71.072,"I",73,"Y",52
52.09,46.095,45.836,28.117,49,73.067,"Class5",94.408,"W",80,"E",81
19.554,83.302,35.591,63.972,42,42.071,"Class2",71.354,"P",28,"T",63
29.931,15.609,62.719,35.169,25,71.778,"Class1",51.65,"H",32,"Q",39
15.104,83.418,32.302,64.346,49,74.353,"Class2",34.413,"F",51,"V",63
61.48,45.448,46.419,32.749,58,75.526,"Class5",97.618,"C",85,"F",71
74.935,88.182,78.167,68.584,66,79.235,"Class3",34.571,"V",46,"M",42
28.611,83.26,28.558,63.543,32,35.039,"Class2",61.77,"P",76,"V",52
48.1,39.655,60.56,-1.456,NA,61.709,"Class1",86.655,"Z",32,"Q",49
90.197,58.539,46.674,30.777,58,70.07,"Class5",93.3,"Y",83,"A",65
42.887,69.042,38.293,19.094,NA,69.721,"Class5",98.2,"S",82,"E",70
41.485,68.033,37.727,29.784,46,72.587,"Class5",86.384,"Y",85,"A",82
31.393,52.575,103.142,69.711,84,56.584,"Class4",75.312,"P",49,"Y",28
11.413,83.499,22.707,62.767,38,61.484,"Class2",81.694,"B",51,"J",53
12.249,47.495,23.077,71.178,51,68.694,"Class4",91.837,"V",58,"C",15
28.911,33.603,60.481,56.594,28,72.009,"Class1",80.631,"S",33,"M",10
85.216,78.811,73.753,69.242,27,69.252,"Class3",76.275,"V",63,"M",13
77.565,88.546,72,68.857,50,50.209,"Class3",37.501,"V",79,"S",25
37.559,59.371,66.395,39.99,31,64.318,"Class1",55.8,"M",29,"P",9
60.891,66.29,43.826,8.814,36,72.991,"Class5",94.598,"W",80,"A",68
92.142,93.7,81.732,70.418,45,41.578,"Class3",52.213,"V",47,"E",13
26.254,15.238,59.797,24.856,28,58.637,"Class1",56.925,"H",29,"M",19
25.556,83.59,32.032,63.745,49,42.351,"Class2",85.123,"B",78,"J",52
41.221,51.302,40.069,22.991,48,68.74,"Class5",89.881,"W",86,"D",88
37.343,40.543,61.564,12.747,32,73.036,"Class1",59.37,"M",32,"M",9
47.879,59.56,39.415,36.766,41,66.991,"Class5",96.905,"Y",82,"N",65
49.659,75.337,84.651,69.238,47,52.381,"Class3",56.729,"L",72,"S",26
78.563,43.521,37.121,15.557,53,70.241,"Class5",91.972,"S",85,"N",84
35.167,47.344,46.219,71.288,80,83.209,"Class4",91.727,"I",59,"Y",48
24.349,83.642,29.098,64.068,43,39.032,"Class2",71.66,"B",54,"V",56
51.141,92.352,75.234,70.39,61,72.212,"Class3",48.296,"A",60,"E",31
50.701,50.297,29.626,71.526,40,50.815,"Class4",90.012,"I",79,"Y",29
42.681,83.813,29.71,61.703,34,32.02,"Class2",35.891,"P",30,"H",52
87.276,95.649,72.511,70.149,57,55.006,"Class3",36.209,"L",45,"E",35
59.279,76.259,68.696,69.53,47,NA,"Class3",94.696,"H",68,"E",32
50.909,87.406,81.269,70.423,56,84.15,"Class3",34.972,"L",40,"K",15
83.781,63.123,44.604,12.946,50,70.116,"Class5",86.852,"Y",81,"N",84
86.697,90.132,69.907,69.393,28,57.404,"Class3",62.027,"A",63,"S",19
37.71,81.064,71.953,-10.931,24,60.461,"Class1",51.345,"H",32,"M",48
42.226,40.524,46.164,15.54,45,68.249,"Class5",98.644,"W",81,"E",85
74.162,50.146,23.081,69.78,82,59.311,"Class4",73.813,"V",75,"I",11
64.86,90.418,83.803,69.72,26,6.195,"Class3",39.197,"A",75,"A",13
22.33,83.717,14.649,63.699,45,34.428,"Class2",33.348,"F",78,"T",56
79.208,49.082,20.22,69.356,95,62.287,"Class4",93.981,"I",49,"Y",49
75.649,76.636,75,69.445,NA,70.381,"Class3",79.485,"M",70,"A",12
84.551,68.293,59.69,24.182,43,71.744,"Class5",92.01,"C",84,"E",97
95.063,61.611,50.225,40.59,58,77.502,"Class5",90.052,"Y",86,"E",73
61.585,76.484,58.168,42.687,38,64.441,"Class1",53.143,"A",31,"W",18
33.54,45.369,67.124,22.371,28,69.215,"Class1",50.19,"H",34,"M",25
12.275,48.456,4.324,70.454,69,54.986,"Class4",90.51,"V",70,"Z",24
68.535,48.486,43.938,69.969,25,65.617,"Class4",64.663,"I",65,"C",44
39.153,40.99,52.439,13.245,NA,NA,"Class5",96.412,"Y",79,"N",70
86.345,86.082,77.937,68.304,47,NA,"Class3",88.792,"H",46,"E",28
74.049,41.807,44.15,22.42,61,70.799,"Class5",96.004,"C",82,"F",76
77.092,47.505,42.266,20.536,58,69.722,"Class5",98.88,"A",78,"D",90
25.004,83.892,28.016,63.721,34,67.275,"Class2",38.285,"A",50,"V",55
59.459,48.074,63.759,70.417,25,79.293,"Class4",67.811,"X",52,"Y",63
79.974,50.52,38.131,70.335,61,NA,"Class4",90.563,"X",49,"D",7
34.068,83.05,43.528,62.355,52,46.007,"Class2",74.584,"B",68,"T",57
55.308,83.799,83.538,67.459,36,94.325,"Class3",31.632,"V",40,"K",41
15.885,83.461,33.833,64.557,39,58.545,"Class2",52.177,"Q",36,"V",58
53.906,77.198,70.767,68.705,54,105.192,"Class3",25.75,"M",49,"K",44
89.304,48.71,60.864,69.131,56,71.212,"Class4",65.511,"X",45,"C",11
11.122,83.711,37.491,63.115,48,NA,"Class2",61.342,"Q",39,"H",52
60.368,85.836,73.492,68.582,39,67.039,"Class3",67.978,"H",74,"S",42
78.327,51.454,26.039,70.224,78,59.996,"Class4",79.465,"I",71,"Y",56
79.283,47.528,41.893,41.614,54,77.632,"Class5",91.087,"Y",80,"D",77
90.887,83.084,68.936,67.69,46,53.317,"Class3",42.959,"L",68,"E",8
22.337,83.856,25.242,63.668,NA,46.185,"Class2",74.582,"P",55,"H",56
32.433,69.81,73.54,8.794,35,61.789,"Class1",49.827,"M",30,"W",8
17.572,83.553,37.301,64.271,30,44.744,"Class2",57.76,"A",44,"F",64
59.079,64.974,35.994,24.281,45,68.545,"Class5",98.465,"W",81,"D",91
48.791,49.721,37.77,23.117,36,67.365,"Class5",92.658,"S",84,"E",93
75.623,83.574,85.522,70.265,30,13.557,"Class3",77.594,"M",48,"M",20
44.627,47.63,26.187,70.936,36,33.948,"Class4",91.79,"P",76,"Y",21
38.352,44.533,66.076,30.259,30,59.898,"Class1",64.188,"H",30,"P",14
24.713,50.16,40.956,69.225,93,23.99,"Class4",72.032,"I",81,"Y",47
63.301,46.658,67.499,25.132,25,65.991,"Class1",51.861,"Z",31,"P",12
41.778,83.689,33.204,62.971,52,46.772,"Class2",32.865,"F",73,"F",50
84.398,47.488,40.644,70.767,35,34.044,"Class4",89.019,"L",51,"C",57
57.075,47.125,68.284,69.785,56,33.454,"Class4",70.04,"V",57,"Y",8
30.682,83.461,23.186,63.528,36,33.998,"Class2",82.649,"P",80,"H",64
42.543,83.267,25.806,62.527,42,42.646,"Class2",56.183,"F",37,"H",58
60.133,45.954,51.351,17.006,37,69.407,"Class5",88.204,"S",78,"D",66
24.697,75.259,60.348,46.863,35,65.808,"Class1",60.79,"H",30,"V",22
17.102,83.8,30.363,62.774,47,54.056,"Class2",59.518,"A",51,"J",56
23.589,30.899,52.124,7.931,25,57.942,"Class1",78.526,"A",30,"Q",49
28.953,83.269,27.309,65.064,53,49.917,"Class2",64.898,"A",71,"J",63
79.912,48.93,54.797,68.539,62,35.912,"Class4",80.502,"I",76,"D",45
67.846,55.767,52.447,20.628,57,70.173,"Class5",85.732,"W",87,"E",57
46.409,80.407,64.55,10.25,37,58.727,"Class1",47.457,"Z",28,"V",21
54.209,47.958,63.713,68.862,38,63.504,"Class4",68.504,"X",78,"Z",5
35.95,66.475,51.205,51.547,32,63.822,"Class1",52.489,"S",28,"M",13
53.346,78.698,71.185,68.08,26,41.767,"Class3",78.167,"M",71,"S",43
37.821,83.861,34.177,62.917,49,33.169,"Class2",65.279,"P",59,"F",50
20.689,83.595,36.938,63.523,44,NA,"Class2",52.42,"F",62,"J",65
53.151,44.237,38.905,23.904,47,68.741,"Class5",85.705,"A",86,"D",60
54.779,85.388,73.116,68.339,27,97.584,"Class3",95.241,"H",80,"A",41
76.44,72.63,77.237,69.281,43,90.523,"Class3",84.678,"M",45,"S",19
90.352,39.006,42.51,17.585,45,73.001,"Class5",96.64,"C",86,"F",73
12.262,49.357,41.198,69.567,93,52.295,"Class4",65.486,"X",74,"I",53
53.594,54.875,62.277,61.787,28,70.675,"Class1",59.253,"M",31,"M",16
61.704,43.219,47.92,28.602,NA,70.166,"Class5",88.466,"S",78,"A",61
54.109,60.19,55.746,32.033,24,63.935,"Class1",55.078,"S",32,"P",14
56.971,92.263,77.584,68.204,41,37.012,"Class3",87.187,"L",49,"M",28
20.529,83.299,29.096,62.628,35,NA,"Class2",34.435,"A",78,"J",57
40.187,83.286,16.209,63.327,29,38.848,"Class2",46.019,"F",48,"F",50
87.36,75.485,75.615,68.821,45,65.662,"Class3",70.667,"M",74,"K",17
59.351,72.972,68.361,70.184,56,85.563,"Class3",67.099,"A",61,"E",24
48.529,38.023,69.041,38.466,20,64.827,"Class1",59.687,"S",34,"Q",45
27.742,51.354,55.44,70.424,25,24.811,"Class4",63.496,"V",53,"D",15
47.156,96.833,80.162,69.588,54,83.783,"Class3",90.087,"M",66,"A",31
23.912,48.636,47.466,70.304,NA,60.503,"Class4",81.763,"V",46,"Y",18
39.161,51.708,66.876,70.998,57,22.057,"Class4",89.804,"I",47,"Z",52
33.339,83.241,19.031,63.009,44,34.837,"Class2",48.956,"Q",66,"T",65
28.986,23.69,56.07,46.752,26,66.581,"Class1",68.033,"M",34,"V",30
63.503,94.834,84.066,69.013,67,43.635,"Class3",38.353,"H",53,"K",22
80.812,40.255,37.785,18.698,34,70.361,"Class5",96.591,"S",85,"F",57
54.006,48.588,37.925,69.916,29,49.128,"Class4",66.926,"L",49,"D",45
21.579,24.31,64.468,38.674,33,71.024,"Class1",74.412,"Z",28,"V",19
68.944,78.295,85.266,69.052,39,NA,"Class3",47.629,"H",54,"A",32
93.999,49.19,51.84,13.984,51,68.156,"Class5",90.038,"C",87,"F",76
87.091,57.811,45.076,13.855,50,70.145,"Class5",90.69,"C",82,"D",57
87.89,71.713,70.472,69.749,41,-19.97,"Class3",50.017,"L",51,"K",29
52.39,57.698,67.797,9.374,37,66.793,"Class1",75.009,"Z",32,"Q",44
6.079,51.043,59.372,70.271,88,73.513,"Class4",84.647,"V",74,"Z",41
12.456,83.37,23.404,62.9,34,61.451,"Class2",76.225,"P",80,"J",64
42.741,83.594,33.721,64.07,36,53.631,"Class2",35.99,"A",34,"J",57
57.821,48.801,49.872,24.438,56,NA,"Class5",88.107,"W",81,"F",67
81.127,63.21,33.93,24.239,39,65.173,"Class5",92.17,"S",84,"F",59
33.42,83.112,24.241,62.14,43,47.442,"Class2",33.651,"Q",37,"F",53
28.958,51.291,62.004,70.705,26,79.346,"Class4",91.088,"X",77,"Z",8
12.23,83.261,51.898,63.203,38,61.911,"Class2",41.745,"P",47,"H",61
34.085,83.527,22.296,64.458,51,40.812,"Class2",51.599,"F",44,"J",54
79.789,54.576,52.139,37.319,51,71.238,"Class5",87.24,"Y",84,"F",98
34.956,83.366,33.445,64.32,43,42.217,"Class2",72.964,"A",60,"F",56
71.38,97.137,79.838,69.921,31,59.806,"Class3",87.884,"M",41,"S",40
30.719,52.807,57.898,70.925,73,63.582,"Class4",63.93,"X",47,"Y",19
34.161,68.305,65.677,0.618,27,67.429,"Class1",51.878,"H",34,"P",27
45.044,52.068,75.107,23.525,34,73.045,"Class1",82.318,"S",28,"P",9
31.295,83.609,23.116,63.17,29,40.275,"Class2",77.435,"Q",51,"H",58
68.649,79.251,79.968,68.682,48,93.368,"Class3",80.073,"A",63,"S",35
42.214,47.476,59.09,22.108,35,76.276,"Class5",87.136,"C",87,"F",86
82.713,50.387,36.229,70.565,74,32.965,"Class4",79.036,"V",63,"Y",47
51.318,77.732,76.387,69.251,NA,44.935,"Class3",67.188,"A",54,"A",36
38.436,83.453,29.501,61.251,44,38.237,"Class2",73.567,"P",46,"F",54
81.561,52.399,53.127,70.684,37,63.901,"Class4",67.492,"P",59,"D",54
54.577,57.208,40.395,23.865,37,63.23,"Class5",97.129,"Y",86,"E",96
54.233,54.383,46.034,23.407,54,64.883,"Class5",88.292,"Y",79,"F",70
57.272,78.76,82.377,69.264,37,90.851,"Class3",53.079,"L",55,"A",9
49.966,40.754,54.551,2.97,37,68.541,"Class1",85.168,"H",33,"M",49
40.75,62.201,69.448,25.851,23,64.019,"Class1",51.428,"Z",30,"V",50
36.065,45.735,63.171,17.539,27,63.178,"Class1",80.691,"H",34,"V",21
25.114,83.2,36.238,64.065,29,23.792,"Class2",63.011,"B",52,"F",63
95.568,57.82,50.291,35.856,52,69.938,"Class5",88.315,"S",84,"A",87
47.603,59.512,58.263,33.939,30,70.94,"Class1",87.912,"Z",28,"P",44
85.62,48.881,46.463,13.134,35,71.87,"Class5",87.598,"Y",81,"D",99
72.942,49.034,29.395,69.356,50,86.982,"Class4",91.222,"P",58,"D",17
49.493,61.883,35.417,21.519,55,65.67,"Class5",87.237,"C",83,"F",90
86.969,51.46,42.958,71.083,26,61.329,"Class4",82.081,"V",63,"D",8
26.708,83.04,28.71,63.064,41,31.904,"Class2",52.494,"P",55,"H",56
94.184,54.285,47.396,20.097,51,64.97,"Class5",95.561,"C",83,"F",77
18.828,50.748,48.572,71.13,NA,89.28,"Class4",91.902,"V",53,"Y",42
51.632,38.51,48.309,28.876,34,71.026,"Class5",96.715,"W",84,"D",65
23.947,50.825,62.205,45.335,32,62.255,"Class1",51.592,"A",31,"W",39
46.495,99.249,75.587,69.343,29,16.062,"Class3",38.044,"L",38,"A",22
13.303,83.678,32.697,61.869,33,41.596,"Class2",68.939,"Q",38,"T",55
16.978,50.906,17.671,70.274,96,48.606,"Class4",66.57,"X",81,"Y",48
88.265,61.5,41.707,29.209,45,75.569,"Class5",94.822,"C",77,"D",92
43.404,49.428,64.637,9.972,24,NA,"Class1",72.491,"Z",29,"Q",15
41.722,38.555,74.127,44.832,37,66.46,"Class1",65.18,"S",28,"W",33
30.148,83.289,32.703,63.48,40,44.603,"Class2",64.027,"F",81,"V",52
29.929,17.169,62.071,53.86,34,66.799,"Class1",60.279,"H",29,"P",15
59.003,51.076,62.128,22.986,23,66.171,"Class1",90.882,"Z",31,"M",23
72.84,70.548,42.736,20.005,34,NA,"Class5",96.446,"C",83,"A",69
45.159,45.331,42.787,16.254,36,64.807,"Class5",91.013,"S",77,"E",72
49.615,50.904,6.387,69.847,24,65.632,"Class4",86.515,"P",64,"I",52
42.772,39.322,70.648,41.139,29,66.644,"Class1",56.03,"Z",34,"M",12
92.514,48.633,56.627,32.262,60,72.166,"Class5",89.942,"S",77,"A",72
38.063,73.374,58.176,10.978,24,65.64,"Class1",90.626,"M",30,"M",10
18.229,48.474,27.307,70.731,NA,56.35,"Class4",71.825,"L",70,"Y",62
73.257,50.216,34.532,70.672,98,72.444,"Class4",73.201,"V",73,"Y",41
