"S1","S2","S3","S4","S5","Output18","S6","S7","S8","S9","S10","S11"
"S",37.048,79,68.873,63.367,"Class4",21.787,27,"O",89,39.241,83.847
"Q",88.12,33,44.595,54.509,"Class1",94.035,59,"C",34,34.679,79.615
"X",51.961,31,27.051,69.147,"Class2",19.255,39,"C",63,45.522,23.361
"G",90.557,21,26.61,57.195,"Class1",74.741,57,"E",33,45.84,78.185
"C",52.611,39,30.183,72.96,"Class2",31.204,38,"O",48,52.045,-9.588
"G",82.429,7,41.581,51.366,"Class1",68.227,62,"G",33,46.144,81.728
"J",85.525,50,43.476,53.309,"Class1",74.477,42,"S",40,38.223,78.543
"B",54.383,46,38.753,34.867,"Class3",59.893,61,"Q",47,60.882,43.612
"M",70.013,58,64.734,52.085,"Class4",4.137,20,"O",71,38.858,64.008
"M",80.544,20,38.523,50.401,"Class1",79.056,35,"G",34,36.633,74.662
"Y",29.885,87,35.573,14.165,"Class5",68.74,61,"L",23,31.298,64.888
"D",39.551,42,48.117,27.103,"Class3",34.017,63,"W",47,65.723,43.372
"S",88.853,26,69.738,70.742,"Class4",11.741,22,"O",84,41.086,79.249
"M",45.883,87,46.351,12.428,"Class5",68.118,51,"A",68,56.176,58.955
"H",84.554,9,26.305,51.31,"Class1",66.837,44,"C",38,36.884,76.917
"R",59.7,52,29.298,75.684,"Class2",18.571,36,"A",54,38.444,26.918
"M",64.844,84,62.173,68.994,"Class4",40.442,33,"V",69,43.004,82.452
"S",76.8,83,73.811,60.204,"Class4",22.152,31,"S",89,37.38,73.041
"J",56.714,77,61.664,68.159,"Class4",35.606,33,"O",68,36.197,61.716
"X",60.091,22,18.584,68.322,"Class2",30.981,37,"C",69,47.038,-0.884
"D",49.393,55,42.004,30.945,"Class3",30.222,73,"A",47,64.731,40.683
"C",55.708,39,22.278,71.799,"Class2",27.903,36,"A",70,40.087,61.098
"X",62.198,55,31.06,57.882,"Class2",20.409,36,"C",61,37.301,99.952
"J",93.041,33,33.169,47.637,"Class1",73.103,58,NA,30,43.309,77.698
"R",55.679,37,21.705,84.346,"Class2",29.176,37,"O",65,40.275,0.515
"S",68.144,84,76.108,69.478,"Class4",15.062,39,"I",72,34.727,92.892
"M",69.959,84,70.434,62.131,"Class4",35.513,26,"O",75,37.167,82.351
"M",56.082,82,39.366,19.672,"Class5",34.727,61,"A",47,51.504,62.887
"H",92.555,44,39.386,56.971,"Class1",70.115,42,"G",39,48.405,72.83
"Y",-5.006,89,43.503,14.443,"Class5",47.797,22,"A",71,24.624,67.769
"X",44.915,41,63.726,77.08,"Class4",19.381,21,"O",87,35.893,60.11
"D",60.744,57,32.154,88.625,"Class2",9.305,39,"F",70,51.466,0.085
"X",63.53,20,33.769,75.585,"Class2",0.796,36,"F",48,52.308,17.541
"X",80.829,81,41.737,17.286,"Class5",55.685,43,"N",41,55.262,64.374
"Z",59.458,31,34.019,81.169,"Class2",14.339,36,"F",62,51.023,12.237
"D",61.282,27,17.113,78.382,"Class2",4.309,36,"F",62,34.69,56.547
"C",32.35,66,48.945,41.546,"Class3",48.418,70,"Q",47,64.821,42.625
"X",57.84,47,19.841,66.14,"Class2",2.72,39,NA,63,41.744,52.64
"Q",47.085,62,38.802,38.971,"Class3",71.368,75,"O",47,71.963,41.148
"S",50.875,59,69.92,71.298,"Class4",22.289,37,"S",75,42.449,70.859
"X",66.81,29,70.064,71.473,"Class4",15.009,27,"W",75,41.623,83.942
"Z",49.67,82,40.957,14.269,"Class5",31.533,26,"L",59,56.759,60.872
"D",51.326,62,43.894,31.433,"Class3",69.079,73,"A",45,60.421,48.338
"Z",66.222,29,31.034,72.666,"Class2",13.937,39,"Q",54,47.542,48.362
"Y",20.482,91,26.767,10.017,"Class5",43.649,55,"A",52,32.238,65.168
"X",52.605,23,30.294,88.633,"Class2",36.567,37,"C",54,46.578,10.873
"K",52.767,58,76.725,64.695,"Class4",24.689,28,"O",76,39.142,45.473
"M",85.916,10,34.758,57.882,"Class1",88.181,36,"S",34,38.91,81.599
"Y",54.946,93,42.074,15.858,"Class5",25.368,32,"A",21,29.905,65.101
"X",27.522,94,37.827,20.938,"Class5",50.751,67,"L",29,13.137,58.413
"J",73.994,45,34.563,53.597,"Class1",69.434,36,"I",35,43.671,76.466
"H",93.484,21,43.522,55.36,"Class1",96.04,45,"G",36,35.922,80.401
"R",62.434,30,24.469,80.343,"Class2",7.897,37,"O",59,46.212,39.324
"X",41.045,26,61.159,65.338,"Class4",17.844,19,"S",82,41.28,92.936
"Y",43.199,89,44.84,19.516,"Class5",43.012,68,NA,60,16.639,61.959
"Y",37.338,93,33.94,17.802,"Class5",69.187,59,"B",34,28.836,67.673
"Q",85.695,36,29.612,61.161,"Class1",76.067,50,"E",35,29.402,73.972
"D",59.534,66,41.885,23.982,"Class3",29.739,68,"W",46,69.223,37.955
"M",23.249,82,39.575,14.966,"Class5",26.156,43,"H",31,39.469,68.022
"C",19.834,61,39.525,25.834,"Class3",28.765,69,"Z",45,66.912,42.962
"Q",92.391,19,44.493,50.248,"Class1",66.682,35,"E",40,46.902,80.568
"X",64.001,48,32.995,76.224,"Class2",35.904,36,"O",70,46.095,-30.068
"X",26.594,93,35.753,15.478,"Class5",33.227,22,"L",15,33.675,59.021
"N",19.025,55,43.989,30.249,"Class3",71.409,63,"O",45,73.097,47.299
"M",46.721,65,74.172,46.38,"Class4",6.159,28,"W",72,41.951,79.259
"X",43.689,50,71.113,73.65,"Class4",36.871,38,"W",66,37.779,100.776
"Y",19.746,80,30.074,18.116,"Class5",24.701,78,"A",33,23.845,56.246
"X",20.878,80,37.886,16.131,"Class5",26.272,30,"L",18,61.141,65.438
"J",16.765,23,65.859,79.084,"Class4",18.561,31,"I",82,43.118,94.552
"X",-5.565,85,28.692,8.311,"Class5",53.998,45,"B",59,76.697,58.703
"M",12.523,90,24.588,17.206,"Class5",30.952,40,NA,44,62.437,55.825
"J",NA,67,69.452,69.745,"Class4",22.255,24,"O",84,40.074,70.718
"D",39.379,42,43.565,32.32,"Class3",53.882,61,"W",45,71.489,44.356
"B",36.337,60,37.826,38.844,"Class3",41.654,63,"W",45,60.202,40.899
"G",88.269,6,41.011,59.686,"Class1",90.278,52,"S",42,37.022,71.131
"J",77.013,67,72.222,74.455,"Class4",46.443,30,"O",70,40.587,68.256
"B",35.121,61,44.086,39.812,"Class3",53.955,70,"A",47,70.415,39.728
"R",50.279,56,33.233,76.166,"Class2",10.914,38,"A",58,42.508,57.148
"I",55.551,80,38.276,12.055,"Class5",83.991,79,"A",70,46.31,66.309
"N",28.874,59,37.656,35.592,"Class3",51.142,62,"Q",47,72.889,42.843
"Z",54.069,62,19.13,70.922,"Class2",14.566,39,"O",53,47.266,39.34
"Q",42.258,62,47.294,42.529,"Class3",49.644,64,"Q",46,64.898,47.385
"K",NA,85,69.639,66.819,"Class4",19.327,36,"O",85,43.891,70.005
"Q",86.632,3,35.009,48.695,"Class1",68.965,42,"E",30,42.274,79.401
"Z",55.523,59,25.479,86.211,"Class2",10.402,38,"C",48,38.772,65.942
"J",35.731,78,75.572,67.183,"Class4",18.667,27,"W",86,42.92,83.047
"Z",NA,51,23.428,107.452,"Class2",10.391,37,"F",65,35.049,74.05
"H",78.319,10,43.271,57.493,"Class1",93.818,33,"S",35,37.457,71.71
"H",83.115,14,32.414,57.406,"Class1",74.993,42,"G",32,47.144,79.769
"Y",16.452,88,35.521,12.089,"Class5",23.837,37,"N",31,26.227,59.959
"H",85.103,32,28.085,60.755,"Class1",85.163,40,"G",36,35.011,77.167
"M",13.495,89,38.212,17.143,"Class5",44.071,28,"L",72,59.838,74.418
