"A1","A2","A3","A4","A5","A6","Output26","A7","A8","A9","A10","A11"
9.016,28,90.067,82.367,21.719,"E","Class1",56.404,"R",53,7.513,39
21.258,25,85.425,75.613,24.483,"K","Class1",58.021,"Y",38,8.96,39
90.781,67,88.259,78.876,47.679,"B","Class2",60.238,"W",84,49.113,89
14.245,30,84.821,81.729,22.407,"J","Class1",34.051,"Y",42,6.88,31
8.065,24,84.393,84.32,21.639,"Z","Class1",37.075,"S",41,8.849,33
73.213,69,58.963,69.757,69.976,"B","Class2",92.991,"Z",89,67.523,88
5.727,23,87.758,84.223,NA,"K","Class1",46.757,"R",44,8.538,43
68.063,68,48.801,80.347,20.299,"A","Class2",99.517,"T",73,65.324,89
72.636,69,61.474,74.583,53.46,"K","Class2",79.468,"T",59,40.197,81
53.978,69,64.452,69.279,60.237,"K","Class2",92.122,"Z",79,45.145,87
99.811,69,70.743,78.555,38.732,"K","Class2",98.303,"W",62,27.476,90
76.691,69,57.552,72.93,33.9,"T","Class2",79.654,"T",65,25.942,82
66.339,67,7.65,65.239,64.844,"B","Class2",83.786,"T",76,26.825,86
13.993,29,82.009,70.34,23.232,"Z","Class1",29.054,"Y",34,6.263,48
11.36,23,83.316,67.289,22.329,"Z","Class1",46.934,"R",57,7.467,50
53.447,66,63.623,70.141,48.845,"A","Class2",82.861,"Z",95,37.813,88
6.22,24,82.388,84.875,22.815,"K","Class1",38.262,"R",34,7.468,41
90.376,68,68.363,76.228,40.924,"T","Class2",53.609,"T",67,25.536,81
14.058,29,91.267,73.612,24.371,"Z","Class1",28.663,"X",45,6.925,50
11.646,27,90.808,86.378,23.452,"Z","Class1",52.75,"Y",39,8.114,34
11.505,29,85.205,80.059,21.692,"O","Class1",34.76,"Y",33,8.176,49
19.724,21,84.354,74.815,23.633,"Z","Class1",39.099,"X",42,8.684,47
5.308,25,85.375,68.786,21.419,"Z","Class1",56.862,"R",54,8.65,37
64.006,66,52.401,83.994,73.648,"B","Class2",68.626,"S",88,36.078,91
7.493,23,81.679,84.656,23.409,"J","Class1",31.316,"R",51,7.792,49
6.596,21,88.185,77.449,23.138,"O","Class1",55.696,"X",39,6.088,48
67.877,66,29.692,72.08,71.773,"I","Class2",82.124,"W",96,41.171,84
4.067,23,89.363,72.448,23.549,"K","Class1",60.395,"S",40,8.084,30
69.238,66,61.238,81.27,54.736,"A","Class2",76.153,"T",65,56.228,89
26.516,17,90.269,83.072,23,"J","Class1",45.02,"Y",47,7.979,28
2.882,29,86.74,82.929,23.64,"E","Class1",42.618,"Y",44,6.592,37
97.486,67,30.102,83.212,50.685,"K","Class2",60.403,"Z",96,19.147,86
55.47,67,44.827,74.093,66.822,"I","Class2",67.564,"T",72,19.453,91
4.493,25,78.98,72.483,21.83,"J","Class1",29.086,"X",41,6.981,39
58.251,67,79.005,65.578,55.829,"A","Class2",91.777,"Z",94,32.697,85
56.444,67,78.09,80.086,60.305,"I","Class2",62.935,"D",63,63.956,86
66.055,67,63.121,66.25,67.272,"T","Class2",63.937,"D",65,18.575,89
8.959,27,89.891,71.383,23.103,"J","Class1",61.558,"R",34,6.778,47
64.284,69,50.884,81.221,40.499,"K","Class2",62.676,"S",66,20.264,84
59.861,68,23.225,75.035,51.326,"K","Class2",72.317,"W",68,38.824,90
12.157,30,82.028,68.285,22.915,"O","Class1",58.01,"X",58,8.499,38
71.069,67,48.649,79.746,NA,"A","Class2",61.94,"T",75,34.656,91
9.428,20,86.539,72.362,25.939,"K","Class1",44.841,"R",55,6.192,34
50.867,69,56.87,74.69,72.551,"B","Class2",94.073,"S",93,56.5,84
21.758,27,89.002,83.576,23.153,"K","Class1",50.412,"Y",58,6.71,35
68.962,69,44.77,76.983,54.498,"B","Class2",92.289,"D",89,63.041,89
81.63,66,58.855,70.689,49.183,"A","Class2",68.58,"Z",61,29.223,85
15.051,20,93.297,79.978,24.262,"K","Class1",52.255,"Y",51,6.246,29
71.817,69,49.919,78.747,48.678,"A","Class2",92.861,"S",77,22.914,81
77.215,66,57.779,82.072,49.423,"A","Class2",95.548,"D",62,54.969,85
57.861,67,57.905,67.084,62.44,"T","Class2",91.111,"W",72,29.059,83
79.811,69,61.696,76.949,39.215,"I","Class2",82.25,"Z",67,50.72,88
7.257,27,91.199,79.79,22.879,"Z","Class1",38.363,"Z",48,8.457,38
76.005,66,34.209,80.333,49.494,"I","Class2",86.932,"S",94,43.068,83
65.287,69,57.378,68.944,58.39,"I","Class2",80.247,"S",60,45.303,89
70.126,66,32.416,79.171,37.723,"T","Class2",96.202,"D",83,62.979,84
23.618,18,86.925,82.988,25.104,"O","Class1",28.385,"Y",52,6.193,44
68.347,66,56.138,73.813,56.465,"I","Class2",60.175,"S",87,57.744,87
84.585,68,59.664,68.477,52.347,"B","Class2",70.076,"S",60,50.595,86
81.755,66,44.067,83.281,33.104,"I","Class2",86.866,"D",91,20.086,89
7.074,18,90.693,85.045,24.253,"O","Class1",45.072,"R",56,8.144,40
14.408,29,86.092,NA,21.859,"K","Class1",49.412,"X",36,7.911,27
6.178,27,92.132,78.819,23.616,"O","Class1",59.253,"X",35,6.277,36
67.819,68,60.639,71.732,66.824,"I","Class2",64.253,"Z",82,67.793,84
19.895,17,92.208,76.079,23.768,"Z","Class1",54.899,"Z",51,7.534,36
53.135,66,62.989,74.104,61.502,"T","Class2",88.148,"W",80,38.203,81
68.457,69,52.32,72.691,39.031,"K","Class2",54.592,"D",61,50.834,84
17.389,23,88.659,66.198,20.948,"E","Class1",27.911,"Y",36,7.742,49
14.803,29,92.995,82.457,23.29,"E","Class1",51.249,"X",51,6.659,50
75.044,69,78.327,70.503,67.081,"I","Class2",51.904,"D",76,52.392,89
68.592,69,49.183,71.661,38.304,"A","Class2",65.119,"S",78,44.532,82
15.982,27,90.987,71.173,23.878,"K","Class1",29.379,"R",51,7.865,30
52.214,66,59.436,77.174,43.468,"B","Class2",73.267,"T",68,30.316,81
53.195,66,40.499,69.777,65.31,"B","Class2",94.232,"W",75,32.958,81
