"P1","P2","P3","Output15","P4","P5","P6","P7","P8","P9","P10","P11"
33,"D",85,"Class5",60.616,33.072,"I",89,18.568,11.148,57.809,22.471
70,"R",28,"Class2",67.49,30.692,"Y",44,49.384,44.862,53.306,54.244
63,"V",77,"Class1",29.364,63.111,"J",74,38.331,82.485,39.578,82.967
61,"K",85,"Class1",28.438,35.226,"V",67,36.628,85.888,42.812,73.814
60,"V",75,"Class1",48.856,38.206,"J",48,42.452,81.556,43.165,86.498
71,"Y",68,"Class2",66.209,37.057,"A",63,34.774,43.89,68.489,50.017
59,"D",83,"Class3",47.538,17.172,"B",59,23.679,52.529,12.408,59.145
82,"P",32,"Class4",11.893,43.778,"I",99,33.273,68.415,53.169,60.489
78,"U",48,"Class2",44.747,37.845,"Y",59,54.442,51.818,51.262,64.909
60,"K",79,"Class1",42.138,62.784,"E",71,NA,75.194,43.134,90.284
58,"V",83,"Class1",26.341,69.041,"J",54,43.867,59.411,39.884,77.846
50,"G",81,"Class3",56.715,49.59,"Q",53,27.155,52.632,12.758,61.409
76,"P",32,"Class4",79.452,43.2,"I",97,55.433,46.688,67.392,60.388
64,"V",80,"Class1",25.086,55.536,"P",78,39.645,73.958,42.672,72.218
56,"K",85,"Class1",43.548,36.445,"E",49,39.236,73.172,38.661,88.936
51,"I",86,"Class3",61.923,28.986,"U",59,40.061,52.871,12.011,75.012
77,"H",27,"Class2",62.675,49.426,"A",46,33.557,29.358,58.036,70.779
56,"R",82,"Class3",60.259,77.178,"B",61,53.605,52.119,12.715,40.366
57,"X",62,"Class5",44.976,36.354,"G",89,19.559,10.682,67.887,4.027
79,"H",29,"Class2",47.72,21.877,"Y",48,42.125,40.229,49.577,53.407
40,"G",75,"Class5",48.959,37.498,"F",63,23.934,11.847,72.263,31.423
88,"D",80,"Class5",35.57,14.771,"F",92,26.155,10.493,27.134,9.373
75,"Y",45,"Class2",56.459,44.151,"G",82,39.565,26.104,69.057,60.302
81,"Q",33,"Class4",21.577,32.406,"D",99,25.229,38.387,60.504,59.188
79,"C",32,"Class4",37.632,27.158,"V",98,15.621,NA,56.997,60.707
79,"C",32,"Class4",79.507,40.254,"T",98,28.856,2.377,56.469,61.993
63,"V",77,"Class1",29.036,49.697,"E",72,40.412,58.527,39.453,77.035
71,"Y",40,"Class2",44.664,28.743,"G",79,43.438,29.696,52.588,47.676
84,"P",33,"Class4",11.238,27.755,"I",98,37.719,87.145,58.277,60.404
42,"D",87,"Class3",59.015,50.222,"U",59,64.989,52.042,11.985,72.003
79,"R",44,"Class2",64.951,66.588,"V",71,57.87,35.186,43.696,76.083
59,"P",82,"Class1",20.105,87.702,"R",57,43.176,66.753,40.579,74.304
