"N1","N2","N3","N4","Output13","N5","N6","N7","N8","N9","N10","N11"
81.648,68.531,"F",61,"Class2",57.198,"U",58.679,9.097,27.704,40,89
80.52,77.573,"F",64,"Class2",103.848,"D",83.242,15.303,25.703,57,85
29.157,-13.118,"X",28,"Class4",33.965,"L",52.165,24.538,83.02,71,20
57.821,-10.781,"B",75,"Class4",34.138,"A",52.979,51.225,52.726,73,83
63.914,56.738,"M",58,"Class3",66.918,"D",67.908,82.597,84.166,48,77
32.719,11.053,"L",25,"Class4",34.012,"L",49.031,49.566,77.712,37,NA
30.178,52.572,"A",80,"Class1",65.997,"T",58.174,54.355,71.875,41,78
22.839,71.617,"L",80,"Class3",71.023,"L",71.174,83.672,75.718,49,76
87.671,85.04,"M",58,"Class3",55.978,"P",48.664,82.959,59.871,46,70
89.337,71.807,"F",56,"Class2",64.624,"C",39.174,15.909,14.538,46,94
53.563,52.731,"R",80,"Class1",66.818,"C",67.355,53.783,61.139,42,79
59.07,66.489,"I",66,"Class2",101.982,"C",58.57,9.533,13.529,39,80
39.505,40.016,"Y",55,"Class4",34.264,"A",50.658,24.175,53.123,44,49
72.63,33.248,"X",67,"Class4",34.152,"L",49.473,28.979,52.211,17,51
63.352,10.464,"Y",80,"Class4",34.489,"A",51.71,37.849,83.416,86,84
43.501,32.32,"L",85,"Class3",18.838,"Q",53.155,74.173,63.499,47,97
28.89,64.842,"L",84,"Class3",26.159,"D",55.561,79.295,77.55,47,73
56.697,52.658,"A",79,"Class1",66.993,"Q",60.14,52.806,47.429,42,64
25.842,14.418,"M",72,"Class3",46.079,"P",64.878,87.532,62.448,46,75
13.785,66.095,"C",58,"Class2",72.181,"A",42.99,15.545,15.329,60,98
47.035,52.251,"D",58,"Class1",65.502,"C",68.207,59.039,78.036,41,79
28.547,65.718,"N",63,"Class2",12.417,"D",67.953,NA,23.833,53,67
10.858,32.566,"M",26,"Class3",42.793,"P",47.621,85.539,76.493,49,98
30.831,25.123,"L",39,"Class4",35.021,"W",53.668,44.308,80.407,40,18
31.101,16.728,"L",32,"Class4",35.128,"W",52.947,44.714,59.413,9,19
20.964,76.25,"T",51,"Class3",45.349,"Q",70.783,92.09,77.133,48,91
60.39,30.228,"X",76,"Class4",33.779,"M",52.045,54.081,83.407,38,57
38.44,51.988,"H",81,"Class1",68.065,"T",61.208,58.665,60.189,40,69
81.846,69.171,"I",57,"Class2",24.117,"D",75.372,12.379,36.826,61,69
34.276,53.45,"R",79,"Class1",64.965,"Q",74.616,62.038,55.442,40,91
45.782,50.102,"X",83,"Class4",34.521,"L",51.381,30.015,85.741,91,51
16.195,50.896,"R",32,"Class3",27.977,"P",55.869,73.815,65.101,48,77
56.316,24.704,"B",87,"Class4",35.3,"M",50.108,19.582,83.449,2,43
63.444,27.394,"X",40,"Class4",35.837,"W",51.453,23.675,83.01,32,58
46.769,52.654,"T",80,"Class1",69.559,"O",66.14,57.018,74.843,41,67
73.894,51.412,"T",94,"Class3",68.585,"Q",55.458,89.289,55.586,47,94
40.368,51.842,"R",79,"Class1",63.372,"T",85.123,NA,54.19,40,82
44.242,68.337,"C",66,"Class2",53.032,"C",105.163,6.879,22.514,39,79
38.64,68.47,"J",56,"Class2",72.089,"C",37.549,15.572,22.195,62,71
35.74,51.063,"D",62,"Class1",65.986,"J",62.083,59.6,64.067,41,76
26.924,58.3,"L",59,"Class3",20.581,"P",62.747,81.349,54.53,49,86
17.341,30.411,"R",76,"Class3",55.819,"L",28.901,74.507,64.84,49,99
40.329,52.888,"A",64,"Class1",63.924,"O",65.271,62.082,61.978,41,86
47.994,18.553,"T",69,"Class3",54.465,"E",65.98,88.031,55.587,48,89
51.857,42.6,"T",80,"Class3",64.519,"P",50.687,NA,69.82,45,73
27.262,33.918,"Y",78,"Class4",34.739,"H",52.529,50.857,52.86,52,92
53.135,52.252,"R",85,"Class1",64.469,"J",92.391,51.444,53.99,42,77
52.995,50.548,"T",72,"Class1",64.22,"T",72.588,53.746,73.72,42,90
39.915,38.701,"N",37,"Class3",73.29,"P",51.648,81.792,80.927,49,73
36.703,53.337,"R",61,"Class1",69.503,"T",67.615,57.688,75.868,42,86
39.83,46.454,"Y",88,"Class4",33.644,"M",52.681,34.484,80.705,7,62
26.36,73.626,"L",70,"Class3",20.282,"Q",57.508,80.494,77.786,45,81
30.949,70.325,"T",69,"Class3",42.111,"L",56.113,NA,55.4,48,70
42.418,52.106,"N",72,"Class3",57.105,"L",60.934,74.849,56.605,48,NA
80.477,23.649,"R",91,"Class3",31.641,"P",60.083,87.82,82.922,48,89
73.33,61.586,"L",79,"Class4",34.847,"L",50.601,17.098,56.581,20,60
45.703,52.61,"A",65,"Class1",62.866,"C",82.514,55.134,59.672,40,NA
23.05,53.014,"D",61,"Class1",64.768,"J",64.487,51.434,71.94,41,71
77.697,68.396,"C",66,"Class2",61.825,"C",59.599,8.56,31.646,46,77
45.57,19.308,"D",28,"Class4",34.308,"A",51.457,51.784,56.531,62,50
89.097,65.542,"F",67,"Class2",27.268,"U",54.161,9.437,28.013,52,NA
40.11,51.481,"D",92,"Class1",69.559,"T",83.152,57.932,76.743,41,80
79.368,72.235,"N",65,"Class3",54.697,"Q",38.711,89.854,70.9,49,NA
27.069,51.065,"A",69,"Class1",63.132,"T",68.464,61.705,78.695,41,72
18.388,52.003,"H",67,"Class1",67.07,"Q",79.671,55.619,75.804,41,89
34.168,32.991,"L",30,"Class4",35.481,"A",49.919,NA,69.682,31,70
43.641,33.403,"L",33,"Class3",64.873,"E",43.57,87.304,59.325,47,71
40.2,51.633,"A",68,"Class1",68.721,"J",81.192,53.801,70.135,40,77
29.827,65.562,"L",25,"Class4",34.02,"W",51.252,18.376,83.875,33,11
59.586,38.109,"L",26,"Class3",92.613,"P",50.67,92.622,80.954,47,73
20.843,9.967,"M",37,"Class3",78.81,"D",64.587,NA,81.238,49,88
44.906,70.207,"F",57,"Class2",51.65,"C",37.265,15.951,33.199,61,68
44.878,37.03,"L",51,"Class4",33.091,"A",49.942,49.165,65.373,74,79
51.476,70.682,"F",61,"Class2",55.788,"C",54.912,12.118,22.496,49,97
13.824,40.324,"M",75,"Class3",63.606,"E",64.824,87.773,70.049,46,98
51.64,54.415,"R",65,"Class1",66.007,"T",63.734,53.749,84.059,42,90
44.936,53.182,"T",90,"Class1",61.062,"J",80.275,61.491,75.059,42,87
13.984,91.463,"N",25,"Class3",33.793,"P",42.116,85.461,67.402,46,88
19.068,71.763,"J",63,"Class2",75.655,"C",31.983,11.672,22.329,39,100
34.771,19.322,"X",37,"Class4",33.669,"H",51.578,24.041,62.131,39,55
26.494,62.592,"F",67,"Class2",35.98,"X",60.457,16.787,33.926,46,82
41.626,51.413,"A",86,"Class1",67.015,"C",68.086,59.694,43.899,40,64
36.376,52.482,"T",80,"Class1",61.578,"J",83.228,61.384,51.46,41,77
17.702,67.485,"J",57,"Class2",78.517,"A",70.862,9.032,21.018,46,100
37.785,52.022,"T",79,"Class1",65.523,"O",55.808,54.74,86.692,40,84
56.322,64.861,"N",67,"Class2",81.019,"D",52.529,7.819,18.898,56,70
34.107,52.246,"H",76,"Class1",66.631,"J",45.436,60.06,69.812,40,78
69.195,70.369,"N",60,"Class2",86.165,"A",36.791,14.635,28.847,63,95
56.415,54.303,"H",94,"Class1",63.997,"O",74.782,61.238,81.922,40,72
42.558,73.142,"L",93,"Class3",-4.346,"L",50.628,90.258,59.47,48,80
67.249,65.063,"I",66,"Class2",55.603,"U",79.354,8.247,14.167,47,97
32.761,51.027,"T",89,"Class1",68.547,"Q",80.757,52.771,69.726,41,90
43.452,12.505,"X",78,"Class4",35.683,"H",51.705,37.881,72.867,16,71
44.312,59.371,"J",65,"Class2",53.184,"C",79.209,8.727,14.694,60,70
36.961,51.416,"A",74,"Class1",67.02,"T",81.916,53.347,73.173,40,69
16.516,66.27,"F",56,"Class2",55.484,"D",66.779,13.097,29.387,63,85
60.303,30.631,"D",50,"Class4",35.109,"W",51.478,50.65,82.227,72,28
50.57,53.806,"H",64,"Class1",68.679,"O",73.132,62.433,41.101,42,72
60.953,25.002,"L",92,"Class4",35.822,"A",51.244,43.434,79.868,51,76
81.3,-10.053,"L",93,"Class4",34.815,"W",49.918,45.136,81.153,14,84
32.856,51.323,"A",68,"Class1",65.941,"J",68.518,63.955,61.109,41,81
30.884,54.519,"D",68,"Class1",62.764,"J",69.615,59.675,60.5,40,83
52.416,-0.315,"L",77,"Class4",33.815,"W",51.534,24.131,84.629,63,23
77.084,70.626,"J",58,"Class2",48.656,"C",53.522,8.807,26.789,53,91
32.111,52.487,"D",92,"Class1",64.208,"C",84.317,64.209,83.355,41,79
40.711,18.445,"B",24,"Class4",34.674,"A",51.586,32.048,81.814,32,75
47.283,53.655,"H",71,"Class1",62.309,"Q",70.143,62.749,68.474,42,69
66.901,10.022,"Y",57,"Class4",36.099,"H",52.519,51.569,52.797,18,77
13.083,66.773,"N",61,"Class2",37.102,"D",35.55,16.825,17.835,52,75
61.874,68.947,"C",63,"Class2",55.321,"X",56.193,7.236,36.111,57,89
78.154,63.368,"F",59,"Class2",74.03,"U",72.598,7.739,20.332,44,88
23.497,36.059,"T",52,"Class3",41.695,"E",33.525,91.954,76.69,48,79
58.636,51.384,"A",57,"Class1",64.209,"C",48.373,65.014,49.8,40,67
83.158,70.441,"L",93,"Class3",41.614,"D",46.956,72.416,69.727,47,NA
81.274,57.567,"L",40,"Class3",26.141,"D",61.936,91.241,76.561,46,93
71.565,93.676,"R",87,"Class3",90.312,"L",37.868,73.514,54.856,48,94
59.773,66.125,"J",61,"Class2",42.287,"C",45.467,6.182,20.689,41,66
44.638,51.737,"D",90,"Class1",65.256,"O",58.127,51.589,63.467,42,NA
43.497,53.909,"A",59,"Class1",60.506,"T",74.472,54.423,78.042,40,86
58.928,52.417,"R",73,"Class1",64.808,"T",85.282,61.374,85.6,41,66
35.445,92.338,"T",94,"Class3",71.748,"L",58.745,79.085,65.684,47,84
46.69,44.487,"Y",31,"Class4",34.386,"A",50.441,22.805,83.99,31,41
68.164,56.385,"L",67,"Class4",34.249,"A",50.978,21.62,77.213,11,10
85.056,67.097,"N",67,"Class2",42.706,"A",42.392,14.724,20.58,65,76
55.129,52.162,"T",79,"Class1",67.139,"J",87.679,64.795,52.264,41,83
13.98,22.291,"M",61,"Class3",56.899,"Q",35.371,89.375,69.755,49,96
72.262,9.826,"B",45,"Class4",34.068,"M",51.614,44.874,64.986,17,57
36.975,8.257,"T",78,"Class3",46.667,"Q",52.766,90.076,77.246,46,NA
59.479,56.956,"N",88,"Class3",19.067,"Q",39.676,81.694,77.463,48,76
51.611,51.001,"R",24,"Class3",65.526,"E",75.127,77.476,82.73,48,95
63.792,9.176,"T",69,"Class3",10.827,"E",53.224,75.835,82.762,49,95
13.4,46.351,"T",52,"Class3",57.893,"E",47.895,74.713,79.345,45,99
76.1,71.628,"J",58,"Class2",69.142,"D",106.243,15.263,13.645,66,73
41.138,50.013,"A",89,"Class1",63.815,"T",70.624,58.58,74.911,40,76
26.992,50.852,"L",77,"Class3",29.475,"Q",58.982,91.562,70.094,46,78
54.594,22.971,"L",86,"Class4",33.805,"W",50.894,37.55,53.647,28,73
31.431,10.085,"B",89,"Class4",34.195,"H",50.356,42.468,65.849,24,85
23.637,59.348,"T",45,"Class3",30.651,"D",46.787,86.982,75.551,45,97
23.811,23.598,"T",70,"Class3",36.665,"P",45.962,74.361,54.813,47,76
44.439,51.503,"H",80,"Class1",68.075,"T",53.802,55.092,88.888,41,NA
73.599,55.485,"R",60,"Class3",53.975,"P",47.396,74.246,82.499,46,81
70.257,24.821,"B",35,"Class4",34.669,"W",52.086,29.17,80.128,54,42
24.946,67.053,"J",65,"Class2",71.202,"X",78.706,14.07,23.038,54,85
39.515,-3.42,"B",88,"Class4",34.264,"L",50.711,NA,58.559,29,43
43.833,51.651,"A",92,"Class1",66.752,"J",69.409,60.072,63.481,41,64
54.392,50.412,"T",90,"Class3",19.215,"E",50.303,NA,83.019,46,93
85.459,64.586,"C",67,"Class2",74.186,"D",61.977,10.833,12.4,66,73
19.512,48.653,"R",88,"Class3",36.013,"D",54.996,93.474,84.892,47,76
48.94,53.369,"A",58,"Class1",64.1,"O",77.514,57.991,70.719,40,69
32.731,61.834,"I",56,"Class2",34.345,"D",58.629,17.756,17.529,44,98
48.912,70.864,"C",67,"Class2",92.397,"C",53.288,9.968,21.771,60,63
49.769,51.365,"R",78,"Class1",63.293,"Q",66.855,NA,60.071,41,77
37.067,53.833,"A",79,"Class1",71.051,"O",89.758,59.661,77.055,41,85
33.272,54.519,"M",51,"Class3",89.217,"Q",66.475,92.932,81.817,49,99
70.505,34.129,"D",95,"Class4",34.832,"H",51.315,37.153,53.825,93,57
57.625,52.838,"A",77,"Class1",66.036,"Q",52.736,54.912,53.978,42,65
17.923,66.278,"C",64,"Class2",65.263,"A",58.532,15.951,16.487,48,100
29.076,17.732,"M",80,"Class3",66.557,"P",60.251,88.226,55.597,45,75
45.517,68.938,"C",58,"Class2",101.219,"C",41.544,13.728,33.944,50,68
43.85,54.523,"X",76,"Class4",34.111,"W",50.766,34.731,64.606,73,NA
37.521,38.55,"N",45,"Class3",28.114,"L",51.855,88.626,73.662,46,93
53.427,52.526,"A",70,"Class1",64.604,"Q",79.667,63.141,84.889,42,71
58.158,36.682,"B",38,"Class4",35.068,"W",51.285,51.53,64.923,34,53
72.284,64.993,"C",56,"Class2",29.638,"D",58.912,13.081,22.859,59,86
48.664,53.499,"A",95,"Class1",67.19,"Q",61.508,55.937,41.17,42,76
79.876,48.038,"N",42,"Class3",49.587,"E",71.958,87.154,66.28,48,83
76.086,79.315,"R",73,"Class3",27.235,"D",61.026,74.671,72.902,45,94
20.509,65.885,"C",56,"Class2",86.797,"U",88.256,15.938,30.524,61,67
74.429,26.724,"L",72,"Class4",34.85,"W",53.252,45.41,68.959,14,70
74.818,7.759,"X",85,"Class4",34.929,"A",52.33,19.608,51.912,45,17
31.119,35.25,"B",16,"Class4",33.948,"M",49.081,50.589,54.065,69,65
42.181,63.236,"F",57,"Class2",69.599,"C",64.036,14.141,21.053,39,81
34.258,52.531,"A",57,"Class1",64.13,"J",96.285,65.59,63.829,41,76
49.767,45.441,"D",27,"Class4",32.266,"W",51.695,32.053,70.279,16,87
29.144,68.529,"C",65,"Class2",47.263,"U",71.01,13.33,18.727,64,70
81.361,31.539,"N",39,"Class3",58.491,"E",49.99,90.77,64.894,46,73
53.489,17.373,"L",94,"Class4",36.452,"A",50.881,23.357,79.773,53,26
72.79,48.924,"T",64,"Class3",19.891,"Q",40.678,84.607,76.346,48,98
55.91,46.84,"L",82,"Class3",22.078,"L",59.823,93.29,75.415,48,93
52.996,67.566,"N",58,"Class2",81.516,"D",91.923,14.067,22.323,49,65
50.05,53.786,"T",65,"Class3",30.062,"E",43.754,74.908,67.286,47,71
85.108,68.239,"J",61,"Class2",40.896,"U",20.772,9.303,27.013,39,67
66.805,71.317,"M",41,"Class3",43.412,"L",74.871,76.321,57.326,48,75
71.283,68.882,"N",58,"Class2",43.256,"A",38.724,11.582,25.753,39,74
44.648,54.204,"T",32,"Class3",8.879,"E",60.133,78.439,68.565,49,87
85.384,65.145,"N",59,"Class2",71.458,"C",41.417,11.353,21.784,44,69
14.768,37.351,"L",38,"Class3",97.875,"L",61.552,90.44,55.569,48,84
38.755,49.553,"M",66,"Class3",29.544,"P",38.034,94.265,56.825,45,71
43.525,67.693,"C",64,"Class2",35.63,"D",39.623,17.294,20.369,64,96
52.535,47.938,"B",73,"Class4",35.858,"A",49.381,39.325,81.23,26,29
33.674,51.773,"A",66,"Class1",68.287,"O",65.773,59.203,84.651,40,76
21.581,53.319,"T",93,"Class1",63.441,"Q",77.459,58.112,56.634,42,68
65.688,1.703,"Y",52,"Class4",33.638,"W",49.834,31.566,67.688,23,29
44.539,53.205,"D",67,"Class1",66.594,"T",54.75,61.919,76.037,42,NA
23.807,53.766,"R",63,"Class1",66.604,"T",70.529,61.803,85.226,41,69
37.793,52.388,"T",95,"Class1",67.517,"O",81.98,62.706,74.14,42,67
30.695,64.017,"C",67,"Class2",44.891,"D",36.532,6.733,34.573,56,76
49.759,38.783,"B",76,"Class4",34.167,"M",48.611,50.034,59.08,31,25
54.066,35.261,"B",64,"Class4",34.488,"M",53.679,21.041,85.411,28,NA
16.272,67.945,"N",65,"Class2",77.907,"U",23.376,6.278,35.27,57,74
22.747,65.148,"I",63,"Class2",78.26,"U",68.915,8.536,33.594,60,76
35.824,52,"H",83,"Class1",65.883,"Q",70.958,56.529,53.623,40,64
44.538,34.492,"D",58,"Class4",36.418,"H",52.835,52.197,83.986,32,18
45.313,36.82,"L",16,"Class4",35.147,"L",50.869,38.653,65.124,11,77
85.445,67.368,"I",60,"Class2",22.902,"A",28.057,12.254,27.208,66,68
88.737,67.257,"C",66,"Class2",72.399,"U",99.028,13.692,16.973,49,94
26.623,64.826,"L",54,"Class3",18.775,"Q",57.958,90.318,77.556,47,79
76.081,20.51,"T",82,"Class3",49.68,"E",63.904,84.299,55.446,46,84
43.88,53.412,"D",85,"Class1",68.016,"T",79.431,52.582,49.33,42,89
18.612,50.891,"D",83,"Class1",67.056,"C",84.334,57.745,67.282,41,86
63.599,55.249,"N",85,"Class3",97.403,"L",59.516,76.617,57.822,49,94
48.925,22.249,"X",89,"Class4",34.999,"L",51.969,47.222,51.702,7,90
45.481,30.397,"T",35,"Class3",36.322,"E",62.367,94.321,81.985,47,74
35.891,52.06,"H",75,"Class1",67.16,"C",62.604,60.781,60.986,40,85
34.719,35.987,"T",94,"Class3",26.482,"E",35.099,90.284,77.252,47,95
74.828,66.133,"D",30,"Class4",33.786,"A",52.084,NA,80.644,65,92
29.298,48.186,"D",24,"Class4",34.462,"H",51.036,17.738,57.327,25,62
65.868,27.309,"Y",64,"Class4",36.263,"W",51.457,49.815,61.616,49,25
42.174,66.238,"N",61,"Class2",27.653,"D",51.642,17.778,35.915,50,95
21.087,54.564,"R",90,"Class1",68.91,"C",76.511,55.313,81.28,40,88
39.858,20.149,"X",84,"Class4",34.725,"M",51.929,43.426,55.45,78,60
60.071,29.78,"X",41,"Class4",34.516,"A",50.758,21.235,67.837,57,64
79.209,70.172,"F",59,"Class2",57.547,"C",91.057,11.485,21.516,38,99
20.138,71.737,"I",59,"Class2",79.993,"A",35.36,16.71,23.329,49,88
63.185,35.832,"B",66,"Class4",35.2,"W",51.438,NA,72.202,45,9
38.672,67.654,"N",62,"Class2",38.946,"D",67.625,15.437,26.986,55,70
73.715,58.197,"N",74,"Class3",22.717,"Q",55.378,87.355,84.196,49,77
38.14,51.062,"H",92,"Class1",71.125,"O",71.711,52.948,72.555,41,73
65.38,41.212,"R",27,"Class3",25.271,"L",56.911,75.913,84.423,46,92
58.854,24.006,"L",74,"Class4",36.363,"A",50.435,26.361,62.25,58,22
36.394,52.024,"A",65,"Class1",66.185,"O",86.839,60.509,61.135,41,80
80.55,27.105,"T",78,"Class3",61.021,"D",69.882,88.272,79.789,47,75
88.843,67.288,"C",66,"Class2",61.895,"X",38.686,17.403,12.716,44,89
74.358,22.595,"X",91,"Class4",33.961,"A",51.935,41.119,67.254,75,32
37.416,16.62,"Y",75,"Class4",33.11,"L",52.624,30.412,61.939,57,32
50.175,35.643,"T",34,"Class3",58.711,"Q",66.566,76.105,65.944,47,97
28.099,52.491,"R",81,"Class1",61.698,"T",45.736,54.571,87.074,40,64
37.981,67.265,"I",58,"Class2",77,"C",82.992,14.582,32.649,60,93
57.071,53.327,"R",76,"Class1",67.098,"T",65.697,64.245,43.735,42,78
14.482,48.108,"N",44,"Class3",21.829,"D",40.501,74.32,56.121,49,75
54.421,51.124,"D",82,"Class1",62.433,"T",76.137,65.994,55.156,40,67
68.821,64.762,"C",65,"Class2",24.596,"U",61.859,12.302,19.982,40,97
19.598,22.013,"L",57,"Class3",55.693,"P",58.59,82.187,74.81,46,83
72.156,68.265,"T",44,"Class3",54.627,"P",42.601,85.919,63.304,47,76
37.528,36.559,"L",54,"Class4",34.367,"L",48.193,36.042,54.847,71,64
36.415,61.074,"D",18,"Class4",33.695,"H",49.301,21.808,76.017,20,14
22.99,67.753,"F",56,"Class2",61.14,"C",88.314,6.44,28.534,66,67
90.383,69.124,"J",66,"Class2",88.107,"D",66.66,14.076,33.866,47,66
87.703,65.881,"C",60,"Class2",41.238,"X",41.665,15.064,21.216,42,95
64.825,62.994,"R",76,"Class3",55.963,"L",47.65,72.236,61.429,45,89
21.776,53.669,"D",82,"Class1",64.033,"Q",70.462,51.523,65.317,40,72
76.453,71.26,"F",61,"Class2",51.278,"C",67.114,7.6,30.31,63,76
31.477,52.357,"A",81,"Class1",63.615,"T",64.303,59.403,70.834,40,74
77.169,50.372,"B",40,"Class4",35.497,"H",52.583,31.111,57.364,33,41
72.212,69.615,"F",66,"Class2",78.006,"A",65.625,NA,17.875,64,81
69.828,65.984,"C",66,"Class2",88.005,"A",48.189,11.521,35.627,42,92
40.528,58.152,"N",50,"Class3",38.709,"D",50.33,81.001,80.562,49,99
27.546,46.016,"B",57,"Class4",33.92,"A",51.132,31.098,65.477,33,32
26.994,88.911,"L",39,"Class3",73.492,"E",57.103,86.115,77.175,45,82
77.15,12.619,"Y",60,"Class4",34.421,"A",51.271,22.952,80.146,3,47
36.791,13.544,"Y",87,"Class4",33.586,"W",51.971,28.704,74.491,25,25
38.988,52.521,"A",78,"Class1",65.406,"Q",63.161,60.135,75.38,41,72
20.092,65.054,"I",56,"Class2",17.031,"U",48.968,16.068,22.217,52,88
67.45,23.896,"D",24,"Class4",35.926,"W",51.67,39.619,78.814,78,67
37.452,55.473,"L",60,"Class3",69.43,"P",46.103,92.774,74.289,45,82
82.187,41.962,"D",17,"Class4",34.44,"W",49.55,46.904,78.392,21,NA
16.298,67.792,"N",56,"Class2",83.767,"U",0.982,16.496,33.115,46,65
56.789,20.799,"D",87,"Class4",34.805,"L",52.111,NA,83.836,5,52
32.632,69.422,"F",63,"Class2",35.975,"U",88.745,16.734,25.618,49,92
42.789,67.934,"C",66,"Class2",95.052,"A",62.797,14.651,28.082,52,92
62.808,71.898,"L",87,"Class3",38.78,"D",46.142,79.298,57.531,46,92
29.347,74.589,"B",28,"Class4",32.975,"W",50.269,44.833,83.912,67,79
34.668,51.317,"T",89,"Class1",65.581,"J",64.721,65.257,60.147,40,75
20.961,54.114,"A",92,"Class1",62.748,"Q",74.376,58.342,78.953,40,86
71.64,68.818,"I",65,"Class2",24.84,"D",51.065,15.557,27.52,54,100
67.422,69.342,"C",67,"Class2",55.945,"A",74.873,7.522,19.818,60,66
23.858,50.91,"D",70,"Class1",65.365,"T",87.37,61.295,59.552,41,87
33.505,67.22,"F",56,"Class2",57.607,"C",32.168,8.967,17.61,39,69
81.284,99.995,"L",89,"Class3",63.64,"E",68.959,81.76,73.208,45,74
48.443,57.312,"Y",85,"Class4",37.042,"W",52.553,52.901,64.575,10,13
54.239,52.312,"T",75,"Class1",69.368,"C",81.673,55.78,47.077,42,64
68.078,34.693,"X",19,"Class4",34.23,"W",50.329,54.574,81.614,64,77
24.19,62.43,"I",62,"Class2",75.201,"A",60.67,17.546,14.309,64,93
19.411,39.968,"L",87,"Class3",31.089,"Q",39.156,76.682,58.682,49,96
74.244,29.453,"B",86,"Class4",34.905,"M",50.202,41.07,63.827,29,25
35.707,71.829,"J",66,"Class2",66.631,"A",59.654,6.915,30.963,63,88
37.365,50.364,"D",63,"Class1",71.642,"C",56.537,58.741,75.013,40,70
55.334,23.401,"X",40,"Class4",34.495,"A",50.594,39.146,86.087,33,72
39.96,52.529,"T",63,"Class1",69.319,"T",60.839,53.39,66.249,40,91
28.561,58.328,"L",71,"Class4",33.323,"L",50.735,53.966,72.158,93,78
53.845,83.081,"T",79,"Class3",17.936,"P",74.989,81.567,57.13,49,82
47.568,23.399,"Y",81,"Class4",35.061,"L",49.358,51.65,77.337,4,76
20.163,69.128,"R",85,"Class3",97.223,"E",42.874,92.885,59.835,49,96
34.575,31.062,"D",31,"Class4",33.45,"L",50.944,54.054,77.888,23,13
53.02,68.62,"C",58,"Class2",38.039,"A",77.204,14.907,31.083,62,99
50.067,52.61,"D",68,"Class1",63.895,"J",68.088,65.028,76.113,42,86
49.751,69.721,"C",62,"Class2",47.766,"U",54.446,15.3,19.67,47,62
35.539,67.746,"N",64,"Class2",104.96,"D",18.96,17.2,29.614,39,65
26.471,41.032,"L",39,"Class3",20.374,"D",59.958,83.38,80.844,47,88
80.227,32.612,"L",81,"Class3",19.596,"P",75.11,78.713,73.281,47,92
46.733,51.3,"T",67,"Class1",67.715,"C",61.822,56.333,61.459,40,89
32.033,24.878,"L",89,"Class3",33.279,"Q",53.476,74.689,63.779,45,92
18.82,68.03,"F",62,"Class2",65.459,"X",70.737,NA,16.025,50,96
