"K1","K2","K3","K4","K5","K6","Output10","K7","K8","K9","K10","K11"
44,31.973,34.897,52.691,18.998,84,"Class2",73,"R",94.461,11.266,"I"
59,69.724,27.226,31.213,66.96,21,"Class3",22,"W",63.49,35.95,"D"
83,84.539,43.59,98.811,71.318,68,"Class1",18,"Z",45.21,30.243,"W"
47,85.231,30.718,34.272,71.767,36,"Class3",57,"G",76.416,60.186,"P"
14,26.99,34.461,23.603,NA,69,"Class2",70,"R",92.62,27.789,"M"
43,70.296,34.469,30.298,72.686,23,"Class3",55,"Q",72.622,18.031,"F"
59,87.602,22.698,97.761,89.089,77,"Class1",45,"Z",45.027,71.698,"W"
75,55.57,32.168,32.123,72.413,43,"Class3",51,"B",77.087,21.75,"E"
52,91.371,22.667,98.879,91.785,79,"Class1",17,"A",69.608,36.539,"W"
85,99.102,42.143,97.208,91.8,76,"Class1",NA,"A",40.203,60.818,"X"
48,99.099,32.386,74.585,62.12,41,"Class3",54,"Q",104.403,45.27,"E"
44,67.719,33.694,5.935,59.413,48,"Class3",32,"H",83.1,21.099,"F"
63,95.655,28.821,97.451,72.741,88,"Class1",76,"Z",50.858,51.15,"V"
73,90.519,44.63,97.973,79.429,77,"Class1",30,"L",40.762,15.388,"I"
59,90.469,38.38,97.492,78.607,83,"Class1",41,"T",72.728,44.905,"X"
61,27.918,39.04,11.846,16.766,46,"Class2",66,"Z",91.615,29.197,"L"
66,89.3,42.129,97.452,87.357,69,"Class1",28,"T",68.594,88.553,"I"
90,43.12,32.352,45.796,17.465,90,"Class2",73,"C",93.094,26.995,"D"
10,44.506,45.262,8.171,17.135,66,"Class2",67,"B",97.689,27.316,"L"
64,54.131,37.252,46.721,14.264,79,"Class2",67,"B",92.01,12.736,"L"
81,46.072,35.492,58.869,17.691,80,"Class2",66,"C",96.439,21.427,"M"
69,35.325,36.355,52.991,17.667,59,"Class2",68,"Z",92.881,7.121,"M"
81,92.579,41.316,97.937,76.986,79,"Class1",14,"B",58.845,43.075,"V"
37,98.103,32.342,14.656,74.442,10,"Class3",36,"Q",110.294,26.068,"E"
41,86.303,34.475,20.578,NA,46,"Class3",10,"Q",38.089,68.669,"W"
48,97.101,33.039,98.621,95.452,80,"Class1",67,"A",44.483,43.696,"V"
68,69.275,29.73,75.349,61.795,6,"Class3",NA,"W",43.685,35.331,"F"
46,89.275,20.111,97.125,85.663,76,"Class1",52,"Z",63.22,46.664,"V"
73,26.304,31.553,63.934,13.374,85,"Class2",67,"Z",94.983,14.796,"X"
56,87.76,35.042,97.354,79.271,89,"Class1",29,"T",67.114,34.257,"X"
45,28.857,36.672,13.578,NA,56,"Class2",NA,"R",93.674,31.761,"D"
37,95.355,37.92,98.704,80.311,88,"Class1",6,"B",54.653,30.417,"V"
12,32.408,43.248,29.165,14.092,80,"Class2",71,"C",90.493,42.977,"L"
22,51.745,37.459,58.254,15.467,58,"Class2",68,"T",91.303,27.595,"D"
20,54.496,43.987,94.212,19.262,55,"Class2",71,"C",91.487,25.325,"D"
11,53.722,45.934,27.853,19.084,77,"Class2",67,"T",93.918,23.998,"L"
14,41.114,40.941,23.341,18.897,80,"Class2",70,"R",94.062,36.075,"I"
84,40.542,46.643,22.229,18.886,39,"Class2",73,"Z",96.132,16.277,"X"
19,46.999,41.608,83.569,17.271,86,"Class2",70,"R",96.807,30.733,"L"
84,67.743,30.712,30.77,78.734,41,"Class3",27,"W",28.717,15.422,"P"
75,90.17,25.708,97.017,74.076,87,"Class1",62,"Z",69.698,13.128,"X"
85,87.954,33.536,3.007,68.276,88,"Class3",28,"W",59.347,55.246,"E"
82,88.732,40.123,97.37,96.131,68,"Class1",11,"T",81.182,-10.301,"N"
49,72.375,27.972,53.979,61.885,16,"Class3",21,"G",47.663,29.592,"P"
43,80.624,25.291,98.185,75.56,78,"Class1",26,"T",67.256,68.329,"X"
68,87.253,34.313,43.526,59.017,38,"Class3",16,"B",27.866,61.899,"F"
36,44.635,32.578,50.797,18.009,80,"Class2",67,"C",99.299,29.765,"I"
62,43.67,37.272,64.097,15.037,39,"Class2",72,"B",94.427,15.83,"X"
65,66.975,29.991,77.108,60.403,28,"Class3",29,"W",53.219,33.494,"W"
50,83.931,34.499,31.801,72.094,46,"Class3",55,"W",31.377,13.425,"D"
57,82.201,24.963,98.103,84.941,88,"Class1",20,"Z",56.045,72.52,"I"
50,101.857,29.503,98.339,71.505,84,"Class1",51,"L",43.551,33.498,"N"
41,82.268,35.753,35.368,70.046,27,"Class3",51,"Q",46.906,113.854,"E"
53,92.04,23.928,97.369,92.394,66,"Class1",23,"Z",49.52,91.125,"X"
66,59.114,35.709,5.515,74.719,8,"Class3",26,"W",40.842,19.047,"E"
40,73.822,30.311,6.509,64.368,80,"Class3",19,"H",54.227,-6.139,"D"
62,86.027,36.948,89.794,15.528,79,"Class2",71,"Z",94.984,20.829,"X"
8,35.261,45.404,63.004,16.193,50,"Class2",67,"T",94.958,20.108,"X"
68,44.109,35.369,40.986,61.806,88,"Class3",8,"G",77.64,41.207,"W"
23,50.694,42.882,87.399,13.673,60,"Class2",71,"Z",94.955,28.002,"I"
59,88.577,32.353,75.761,66.407,12,"Class3",15,"B",62.738,70.088,"E"
61,92.852,40.342,98.047,77.701,65,"Class1",8,"Z",49.271,27.339,"X"
29,38.5,44.303,53.776,19.67,57,"Class2",68,"T",92.615,24.197,"D"
16,40.327,37.666,31.263,NA,44,"Class2",72,"B",95.067,24.048,"X"
39,29.466,40.985,73.57,13.769,57,"Class2",67,"T",96.281,15.75,"M"
49,49.903,35.173,73.314,70.424,42,"Class3",38,"G",59.924,40.461,"W"
73,91.303,44.564,98.364,NA,88,"Class1",40,"T",41.893,78.378,"W"
75,40.39,40.643,39.34,NA,49,"Class2",67,"B",93.499,19.754,"M"
59,88.557,35.546,97.583,82.707,72,"Class1",30,"T",49.372,105.577,"V"
62,28.521,40.248,88.506,NA,81,"Class2",65,"C",94.666,35.599,"I"
44,28.833,43.336,38.131,17.488,82,"Class2",69,"C",92.317,22.344,"X"
64,91.71,30.409,97.486,93.098,67,"Class1",79,"Z",56.764,21.073,"X"
62,97.242,20.029,97.132,92.903,88,"Class1",76,"B",67.052,78.334,"W"
40,54.274,33.975,35.822,13.162,77,"Class2",70,"R",95.21,28.763,"L"
84,91.165,41.983,98.907,74.278,77,"Class1",24,"T",68.429,69.168,"X"
57,44.805,29.219,46.479,68.981,56,"Class3",48,"G",62.403,65.19,"D"
86,94.757,21.881,97.735,89.345,77,"Class1",71,"T",49.692,76.318,"V"
84,96.219,29.603,97.917,91.233,67,"Class1",NA,"A",59.913,26.303,"I"
37,80.116,25.98,97.518,84.48,88,"Class1",80,"B",62.319,90.347,"X"
79,93.541,20.378,98.723,76.101,70,"Class1",NA,"L",56.815,42.74,"W"
74,41.223,43.071,87.336,14.395,62,"Class2",68,"C",95.917,14.477,"X"
49,91.987,41.446,97.094,83.809,85,"Class1",51,"B",85.532,89.656,"N"
