"U1","U2","U3","U4","U5","Output20","U6","U7","U8","U9","U10","U11"
17.951,21.962,52,29,74.422,"Class3","R",17.21,14.063,"I",32,5.426
28.715,82.347,39,80,57.046,"Class1","B",48.573,91.436,"P",28,98.36
48.745,78.399,67,69,51.735,"Class4","F",89.318,28.162,"O",50,29.225
58.104,50.11,88,72,21.801,"Class4","N",89.425,36.503,"S",62,58.883
55.536,26.358,65,21,19.239,"Class2","O",85.621,76.727,"E",80,47.099
31.991,21.122,61,28,80.735,"Class3","G",19.518,28.919,"I",27,34.446
15.688,70.645,19,82,43.964,"Class1","B",19.743,26.174,"U",67,76.392
16.679,78.101,54,81,63.19,"Class4","M",90.897,31.825,"J",26,53.954
15.597,70.09,39,83,54.021,"Class1","Y",12.592,29.556,"U",64,27.123
47.945,22.387,90,74,53.587,"Class4","J",92.637,30.884,"O",47,53.414
52.793,29.287,61,26,19.639,"Class2","G",87.206,59.614,"E",83,42.672
21.48,21.568,57,23,87.05,"Class3","Z",11.559,19.113,"O",18,27.194
37.984,41.238,15,77,42.093,"Class1","C",50.449,72.857,"M",66,50.578
29.057,21.313,48,19,56.282,"Class3","Y",16.739,26.562,"C",12,56.826
65.55,27.995,68,69,-2.9,"Class4","N",92.051,38.03,"O",15,55.642
34.486,33.074,78,63,33.637,"Class4","Y",90.29,24.005,"H",92,33.236
44.804,35.544,51,22,22.79,"Class2","Y",89.392,78.7,"P",79,47.448
23.526,21.774,57,29,53.772,"Class3","Y",14.44,32.375,"O",9,42.948
31.029,21.052,46,23,89.04,"Class3","Y",11.221,11.406,"N",12,3.989
18.049,69.172,14,80,51.366,"Class1","Y",48.062,56.222,"M",22,87.573
27.845,50.573,23,76,31.592,"Class1","Z",11.713,70.159,"C",56,42.233
65.878,48.737,70,79,39.556,"Class4","Y",91.801,25.357,"H",27,53.553
27.579,21.634,29,13,91.521,"Class3","T",9.562,12.355,"S",19,37.817
18.353,21.7,47,16,81.49,"Class3","G",9.637,26.11,"N",32,35.502
45.611,72.582,48,64,45.642,"Class4","J",89.765,35.413,"S",65,44.91
53.335,22.166,51,12,19.426,"Class2","G",88.911,27.302,"F",76,44.636
27.652,21.551,45,30,77.986,"Class3","G",10.698,15.196,"C",35,64.952
17.23,53.207,28,92,86.904,"Class1","B",8.948,18.468,"P",69,27.78
24.079,60.758,47,72,22.945,"Class4","Y",88.003,38.24,"J",80,32.153
30.705,54.457,11,77,81.871,"Class1","K",17.199,90.935,"F",20,43.285
61.026,21.378,55,81,40.181,"Class4","N",88.4,18.931,"W",29,37.999
50.818,50.618,71,81,95.493,"Class4","Y",92.266,27.724,"H",11,39.816
54.854,38.67,56,25,23.869,"Class2","Y",88.152,65.489,"A",83,48.287
12.675,29.111,11,80,14.96,"Class1","K",56.607,89.174,"M",62,100.094
41.093,40.236,51,NA,21.935,"Class2","O",86.046,29.732,"P",76,38.834
43.803,21.641,52,31,18.828,"Class2","O",92.916,90.034,"E",79,47.45
27.922,21.173,48,30,84.176,"Class3","T",12.616,12.927,"C",8,24.323
15.473,21.411,51,33,77.208,"Class3","G",19.344,19.423,"S",27,43.686
14.371,21.471,33,20,92.024,"Class3","Z",13.955,22.768,"S",11,79.083
31.866,47.371,54,87,67.745,"Class1","Y",38.985,66.916,"M",49,52.898
54.425,46.138,55,7,22.614,"Class2","O",83.057,37.988,"E",80,45.272
47.875,32.21,41,74,22.001,"Class4","M",88.529,40.112,"H",85,21.303
25.408,21.019,45,19,35.571,"Class3","Z",19.996,25.526,"N",7,34.775
42.325,22.59,55,51,19.348,"Class2","O",89.027,73.115,"A",78,42.518
25.203,21.718,41,13,50.393,"Class3","T",10.312,30.742,"N",12,19.295
53.025,80.237,61,71,0.531,"Class4","F",91.681,21.009,"S",56,47.966
17.321,21.933,52,15,61.296,"Class3","Y",12.754,33.862,"O",11,28.847
48.848,36.504,59,21,21.898,"Class2","U",89.891,65.242,"E",78,40.472
43.082,42.89,64,15,15.474,"Class2","J",93.332,78.836,"P",77,38.047
26.007,21.064,37,32,30.717,"Class3","Z",12.455,29.279,"S",32,48.767
12.296,60.193,19,80,106.634,"Class1","C",7.804,90.124,"M",53,66.123
31.512,60.425,32,85,17.463,"Class1","Y",39.255,69.199,"P",30,29.16
14.155,21.258,50,7,31.74,"Class3","G",15.665,21.453,"I",33,18.385
21.771,21.992,45,9,80.393,"Class3","R",15.833,18.557,"O",19,10.88
14.212,21.892,60,12,50.627,"Class3","R",17.899,22.715,"S",28,86.172
39.783,54.143,49,80,19.168,"Class4","F",89.61,21.662,"W",34,49.883
18.91,58.991,30,91,58.518,"Class1","Y",10.611,76.715,"M",61,66.624
16.976,62.284,46,85,101.567,"Class1","Y",7.461,87.309,"F",46,78.566
19.236,21.958,31,NA,17.929,"Class3","Z",14.877,25.731,"N",19,3.257
12.475,49.784,55,75,84.926,"Class1","K",8.341,17.314,"P",31,93.03
19.748,21.461,36,20,42.492,"Class3",NA,10.437,16.325,"N",13,36.267
20.421,45.551,25,NA,84.841,"Class1","Z",39.565,56.185,"C",69,62.674
13.56,45.328,29,90,61.403,"Class1","C",45.901,42.1,"M",48,53.768
46.355,18.888,56,15,21.028,"Class2","J",91.252,22.005,"P",83,41.632
50.581,31.755,54,30,21.779,"Class2","O",86.37,49.381,"A",82,45.54
16.068,75.544,43,89,42.923,"Class1","K",20.771,68.82,"M",50,37.057
19.036,21.598,33,NA,75.424,"Class3","Z",20.637,16.311,"S",33,20.404
59.12,22.958,61,51,19.78,"Class2","Y",83.363,41.935,"F",78,46.539
42.421,34.216,41,84,72.893,"Class1","Y",17.858,60.648,"U",67,58.869
67.957,22.445,66,67,17.909,"Class2","U",88.866,81.05,"F",81,50.972
57.725,28.082,65,NA,18.171,"Class2","Y",84.511,46.313,"A",77,37.074
39.39,47.261,19,73,105.088,"Class1","Y",6.227,23.595,"F",39,62.678
53.601,25.445,53,1,18.189,"Class2","O",92.57,85.341,"L",82,48.2
55.788,42.306,63,58,24.874,"Class2","G",91.855,63.711,"L",78,46.651
20.743,21.256,33,35,81.217,"Class3","Y",20.886,25.091,"I",27,-6.17
41.987,41.939,53,2,19.645,"Class2","G",91.105,50.077,"L",80,36.179
19.873,40.394,25,82,64.934,"Class1","C",33.437,44.066,"M",66,77.032
17.178,21.734,29,10,62.692,"Class3","T",10.938,32.995,"N",29,35.553
44.964,31.439,48,63,76.932,"Class4","Y",91.721,27.388,"O",82,41.402
