"Output24","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11"
"Class1",66.513,94.913,"G",49.693,94.718,74,21.764,50,12.887,"A",38
"Class2",41.512,88.177,"Q",26.164,92.517,67,40.387,55,32.239,"L",45
"Class3",40.035,48.71,"I",38.797,35.161,26,74.541,61,68.866,"G",47
"Class2",52.555,86.87,"Q",34.159,62.891,61,51.646,49,13.366,"F",27
"Class3",58.314,45.887,"K",32.153,14.147,66,77.549,64,71.401,"O",47
"Class3",6.782,48.344,"L",33.487,24.045,33,84.842,55,69.27,"G",47
"Class3",-10.033,51.547,"J",34.646,8.134,37,80.687,58,66.878,"Z",47
"Class2",23.339,88.859,"Q",34.448,53.393,66,34.396,57,41.805,"G",22
"Class2",50.305,85.739,"C",24.977,29.293,67,40.9,61,23.237,"L",46
"Class3",18.262,48.937,"L",27.408,36.99,70,76.287,72,70.733,"O",47
"Class4",7.527,27.31,"D",41.254,25.081,56,58.692,85,82.26,"K",15
"Class2",22.471,88.23,"Q",36.867,36.578,61,40.239,60,21.93,"J",31
"Class4",8.713,25.814,"G",38.613,20.711,69,NA,29,82.506,"P",16
"Class3",51.359,51.865,"J",45.538,29.309,85,73.5,44,71.203,"O",46
"Class2",64.64,89.943,"Q",32.261,57.244,66,35.916,57,28.8,"F",44
"Class4",6.142,25.243,"R",47.226,4.487,93,17.294,92,82.79,"M",16
"Class1",70.902,96.266,NA,104.338,97.304,83,NA,52,13.972,"S",39
"Class1",66.107,97.581,"P",91.125,94.087,78,45.665,63,15.124,"E",38
"Class3",70.449,48.286,"K",21.079,27.216,25,80.15,62,67.178,"Z",46
"Class1",57.999,96.72,"P",76.395,96.399,73,32.897,62,14.304,"V",40
"Class4",11.468,24.879,"R",9.492,22.503,56,34.035,91,82.604,"W",15
"Class1",69.476,96.766,"G",52.574,93.549,75,32.942,45,14.095,"E",38
"Class2",36.934,93.727,"Q",25.567,64.727,70,53.658,46,9.455,"F",56
"Class1",57.444,93.777,"G",65.746,96.683,76,32.396,50,14.219,"V",39
"Class3",38.629,49.503,"L",36.478,29.383,45,75.338,56,67.477,"Z",46
"Class3",51.148,52.115,"K",45.193,42.704,61,79.077,65,70.675,"O",47
"Class3",49.41,48.951,"J",45.632,26.263,26,77.376,62,68.72,"H",46
"Class2",40.486,87.3,"B",34.851,95.21,68,39.359,55,17.269,"L",45
"Class1",67.716,94.118,"G",55.126,97.116,73,51.275,69,13.303,"V",38
"Class1",58.916,92.001,"J",44.552,93.744,83,26.036,59,12.407,"S",38
"Class1",73.51,96.259,"W",44.979,96.11,76,33.34,66,13.643,"S",39
"Class1",40.859,92.322,"G",122.887,93.515,71,51.417,46,14.703,"L",39
"Class2",29.947,93.362,"G",26.612,69.628,69,41.384,46,26.612,"J",23
"Class4",4.009,24.1,"P",-12.319,16.406,94,38.857,22,82.369,"K",15
"Class4",11.023,24.233,"O",32.957,14.253,90,60.271,84,82.811,"R",15
"Class1",79.332,95.477,"F",66.413,94.355,81,59.081,68,14.604,"A",39
"Class1",60.967,93.553,"P",68.143,94.955,71,60.565,52,12.392,"A",39
"Class2",35.407,86.241,"Q",29.916,33.653,68,40.219,55,44.582,"J",57
"Class1",51.837,96.566,"W",75.023,97.326,71,31.522,62,13.897,"A",39
"Class3",50.408,45.531,"K",50.364,38.811,57,77.126,76,70.213,"H",47
"Class4",-0.535,25.501,"R",66.981,24.699,74,31.894,74,82.69,"R",15
"Class2",41.635,87.451,NA,27.784,30.33,70,54.322,48,23.054,"J",28
"Class3",48.138,48.86,"J",41.289,35.958,94,75.6,68,68.701,"G",46
"Class1",59.41,96.042,"G",71.439,94.582,72,57.845,55,14.943,"L",38
"Class3",46.549,47.629,"J",24.371,46.068,61,77.974,60,68.599,"O",47
"Class3",-0.183,45.372,"J",34.012,27.33,41,69.856,51,66.223,"O",47
"Class3",10.518,52.25,"U",33.983,43.132,59,75.774,45,66.814,"G",46
"Class2",29.357,87.225,"R",25.642,86.839,67,48.234,54,12.681,"G",59
"Class3",20.188,48.844,"U",21.287,23.041,23,81.146,74,71.066,"O",46
"Class1",58.417,97.219,"F",48.031,95.196,74,NA,57,14.247,"A",40
"Class1",75.97,95.337,"P",57.171,93.926,75,24.307,47,12.832,"A",39
"Class4",4.21,27.08,"D",74.432,21.893,80,51.679,43,82.955,"R",15
"Class4",2.205,23.854,"O",42.926,12.353,47,52.553,66,82.676,"K",16
"Class2",33.084,89.573,"C",31.68,29.949,63,49.412,60,43.608,"F",14
"Class4",10.154,27.502,"D",23.255,12.137,57,39.785,88,82.767,"M",16
"Class4",2.42,26.766,"R",84.167,30.168,84,46.625,26,82.647,"M",16
"Class3",15.568,48.736,"J",43.268,53.798,78,82.152,48,66.631,"U",46
"Class1",48.71,95.286,"G",109.832,96.442,75,24.034,62,14.659,"S",38
"Class1",55.355,95.365,"J",71.385,95.767,76,60.283,60,13.041,"S",40
"Class4",6.751,25.171,"R",33.647,29.819,57,17.448,80,82.421,"P",15
"Class3",66.947,52.333,"U",39.048,47.38,59,76.153,58,67.447,"H",46
"Class2",40.538,91.269,NA,24.183,56.69,65,34.927,46,18.575,"Y",33
"Class3",47.539,47.32,"K",39.867,25.574,62,71.304,74,68.689,"G",46
"Class4",9.794,25.898,"O",69.064,13.367,77,25.3,92,82.56,"P",16
"Class3",61.609,51.072,"K",19.619,30.491,86,77.945,59,66.257,"Z",46
"Class4",4.265,27.015,"D",56.284,21.303,57,32.39,66,82.71,"P",15
"Class1",64.027,96.494,"J",29.601,94.845,79,57.323,45,14.427,"E",38
"Class3",75.391,52.513,"J",32.095,30.956,96,74.377,63,68.376,"O",46
"Class1",52.416,97.742,"G",41.087,97.534,78,59.094,54,15.723,"L",38
"Class2",33.577,90.673,"G",18.915,37.103,64,51.729,50,43.409,"L",13
"Class3",54.94,47.357,"K",53.122,52.073,30,78.048,67,70.349,"Z",47
"Class1",58.816,93.018,"J",101.398,94.019,72,32.401,49,12.411,"L",38
"Class4",6.931,25.268,"D",51.01,22.467,67,14.309,35,82.432,"R",15
"Class3",49.837,46.666,"K",45.86,26.548,37,79.674,74,67.8,"H",46
"Class3",-4.396,47.709,"K",32.077,19.49,58,72.289,57,71.837,"U",46
"Class3",-8.114,48.471,"I",33.964,15.192,31,76.953,54,68.855,"H",46
"Class1",61.692,93.374,"W",83.781,95.128,77,40.079,69,13.273,"V",40
"Class1",69.033,93.698,"J",58.057,94.274,70,35.824,60,15.127,"V",38
"Class4",9.562,24.741,"D",43.615,6.241,51,NA,30,83,"W",15
"Class4",7.332,24.198,"G",56.725,11.201,85,47.533,75,82.12,"K",15
"Class3",37.878,51.091,"J",37.515,24.193,40,NA,55,66.055,"O",47
"Class3",77.706,52.913,"J",45.69,24.594,75,74.483,59,66.592,"U",47
"Class3",36.612,49.639,"K",37.19,60.999,28,85.903,45,70.237,"U",46
"Class3",11.243,46.543,"L",33.734,55.016,98,68.629,51,67.952,"G",47
"Class4",6.621,26.772,"G",2.89,28.02,87,21.024,42,82.757,"W",16
"Class3",47.506,46.41,"K",44.355,52.89,64,83.001,52,68.622,"G",47
"Class1",70.319,93.456,"W",16.316,96.123,79,34.889,68,12.458,"A",39
"Class2",39.967,93.049,"R",32.804,19.686,66,47.611,49,36.369,"G",42
"Class1",62.753,93.212,"W",36.505,95.325,77,45.149,55,15.775,"L",38
"Class1",40.653,93.725,"G",67.517,95.459,73,23.311,47,14.352,"L",39
"Class4",10.313,23.287,"R",16.126,25.647,63,28.199,29,82.543,"K",15
"Class1",69.119,95.004,"F",46.058,94.737,83,NA,69,12.53,"L",40
"Class2",47.532,92.868,"Q",20.405,111.914,66,35.683,60,35.486,"L",12
"Class2",50.462,86.443,"Q",33.329,52.318,60,NA,61,41.948,"Y",42
"Class2",25.495,90.092,"Q",28.87,46.12,66,41.023,58,22.604,"Y",55
"Class1",61.41,93.008,"G",18.039,97.007,71,24.896,66,13.621,"E",38
"Class4",10.09,23.576,"R",75.012,3.597,53,41.508,75,82.976,"P",15
"Class3",26.119,48.223,"I",32.476,34.398,49,84.611,52,70.27,"H",46
"Class3",25.095,49.973,"J",41.029,28.13,57,76.96,58,71.151,"U",46
"Class1",60.26,95.08,"P",64.296,93.572,76,39.22,68,13.075,"L",39
"Class1",60.141,96.579,"W",61.632,94.353,79,50.216,65,12.14,"A",39
"Class1",63.45,94.336,"W",55.866,99.401,82,17.638,66,12.366,"L",40
"Class3",4.115,46.169,"I",25.591,17.877,25,84.858,60,68.537,"H",47
"Class2",40.434,85.053,"G",33.975,33.233,66,46.236,61,25.738,"J",54
"Class1",71.09,95.59,"J",76.301,96.598,72,36.672,63,12.424,"V",39
"Class3",-8.047,48.077,"U",40.145,24.004,69,77.82,54,68.923,"H",46
"Class3",9.743,49.677,"K",45.133,28.185,95,79.219,59,69.783,"Z",47
"Class2",36.396,93.92,"C",57.412,60.831,61,48.028,53,41.821,"G",12
"Class1",66.188,93.591,"P",64.432,96.226,73,NA,48,13.569,"E",38
"Class4",11.558,27.075,"R",26.638,19.241,63,46.167,78,82.221,"R",16
"Class2",39.328,89.43,"R",40.94,62.961,70,54.728,46,12.688,"L",55
"Class3",69.089,50.071,"L",20.816,22.438,23,69.533,61,71.929,"O",47
"Class1",59.934,94.737,"J",79.42,95.452,73,NA,48,12.642,"S",40
"Class3",41.857,50.856,"K",27.432,32.954,73,68.036,72,71.248,"Z",47
"Class1",57.655,97.096,"G",50.882,94.922,83,17.002,67,12.616,"V",40
"Class1",57.612,93.423,"J",63.427,98.878,73,27.312,60,15.802,"E",39
"Class1",59.106,96.285,"G",82.074,92.545,78,39.799,64,14.987,"V",39
"Class2",44.224,92.186,"R",36.789,36.872,67,43.129,47,28.572,"L",36
"Class4",8.539,27.279,"R",-0.571,38.921,74,52.239,26,82.298,"R",16
"Class3",33.927,48.683,"L",32.056,52.88,33,75.141,75,68.923,"U",46
"Class2",48.94,88.981,"Q",43.658,38.612,65,41.444,48,32.776,"F",39
"Class2",40.093,86.647,"R",18.58,82.006,60,37.351,47,26.124,"J",24
"Class1",64.305,93.875,"G",67.118,95.794,79,54.136,67,15.899,"S",39
"Class4",3.983,24.534,"D",20.03,22.85,92,57.889,25,82.084,"M",15
"Class2",52.05,92.652,"Q",29.604,75.448,62,43.736,55,30.609,"G",25
"Class4",4.638,27.406,"O",39.777,14.178,85,52.49,57,82.13,"M",16
"Class2",58.33,87.326,NA,23.334,52.859,72,50.282,51,13.94,"J",58
"Class1",71.28,92.748,NA,60.412,95.222,82,12.252,68,13.473,"E",39
"Class1",58.716,94.663,"P",60.164,94.244,72,47.567,58,12.192,"S",40
"Class2",34.704,91.814,"R",14.888,75.867,63,47.098,58,34.333,"J",29
"Class3",68.557,49.71,"K",39.881,31.297,37,72.149,58,66.739,"Z",46
"Class1",66.834,94.725,"G",-1.593,95.86,76,53.646,49,13.311,"S",39
"Class3",15.652,45.557,"K",42.305,43.372,92,80.78,46,66.983,"G",47
"Class1",60.08,92.627,"W",9.444,93.644,81,34.641,49,15.429,"V",38
"Class1",65.676,96.188,"G",73.11,95.008,82,48.38,49,12.978,"S",39
"Class2",37.514,85.149,"B",33.713,5.444,64,37.314,52,30.626,"F",26
"Class4",-0.728,27.095,"R",71.717,29.101,61,32.9,63,82.168,"K",16
"Class1",50.366,96.797,"P",60.783,96.281,75,61.64,69,15.044,"E",38
"Class2",51.905,91.83,"R",34.809,48.571,59,53.074,59,11.103,"Y",51
"Class3",30.612,45.642,"L",40.036,11.019,96,73.542,44,70.799,"H",46
"Class4",4.443,23.902,"G",12.781,16.123,68,21.299,65,82.758,"W",15
"Class1",74.139,97.646,"W",80.028,94.104,78,24.873,51,13.867,"V",40
"Class1",70.907,95.091,"J",48.293,98.44,74,39.416,51,12.693,"L",38
"Class3",0.447,46.994,"K",27.795,22.467,22,74.245,45,67.229,"H",46
"Class1",75.823,93.924,"P",70.671,96.707,83,19.431,51,13.118,"L",40
"Class4",13.334,23.251,"P",47.327,15.63,75,51.881,51,82.845,"K",16
"Class2",45.235,90.289,"R",14.284,46.715,71,43.878,54,22.772,"F",31
"Class1",66.962,96.184,"F",17.946,92.037,78,22.2,53,15.489,"E",39
"Class4",9.446,26.408,"P",24.071,5.939,97,33.756,48,82.364,"M",16
"Class3",16.763,46.903,"K",36.322,48.309,88,84.494,48,68.112,"O",46
"Class2",23.79,93.154,"G",47.969,57.934,59,53.758,57,31.598,"J",32
"Class2",21.469,89.184,"B",26.766,56.35,63,48.432,51,23.57,"L",59
"Class2",35.403,86.193,"G",22.54,68.344,63,44.974,48,14.331,"J",34
"Class2",30.505,87.79,"C",15.203,50.916,67,40.153,58,27.657,"G",38
"Class2",50.785,88.805,"B",35.25,31.858,63,36.672,58,14.949,"Y",21
"Class3",63.039,52.801,"I",29.825,32.525,68,74.089,43,67.647,"O",47
"Class4",6.602,23.522,"O",51.524,30.655,84,36.507,68,82.913,"R",15
"Class1",50.82,97.178,"F",37.413,98.33,82,59.013,65,12.619,"S",38
"Class2",39.005,87.478,"Q",21.187,50.365,59,41.011,59,28.475,"G",51
"Class4",5.163,23.943,"R",49.625,19.526,55,16.753,44,82.897,"K",16
"Class3",36.533,51.465,"U",50.708,36.387,37,79.061,65,68.736,"O",47
"Class2",30.417,93.846,"R",41.361,70.345,59,34.82,50,14.582,"G",28
"Class2",36.721,90.142,"C",32.888,47.968,60,51.67,55,21.307,"L",55
"Class3",57.711,48.298,NA,26.868,15.383,85,83.442,49,66.376,"H",47
"Class2",35.176,88.65,"R",34.425,74.493,65,54.489,52,27.358,"G",37
"Class3",61.026,47.915,"L",50.621,19.156,85,78.127,47,66.283,"Z",47
"Class1",62.598,92.562,"J",94.167,95.375,82,19.398,58,12.537,"A",39
"Class1",63.807,97.869,"J",53.664,97.219,70,37.534,60,14.399,"S",38
"Class2",30.063,88.83,"C",36.626,-0.895,59,37.173,55,33.242,"Y",36
"Class2",41.511,91.865,"Q",24.821,31.665,60,38.213,57,37.654,"Y",39
"Class1",69.063,92.146,"J",66.495,92.617,70,28.373,48,12.576,"V",40
"Class3",25.399,46.045,"I",30.473,47.899,65,73.691,67,69.412,"H",47
"Class1",65.205,93.704,"F",85.818,97.086,80,54.323,54,12.946,"A",38
"Class2",31.54,88.089,"G",38.926,56.091,68,54.13,56,20.887,"L",38
"Class2",49.24,91.77,"R",17.171,80.132,64,35.973,48,30.733,"G",25
"Class2",38.761,86.834,"C",33.07,100.162,59,40.426,46,37.377,"Y",47
"Class4",3.308,26.908,"D",9.027,21.577,85,42.547,90,82.04,"K",15
"Class3",81.891,49.06,"U",19.794,31.46,93,72.214,61,66.495,"O",47
"Class3",42.107,50.486,"L",32.245,29.935,60,76.053,69,68.365,"Z",47
"Class2",29.469,93.352,"R",17.119,46.483,71,37.488,50,36.369,"Y",58
"Class3",57.158,45.596,"J",42.647,32.199,35,70.424,48,66.173,"G",47
"Class4",5.639,27.999,NA,69.018,13.017,90,53.307,76,82.012,"P",16
"Class1",69.319,92.566,"F",50.647,96.745,74,24.734,45,13.674,"V",40
"Class1",62.749,93.869,"F",85.239,95.483,76,40.787,55,14.627,"S",39
"Class3",10.75,52.737,"K",34.687,18.539,77,82.635,66,71.412,"Z",46
"Class3",28.321,51.585,"L",31.821,21.701,57,75.857,54,70.675,"U",47
"Class2",36.117,93.814,"C",31.07,59.804,60,46.879,58,31.764,"Y",54
"Class4",6.591,23.613,"D",37.469,24.529,90,44.221,90,82.692,"R",16
"Class2",20.357,88.524,"G",30.252,43.98,60,50.532,61,26.754,"Y",46
"Class1",63.448,97.445,"P",35.946,92.96,82,NA,46,15.352,"V",40
"Class3",12.402,46.878,"U",34.202,36.144,55,76.888,52,66.451,"G",47
"Class2",30.751,88.375,"Q",28.55,38.872,63,34.682,60,37.685,"G",29
"Class1",60.494,92.332,"J",38.898,94.279,83,34.324,66,12.187,"L",39
"Class2",45.418,85.641,"Q",30.66,38.396,63,44.138,47,16.699,"L",57
"Class1",51.608,95.254,"W",50.645,95.183,82,43.086,45,15.43,"E",38
