"D1","D2","D3","Output29","D4","D5","D6","D7","D8","D9","D10","D11"
46,37.206,"O","Class5",47,71.704,79.763,69.378,20.432,"B",94,71.214
86,19.157,"P","Class4",49,39.695,65.319,NA,31.793,"T",19,85.705
78,80.807,"R","Class3",58,34.326,40.617,61.804,56.044,"K",61,18.601
54,62.295,"E","Class2",67,61.464,59.763,37.711,28.464,"R",22,63.266
88,32.534,"A","Class4",65,43.778,62.845,52.233,16.865,"C",16,86.166
49,58.829,"W","Class2",66,53.191,64.981,48.891,27.47,"M",24,62.234
76,37.766,"D","Class5",9,72.557,53.87,88.448,16.715,"B",83,54.023
47,38.512,"X","Class5",31,72.104,53.265,81.288,16.006,"U",88,46.465
64,69.823,"E","Class2",67,65.625,64.209,49.993,23.142,"R",23,67.238
63,15.31,"R","Class2",69,35.621,68.108,43.663,33.1,"A",38,54.582
21,86.261,"K","Class1",27,24.709,19.219,62.528,44.303,"I",37,20.915
45,39.317,"O","Class5",23,70.294,61.426,92.78,15.716,"B",74,66.883
47,15.799,"R","Class2",69,38.603,64.508,38.988,31.884,"A",35,59.426
53,38.411,"D","Class5",30,68.305,33.865,88.731,17.562,"B",78,57.955
52,19.714,"E","Class2",67,64.841,70.36,49.884,25.49,"I",76,68.216
66,39.397,"G","Class2",68,43.696,63.65,44.609,38.949,"M",74,65.606
78,69.896,"Y","Class3",39,38.023,42.247,76.252,57.27,"J",66,17.458
78,76.158,"R","Class3",33,37.352,52.505,83.119,54.758,"K",57,21.501
79,68.464,"Y","Class3",19,35.03,58.516,54.549,50.859,"K",71,24.636
52,70.186,"K","Class1",25,24.209,36.586,7.622,-3.91,"I",87,39.023
56,57.91,"W","Class2",66,49.848,69.875,36.876,29.225,"I",38,42.522
78,54.928,"C","Class3",14,34.584,42.09,85.015,49.745,"K",55,14.877
76,55.622,"P","Class1",34,24.668,25.12,71.557,62.711,"F",17,62.044
42,70.308,"K","Class1",35,21.897,26.983,6.068,37.044,"B",14,13.101
78,64.029,"C","Class3",38,36.057,27.761,67.058,54.192,"C",74,9.714
87,21.062,"V","Class4",NA,41.633,46.319,55.436,49.683,"T",17,85.501
88,24.21,"M","Class4",48,56.728,56.497,NA,47.857,"H",15,84.281
47,49.401,"G","Class2",69,53.224,68.589,NA,27.771,"R",48,44.172
79,64.84,"X","Class3",27,34.892,34.796,88.149,56.767,"J",61,23.798
78,54.856,"C","Class3",43,34.238,66.521,86.3,53.583,"E",74,17.173
21,51.417,"X","Class1",25,24.215,28.638,9.815,34.558,"I",18,38.164
78,62.513,"Y","Class3",20,36.35,49.855,87.623,62.61,"C",73,28.435
49,66.44,"S","Class1",32,20.745,23.429,26.881,58.426,"F",26,11.86
61,53.356,"E","Class2",68,79.533,69.401,48.972,32.969,"N",41,40.206
51,25.608,"E","Class2",71,39.742,70.234,39.441,34.927,"N",44,47.951
78,54.47,"R","Class3",57,35.118,9.36,86.204,56.119,"V",67,26.571
60,46.617,"E","Class2",68,77.852,68.477,44.144,27.813,"R",39,40.775
