"V1","V2","V3","V4","V5","V6","V7","V8","V9","Output21","V10","V11"
73.875,35,"D",43.678,58.986,17.328,3,84.523,"M","Class2",51,91.102
3.561,15,"J",82.392,68.507,31.507,65,27.793,"F","Class1",33,29.985
2.089,15,NA,38.191,65.502,31.497,60,38.249,"K","Class1",51,37.714
5.67,17,"Q",23.081,61.785,36.828,29,28.297,"L","Class1",NA,32.919
76.57,32,"H",43.715,50.389,47.635,6,84.069,"G","Class2",54,90.457
5.616,17,"D",44.331,58.171,51.36,36,21.948,"X","Class1",27,28.144
4.503,15,"A",39.248,48.428,49.816,9,28.813,"F","Class1",44,33.681
79.196,42,"D",41.813,21.255,65.186,10,86.837,"B","Class2",65,90.827
5.752,19,"Q",67.06,67.084,35.789,58,25.288,"K","Class1",48,24.622
72.74,34,NA,44.449,26.247,36.688,4,84.191,"B","Class2",NA,90.66
78.226,42,"D",45.939,24.518,71.113,5,84.645,"M","Class2",64,91.158
2.52,17,"A",19.864,62.357,56.896,37,38.476,"M","Class1",20,27.623
70.062,35,"X",43.768,57.357,29.849,5,85.887,"M","Class2",NA,92.218
75.783,32,"J",41.921,59.23,52.722,6,86.216,"B","Class2",64,90.997
70.515,22,"J",44.438,16.052,54.407,4,86.755,"B","Class2",77,92.177
75.432,35,"X",44.378,47.854,66.469,11,84.68,"M","Class2",65,90.662
2.791,16,"Q",62.121,69.665,30.342,32,36.217,"K","Class1",55,43.912
3.943,18,"J",87.332,38.149,35.334,28,40.249,"M","Class1",21,30.974
69.106,27,"J",42.187,46.062,80.398,12,84.818,"I","Class2",68,92.831
75.975,26,"D",45.626,58.006,75.753,9,85.542,"M","Class2",80,90.546
74.834,39,"H",41.578,27.267,61.28,12,84.601,"G","Class2",NA,90.583
3.612,18,"O",23.859,29.237,53.627,46,35.758,"K","Class1",29,40.024
3.993,18,NA,64.349,51.45,42.205,37,32.798,"M","Class1",NA,26.022
81.628,36,"H",43.137,57.133,23.06,10,85.24,"I","Class2",55,92.327
79.831,38,"H",42.808,37.816,84.764,5,86.678,"B","Class2",63,91.215
