"C1","C2","C3","C4","C5","C6","C7","C8","Output2","C9","C10","C11"
60,"H",73.302,67.554,75,"W",80.967,41,"Class2",56.97,45.416,91.178
51,"F",37.642,64.202,32,"U",44.52,39,"Class3",96.004,30.949,84.728
28,"V",-0.999,3.979,94,"R",58.687,37,"Class4",65.09,70.511,24.464
9,"X",20.514,68.883,82,"Y",11.542,76,"Class1",46.545,76.542,68.585
48,"F",10.052,62.108,42,"U",14.483,85,"Class3",92.024,23.653,84.933
5,"H",29.141,77.912,82,"H",18.304,59,"Class1",57.675,86.204,51.326
62,"V",59.214,4.709,91,"M",53.17,55,"Class4",56.966,68.924,28.281
51,"B",33.129,60.3,37,"U",29.938,15,"Class3",83.572,35.752,84.013
51,"M",74.607,65.754,66,"W",78.665,25,"Class2",56.444,45.637,91.525
8,"D",41.197,83.832,83,"I",11.444,78,"Class1",58.543,76.504,41.298
44,"B",37.081,60.942,43,"U",7.801,56,"Class3",79.869,65.02,NA
53,"C",59.231,70.769,29,"C",48.575,23,"Class3",95.054,37.548,84.747
39,"V",75.748,4.714,93,"K",45.354,39,"Class4",75.011,78.562,32.448
54,"Z",50.37,70.521,32,"I",22.898,13,"Class3",89.071,75.065,84.021
48,NA,32.775,75.242,74,"H",81.126,30,"Class2",54.383,45.44,93.161
69,"U",61.099,89.991,85,"H",80.605,25,"Class2",56.458,45.217,94.437
47,"V",33.204,4.088,91,"R",58.943,42,"Class4",71.397,60.906,41.288
58,"Y",29.692,65.377,55,"W",78.8,26,"Class2",56.204,45.572,93.502
9,"H",39.597,77.428,84,"L",16.119,73,"Class1",46.884,78.573,68.782
62,"Y",95.32,4.023,93,"L",58.741,43,"Class4",57.041,34.041,45.998
10,"A",47.059,88.22,80,"H",16.568,51,"Class1",62.234,80.84,62.625
51,"C",49.424,62.672,29,"U",13.968,62,"Class3",84.883,32.806,84.444
47,"X",89.175,2.917,91,"L",46.999,50,"Class4",62.49,56.765,32.027
57,"Z",51.962,67.192,32,"C",72.942,25,"Class3",95.293,28.723,84.203
10,"H",41.757,82.091,86,"B",22.574,53,"Class1",53.958,84.165,38.581
47,"B",47.873,58.086,42,"A",52.924,54,"Class3",94.271,42.396,84.328
41,"V",59.168,3.911,91,"K",64.997,51,"Class4",74.949,42.197,44.525
51,"Z",55.401,66.528,31,"A",23.245,52,"Class3",86.184,42.371,84.57
10,"Q",61.218,76.694,92,"B",20.57,46,"Class1",47.201,84.345,37.627
70,"M",79.129,81.485,66,"H",80.575,27,"Class2",55.868,45.014,93.972
48,"L",59.953,83.271,88,"L",80.209,36,"Class2",54.04,45.615,95.689
44,"L",43.434,72.068,88,"O",80.357,41,"Class2",55.711,45.545,92.665
56,"U",21.227,57.086,40,"R",47.86,58,"Class3",87.499,74.367,84.74
15,"L",53.666,57.369,55,"W",79.482,31,"Class2",56.265,45.408,90.885
77,"L",48.366,70.862,84,"H",80.675,42,"Class2",55.403,45.348,91.811
6,"H",44.777,84.14,80,"L",17.105,55,"Class1",41.617,86.25,63.494
9,"A",50.988,81.146,86,"I",15.046,71,"Class1",54.876,77.16,57.034
40,"Y",77.933,70.399,96,"H",79.667,32,"Class2",55.009,45.903,94.69
44,"Z",49.645,66.057,29,"C",3.841,90,"Class3",87.718,71.449,84.672
10,"A",37.775,82.45,88,"L",25.087,63,"Class1",47.848,77.68,55.021
5,"X",35.274,76.482,75,"L",23.586,51,"Class1",59.211,76.905,69.058
56,"U",38.263,58.181,41,"C",35.465,18,"Class3",93.606,29.648,84.834
7,"Q",15.686,77.412,77,"Y",10.176,61,"Class1",53.127,78.407,67.756
41,"G",19.602,3.912,92,"N",71.174,44,"Class4",43.691,42.171,18.259
27,"U",53.467,73.061,89,"W",80.167,32,"Class2",55.205,45.397,94.688
7,"X",22.239,77.532,86,"H",16.015,61,"Class1",41.558,85.844,71.328
26,"M",46.085,71.338,60,"O",79.699,42,"Class2",55.071,45.642,95.893
34,"X",46.202,3.911,93,"K",44.553,56,"Class4",65.157,72.669,43.408
28,"G",54.431,5.134,96,"M",39.922,48,"Class4",60.799,40.325,25.026
5,"A",46.967,79.757,87,"L",16.236,73,"Class1",62.067,80.524,64.716
61,"U",45.933,74.818,62,"I",80.3,27,"Class2",56.443,45.667,93.836
50,"U",44.736,66.512,43,"C",43.669,50,"Class3",93.911,30.384,84.667
48,"Y",37.846,3.682,92,"N",37.465,42,"Class4",57.584,47.044,41.415
5,"D",34.475,73.736,80,"H",12.629,54,"Class1",40.879,82.245,49.46
