"Q1","Q2","Q3","Q4","Output16","Q5","Q6","Q7","Q8","Q9","Q10","Q11"
6.656,51,58.42,65.396,"Class2","L",34.334,64,46.817,72.279,67,"T"
13.84,53,77.162,67.22,"Class2","F",57.527,67,49.183,73.371,54,"F"
13.647,51,54.104,74.147,"Class2","J",53.094,75,48.826,74.068,68,"E"
26.224,53,67.653,75.483,"Class2","F",35.93,78,34.331,72.267,82,"Y"
59.9,61,38.039,71.373,"Class1","D",73.411,52,42.437,25.933,90,"J"
16.007,51,49.347,63.971,"Class2","G",49.311,64,58.125,75.702,86,"T"
58.852,35,45.163,55.965,"Class1","K",87.104,74,42.731,32.227,98,"J"
17.914,53,79.391,70.433,"Class2","O",46.887,81,50.657,74.413,77,"S"
83.707,20,66.406,9.918,"Class3","S",60.029,55,63.471,64.177,19,"S"
58.217,15,NA,57.158,"Class1","B",77.013,56,42.43,46.09,95,"W"
58.824,66,32.732,75.492,"Class1","D",93.251,78,42.404,45.728,96,"W"
41.536,22,64.328,13.366,"Class3","I",61.147,56,64.489,59.177,17,"A"
60.254,77,46.935,70.457,"Class1","K",74.684,77,45.387,34.641,96,"B"
15.623,53,65.204,56.608,"Class2","O",36.759,68,44.796,72.204,52,"Y"
54.781,24,21.928,6.325,"Class3","Y",60.243,54,62.606,70.25,17,"F"
58.269,58,56.911,51.76,"Class1","F",82.848,43,41.867,25.308,93,"G"
59.999,20,33.695,44.305,"Class1","B",85.241,57,44.222,37.61,92,"J"
69.502,20,67.137,12.653,"Class3","I",59.935,54,62.58,53.756,16,"A"
28.552,52,67.106,65.94,"Class2","J",26.498,81,50.172,75.073,78,"F"
60.069,21,28.941,57.326,"Class1","W",83.853,68,42.449,47.18,87,"B"
59.433,31,49.564,63.988,"Class1","F",75.37,49,46.267,37.929,92,"I"
16.964,51,78.955,75.605,"Class2","J",47.869,72,51.182,68.168,59,"T"
58.452,33,38.285,63.237,"Class1","W",76.922,42,45.309,42.935,88,"B"
55.959,26,90.174,21.237,"Class3","I",61.207,53,63.766,54.785,19,"A"
57.517,18,73.115,71.221,"Class1","D",92.918,52,46.134,22.463,90,"J"
33.117,23,50.833,17.569,"Class3","I",58.798,56,62.573,68.974,19,"G"
