"H1","H2","H3","H4","H5","H6","H7","H8","H9","Output33","H10","H11"
30.875,73.45,26.41,21,63.65,"X",23.991,50,54.403,"Class2",32,"X"
32.148,68.228,70.937,46,82.325,"X",7.136,38,40.939,"Class2",26,"R"
32.317,63.812,60.384,31,61.4,"U",18.763,54,41.539,"Class2",33,"N"
29.481,64.163,90.208,84,84.72,"M",71.784,81,56.947,"Class1",15,"G"
26.065,64.595,38.869,65,87.676,"B",89.016,54,58.593,"Class1",17,"T"
32.112,53.465,54.129,41,88.68,"U",52.694,36,74.197,"Class2",21,"X"
30.072,44.203,71.248,41,94.343,"U",33.759,46,61.679,"Class2",NA,"U"
30.684,NA,31.661,67,83.611,"M",34.593,52,78.184,"Class1",12,"Y"
31.91,72.895,79.628,25,40.3,"U",33.23,45,50.528,"Class2",20,"I"
26.908,NA,113.618,67,83.782,"B",23.004,86,74.848,"Class1",NA,"V"
30.876,50.053,75.638,19,96.058,"X",61.233,41,67.892,"Class2",31,"N"
32.826,61.151,66.546,25,38.358,"U",48.997,50,56.113,"Class2",33,"U"
32.246,58.42,47.963,49,91.842,"T",12.765,44,54.186,"Class2",18,"N"
32.976,47.456,72.155,50,85.185,"X",42.682,55,48.765,"Class2",31,"I"
24.414,63.046,73.602,78,86.48,"B",59.608,86,95.01,"Class1",21,"Y"
30.223,51.634,63.968,20,56.649,"X",-1.527,53,50.544,"Class2",NA,"I"
27.049,61.5,86.454,86,87.789,"M",80.262,57,58.207,"Class1",20,"Y"
31.214,58.563,67.011,41,53.661,"N",38.107,55,10.749,"Class2",21,"I"
27.008,60.012,71.763,81,87.272,"H",58.926,69,66.043,"Class1",36,"V"
23.623,65.84,64.317,69,87.69,"G",66.356,58,52.847,"Class1",33,"V"
27.774,63.662,88.332,70,83.874,"S",28.098,15,63.008,"Class1",35,"V"
29.859,65.64,50.121,74,85.707,"B",90.244,42,53.649,"Class1",22,"G"
28.984,61.24,85.915,84,87.226,"B",-4.4,15,83.483,"Class1",15,"G"
30.064,65.424,69.891,70,83.475,"S",86.612,42,64.114,"Class1",12,"Y"
32.402,59.366,26.699,22,79.675,"U",14.213,47,67.048,"Class2",18,"R"
32.013,79.612,67.178,15,99.908,"X",-2.755,42,66.026,"Class2",31,"I"
32.088,NA,37.85,24,49.81,"N",54.443,54,42.815,"Class2",20,"I"
32.853,56.969,88.334,12,92.364,"U",3.666,44,71.016,"Class2",29,"N"
30.275,78.935,77.45,41,92.83,"X",-2.358,45,52.04,"Class2",33,"N"
31.956,57.972,82.679,29,94.848,"M",19.766,46,57.096,"Class2",27,"U"
32.37,55.591,53.039,42,75.159,"U",28.632,37,40.302,"Class2",33,"I"
26.069,61.734,53.579,72,84.548,"B",25.591,45,68.12,"Class1",17,"G"
30.502,64.444,72.289,77,83.008,"M",34.289,53,68.981,"Class1",29,"G"
24.883,61.586,54.114,66,87.469,"M",100.38,83,86.308,"Class1",13,"A"
31.491,73.483,101.061,27,71.047,"U",37.317,39,-0.465,"Class2",NA,"I"
29.375,60.268,73.342,83,84.054,"H",33.718,22,70.277,"Class1",38,"V"
28.409,64.777,62.46,75,83.949,"G",2.552,49,76.291,"Class1",NA,"T"
30.605,63.402,98.849,28,67.787,"T",38.671,42,56.042,"Class2",32,"U"
29.113,NA,33.601,68,83.416,"G",92.504,43,73.148,"Class1",19,"T"
32.334,63.851,45.329,48,46.416,"U",18.783,36,33.536,"Class2",20,"U"
27.917,NA,98.026,76,86.855,"H",42.142,86,85.334,"Class1",24,"Y"
29.799,60.071,55.427,84,85.55,"G",51.171,39,74.013,"Class1",13,"T"
29.438,63.286,59.738,84,84.262,"H",94.849,19,55.296,"Class1",19,"Y"
31.152,73.312,71.788,40,63.946,"X",35.064,48,52.524,"Class2",23,"I"
27.901,65.731,78.691,72,84.455,"B",48.067,18,59.557,"Class1",39,"T"
32.448,80.657,34.034,20,41.723,"U",33.564,48,69.701,"Class2",23,"U"
31.75,66.177,69.554,13,32.64,"U",46.187,41,23.89,"Class2",32,"I"
32.932,60.871,90.287,35,50.072,"T",5.354,40,55.789,"Class2",28,"N"
30.848,49.658,88.107,47,52.075,"T",29.794,46,80.794,"Class2",32,"U"
30.656,60.859,83.749,30,74.51,"T",22.174,36,47.201,"Class2",34,"U"
25.742,62.632,77.578,68,83.735,"S",25.638,61,68.372,"Class1",28,"V"
32.567,56.841,69.341,15,40.167,"N",37.69,55,60.087,"Class2",22,"I"
32.392,74.15,46.224,18,56.231,"X",30.508,51,33.385,"Class2",33,"N"
30.38,64.134,82.192,69,83.837,"H",15.253,50,74.92,"Class1",32,"G"
31.743,57.212,68.482,24,58.954,"X",13.358,42,31.966,"Class2",30,"R"
25.919,62.414,56.988,81,86.384,"G",61.01,63,81.414,"Class1",31,"G"
30.499,76.145,32.771,21,65.27,"N",37.631,46,63.658,"Class2",21,"I"
29.563,64.482,63.815,83,87.385,"S",31.818,43,76.894,"Class1",24,"T"
31.045,56.132,24.518,21,81.038,"M",55.831,39,75.584,"Class2",29,"N"
25.823,60.953,89.668,64,84.689,"G",23.805,40,69.326,"Class1",8,"A"
28.701,64.183,60.5,77,86.889,"S",53.924,24,94.487,"Class1",38,"G"
28.365,62.219,87.259,85,83.048,"G",32.358,46,59.368,"Class1",26,"A"
30.977,79.19,64.544,52,84.576,"U",-1.228,42,36.227,"Class2",31,"I"
31.152,60.538,25.62,36,84.42,"N",48.151,38,88.312,"Class2",26,"I"
31.814,72.945,59.816,37,95.191,"T",55.64,37,51.827,"Class2",33,"N"
30.098,67.182,37.016,52,33.307,"T",18.692,45,77.353,"Class2",28,"X"
23.542,62.61,87.096,85,84.654,"S",96.083,36,81.272,"Class1",12,"A"
30.949,48.859,72.628,22,74.6,"N",24.759,42,33.446,"Class2",19,"I"
30.027,65.693,63.684,80,87.249,"H",50.8,29,60.834,"Class1",16,"V"
29.936,NA,58.402,70,87.354,"B",72.816,18,57.717,"Class1",19,"G"
30.896,62.965,68.922,42,37.009,"U",72.784,42,29.5,"Class2",31,"U"
31.722,54.676,51.583,21,33.8,"X",-2.699,37,60.141,"Class2",30,"I"
32.148,71.339,34.733,45,89.031,"N",32.368,44,64.322,"Class2",28,"U"
23.955,61.11,91.63,81,83.116,"B",73.544,64,53.275,"Class1",9,"Y"
32.249,47.085,30.072,48,38.3,"T",12.228,49,41.708,"Class2",21,"N"
25.858,60.281,55.264,73,84.131,"H",3.422,76,67.988,"Class1",35,"Y"
23.258,65.371,53.8,86,87.355,"M",95.27,21,80.286,"Class1",26,"G"
23.112,64.739,41.745,66,85.572,"H",45.517,33,80.383,"Class1",26,"V"
23.718,NA,45.395,81,84.008,"G",27.692,68,54.404,"Class1",19,"A"
