"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","Output32","G11"
63.689,19.363,82,22.439,"R",52.37,57,46,8.972,21.392,"Class1","R"
78.348,75.124,72,80.846,"D",47.617,70,34,49.131,19.559,"Class3","G"
79.076,87.141,43,38.807,"D",67.221,49,19,47.32,91.087,"Class3","C"
25.832,59.826,42,32.529,"A",61.073,47,37,NA,68.143,"Class3","J"
16.356,66.85,81,47.302,"N",55.021,85,75,83.202,75.335,"Class2","H"
13.865,72.849,78,46.561,"L",48.851,86,69,84.738,70.534,"Class2","E"
37.403,73.839,89,73.674,"L",50.158,50,41,42.868,27.101,"Class3","C"
79.349,60.903,67,14.692,"D",66.111,51,38,40.935,18.378,"Class3","J"
23.017,91.334,77,65.347,"D",46.857,85,62,83.159,106.13,"Class2","E"
62.81,8.928,82,41.147,"X",53.335,48,46,9.586,23.668,"Class1","U"
19.519,72.714,78,53.105,"N",36.882,87,72,85.052,32.559,"Class2","E"
11.934,91.072,79,60.839,"Y",48.403,86,79,NA,87.054,"Class2","H"
20.637,82.974,71,72.381,"N",37.954,83,65,78.04,46.971,"Class2","E"
63.254,16.935,86,44.8,"X",87.519,50,44,6.173,36.104,"Class1","B"
31.72,63.955,36,136.293,"C",52.097,52,44,42.032,14.829,"Class3","C"
52.742,91.053,64,71.662,"A",63.117,39,32,44.552,23.816,"Class3","C"
21.899,72.611,72,66.279,"Y",37.846,88,59,83.087,55.348,"Class2","E"
75.27,88.471,33,83.475,"L",66.064,44,35,50.272,62.997,"Class3","J"
74.123,57.844,55,46.169,"D",44.786,64,37,40.879,46.396,"Class3","J"
17.735,86.997,74,52.872,"Y",59.807,82,58,83.963,47.955,"Class2","C"
63.653,81.593,35,102.041,"A",69.02,34,44,49.979,15.572,"Class3","G"
21.618,93.213,72,52.535,"Y",54.01,87,63,82.354,63.115,"Class2","C"
66.991,12.617,88,22.305,"Q",61.558,54,45,6.484,-3.604,"Class1","E"
41.653,55.102,78,74.185,"D",38.93,33,24,41.762,35.086,"Class3","G"
86.339,50.7,34,74.007,"D",48.4,37,31,43.082,38.688,"Class3","C"
23.76,78.626,82,52.067,"Y",40.139,84,85,84.159,60.038,"Class2","E"
50.556,39.396,81,56.12,"C",61.374,69,36,42.732,18.915,"Class3","Z"
