"I1","I2","Output34","I3","I4","I5","I6","I7","I8","I9","I10","I11"
27.909,32.014,"Class3",34,62.234,17,"T","L",49.407,25,32.853,90.984
66.183,53.584,"Class2",78,25.588,40,"E","Z",42.687,87,8.321,39.701
66.03,41.017,"Class1",61,69.774,76,"N","Y",40.671,69,NA,72.517
82.281,59.745,"Class1",63,69.438,75,"W","Y",39.001,33,40.997,51.042
68.831,35.54,"Class2",51,24.552,38,NA,"C",88.968,58,9.191,43.461
28.749,29.273,"Class3",28,77.727,20,"Y","T",49.996,27,32.565,97.575
28.612,32.461,"Class3",26,90.367,14,"K","E",24.52,28,29.981,85.353
27.54,30.715,"Class3",29,65.367,44,"N","G",18.373,29,32.817,96.827
64.082,32.87,"Class2",49,23.708,42,"I","G",40.142,53,10.338,76.985
64.458,57.882,"Class1",59,67.41,72,"W","K",30.295,45,34.848,50.906
28.158,30.202,"Class3",42,57.084,63,"K","I",24.587,29,29.483,93.251
81.177,54.173,"Class1",69,69.573,72,"W","E",29.198,72,43.056,44.317
63.135,60.711,"Class2",76,25.611,42,"D","C",60.791,78,9.444,19.695
31.504,76.191,"Class1",71,68.007,78,"O","H",39.488,31,36.956,55.287
72.928,78.778,"Class1",63,69.937,77,"V","E",32.448,39,41.45,55.449
88.834,73.993,"Class1",62,69.631,80,"M","R",29.854,38,29.971,60.799
27.224,29.79,"Class3",38,63.842,32,"T","L",67.6,23,33.519,89.307
64.778,56.15,"Class2",54,24.146,42,NA,"C",46.479,87,10.976,41.647
46.136,67.356,"Class1",66,69.672,71,"W","R",34.812,42,NA,61.958
53.259,47.919,"Class2",78,24.42,42,"D","Z",36.295,59,8.704,-3.53
27.03,30.877,"Class3",37,60.61,32,"N","G",28.943,25,30.532,83.892
62.51,42.475,"Class2",77,24.335,41,"I","A",29.053,80,10.813,26.014
73.733,75.203,"Class1",54,69.284,72,"M","R",39.345,31,33.436,61.724
27.436,47.279,"Class1",64,69.202,79,"M","R",35.504,34,NA,57.976
38.068,54.518,"Class2",53,22.99,42,"M","C",55.442,50,10.557,17.512
28.313,31.02,"Class3",42,71.731,77,"Y","L",13.276,25,30.246,97.775
49.836,72.215,"Class2",67,26.154,39,"E","Z",45.909,64,8.037,15.517
65.185,59.307,"Class1",67,70.009,85,"V","Y",35.645,36,32.036,41.52
37.944,22.878,"Class2",46,25.327,41,"Z","L",46.878,57,11.955,52.446
27.976,30.655,"Class3",26,65.084,33,"K","L",80.585,28,30.995,87.274
63.346,65.329,"Class1",59,68.343,68,"M","K",34.201,31,34.649,53.983
28.856,44.835,"Class1",69,69.161,74,"M","E",34.462,48,35.791,45.161
48.743,33.942,"Class2",74,25.019,41,"Z","C",88.283,51,9.929,41.844
27.669,30.765,"Class3",35,70.389,82,"X","L",13.48,23,31.477,79.95
37.472,46.827,"Class2",74,24.644,38,"E","G",48.139,50,9.513,14.837
28.035,35.005,"Class3",35,91.597,69,"Y","G",20.722,25,32.486,91.43
28.208,31.093,"Class3",29,90.797,65,"Y","I",35.488,29,30.734,87.801
28.331,30.882,"Class3",41,96.862,21,"T","G",18.029,24,31.892,89.714
28.32,31.323,"Class3",26,63.057,54,"Y","E",26.366,25,31.07,91.856
43.536,10.003,"Class2",74,25.269,39,"Z","C",81.303,51,9.457,11.246
27.665,34.398,"Class3",39,27.825,92,"K","I",11.124,31,29.947,93.976
59.215,29.138,"Class2",79,24.994,43,"M","Z",25.678,84,12.038,45.378
59.431,74.162,"Class1",63,70.979,80,"O","Y",31.22,78,32.137,65.825
27.25,30.978,"Class3",33,80.368,63,"N","I",17.787,29,NA,103.239
28.96,34.586,"Class3",32,50.446,62,"X","G",23.646,28,33.492,93.975
28.437,29.899,"Class3",35,65.361,69,"K","I",15.032,26,30.159,101.733
27.996,32.012,"Class3",37,43.713,67,"T","L",16.14,31,29.714,97.017
27.769,34.569,"Class3",37,89.169,52,"N","G",27.723,27,35.495,90.043
28.818,32.534,"Class3",33,47.72,83,"X","T",75.795,25,32.165,87.83
27.529,35.497,"Class3",33,68.007,82,"Y","L",69.934,24,33.971,91.999
27.602,32.172,"Class3",28,71.654,63,"N","G",72.91,32,30.826,95.003
28.337,31.557,"Class3",33,50.231,66,"X","T",74.138,28,33.085,90.321
33.393,23.444,"Class2",69,25.467,43,"Z","Z",73.164,67,9.18,32.198
27.004,34.013,"Class3",37,42.418,78,"N","I",15.361,25,31.897,99.424
27.364,30.668,"Class3",26,99.562,51,"X","T",22.753,25,29.939,102.018
48.539,61.722,"Class1",67,66.533,70,"N","K",34.248,55,43.802,53.055
60.66,52.659,"Class1",58,69.918,82,"N","H",36.268,70,41.487,64.101
65.566,61.119,"Class2",47,24.428,41,"I","C",41.838,56,NA,31.987
28.241,31.055,"Class3",43,70.087,38,"Y","G",22.473,32,29.19,93.815
61.009,16.348,"Class2",69,24.781,40,"M","L",48.446,76,8.489,16.679
33.245,52.554,"Class2",62,25.884,42,"E","Z",58.568,81,9.549,27.042
27.063,34.697,"Class3",26,104.473,37,"K","G",25.353,24,31.432,90.364
80.893,46.864,"Class1",55,67.874,80,"W","K",37.514,48,NA,48.339
56.857,56.645,"Class2",50,24.009,43,"D","A",25.729,58,7.831,80.06
51.713,54.242,"Class2",49,23.726,41,"Z","L",32.497,71,11.74,35.242
45.963,43.291,"Class1",69,67.298,79,"M","R",37.632,59,33.495,53.702
28.246,35.656,"Class3",33,67.842,53,"T","I",33.964,30,27.99,89.27
39.439,10.919,"Class2",77,25.862,39,"I","L",39.343,80,10.839,-5.138
63.358,63.465,"Class2",59,24.528,39,"Z","G",49.198,87,11.251,72.411
54.32,46.664,"Class1",61,69.189,84,"M","K",31.514,60,37.586,59.022
20.517,41.013,"Class1",60,66.838,81,"M","E",38.034,30,33.539,41.906
28.813,75.561,"Class1",63,70.426,75,NA,"H",31.391,38,45.768,61.905
27.505,31.831,"Class3",34,58.919,25,"N","I",77.007,29,31.81,96.911
46.543,51.953,"Class1",71,67.551,71,"V","H",34.56,57,NA,53.42
28.688,35.511,"Class3",39,49.03,22,NA,"T",34.391,33,NA,95.666
79.571,36.056,"Class2",48,24.827,40,"I","Z",37.893,53,9.837,21.87
70.514,63.991,"Class2",68,26.832,43,"I","G",47.81,76,11.421,35.093
33.253,59.077,"Class1",57,68.614,76,"O","H",32.288,59,33.386,52.475
47.159,65.466,"Class1",69,69.215,69,"W","H",30.945,62,41.873,56.329
34.176,55.906,"Class2",49,24.428,43,"I","C",25.914,52,NA,34.939
76.632,23.691,"Class2",65,25.327,41,"I","C",86.083,57,10.368,49.86
64.927,51.684,"Class2",52,24.843,43,"M","C",31.517,74,10.799,38.553
27.266,35.103,"Class3",42,47.313,84,"T","E",40.767,32,31.734,96.278
27.69,33.937,"Class3",32,68.972,83,"T","E",14.056,28,30.211,99.156
27.213,34.743,"Class3",38,28.49,87,"N","G",61.438,27,31.343,102.02
40.074,31.669,"Class2",63,24.445,43,NA,"A",83.969,47,8.446,20.117
55.205,16.095,"Class2",78,24.793,41,"Z","C",65.682,84,11.578,50.798
38.796,71.902,"Class1",61,69.487,77,"N","H",38.878,62,32.296,64.472
62.783,20.781,"Class2",60,25.99,40,"I","Z",83.739,69,9.537,47.434
28.796,30.004,"Class3",39,61.111,9,"T","E",20.148,22,30.621,82.888
28.664,35.205,"Class3",42,46.44,51,"T","I",70.221,32,34.828,95.86
69.795,18.418,"Class2",65,24.552,38,"D","G",80.29,78,7.309,23.637
87.231,44.634,"Class1",70,68.492,80,"V","H",35.986,48,37.294,57.455
13.268,63.482,"Class1",70,70.539,82,"M","K",31.834,56,40.339,54.664
28.155,35.664,"Class3",35,76.325,7,"Y","G",31.372,27,32.343,86.482
70.18,19.454,"Class2",51,26.297,39,"I","L",85.724,83,11.697,-27.11
23.676,64.069,"Class1",54,69.361,80,NA,"Y",39.218,58,45.283,57.237
28.361,33.343,"Class3",31,83.389,23,"K","T",11.734,29,29.441,98.604
17.409,70.064,"Class1",63,67.15,75,"O","K",40.386,78,44.587,56.993
27.511,29.463,"Class3",41,74.658,16,"N","T",21.637,26,32.999,102.984
66.982,26.332,"Class2",61,24.809,38,"D","L",79.918,50,8.962,42.602
28.685,34.547,"Class3",30,68.26,51,"N","E",45.833,24,30.997,94.273
67.357,61.104,"Class1",66,69.96,80,"W","Y",35.447,57,34.845,55.457
27.962,29.401,"Class3",43,85.127,57,"N","I",61.651,23,33.923,98.387
80.972,61.434,"Class1",65,68.366,79,"O","R",40.156,37,41.81,60.904
67.871,13.711,"Class2",71,26.016,38,"D","L",35.144,84,11.682,33.525
27.834,31.455,"Class3",40,44.095,30,"X","L",51.869,26,32.893,91.391
57.645,79.295,"Class1",53,69.483,85,"M","Y",40.272,76,44.844,63.918
28.906,33.651,"Class3",42,63.929,51,"Y","I",66.895,33,31.681,97.485
21.512,47.045,"Class1",60,67.185,73,"N","Y",30.387,44,37.462,51.03
27.324,31.126,"Class3",35,87.644,25,"K","L",38.893,26,34.216,93.687
28.585,29.825,"Class3",30,57.282,77,"N","G",22.554,24,31.232,97.081
59.974,62.659,"Class1",63,69.144,81,"W","H",30.718,52,38.768,53.699
27.487,30.358,"Class3",28,78.73,26,"Y","G",48.499,27,33.866,92.999
36.072,18.066,"Class2",47,23.209,42,"I","C",49.512,61,10.435,44.396
72.969,47.818,"Class2",73,27.156,42,"E","C",60.528,73,7.887,51.44
47.388,8.002,"Class2",57,27.544,41,"Z","Z",85.666,62,8.408,-8.336
36.665,50.616,"Class2",55,23.454,41,"E","G",86.943,80,7.994,37.283
76.273,59.119,"Class1",58,68.369,74,"V","H",36.845,76,28.376,54.301
46.752,77.869,"Class1",67,69.18,75,"W","R",29.135,75,41.568,47.88
27.491,34.08,"Class3",29,46.568,58,"T","G",69.058,28,28.269,83.611
28.741,30.564,"Class3",39,47.687,12,"Y","E",52.934,30,30.096,98.021
14.209,60.928,"Class1",65,68.992,79,"N","E",30.967,68,21.488,44.528
51.206,59.029,"Class1",71,68.553,79,"N","H",37.5,31,45.296,55.979
57.109,53.779,"Class1",67,67.919,72,"W","Y",33.257,67,NA,44.188
67.872,49.079,"Class2",73,26.146,42,"I","C",83.773,55,11.242,18.96
56.52,67.88,"Class2",48,26.895,42,"D","G",54.804,68,10.031,25.751
43.686,44.632,"Class2",49,27.266,40,"Z","A",42.799,64,9.509,16.644
70.295,67.119,"Class2",69,26.463,43,"D","G",39.619,80,10.346,41.396
41.617,55.446,"Class2",67,27.162,39,"D","L",81.004,77,11.259,39.953
58.108,47.975,"Class2",58,25.799,42,"M","C",46.67,79,10.426,26.185
28.205,32.404,"Class3",26,54.958,75,"Y","L",36.98,24,31.838,93.43
27.394,30.683,"Class3",27,49.658,41,"K","T",64.202,32,29.793,94.968
27.914,31.214,"Class3",33,62.011,93,"Y","E",70.641,26,32.531,105.793
28.482,32.303,"Class3",26,52.721,48,"Y","T",51.109,26,31.529,88.105
28.64,35.544,"Class3",35,56.344,87,NA,"G",14.83,30,30.633,95.664
60.838,36.066,"Class2",71,25.147,43,"D","L",65.709,83,10.903,26.837
74.868,46.224,"Class1",62,67.953,78,"N","H",34.827,49,42.751,57.778
