"O1","Output14","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11"
58,"Class3",30.269,13.486,56.821,68.494,17.744,"N",51,47,46.27,"G"
26,"Class2",6.837,94.023,20.026,73.796,56.56,"D",45,86,90.781,"U"
28,"Class2",59.768,91.674,39.475,50.447,66.643,"B",39,87,88.772,"I"
73,"Class4",45.589,72.389,39.083,29.433,22.31,"D",28,30,17.214,"K"
51,"Class3",16.411,14.192,55.292,72.216,9.975,"P",46,61,82.307,"H"
62,"Class4",48.049,70.986,37.329,13.59,17.014,"D",41,27,17.712,"Y"
70,"Class3",84.1,19.046,65.185,79.217,7.704,"L",27,46,82.222,"N"
68,"Class4",40.156,71.199,34.844,48.967,43.769,"P",62,40,17.623,"K"
28,"Class2",49.519,75.28,26.071,78.202,58.819,"B",42,87,92.103,"U"
31,"Class1",48.19,82.39,52.776,86.033,68.342,"Q",91,26,8.466,"H"
75,"Class4",44.349,69.929,36.657,31.79,21.739,"H",54,33,17.783,"Y"
25,"Class2",57.091,66.182,49.579,45.544,78.225,"R",44,87,85.364,"K"
24,"Class2",46.901,65.187,26.611,81.495,81.801,"A",39,86,86.72,"I"
82,"Class3",39.147,16.175,50.779,73.465,17.188,"X",38,43,88.549,"D"
66,"Class4",58.613,70.469,37.029,17.118,8.651,"H",53,14,17.986,"F"
92,"Class4",39.59,67.094,37.606,25.517,20.464,"P",29,17,17.575,"Y"
97,"Class3",86.669,18.702,44.67,79.863,20.225,"N",45,48,18.772,"L"
80,"Class4",32.454,69.202,45.267,42.535,23.57,"Q",49,27,17.35,"K"
31,"Class2",76.043,83.586,39.733,75.824,44.603,"L",43,87,88.188,"K"
79,"Class3",51.298,15.123,63.061,74.68,10.635,"L",32,49,51.798,NA
93,"Class4",42.565,70.44,40.244,13.847,6.454,"D",40,29,17.865,"F"
85,"Class4",41.261,72.047,44.023,56.601,2.961,"Z",25,29,17.699,"E"
64,"Class3",46.206,20.602,48.708,81.544,20.714,"W",19,71,19.267,"N"
31,"Class2",78.795,63.005,38.424,39.301,85.729,"B",41,86,91.626,"U"
37,"Class3",27.959,17.676,63.555,70.996,11.13,"X",23,92,41.572,NA
45,"Class3",32.279,18.805,56.878,66.316,22.362,"L",17,70,68.072,"H"
36,"Class1",76.702,90.841,-10.569,83.455,77.901,"J",88,52,11.581,"L"
17,"Class1",41.403,90.883,65.52,91.862,73.036,"Q",52,26,7.348,"B"
34,"Class2",78.943,74.753,31.351,76.923,13.184,"R",NA,86,85.497,"U"
68,"Class4",50.957,70.136,20.855,25.768,19.637,"Z",23,44,17.265,"D"
10,"Class1",47.813,79.831,75.78,89.127,57.655,"Q",50,31,6.245,"L"
32,"Class2",42.922,89.751,32.401,53.198,18.446,"L",39,86,89.454,"I"
33,"Class2",46.041,78.425,42.052,66.909,61.621,"D",45,87,87.32,"U"
36,"Class2",45.003,88.851,23.917,63.366,75.539,"A",NA,87,88.254,"E"
76,"Class4",36.051,68.961,26.596,64.701,27.47,"Q",49,17,17.804,"D"
44,"Class1",38.691,93.485,48.813,94.852,84.232,"Q",30,35,7.435,"P"
52,"Class1",63.066,89.246,12.048,84.688,91.677,"R",54,36,7.699,"B"
37,"Class2",85.83,79.687,11.341,35.029,33.913,"B",44,87,91.121,NA
66,"Class3",22.326,20.375,58.368,62.319,11.794,"W",36,79,15.197,"D"
38,"Class4",60.563,70.699,41.327,16.842,16.161,"Q",60,46,17.894,"E"
69,"Class4",24.996,72.9,48.973,39.91,44.634,"Z",40,22,17.013,"Y"
55,"Class3",29.171,12.598,70.388,78.58,20.392,"W",22,52,35.291,"L"
25,"Class2",57.143,87.517,-0.93,40.217,61.324,"A",42,87,93.827,"B"
41,"Class1",78.005,93.351,77.201,81.211,72.879,"C",42,43,9.074,"B"
40,"Class1",57.958,87.059,41.448,81.382,77.331,"C",82,30,6.409,"P"
56,"Class3",72.62,19.439,62.763,66.219,13.218,"L",30,82,67.701,"D"
9,"Class1",64.345,90.624,-8.236,86.687,80.721,"M",88,39,8.058,"L"
32,"Class3",66.907,8.444,58.462,79.641,11.116,"W",45,78,29.352,"H"
89,"Class3",50.005,8.942,61.521,83.56,15.099,"X",16,63,95.833,"D"
45,"Class4",22.366,68.297,33.285,30.498,20.393,"Z",50,32,17.827,"D"
62,"Class4",31.85,70.99,46.726,39.762,26.095,"D",29,47,17.004,"F"
50,"Class3",81.426,9.887,62.599,67.833,9.829,"N",36,71,32.593,"H"
44,"Class4",11.01,69.563,32.464,45.129,20.65,"Q",52,29,17.482,"F"
34,"Class2",68.096,67.477,52.803,32.49,70.568,"R",44,87,87.225,"B"
27,"Class2",82.578,74.106,60.432,71.802,35.575,"A",39,87,84.395,"K"
48,"Class3",31.852,10.234,57.07,68.992,15.663,"X",NA,50,42.682,"D"
92,"Class4",59.502,69.567,29.896,58.934,21.052,"D",38,48,17.355,"Y"
28,"Class1",40.6,79.083,30.529,92.535,68.152,"R",40,29,11.526,"L"
65,"Class4",40.145,68.644,34.164,31.844,5.827,"Z",NA,23,17.435,"Y"
64,"Class3",38.768,10.123,53.133,80.623,9.511,"L",63,43,95.689,"H"
84,"Class3",21.669,9.14,46.31,70.407,12.127,"L",61,81,39.746,"L"
33,"Class1",44.925,90.903,22.87,85.668,75.342,"R",49,36,7.657,"P"
54,"Class4",41.234,70.382,36.343,35.34,18.076,"P",29,38,17.628,"D"
35,"Class2",15.26,83.178,26.257,76.162,56.501,"L",43,87,93.967,"E"
27,"Class2",36.685,67.587,39.747,80.078,32.441,"B",42,87,85.902,"B"
80,"Class4",71.934,70.597,35.253,21.86,30.712,"D",62,16,17.273,"E"
33,"Class2",66.507,87.237,19.167,70.841,14.607,"R",40,87,91.758,"B"
31,"Class2",63.811,85.523,33.568,80.452,34.406,"D",40,86,89.877,"U"
45,"Class3",66.767,9.455,42.413,65.914,14.781,"W",56,70,28.901,"D"
39,"Class4",38.97,71.003,43.38,31.574,-2.576,"D",47,21,17.111,"E"
92,"Class4",41.252,70.044,36.74,26.938,21.489,"Q",60,19,17.997,"Y"
27,"Class2",45.732,63.354,43.957,75.239,66.243,"A",41,86,89.761,NA
28,"Class2",67.52,94.974,56.464,40.5,110.207,"R",40,87,88.633,"K"
77,"Class3",61.722,20.109,57.445,69.545,19.261,"P",20,69,85.632,"L"
57,"Class1",62.691,83.628,55.044,81.231,88.97,"Q",88,37,11.511,"B"
91,"Class4",-8.833,70.696,36.831,34.625,25.112,"D",37,33,17.205,"E"
55,"Class3",27.367,9.097,53.569,69.76,14.907,"P",57,47,47.616,"L"
57,"Class1",74.434,83.101,12.559,83.06,87.222,"M",51,51,11.503,"G"
