"X1","X2","X3","X4","X5","X6","X7","X8","Output23","X9","X10","X11"
58.118,26.428,69.906,79.681,41,30,35.72,59.944,"Class2","K","K",58
61.139,22.009,33.577,72.221,41,41,71.172,75.862,"Class2","B","O",86
34.985,58.116,NA,54.819,9,9,48.821,74.322,"Class3","L","X",63
41.936,59.042,82.997,47.701,20,12,48.503,15.741,"Class3","E","C",65
70.003,45.967,NA,16.571,35,83,34.075,40.879,"Class1","S","C",33
65.981,33.149,68.855,19.174,42,73,45.347,41.338,"Class1","Q","C",33
44.188,49.941,82.78,56.793,29,21,48.558,23.038,"Class3","E","O",64
32.264,59.112,83.67,30.92,20,20,47.735,23.973,"Class3","M","O",63
66.284,103.571,49.198,16.523,43,89,39.495,40.837,"Class1","N","R",33
8.77,50.947,89.815,69.367,50,12,48.301,2.665,"Class3","L","R",69
60.93,27.015,72.416,66.343,12,42,45.631,87.191,"Class2","T","I",64
59.095,21.12,47.765,79.96,23,35,59.432,78.884,"Class2","B","O",53
59.12,26.46,53.365,80.137,32,58,59.93,74.576,"Class2","X","R",77
56.66,66.01,73.934,14.943,36,55,43.118,40.808,"Class1","S","V",36
43.012,43.462,84.874,37.337,16,16,48.309,6.49,"Class3","M","H",68
30.138,78.145,84.078,62.853,17,17,48.767,28.212,"Class3","L","H",69
56.012,85.893,13.416,22.728,44,55,22.782,40.972,"Class1","N","K",33
21.326,61.074,81.536,44.806,16,24,48.641,49.83,"Class3","I",NA,65
59.76,30.732,80.932,80.402,35,60,62.15,54.295,"Class2","T","I",70
21.384,40.699,79.16,30.973,53,18,48.095,37.549,"Class3","I","X",65
55.582,42.92,87.863,35.211,44,56,31.947,41.431,"Class1","R","F",36
61.871,27.396,89.15,81.519,31,62,46.868,52.325,"Class2","S","S",84
62.654,89.217,80.732,22.298,47,61,40.67,41.712,"Class1","S","V",35
23.214,54.488,81.31,45.966,8,23,48.334,20.829,"Class3","Z","C",65
70.833,44.846,26.39,24.667,42,58,29.747,41.196,"Class1","R","C",33
62.931,19.979,33.211,76.351,11,43,49.221,65.549,"Class2","S","K",58
58.169,54.449,32.914,22.05,44,83,41.606,40.609,"Class1","R","R",34
55.067,60.498,70.66,23.363,39,84,39.378,40.118,"Class1","R","C",34
71.372,83.04,30.458,21.818,42,64,25.143,41.678,"Class1","S","R",33
63.643,50.165,77.615,19.977,37,54,39.653,40.049,"Class1","Q","C",33
40.668,44.457,75.603,33.641,66,19,49.157,68.368,"Class3","M","O",67
32.759,60.689,86.686,92.034,20,13,49.272,33.083,"Class3","Z","O",65
71.799,75.053,58.388,17.476,45,81,35.466,41.616,"Class1","R","K",34
38.715,34.408,89.804,65.06,43,10,48.251,25.672,"Class3","E","X",68
23.169,69.29,78.682,71.701,47,10,48.488,11.048,"Class3","Z","H",67
32.2,33.221,79.183,13.29,12,8,48.292,23.944,"Class3","M","R",68
58.757,83.434,86.683,20.912,43,84,30.24,41.755,"Class1","S","R",33
62.239,30.182,40.041,75.028,32,56,30.054,77.101,"Class2","S","I",66
59.903,24.055,NA,78.671,12,54,67.339,54.635,"Class2","T","R",72
50.198,47.806,97.359,9.141,76,22,48.924,71.978,"Class3","M","C",66
