"E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","Output30"
14.895,18.199,"F",NA,73,57.782,31,54.612,69,64.432,62.73,"Class3"
41.813,7.038,"E","D",40,27.983,57,35.336,70,17.377,54.314,"Class1"
78.601,23.105,"U","G",25,80.164,51,32.426,62,17.508,54.565,"Class2"
16.539,35.761,"X","H",69,56.443,36,54.456,63,30.035,73.786,"Class3"
13.889,20.992,"L","K",63,66.483,50,74.561,64,62.11,64.852,"Class3"
22.567,22.54,"T","N",37,-0.884,72,34.989,77,28.548,89.628,"Class1"
23.422,53.226,"X","H",72,52.986,51,61.159,69,63.33,76.266,"Class3"
83.008,15.819,"T","W",21,81.203,44,5.038,21,16.575,10.098,"Class2"
19.329,15.86,"T","D",40,13.692,70,31.582,47,29.934,68.328,"Class1"
78.651,55.422,"U","G",8,82.417,48,20.519,86,17.732,27.977,"Class2"
81.839,52.635,"F","W",24,79.716,68,32.763,69,17.37,19.068,"Class2"
81.267,24.298,"N","B",39,20.856,83,11.029,21,20.285,69.222,"Class1"
8.902,10.798,"Q","F",40,17.912,81,16.82,60,31.111,22.93,"Class1"
16.971,50.792,"L","H",NA,53.838,43,68.225,79,54.673,70.655,"Class3"
65.083,2.91,"N","B",36,7.458,59,26.794,44,26.679,24.364,"Class1"
60.864,14.23,"Q",NA,39,10.537,65,14.374,26,11.582,67.043,"Class1"
75.715,32.928,"L","Q",8,83.801,46,32.684,49,16.209,76.024,"Class2"
34.657,14.893,"N","F",38,9.832,55,16.995,74,29.727,64.365,"Class1"
70.889,3.212,"K","F",35,15.521,61,27.028,65,22.895,27.855,"Class1"
56.431,9.484,"Q","F",39,13.666,78,25.224,59,44.884,86.751,"Class1"
86.379,26.904,"F","G",2,80.767,44,39.433,26,16.52,52.95,"Class2"
27.347,66.991,"X","W",67,69.103,42,53.952,64,55.372,82.997,"Class3"
-16.926,20.596,"K","B",38,14.887,76,19.519,82,26.133,28.06,"Class1"
42.919,17.015,"Q","F",36,19.066,57,32.984,65,21.437,87.211,"Class1"
76.215,39.069,"D","G",21,85.28,68,37.172,65,16.52,31.361,"Class2"
