"G1","G2","G3","G4","G5","G6","G7","G8","Output6","G9","G10","G11"
41,38.543,90.102,"T",58.958,84,34.587,"M","Class1",61,65.48,38.67
40,36.272,74.415,"X",49.659,77,31.13,"M","Class1",38,61.737,29.722
47,45.656,90.426,"M",42.602,81,47.951,"F","Class1",57,56.719,37.782
17,38.401,76.759,"B",61.248,65,49.841,"F","Class1",66,61.459,33.274
45,41.611,87.272,"F",29.257,87,63.311,"M","Class1",58,56.813,39.342
38,42.012,99.863,"T",37.806,81,29.027,"D","Class1",66,58.415,32.168
66,48.244,37.565,"A",45.267,44,66.846,"R","Class2",9,35.833,14.434
39,30.577,88.024,"X",52.398,83,29.75,"I","Class1",57,61.894,39.484
33,32.144,98.723,"F",61.915,59,28.21,"F","Class1",40,55.505,33.463
33,46.204,95.737,"X",59.286,86,44.928,"M","Class1",67,59.916,31.301
81,43.941,-3.405,"A",53.106,52,64.177,"S","Class2",15,55.239,12.513
24,37.633,75.233,"X",62.899,79,41.719,"F","Class1",39,60.639,32.106
48,35.015,76.866,"B",45.114,74,98.127,"W","Class1",74,62.644,34.027
17,37.529,65.816,"X",36.125,82,62.96,"D","Class1",65,65.667,22.336
41,33.1,89.777,"X",42.952,80,52.155,"F","Class1",56,57.362,26.909
76,45.563,80.937,"A",41.793,82,27.853,"Y","Class2",13,26.707,20.134
26,39.451,86.116,"F",48.311,83,49.347,"I","Class1",47,58.096,26.775
15,34.746,95.148,"B",49.47,63,82.289,"F","Class1",42,59.103,38.416
36,42.629,90.343,"X",31.421,79,60.291,"W","Class1",45,56.239,28.946
71,45.139,62.157,"A",44.75,43,37.814,"R","Class2",6,42.938,14.804
38,46.399,79.782,"F",44.213,71,30.94,"W","Class1",40,59.12,33.966
18,43.996,78.514,"M",60.86,68,59.714,"M","Class1",40,61.607,32.77
45,50.532,78.463,"X",25.407,63,75.497,"M","Class1",51,59.641,23.462
19,46.828,72.611,"M",37.412,NA,77.588,"I","Class1",74,63.748,25.788
35,48.061,81.249,"M",48.808,72,69.177,"I","Class1",43,53.566,39.581
66,44.58,44.568,"N",43.722,75,62.13,"Y","Class2",10,48.928,NA
75,48.118,70.31,"A",43.584,62,97.519,"B","Class2",16,43.665,19.895
68,47.138,11.602,"N",52.302,74,84.895,"Y","Class2",11,73.727,16.976
79,43.636,34.791,"I",43.724,61,111.796,"V","Class2",13,50.712,17.012
95,46.569,84.075,"A",49.271,83,56.918,"S","Class2",9,48.836,NA
43,41.921,79.667,"F",42.021,65,103.965,"F","Class1",53,55.673,23.93
34,35.515,91.272,"B",43,60,71.109,"D","Class1",53,55.665,27.184
23,38.56,78.622,"X",50.718,63,51.927,"W","Class1",77,54.182,22.78
65,46.423,93.914,"A",49.468,69,50.216,"Y","Class2",7,49.45,19.89
78,47.491,41.779,"I",54.255,67,82.371,"V","Class2",15,70.518,11.795
23,40.031,79.447,"F",45.239,75,62.534,"I","Class1",60,60.174,27.488
36,50.674,82.459,"X",62.353,63,57.775,"F","Class1",55,56.43,30.134
88,45.753,61.042,"N",47.067,72,88.762,"V","Class2",6,54.797,20.405
33,46.139,90.438,"F",53.09,84,73.288,"I","Class1",70,62.389,38.929
97,46.7,33.942,"V",41.664,72,70.603,"B","Class2",13,113.713,13.533
81,45.756,21.318,"N",54.361,70,66.989,"S","Class2",6,45.394,18.278
41,35.072,91.74,"M",36.626,82,67.966,"I","Class1",50,61.102,28.254
88,43.322,-23.887,"W",42.215,52,73.717,"V","Class2",13,33.665,12.607
66,45.501,59.407,"A",50.292,77,45.091,"R","Class2",14,70.961,15.003
33,44.584,94.411,"F",36.448,61,53.566,"F","Class1",65,60.829,39.008
36,32.876,82.238,"F",27.502,65,64.128,"M","Class1",76,56.845,23.382
27,34.114,79.433,"B",42.647,75,57.669,"W","Class1",69,57.812,34.394
71,43.639,25.997,"A",41.112,64,48.953,"Y","Class2",8,38.973,16.394
16,31.146,82.49,"X",43.691,59,62.718,"F","Class1",74,60.165,29.909
80,44.267,27.584,"I",41.014,41,47.126,"V","Class2",7,77.669,14.321
39,45.191,86.885,"X",56.824,79,56.836,"I","Class1",60,56.447,37.859
76,47.731,88.313,"W",54.041,NA,74.517,"Y","Class2",12,60.081,16.949
72,47.564,90.277,"W",41.132,75,34.672,"B","Class2",5,62.439,11.269
65,44.314,121.472,"W",44.201,79,53.84,"S","Class2",9,11.04,12.486
85,46.479,72.679,"N",47.366,51,48.053,"B","Class2",7,25.977,12.202
