"F1","F2","F3","Output31","F4","F5","F6","F7","F8","F9","F10","F11"
"A",54.442,52.896,"Class2",44,38,44.419,62.49,"M",59.237,47.003,38
"X",40.42,51.251,"Class1",67,52,10.89,6.613,"Z",55.535,75.314,9
"R",42.748,69.709,"Class1",65,85,19.295,6.668,"X",48.023,56.893,36
"H",42.888,75.834,"Class1",64,33,36.784,9.733,"M",74.914,77.26,13
"X",39.774,60.335,"Class1",63,74,26.32,9.84,"Z",62.978,66.138,9
"R",43.142,71.495,"Class1",67,66,27.192,10.789,"X",88.486,51.933,18
"S",60.819,59.815,"Class2",38,20,91.311,58.875,"Y",-33.932,43.236,43
"J",43.879,62.61,"Class2",67,19,28.629,48.144,"A",69.872,44.396,42
"A",38.637,58.676,"Class2",83,29,66.352,54.695,"A",86.65,48.731,40
"Z",55.089,52.348,"Class1",66,65,48.433,1.879,"C",56.052,71.874,19
"S",54.243,38.675,"Class2",31,42,41.312,50.947,"Y",64.939,44.274,40
"G",43.053,62.037,"Class1",69,65,42.077,0.67,"X",55.039,89.273,28
"X",46.518,70.075,"Class1",66,32,30.803,9.257,"X",81.731,37.643,6
"Z",44.557,56.103,"Class1",67,85,49.8,5.454,"R",NA,62.301,36
"G",26.024,80.961,"Class1",68,83,27.291,7.596,"X",76.912,48.246,5
"R",31.835,79.583,"Class1",68,30,13.827,5.683,"Z",NA,52.195,14
"A",45.891,34.704,"Class2",40,46,21.257,49.771,"M",73.614,44.352,39
"Z",42.745,76.043,"Class1",69,49,42.345,7.523,"Z",76.637,77.644,28
"R",55.741,78.328,"Class1",65,71,24.034,5.072,"M",72.705,47.913,NA
"F",36.588,49.538,"Class2",59,16,78.113,60.694,"A",53.911,44.94,41
"H",49.148,67.067,"Class1",63,43,38.477,4.799,"M",51.962,66.406,3
"Z",45.461,68.56,"Class1",70,83,34.989,5.281,"X",70.781,48.407,23
"Z",51.841,58.598,"Class1",66,43,29.08,3.395,"X",81.931,89.027,6
"A",40.517,61.639,"Class2",38,49,58.782,49.354,"Z",42.706,42.557,38
"S",26.836,79.013,"Class2",67,22,32.102,61.422,"Y",6.188,45.555,40
"Z",40.503,59.812,"Class1",66,43,24.526,7.451,"Z",61.522,39.108,35
"U",50.374,114.62,"Class2",46,39,61.198,59.317,"R",98.967,38.622,37
"A",56.955,43.314,"Class2",46,52,23.821,61.053,"Y",71.856,41.527,40
"S",77.439,43.596,"Class2",35,29,86.945,55.653,"A",39.294,45.715,40
"R",69.153,72.364,"Class1",66,67,42.165,7.699,"R",57.708,59.413,8
"X",51.149,59.874,"Class1",64,26,52.921,5.679,"C",73.034,74.282,26
"F",41.729,51.967,"Class2",53,22,52.248,61.328,"Y",61.424,47.823,36
"F",33.509,67.107,"Class2",70,21,88.534,54.463,"M",15.077,39.371,37
"F",37.886,64.629,"Class2",60,47,47.795,48.702,"Z",48.527,46.248,43
"Z",52.218,66.544,"Class1",68,46,51.265,2.36,"Z",80.193,64.151,33
"H",39.339,65.698,"Class1",67,81,45.595,4.775,"C",81.988,43.034,32
"S",103.383,82.477,"Class2",65,40,48.812,57.288,"A",26.121,42.1,43
"Z",38.784,77.36,"Class1",66,71,20.336,6.933,"Z",93.335,51.82,22
"Z",53.64,77.406,"Class1",68,30,52.548,9.88,"M",59.946,36.828,NA
"A",59.185,29.386,"Class2",71,26,90.716,61.399,"M",49.025,47.554,NA
"F",37.685,48.366,"Class2",64,23,81.19,62.374,"Y",44.734,38.937,NA
"A",47.801,43.656,"Class2",47,51,56.099,58.817,"M",22.321,48.062,40
"S",56.066,69.576,"Class2",65,53,88.919,49.49,"Y",80.037,40.922,38
"R",48.434,68.374,"Class1",66,41,50.099,7.555,"R",65.905,63.38,11
"G",53.649,52.081,"Class1",69,24,35.534,1.169,"Z",63.492,85.876,37
"U",27.948,88.967,"Class2",60,30,47.3,62.098,"Y",46.827,46.527,41
"H",41.008,72.399,"Class1",65,39,10.34,8.355,"M",89.706,35.332,19
"X",58.556,70.797,"Class1",67,65,50.096,3.779,"Z",76.589,79.811,33
"F",33.287,77.778,"Class2",58,53,90.362,62.459,"A",42.694,39.972,40
"J",38.036,43.611,"Class2",27,40,83.886,59.743,"A",70.581,39.063,38
"A",60.358,87.103,"Class2",74,25,78.615,55.804,"Y",NA,41.035,40
"F",81.118,75.38,"Class2",66,44,32.523,49.933,"Y",50.738,45.454,37
"U",78.94,49.19,"Class2",48,30,30.165,52.47,"Z",24.609,42.543,41
"G",41.329,69.671,"Class1",68,44,44.081,9.951,"M",86.275,66.603,6
"H",46.258,56.863,"Class1",70,41,33.773,8.735,"X",75.378,39.686,5
"H",45.495,50.594,"Class1",68,73,44.177,2.034,"M",67.51,53.091,30
"X",53.881,81.075,"Class1",69,71,29.154,5.043,"Z",64.142,61.804,16
"S",72.964,57.004,"Class2",42,39,43.326,54.415,"Z",59.296,46.072,43
"A",50.883,50.117,"Class2",42,44,45.953,52.967,"R",34.053,43.24,41
"J",22.758,67.152,"Class2",67,16,23.025,49.092,"Y",79.786,44.635,41
"U",-4.912,73.045,"Class2",66,29,35.821,57.778,"A",48.427,44.318,41
"X",33.094,67.467,"Class1",67,66,48.639,6.824,"X",77.225,57.418,NA
"J",37.378,53.381,"Class2",62,36,86.308,56.951,"Y",48.928,40.118,40
"Z",58.346,51.823,"Class1",67,31,10.479,8.849,"X",47.947,78.056,37
"X",51.032,69.062,"Class1",67,47,58.577,2.589,"Z",63.677,70.563,37
"R",48.09,50.762,"Class1",67,49,15.034,0.345,"Z",81.608,72.666,20
"F",54.435,96.663,"Class2",84,25,62.432,56.797,"R",78.196,42.329,39
"Z",58.646,69.022,"Class1",70,57,30.364,2.935,"X",84.8,57.638,30
"U",82.45,79.563,"Class2",63,32,62.508,56.552,"A",27.386,38.89,42
"H",65.563,72.249,"Class1",68,56,52.743,4.446,"R",83.708,59.332,33
"S",57.837,65.872,"Class2",52,51,20.749,55.683,"A",23.413,44.915,41
"J",62.025,62.693,"Class2",46,33,28.407,55.577,"Z",62.77,46.491,39
"J",63.896,82.755,"Class2",63,36,30.196,51.462,"Z",49.453,41.786,36
"X",57.848,58.199,"Class1",68,84,16.318,4.584,"M",72.732,73.11,8
"G",49.288,85.355,"Class1",69,66,43.727,10.912,"Z",69.094,38.503,3
"Z",47.806,55.287,"Class1",69,62,11.419,3.843,"C",93.81,66.988,11
"A",46.556,99.49,"Class2",76,34,34.563,53.644,"Z",51.554,42.96,41
"G",41.932,75.615,"Class1",63,64,52.541,2.034,"C",81.082,62.847,4
"X",55.585,38.487,"Class1",70,71,11.304,1.667,"X",50.373,84.918,29
"H",46.067,72.115,"Class1",65,28,18.011,3.24,"Z",72.846,52.46,9
"J",42.913,74.213,"Class2",28,51,76.859,57.436,"R",26.525,41.793,NA
"J",58.6,60.407,"Class2",39,18,21.199,61.785,"M",19.63,43.4,43
"U",48.318,95.693,"Class2",50,52,57.364,49.189,"M",64.728,42.904,38
"F",63.076,94.148,"Class2",69,37,44.589,58.924,"Z",47.589,44.691,36
"Z",60.037,86.813,"Class1",64,71,54.98,9.702,"C",78.925,36.506,28
"S",47.1,35.306,"Class2",44,46,65.364,62.126,"A",39.499,39.13,41
"A",41.687,43.876,"Class2",80,44,28.038,55.716,"Z",85.703,46.774,43
"R",47.456,82.118,"Class1",65,62,59.646,3.534,"Z",78.037,33.61,34
"H",49.726,70.96,"Class1",69,61,29.595,1.593,"R",54.423,75.692,5
"A",65.664,91.65,"Class2",74,50,76.049,50.528,"Y",66.759,41.969,40
"R",48.899,71.728,"Class1",70,38,39.477,4.386,"Z",NA,64.386,3
"S",87.105,53.93,"Class2",82,36,67.958,57.048,"R",39.356,39.896,40
"A",54.023,68.886,"Class2",72,26,40.695,61.688,"R",53.541,45.194,42
"H",47.869,58.449,"Class1",70,71,16.297,7.65,"X",66.911,48.774,28
"U",83.28,104.714,"Class2",68,53,29.594,57.899,"M",52.263,38.799,36
"R",32.768,63.363,"Class1",69,43,52.478,5.678,"Z",80.265,63.128,6
"X",57.278,86.808,"Class1",66,26,27.62,3.238,"Z",77.9,53.472,8
"J",65.013,33.341,"Class2",42,20,75.987,55.117,"A",NA,46.124,38
"F",80.18,99.397,"Class2",56,19,71.009,57.961,"M",NA,38.671,36
"J",57.036,82.491,"Class2",57,41,95.895,50.159,"A",36.126,40.264,42
"X",54.004,53.29,"Class1",67,45,24.182,5.137,"M",68.141,66.251,12
"J",82.618,68.756,"Class2",69,34,21.643,51.798,"A",52.685,45.301,43
"H",51.156,70.108,"Class1",66,59,21.123,9.453,"C",87.881,87.452,NA
"H",35.204,69.342,"Class1",64,47,52.863,5.549,"X",56.213,43.93,23
"H",48.043,65.141,"Class1",63,65,27.461,4.458,"X",NA,56.729,28
"S",57.147,66.095,"Class2",59,41,75.87,56.278,"Y",58.643,48.363,37
"A",26.726,56.707,"Class2",82,36,76.164,58.134,"Z",53.364,47.676,37
"A",52.412,57.527,"Class2",39,33,58.153,50.306,"Z",57.78,41.74,41
"H",22.44,66.549,"Class1",63,80,47.597,9.648,"X",43.249,89.802,20
