"B1","B2","B3","B4","B5","B6","B7","Output1","B8","B9","B10","B11"
37.835,48.089,29.117,87,98,40,47.593,"Class1",76.331,"O","S",87.484
30.329,63.846,63.603,4,11,52,40.771,"Class2",21.83,"R","P",55.28
33.497,75.857,9.411,22,36,49,78.004,"Class4",76.447,"E","H",53.288
34.099,62.853,84.049,12,10,46,41.28,"Class2",23.893,"B","N",60.353
NA,49.627,28.555,56,84,54,45.029,"Class1",79.849,"K","P",88.433
35.619,75.114,94.865,10,4,50,40.909,"Class2",49.33,"S","T",66.884
29.396,71.549,15.505,36,92,38,59.627,"Class4",76.63,"R","M",57.008
NA,20.846,58.779,82,38,77,4.117,"Class5",25.314,"F","Y",74.35
57.321,27.984,87.734,82,38,75,42.043,"Class5",47.086,"R","D",91.513
31.491,76.468,52.05,26,43,58,67.309,"Class4",76.762,"E","H",56.645
43.597,72.092,31.551,9,32,40,48.236,"Class2",29.727,"E","P",60.726
59.092,49.515,88.037,45,68,66,51.396,"Class3",37.31,"A","B",62.789
29.918,72.815,25.391,29,45,41,61.471,"Class4",76.476,"Q","I",55.519
32.695,49.427,29.366,81,81,83,37.255,"Class1",79.265,"W","T",91.838
45.45,38.329,90.767,88,63,41,30.13,"Class3",30.714,"F","O",30.856
87.428,NA,64.886,84,47,71,11.419,"Class5",49.368,"R","Y",85.631
37.804,65.737,46.185,6,21,52,43.795,"Class2",29.08,"Q","N",65.938
31.268,79.693,15.891,26,10,55,77.586,"Class4",76.624,"Q","I",50.756
46.087,74.119,62.587,13,16,48,46.017,"Class2",52.865,"E","P",65.504
39.115,NA,29.197,58,97,72,46.218,"Class1",98.507,"W","E",93.586
13.809,55.305,91.392,88,57,69,52.726,"Class3",31.278,"A","B",56.782
34.953,48.906,29.385,56,91,77,44.2,"Class1",77.69,"M","P",87.363
30.093,48.335,29.277,81,83,50,42.541,"Class1",98.754,"M","P",92.131
36.285,77.525,49.206,6,23,41,44.239,"Class2",30.108,"B","C",63.909
65.887,9.786,89.889,56,82,43,32.562,"Class3",43.24,"V","V",87.59
30.641,59.887,19.745,13,12,51,35.922,"Class2",49.517,"Q","N",57.785
32.451,53.75,87.702,69,75,74,52.427,"Class3",42.203,"A","G",58.856
50.617,60.999,37.764,6,24,45,53.185,"Class2",41.834,"S","N",69.105
22.895,66.176,53.446,9,15,43,33.001,"Class2",39.128,"E","T",59.309
101.1,69.614,88.653,32,80,43,41.423,"Class3",58.496,"C","O",47.188
