"T1","T2","T3","T4","T5","Output19","T6","T7","T8","T9","T10","T11"
81.796,2.698,45.035,29,8,"Class3",60.898,"B",53.832,65.483,61,"G"
96.247,56.795,75.677,48,66,"Class1",54.384,"I",32.422,92.647,46,"Q"
84.919,91.699,1.566,64,51,"Class2",47.051,"A",52.194,43.846,44,"E"
66.03,16.767,42.256,32,4,"Class3",46.795,"J",56.206,20.603,53,"A"
93.192,87.13,3.778,65,88,"Class2",56.697,"J",55.939,26.866,47,"E"
80.24,14.743,60.633,38,11,"Class3",45.025,"M",45.331,65.796,61,"D"
12.803,NA,59.313,56,73,"Class1",NA,"X",17.465,95.611,46,"J"
55.382,28.081,72.259,60,67,"Class1",61.072,"J",34.626,84.621,52,"J"
88.826,33.232,68.614,74,65,"Class1",61.785,"X",11.275,88.464,37,"B"
87.654,33.319,57.919,64,70,"Class1",59.939,"K",36.608,93.991,30,"Q"
85.528,85.079,4.851,63,36,"Class2",19.961,"Y",49.499,9.339,67,"E"
68.253,25.529,23.383,36,7,"Class3",66.183,"D",60.023,24.926,62,"G"
68.857,19.579,11.025,26,5,"Class3",31.78,"J",59.635,14.363,61,"G"
83.963,50.638,66.099,66,72,"Class1",57.84,"D",62.832,91.941,37,"M"
82.139,98.456,5.745,62,87,"Class2",33.334,"R",55.767,34.107,35,"V"
66.987,81.913,3.258,54,47,"Class2",30.555,"G",57.969,6.214,34,"I"
70.756,18.846,40.757,27,5,"Class3",66.876,"J",56.712,7.335,61,"A"
66.421,88.155,7.181,55,74,"Class2",43.629,"J",58.847,47.854,39,"E"
82.569,89.45,5.237,55,68,"Class2",32.373,"A",57.725,24.084,55,"V"
78.004,41.81,81.857,64,68,"Class1",53.308,"I",54.064,95.974,49,"E"
44.424,52.906,74.045,73,69,"Class1",60.119,"X",69.113,90.406,37,"B"
89.318,96.25,5.971,54,81,"Class2",56.743,"Y",58.38,73.158,30,"V"
72.705,30.032,66.058,63,67,"Class1",54.903,"X",26.627,87.699,38,"B"
93.582,106.397,3.735,63,59,"Class2",54.536,"A",47.151,29.359,42,"N"
90.99,39.445,71.844,61,68,"Class1",59.667,"X",49.272,93.482,43,"Q"
39.168,26.501,79.317,74,69,"Class1",57.866,"J",21.871,94.423,43,"J"
66.784,93.695,1.016,60,87,"Class2",36.185,"G",56.811,49.796,59,"I"
80.995,10.751,59.312,36,7,"Class3",73.081,"M",52.375,15.657,60,"A"
75.535,101.93,5.809,55,60,"Class2",26.822,"J",59.621,46.966,73,"E"
69.018,97.401,10.158,65,73,"Class2",57.992,"G",54.77,52.872,55,"N"
63.472,18.075,24.057,38,12,"Class3",69.949,"B",54.225,49.615,58,"D"
75.525,95.401,3.416,63,79,"Class2",34.697,"Y",51.676,32.286,36,"K"
79.092,19.138,78.451,36,7,"Class3",52.166,"B",55.832,78.262,62,"Q"
30.569,43.065,61.916,65,65,"Class1",63.102,"X",57.813,94.388,39,"M"
68.695,26.515,57.118,28,13,"Class3",78.007,"J",47.841,64.424,61,"T"
