"I1","I2","I3","I4","I5","I6","I7","I8","Output8","I9","I10","I11"
33.078,52,32.942,42.118,94.542,77,"R",57,"Class2",47.043,"Q",49.139
26.917,58,37.773,53.771,84.94,80,"O",59,"Class2",46.825,"G",44.789
23.752,59,34.557,49.067,80.464,66,"O",57,"Class2",46.486,"Q",17.482
25.189,52,33.01,46.05,81.2,73,"R",52,"Class2",46.786,"C",86.338
4.588,23,32.86,89.363,40.694,72,"U",63,"Class1",69.547,"W",80.256
35.1,61,38.245,42.557,76.851,65,"J",59,"Class2",47.183,"L",97.818
-10.35,23,53.089,87.723,53.436,73,"W",57,"Class1",71.09,NA,80.635
41.978,23,63.109,87.556,68.441,73,"W",63,"Class1",75.896,"U",80.81
38.796,71,37.167,48.48,90.249,75,"K",58,"Class2",47.344,"C",86.243
11.892,19,25.55,88.064,70.014,73,"R",78,"Class1",65.758,"T",80.481
45.151,59,33.44,52.97,80.489,73,"O",49,"Class2",47.458,"Q",72.387
41.141,76,37.76,49.483,77.705,78,"K",54,"Class2",47.236,"C",78.786
20.242,65,36.641,50.789,84.631,78,"R",50,"Class2",46.755,"C",92.297
57.353,21,44.786,86.612,65.367,73,"W",72,"Class1",64.554,"Q",81.127
19.11,23,27.25,84.608,62.23,72,"R",69,"Class1",67.391,"V",79.619
23.747,27,40.21,83.889,81.061,73,"Z",54,"Class1",60.45,"Q",80.303
23.034,69,38.901,43.171,88.141,64,"O",58,"Class2",46.425,"G",56.268
38.83,27,17.961,89.395,42.539,73,"X",41,"Class1",62.743,"Q",80.699
5.02,18,31.624,88.72,43.956,73,"R",52,"Class1",64.048,"W",80.975
38.774,26,74.282,90.906,68.207,73,"W",57,"Class1",68.058,"V",81.209
50.405,25,50.562,89.807,72.261,72,"W",61,"Class1",62.632,"U",80.476
-6.236,25,54.738,87.288,77.149,73,"X",75,"Class1",82.634,"U",79.614
24.942,62,36.473,45.323,91.06,72,"K",52,"Class2",47.773,"L",59.622
44.938,24,69.277,84.938,76.612,73,"R",39,"Class1",72.331,"V",81.15
32.791,21,63.744,84.373,55.26,72,"R",76,"Class1",73.222,"Q",80.556
28.743,62,38.646,42.197,84.488,66,"R",59,"Class2",47.066,"C",49.795
24.825,23,64.314,89.398,69.187,72,"Z",66,"Class1",73.444,"V",80.191
23.372,73,38.337,53.043,81.848,82,"J",56,"Class2",46.179,"G",49.017
38.126,17,25.363,86.661,65.189,73,"R",62,"Class1",60.408,"Q",80.14
24.968,60,34.656,51.467,76.812,73,"R",52,"Class2",47.792,"L",42.258
3.494,17,71.058,84.527,82.111,72,"R",47,"Class1",58.499,"V",80.831
31.722,17,61.73,90.136,46.505,72,"X",64,"Class1",66.414,"T",80.111
33.578,60,34.742,47.205,92.353,79,"K",56,"Class2",46.382,"G",65.747
38.779,73,33.201,49.373,93.489,80,"R",49,"Class2",45.286,"G",49.202
26.129,70,33.953,48.441,81.303,68,"J",55,"Class2",47.423,"C",74.279
29.647,23,23.235,83.249,50.966,73,"U",60,"Class1",62.368,"U",80.352
20.729,73,37.383,49.563,77.507,72,"J",56,"Class2",47.763,"G",66.021
34.365,22,60.282,88.353,72.623,72,"Z",65,"Class1",66.094,"T",80.419
22.309,70,35.759,53.206,94.084,75,"O",50,"Class2",47.162,"M",57.836
18.85,18,31.388,82.218,82.613,73,"W",44,"Class1",54.73,"W",80.084
22.238,59,37.505,43.632,74.659,82,"R",50,"Class2",46.306,"G",64.729
38.802,27,18.061,88.475,71.499,72,"U",55,"Class1",66.071,"Q",80.577
22.514,75,34.747,53.306,79.986,65,"K",56,"Class2",47.369,"Q",28.475
26.783,26,56.334,84.866,71.566,73,"Z",60,"Class1",61.353,"W",80.64
1.177,18,49.995,81.906,69.825,72,"Z",48,"Class1",66.911,"T",80.93
31.9,62,36.008,43.014,77.24,71,"K",55,"Class2",47.368,"Q",56.045
10.14,27,54.298,90.642,64.271,72,"U",43,"Class1",61.248,"W",80.364
31.877,19,43.379,90.903,42.658,73,"Z",44,"Class1",64.913,"V",80.574
22.413,59,37.518,50.615,95.169,79,"E",56,"Class2",46.86,"L",51.75
55.03,18,57.819,85.01,47.845,72,"Z",40,"Class1",70.907,"W",80.206
33.34,72,36.176,43.76,80.674,80,"J",56,"Class2",45.679,"L",64.486
35.971,58,38.962,42.885,88.144,82,"E",52,"Class2",47.449,"C",69.457
30.432,24,74.167,85.926,45.776,73,"R",48,"Class1",66.328,"U",80.556
28.575,56,34.941,52.906,87.685,69,"E",58,"Class2",47.177,"M",60.366
24.252,62,35.404,46.061,82.542,67,"J",55,"Class2",47.362,"L",71.051
53.047,23,53.067,90.838,44.052,73,"Z",78,"Class1",62.047,"U",80.458
35.227,59,32.459,53.406,78.292,76,"E",55,"Class2",47.565,"M",64.655
64.366,24,41.366,83.021,79.041,72,"X",63,"Class1",68.909,"Q",81.052
34.569,68,37.386,53.926,81.654,64,"O",59,"Class2",46.813,"C",39.997
33.095,18,46.311,82.237,56.909,73,"X",78,"Class1",88.351,"W",81.3
39.579,52,35.697,51.188,78.638,70,"J",52,"Class2",46.204,"L",57.948
