"W1","Output22","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11"
52,"Class3",57,40.442,17.543,59,14.311,16.604,80.079,50.467,"I","J"
43,"Class2",84,29.239,63.713,19,73.213,43.645,70.844,36.439,"J","R"
37,"Class4",11,49.046,25.801,54,61.834,57.81,85.321,47.628,"I","M"
49,"Class3",39,41.047,9.849,45,20.064,16.517,54.459,17.38,"G","L"
62,"Class1",65,16.13,44.671,39,47.59,21.011,27.93,30.472,"L","Q"
89,"Class5",52,31.843,3.068,NA,53.52,91.706,10.84,68.452,"R","U"
51,"Class3",60,40.776,8.601,51,11.903,17.719,60.031,53.612,"I","H"
52,"Class1",64,NA,27.103,40,70.127,102.282,28.242,25.173,"E","V"
76,"Class2",83,24.231,60.825,30,63.69,48.413,67.824,42.671,"J","R"
30,"Class4",7,48.785,48.251,73,53.37,88.052,73.934,61.467,"I","T"
48,"Class4",26,48.53,36.772,52,59.736,62.36,75.99,27.399,"V","M"
22,"Class4",26,48.471,27.496,53,50.74,72.722,84.922,50.333,"A","F"
36,"Class2",91,30.539,54.355,21,10.04,52.13,45.792,50.368,"K","N"
51,"Class3",37,40.446,22.157,43,21.47,13.341,77.206,52.344,"X","H"
63,"Class1",64,17.228,24.48,63,76.699,19.518,26.408,47.878,"J","O"
22,"Class4",14,48.813,53.722,61,47.363,50.268,85.858,63.311,"K","R"
86,"Class5",23,25.289,3.228,55,42.084,81.91,5.365,64.237,"K","Y"
19,"Class1",64,14.117,23.899,30,42.648,34.73,32.393,57.091,"L","U"
27,"Class1",65,16.551,39.826,42,21.789,60.44,26.029,48.536,"J","O"
35,"Class2",91,17.935,56.709,14,10.512,47.086,50.242,72.562,"P","G"
87,"Class5",55,28.866,3.364,54,60.447,80.522,7.86,55.898,"T","Y"
51,"Class2",80,21.926,67.324,14,37.388,59.166,42.794,83.455,"J","E"
75,"Class3",83,41.161,20.138,59,14.462,17.777,52.007,31.963,"C","H"
82,"Class2",88,20.686,57.977,12,51.899,9.347,55.321,40.971,"M","E"
50,"Class3",75,39.805,20.407,58,15.883,15.755,65.381,61.393,"C","A"
66,"Class3",55,40.291,22.792,46,27.625,15.715,64.581,50.364,"C","H"
53,"Class2",83,30.465,63.398,34,46.795,46.42,57.081,53.912,"M","R"
48,"Class4",9,48.399,37.512,63,56.456,41.473,75.518,55.548,"V","R"
50,"Class4",14,47.657,60.07,70,51.344,31.815,81.441,45.148,"L","F"
27,"Class2",89,24.132,50.201,36,77.469,48.281,64.268,62.811,"P","G"
84,"Class5",52,26.282,3.777,61,26.722,82.399,8.216,31.421,"G","Y"
60,"Class2",79,21.73,64.042,13,55.194,50.202,68.32,44.706,"K","G"
7,"Class4",10,48.357,8.811,65,53.882,16.679,84.473,38.747,"K","Q"
69,"Class3",62,40.609,11.212,45,8.602,15.532,71.264,54.725,"C","B"
38,"Class4",23,48.828,34.238,52,51.676,58.456,84.604,71.894,"L","M"
12,"Class4",26,48.755,16.235,62,48.216,38.864,78.792,63.422,"A","F"
14,"Class4",24,NA,10.814,58,49.047,107.522,77.557,28.031,"K","T"
47,"Class1",64,15.789,21.175,51,82.212,97.936,28.61,54.195,"L","O"
13,"Class1",65,16.021,46.544,61,36.181,11.564,26.298,45.085,"C","O"
66,"Class2",84,20.331,50.452,33,13.174,22.92,54.621,37.317,"P","E"
66,"Class3",72,40.676,26.631,42,14.52,16.442,87.666,30.29,"U","H"
72,"Class1",64,14.454,51.107,52,102.505,19.124,27.311,52.573,"E","O"
24,"Class4",23,48.841,18.398,NA,49.405,25.706,85.385,41.478,"V","F"
14,"Class1",65,14.119,39.269,38,46.159,70.238,31.116,35.115,"Q","Q"
57,"Class1",64,17.362,41.599,48,83.811,17.584,28.838,59.598,"L","V"
59,"Class3",83,40.65,22.253,47,21.189,18.021,81.882,27.532,"C","J"
27,"Class4",24,48.517,41.516,61,63.075,71.908,83.239,61.568,"I","F"
61,"Class3",51,40.426,22.592,NA,24.993,17.425,70.627,57.46,"U","J"
38,"Class1",65,15.954,51.958,44,62.731,44.463,26.562,57.056,"C","Q"
81,"Class2",88,31.168,51.323,26,82.504,30.962,60.073,42.47,"P","R"
25,"Class4",16,48.072,44.283,55,63.115,84.236,73.25,38.116,"I","T"
74,"Class3",73,40.289,10.148,56,55.834,15.877,58.359,23.692,"X","H"
76,"Class2",79,30.198,56.603,36,52.067,29.051,54.184,34.552,"K","E"
61,"Class2",85,27.998,67.904,20,71.188,50.766,34.816,58.96,"J","R"
44,"Class4",21,48.97,48.986,52,52.503,61.203,85.664,57.585,"V","F"
12,"Class4",16,48.66,49.207,53,53.412,70.572,77.475,27.289,"V","F"
53,"Class3",85,40.734,9.871,49,26.052,14.499,77.376,19.413,"X","J"
59,"Class3",70,40.155,8.388,45,25.144,17.822,65.095,53.56,"G","J"
27,"Class4",6,48.168,44.417,55,50.758,60.528,85.637,43.415,"A","Q"
