"M1","Output12","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11"
41.56,"Class3",26.567,29.899,43.377,88,"J",72,64.25,15.345,23,"U"
53.184,"Class2",14.53,4.937,49.592,77,"K",29,68.486,80.755,38,"H"
19.168,"Class1",71.421,70.038,61.271,14,"E",4,72.936,38.426,19,"Y"
13.171,"Class1",74.67,61.704,17.87,15,"Q",8,68.021,15.24,14,"Y"
36.714,"Class3",26.85,29.254,56.05,86,"D",61,54.784,27.541,29,"D"
56.023,"Class2",18.9,33.903,81.798,60,"K",10,50.529,82.528,37,"I"
56.856,"Class2",10.933,112.492,50.197,41,"M",36,35.736,78.321,38,"T"
21.559,"Class1",54.783,59.199,51.105,38,"E",23,89.729,48.142,21,"Y"
54.119,"Class3",26.311,29.753,52.845,66,"O",75,55.987,28.027,31,"A"
53.304,"Class3",31.287,29.81,74.707,85,"X",74,23.53,31.354,31,"B"
66.815,"Class2",15.938,75.7,67.036,56,"K",28,46.335,85.228,37,"K"
53.79,"Class2",17.599,36.535,64.709,82,"M",56,47.738,73.97,37,"H"
NA,"Class2",18.107,29.292,42.004,51,"V",22,82.386,81.032,38,"Z"
52.051,"Class3",29.32,29.394,86.711,66,"X",60,36.408,21.897,31,"Q"
23.913,"Class1",42.729,57.095,56.097,18,"E",19,76.845,63.03,9,"Y"
NA,"Class2",17.829,61.164,38.583,43,"L",54,67.815,80.003,38,"I"
51.261,"Class3",28.883,29.662,53.768,71,"X",67,16.846,30.779,30,"U"
67.149,"Class2",7.539,68.432,54.523,82,"L",54,38.278,80.795,37,"T"
45.464,"Class3",32.416,31.917,32.185,92,"X",72,20.832,18.731,30,"B"
49.488,"Class3",28.232,30.749,79.233,59,"U",75,17.627,23.276,26,"B"
56.08,"Class2",10.887,41.769,60.197,42,"L",34,90.61,81.883,38,"Z"
55.119,"Class2",18.629,31.089,70.954,60,"K",5,61.082,77.447,37,"K"
61.511,"Class2",9.981,77.355,72.493,44,"L",28,62.802,83.68,37,"T"
15.734,"Class1",49.069,63.96,32.042,10,"Q",24,83.421,55.428,26,"I"
49.399,"Class2",14.02,23.564,57.489,47,"V",44,49.756,78.12,38,"K"
46.114,"Class3",31.492,29.217,74.105,63,"X",62,68.812,22.758,25,"D"
15.239,"Class1",63.318,70.503,42.71,7,"E",3,71.541,14.95,6,"U"
11.367,"Class1",42.563,67.987,80.008,30,"S",16,69.224,0.104,7,"I"
58.744,"Class2",6.305,7.007,42.93,70,"L",10,56.948,83.908,38,"T"
60.693,"Class2",17.421,75.914,65.508,69,"V",58,59.862,79.214,37,"H"
48.824,"Class3",26.968,31.759,48.353,62,"X",70,68.254,17.03,22,"D"
59.056,"Class2",9.036,4.349,71.531,31,"K",15,90.729,75.635,37,"K"
65.52,"Class2",15.551,56.256,81.4,35,"E",46,68.922,80.727,37,"Z"
21.481,"Class1",60.603,69.024,26.16,20,"Q",7,82.203,28.507,21,"N"
48.749,"Class2",11.14,73.518,69.546,87,"M",58,68.464,80.877,37,"T"
38.71,"Class3",32.627,28.452,68.576,81,"X",76,57.393,24.724,31,"U"
NA,"Class2",16.859,NA,50.608,54,"E",33,46.547,79.945,37,"T"
60.916,"Class2",17.233,24.409,51.288,56,"V",28,44.357,82.078,37,"T"
NA,"Class3",25.434,30.946,16.843,79,"U",73,32.199,31.13,26,"A"
12.346,"Class1",57.013,68.783,30.513,5,"E",4,89.819,25.686,4,"N"
20.991,"Class1",53.056,68.047,62.282,19,"Q",16,69.968,32.261,5,"Z"
38.653,"Class3",29.611,28.027,63.031,78,"D",82,35.693,18.592,29,"Q"
68.479,"Class2",14.66,46.366,75.434,58,"L",51,61.446,76.875,37,"T"
11.531,"Class1",70.337,68.361,32.242,23,"B",14,81.288,61.168,14,"I"
64.15,"Class2",13.047,43.361,86.518,45,"L",53,41.366,81.475,38,"I"
13.941,"Class1",56.278,63.285,9.927,31,"B",14,70.689,22.865,9,"N"
56.773,"Class2",18.192,61.016,46.203,31,"K",44,53.324,80.965,38,"T"
49.965,"Class3",32.019,29.309,52.569,76,"X",82,47,25.751,24,"D"
16.529,"Class1",49.171,73.065,23.784,16,"F",17,73.288,20.228,13,"U"
57.517,"Class2",16.083,10.659,78.437,26,"E",56,96.185,80.335,38,"Z"
10.013,"Class1",43.811,65.353,-1.116,39,"S",16,89.677,55.247,26,"U"
53.344,"Class2",17.912,43.392,58.008,94,"L",9,72.892,84.613,37,"I"
73.057,"Class2",13.204,60.874,71.73,98,"V",34,88.318,74.84,37,"T"
15.421,"Class1",59.141,61.37,48.138,4,"Q",6,68.295,82.852,9,"U"
14.103,"Class1",75.914,63.139,52.989,11,"S",5,77.524,37.466,6,"Z"
50.046,"Class3",29.333,31.769,76.067,74,"O",76,53.671,28.19,29,"Q"
56.085,"Class3",28.567,30.122,41.917,63,"O",81,70.098,33.365,20,"D"
10.737,"Class1",67.252,70.266,70.81,24,"Q",20,79.886,19.667,16,"Z"
55.866,"Class2",12.66,25.943,93.056,73,"L",58,94.9,76.609,38,"Z"
46.819,"Class3",31.727,NA,90.421,91,"U",65,67.166,32.007,28,"U"
14.016,"Class1",68.97,66.758,-23.606,2,"F",6,71.907,69.146,5,"I"
53.745,"Class2",12.27,-22.57,86.862,78,"E",24,55.658,79.93,38,"Z"
67.028,"Class2",14.304,47.019,59.866,61,"K",15,76.224,81.045,37,"K"
52.371,"Class3",29.327,33.178,32.069,69,"D",74,31.897,28.369,25,"A"
NA,"Class1",67.93,71.502,34.159,33,"B",9,78.202,58.524,9,"U"
58.643,"Class2",14.719,-52.27,71.134,71,"M",52,96.645,88.092,38,"I"
