"W1","W2","W3","W4","W5","W6","W7","Output22","W8","W9","W10","W11"
2,78,36.02,9.672,29.18,59.387,"F","Class3",60,55.149,41.187,"Z"
23,82,23.486,91.862,33.694,50.166,"J","Class1",76,7.52,60.546,"N"
32,83,87.587,44.802,72.89,84.216,"S","Class5",74,18.653,24.33,"F"
33,14,71.768,73.17,55.9,85.363,NA,"Class5",71,3.336,29.536,"S"
61,17,69.012,54.115,71.062,59.697,"T","Class4",77,32.836,5.295,"Q"
57,54,58.64,34.424,32.931,87.484,"E","Class2",95,62.088,15.697,"P"
34,50,68.274,87.676,55.72,81.723,"I","Class5",64,3.775,23.582,"B"
3,78,35.109,68.669,37.763,63.466,"F","Class3",63,89.16,61.335,"I"
34,71,67.965,83.448,75.411,88.168,NA,"Class5",71,9.014,22.089,"B"
36,51,76.715,35.04,61.976,91.21,"E","Class2",91,60.936,8.728,"G"
51,54,49.327,32.4,17.869,80.793,"J","Class2",94,62.91,4.477,"G"
54,20,69.976,49.729,71.7,30.803,"K","Class4",77,17.015,22.379,"H"
3,77,34.819,84.62,26.665,69.285,"X","Class3",57,78.033,55.697,"I"
28,83,58.482,82.105,29.91,67.792,"B","Class1",82,21.732,47.448,"W"
4,78,35.714,57.206,35.189,66.278,"M","Class3",50,67.917,57.453,"X"
2,77,35.721,96.226,30.747,60.791,"X","Class3",70,60.865,49.072,"I"
23,43,57.39,57.765,71.067,31.808,"K","Class4",82,19.609,14.325,"M"
34,41,44.758,30.835,85.075,82.886,"R","Class5",66,18.634,40.471,"L"
69,53,71.521,NA,71.367,21.015,"T","Class4",90,49.081,20.682,"M"
29,85,43.681,85.41,30.042,64.477,"W","Class1",67,8.908,77.534,"U"
60,62,39.008,57.128,71.36,32.996,"C","Class4",74,15.563,19.4,"M"
2,78,35.511,59.709,25.725,68.827,"H","Class3",63,50.366,54.687,"I"
29,86,67.954,86.625,31.466,68.148,"L","Class1",81,8.867,98.568,"U"
35,84,66.503,87.986,77.503,82.646,"R","Class5",61,12.207,18.824,"K"
35,48,79.505,70.809,80.767,89.024,"S","Class5",70,6.97,26.95,"K"
34,30,42.099,32.697,37.992,81.309,"H","Class2",96,56.352,7.264,"F"
4,77,35.077,53.141,25.69,69.873,"F","Class3",67,69.168,61.152,"X"
58,46,58.619,54.754,71.957,23.95,"P","Class4",94,58.249,23.078,"K"
35,64,60.247,72.035,80.523,87.602,"C","Class5",91,14.815,40.761,"F"
29,84,53.695,87.302,28.76,69.119,"S","Class1",68,23.189,36.818,"B"
48,76,68.334,34.089,15.775,81.64,"O","Class2",100,39.866,7.17,"G"
57,42,53.696,41.765,26.632,89.977,"H","Class2",93,40.181,8.889,"Y"
60,63,49.389,38.611,24.739,79.469,"E","Class2",91,77.625,2.037,"G"
26,85,29.578,NA,36.206,63.673,"S","Class1",75,22.278,85.665,"N"
34,67,57.994,39.163,27.102,91.998,"E","Class2",92,75.383,4.013,"P"
36,36,58.079,51.746,71.066,88.13,"S","Class5",85,19.752,26.225,"L"
16,26,47.516,50.556,71.284,38.862,"T","Class4",94,49.661,25.115,"Q"
33,37,78.819,53.321,72.149,88.875,"R","Class5",64,7.791,19.515,"S"
46,21,56.917,50.119,71.748,21.909,"T","Class4",75,51.488,26.553,"M"
33,37,88.565,53.764,72.977,78.071,"S","Class5",59,18.313,22.868,"F"
36,57,61.023,68.468,81.036,86.425,"R","Class5",64,15.81,18.236,"L"
80,21,63.493,53.302,71.89,60.416,"T","Class4",86,76.869,11.886,"K"
4,77,35.491,93.451,32.863,74.397,"L","Class3",71,90.651,48.747,"Z"
29,86,32.242,86.308,30.878,50.593,"L","Class1",82,25.051,81.071,"B"
11,32,51.819,55.911,72.158,53.451,"C","Class4",87,23.872,18.496,"Q"
50,32,35.398,36.552,51.968,87.035,"O","Class2",93,32.543,13.343,"Y"
50,39,54.298,33.246,7.043,80.816,"O","Class2",100,70.2,1.65,"B"
26,86,50.324,82.209,35.638,69.56,"L","Class1",73,8.835,83.964,"G"
81,30,70.441,47.309,71.204,42.043,"T","Class4",83,57.899,14.231,"K"
49,22,33.523,39.14,71.474,54.222,"C","Class4",79,29.51,25.643,"Q"
47,50,58.666,40.509,18.923,87.463,"J","Class2",94,66.089,8.573,"G"
3,77,35.507,93.17,29.7,62.819,"L","Class3",48,59.685,67.52,"Z"
27,86,44.108,81.731,33.196,63.647,"J","Class1",82,21.354,107.343,"N"
27,83,69.124,91.266,30.476,66.577,"S","Class1",77,8.526,94.517,"B"
60,69,33.669,NA,-4.146,77.682,"E","Class2",92,52.715,10.807,"F"
4,78,35.206,62.124,26.657,70.612,"F","Class3",60,54.461,52.585,"K"
66,35,69.032,39.504,71.285,49.823,"C","Class4",86,60.91,30.821,"Q"
29,37,59.303,58.407,71.617,44.191,"C","Class4",83,47.816,13.825,"H"
36,81,57.545,28.686,72.747,85.204,"R","Class5",95,11.165,29.032,"S"
2,77,35.429,73.1,35.552,55.913,"X","Class3",69,64.868,46.481,"O"
29,80,19.51,92.174,39.281,51.44,"S","Class1",72,8.427,77.769,"N"
35,47,61.798,79.876,73.585,83.492,"S","Class5",58,8.497,16.618,"S"
28,81,13.468,81.289,39.191,56.149,"J","Class1",82,15.43,70.466,"G"
75,41,58.303,44.075,71.593,23.564,"C","Class4",76,54.255,16.868,"H"
34,21,53.767,41.128,7.571,85.63,"O","Class2",97,33.914,14.364,"B"
4,77,35.578,7.827,29.662,62.399,"L","Class3",61,55.012,62.412,"X"
75,31,29.332,43.224,72.141,25.501,"P","Class4",77,18.809,25.982,"M"
2,77,35.941,75.689,30.725,63.741,"F","Class3",65,69.77,53.089,"Z"
36,26,75.038,86.281,66.818,81.156,"R","Class5",62,9.624,30.817,"S"
35,20,81.268,58.832,67.087,79.473,"S","Class5",69,17.083,29.294,"S"
28,85,64.087,86.177,34.893,57.638,"W","Class1",79,15.608,74.294,"U"
36,70,98.946,NA,85.783,78.504,"R","Class5",86,7.857,28.715,"K"
83,28,37.765,53.402,71.086,50.702,"P","Class4",82,61.981,14.608,"M"
43,37,44.372,45.288,71.109,20.546,"T","Class4",80,24.122,23.752,"M"
35,54,57.598,67.786,64.337,87.827,"C","Class5",84,13.651,34.013,"F"
26,85,56.775,84.395,34.327,58.233,"J","Class1",73,18.139,86.775,"U"
58,48,51.633,46.694,71.078,40.484,"P","Class4",76,45.261,2.343,"H"
74,27,41.345,53.141,71.295,48.148,"K","Class4",76,51.085,28.405,"T"
21,17,64.691,56.403,71.898,42.349,"C","Class4",89,16.194,20.625,"H"
3,77,36.092,15.631,20.407,57.084,"X","Class3",64,85.384,52.276,"X"
50,56,68.317,35.266,41.015,81.637,"O","Class2",93,34.329,15.63,"P"
43,46,41.408,51.686,71.617,34.323,"P","Class4",76,47.817,13.691,"M"
2,78,35.134,NA,27.445,62.569,"F","Class3",65,68.216,54.808,"I"
34,50,71.432,41.435,43.899,81.054,"J","Class2",95,79.304,7.365,"B"
4,77,35.369,8.613,26.982,73.55,"F","Class3",59,86.344,44.084,"Z"
35,63,66.901,80.059,77.101,87.527,"R","Class5",76,20.592,19.02,"B"
34,73,80.004,67.463,73.692,84.467,"R","Class5",88,8.118,22.764,"F"
53,47,73.505,42.414,57.656,80.04,"H","Class2",93,47.28,9.376,"F"
2,77,35.033,23.117,37.963,57.02,"X","Class3",46,59.079,80.022,"K"
40,43,43.068,NA,71.15,53.568,"T","Class4",80,64.588,11.671,"H"
28,80,26.85,92.992,31.045,61.638,"W","Class1",70,17.022,105.344,"G"
32,72,56.791,65.954,59.294,89.302,"C","Class5",92,12.44,32.294,"S"
24,81,3.32,84.381,39.851,56.464,"B","Class1",71,25.005,71.479,"W"
4,78,35.465,87.446,32.51,66.089,"H","Class3",61,76.874,34.995,"K"
62,46,68.704,39.533,41.537,86.065,"K","Class2",99,83.106,11.653,"Y"
27,86,44.63,92.073,36.404,63.447,"B","Class1",67,9.223,92.479,"U"
32,24,43.273,73.202,65.05,80.903,"I","Class5",88,17.891,41.302,"S"
10,23,50.507,49.435,71.431,59.562,"P","Class4",88,29.07,11.009,"Q"
2,78,36.061,70.602,34.637,72.793,"L","Class3",62,93.509,59.116,"O"
34,19,73.805,46.448,63.36,78.771,"O","Class5",68,3.222,23.878,"F"
32,63,38.456,74.74,66.447,80.813,"I","Class5",95,11.039,31.835,"K"
