"E1","E2","Output4","E3","E4","E5","E6","E7","E8","E9","E10","E11"
-3.309,22.654,"Class5",61,"K",12,76.859,94.759,"Q",30.557,92,62.652
25.229,14.227,"Class5",63,"K",19,53.424,94.073,"L",10.876,91,NA
64.238,27.256,"Class5",83,"K",9,74.915,94.472,"P",18.724,92,63.733
96.678,17.036,"Class3",49,"Y",29,36.003,49.697,"C",16.923,21,69.285
49.55,40.147,"Class4",46,"P",35,25.478,38.076,"S",21.169,61,16.071
67.781,40.026,"Class3",56,"L",39,47.317,51.827,"D",21.486,22,65.234
37.809,10.624,"Class1",20,"Y",38,52.578,33.322,"L",92.505,66,31.746
72.98,47.084,"Class4",48,"P",30,49.199,34.103,"E",12.462,73,15.031
82.743,12.147,"Class3",51,"Y",32,37.513,29.765,"C",6.059,16,66.696
27.24,7.336,"Class1",22,"T",62,56.56,44.582,"K",69.752,67,30.997
50.502,13.429,"Class5",37,"Z",9,42.917,94.683,"H",15.434,91,79.264
37.872,32.771,"Class3",39,"D",15,46.062,36.203,"O",16.296,49,76.735
21.753,64.987,"Class2",76,"A",29,81.307,72.259,"Y",63.861,40,72.256
20.343,75.902,"Class2",74,"K",38,80.584,74.341,"Y",59.527,79,27.284
103.846,45.859,"Class4",48,"M",14,78.864,32.76,"P",21.07,49,30.305
65.248,49.953,"Class4",49,"V",71,52.443,33.035,"H",15.858,29,31.08
1.374,44.879,"Class4",47,"V",33,26.998,34.575,"S",19.976,20,79.077
21.81,75.053,"Class2",68,"I",39,80.655,76.014,"F",50.234,32,30.893
60.525,22.092,"Class3",43,"Y",20,46.153,26.125,"C",7.558,29,63.619
46.733,10.828,"Class1",37,"Y",74,55.675,38.826,"V",97.374,66,34.949
20.902,38.042,"Class4",46,"R",28,45.491,36.664,"E",13.635,44,49.413
50.841,20.526,"Class5",49,"E",50,44.242,94.242,"L",17.721,91,60.266
63.724,7.531,"Class1",22,"M",53,55.455,35.97,"K",87.779,66,35.894
49.615,10.902,"Class1",20,"M",89,61.56,38.267,"K",73.258,66,33.744
21.187,62.87,"Class2",78,"U",13,81.724,71.653,"N",38.147,59,66.166
42.174,17.308,"Class5",32,"I",26,75.062,94.252,"H",9.663,91,85.146
20.963,75.109,"Class2",76,"U",24,80.948,69.329,"Y",41.643,59,56.371
45.526,19.112,"Class3",55,"Y",32,44.94,38.456,"H",14.16,56,72.959
20.721,71.898,"Class2",70,"B",19,80.578,73,"N",57.3,48,37.987
43.703,35.876,"Class3",56,"D",31,57.817,13.415,"D",4.486,35,76.178
64.61,23.858,"Class3",55,"L",28,43.134,40.254,"P",20.436,46,55.678
20.419,59.482,"Class2",73,"A",18,80.912,73.062,"F",52.657,62,11.447
25.912,46.456,"Class4",46,"W",38,60.637,16.695,"E",18.953,35,27.45
62.537,42.19,"Class4",49,"M",23,16.793,38.724,"A",20.079,26,30.384
20.822,83.164,"Class2",76,"B",23,80.574,71.678,"I",49.344,44,62.799
41.543,23.024,"Class5",59,"I",43,47.756,94.353,"P",12.135,92,82.209
20.735,59.488,"Class2",82,"A",17,80.341,72.703,"I",61.38,51,25.788
37.578,47.581,"Class4",47,"V",75,21.846,37.981,"P",13.599,65,17.215
46.988,33.327,"Class3",44,"D",35,23.007,12.578,"P",11.985,52,66.441
29.942,40.928,"Class4",46,"M",53,1.984,50.033,"A",13.379,60,17.08
64.674,47.124,"Class4",49,"W",19,88.134,30.649,"S",NA,37,70.234
48.062,47.494,"Class4",46,"R",33,52.23,19.234,"H",21.402,70,8.47
60.532,7.49,"Class1",34,"T",68,52.321,30.805,"D",78.773,66,NA
69.536,7.89,"Class1",40,"A",70,48.949,48.291,"D",66.789,67,30.943
20.72,61.957,"Class2",71,"I",19,82.412,73.608,"Y",64.342,81,82.753
58.354,26.432,"Class3",47,"L",27,77.831,60.956,"C",4.863,49,53.17
