"H1","H2","Output7","H3","H4","H5","H6","H7","H8","H9","H10","H11"
25,5.023,"Class1",81.677,34.705,68,49.074,21.252,"A",83.085,"R",52
36,15.019,"Class1",85.174,45.066,18,48.187,35.037,"S",85.905,"R",14
87,92.662,"Class2",69.701,68.777,45,18.696,12.923,"O",3.245,"G",5
49,91.051,"Class2",74.156,9.263,40,12.38,21.17,"O",3.272,"G",2
61,34.785,"Class1",82.408,12.037,27,48.276,38.935,"A",85.954,"R",86
24,89.976,"Class2",78.899,5.083,45,8.14,32.684,"X",3.46,"F",5
37,41.818,"Class1",82.173,42.469,30,49.463,22.327,"S",80.18,"R",3
22,31.741,"Class1",81.936,26.11,38,48.157,56.81,NA,87.232,"L",38
73,94.381,"Class2",66.101,46.864,45,16.187,21.944,"W",3.204,"G",2
47,25.848,"Class1",82.214,62.484,48,48.727,45.401,"E",91.506,"R",59
36,88.953,"Class2",71.392,95.821,44,15.99,19.605,"T",3.806,"Q",3
45,96.011,"Class2",66.338,60.153,33,21.873,31.666,"K",3.764,"Y",2
46,36.046,"Class1",85.965,84.766,56,49.573,53.261,"Q",81.347,"L",82
46,91.977,"Class2",75.009,73.135,43,4.961,12.298,"O",3.326,"U",3
93,97.888,"Class2",70.557,3.948,39,10.423,23.732,"T",3.42,"Y",5
74,97.642,"Class2",76.627,82.675,46,16.516,27.738,"W",3.685,"Y",5
56,96.74,"Class2",65.534,91.145,38,7.187,28.416,"T",3.828,"Y",3
78,92.579,"Class2",75.212,68.095,38,24.707,17.622,"O",3.176,"Q",5
49,95.026,"Class2",72.208,91.664,42,11.152,34.377,"X",3.357,"U",3
81,93.77,"Class2",79.015,19.185,39,2.305,23.798,"O",3.889,"Y",4
55,93.252,"Class2",69.811,78.472,33,8.962,35.202,"K",3.315,"Y",5
42,95.459,"Class2",71.487,21.964,40,20.958,16.283,"W",3.404,"G",4
94,96.697,"Class2",75.256,28.4,46,15.281,22.46,"T",3.176,"Y",3
51,86.473,"Class2",68.974,92.721,44,23.387,26.668,"X",3.191,"G",6
30,32.696,"Class1",85.247,65.07,31,48.718,29.213,"Q",86.419,"L",61
36,62.41,"Class1",93.174,68.529,59,49.709,19.776,"A",80.246,"L",9
40,88.741,"Class2",69.443,39.525,41,5.782,21.164,"W",3.179,"G",2
73,93.53,"Class2",76.71,17.618,39,22.345,35.575,"O",3.714,"F",3
61,-13.311,"Class1",81.629,74.441,44,48.763,39.651,"S",81.056,"C",91
84,90.384,"Class2",74.797,26.804,33,25.227,21.817,"X",3.377,"F",6
29,39.377,"Class1",84.612,56.665,53,48.807,18.689,"E",92.005,"L",84
54,28.421,"Class1",84.217,0.314,18,48.146,49.296,"Q",92.942,"U",86
57,34.493,"Class1",77.968,51.296,13,49.952,50.984,"Y",88.373,"U",87
20,21.046,"Class1",78.499,NA,35,48.789,43.404,"Q",88.963,"L",30
35,89.333,"Class2",63.943,72.634,36,17.169,25.731,"O",3.316,"U",3
39,93.948,"Class2",66.272,50.939,46,4.612,29.521,"O",3.972,"Q",2
23,48.54,"Class1",82.24,66.625,21,49.492,13.103,"A",92.617,"U",5
49,0.203,"Class1",85.193,74.01,34,48.483,40.741,"Q",79.902,"C",46
46,43.737,"Class1",82.129,43.739,45,48.64,14.228,"A",82.186,"C",53
22,-0.156,"Class1",82.568,NA,60,48.821,28.972,"E",86.594,"V",1
35,46.931,"Class1",78.462,29.518,56,49.289,30.217,"A",77.696,"L",29
34,92.881,"Class2",77.444,-2.764,34,1.32,19.389,"T",3.449,"G",2
69,95.176,"Class2",80.074,41.744,36,26.687,35.811,"O",3.413,"Y",5
26,25.101,"Class1",76.14,42.884,59,49.903,55.982,"Q",89.137,"C",25
46,38.481,"Class1",80.202,57.771,58,48.3,10.738,"Y",81.146,"U",78
39,10.327,"Class1",80.252,59.293,12,48.52,32.415,"Q",77.283,"L",17
58,44.657,"Class1",93.831,65.261,48,48.03,31.221,"Q",77.714,"R",64
49,37.782,"Class1",85.082,34.421,40,48.547,21.769,"Y",78.873,"L",80
48,101.361,"Class2",67.479,26.949,38,26.37,27.953,"T",3.917,"U",3
61,97.802,"Class2",78.355,12.353,37,19.699,19.652,"K",3.113,"Q",4
40,63.211,"Class1",77.197,61.114,53,49.401,41.983,"Y",86.49,"V",90
43,20.804,"Class1",80.523,42.724,55,49.696,39.961,"A",85.976,"V",27
81,97.116,"Class2",76.256,29.142,38,11.149,20.326,"O",3.743,"Y",4
45,22.775,"Class1",71.523,57.686,32,49.247,10.581,"E",87.868,"R",5
87,100.182,"Class2",70.25,41.988,39,22.288,19.834,"O",3.308,"Y",4
36,64.973,"Class1",78.687,-27.185,17,48.937,17.389,"A",83.025,"U",35
89,99.1,"Class2",68.955,29.939,45,25.352,30.205,"W",3.529,"U",4
25,47.75,"Class1",81.786,61.599,66,48.972,55.915,"E",89.084,"U",10
22,95.015,"Class2",76.49,66.179,39,6.223,22.662,"X",3.027,"F",4
32,89.606,"Class2",67.604,48.832,39,23.357,13.603,"W",3.418,"G",3
77,95.206,"Class2",72.963,37.855,44,26.6,31.473,"K",3.551,"U",3
43,49.221,"Class1",82.984,46.15,36,49.662,14.51,"Y",89.05,"V",34
53,92.719,"Class2",66.052,33.222,43,6.142,11.45,NA,3.362,"G",2
47,87.434,"Class2",72.597,61.189,33,10.435,27.659,"W",3.398,"U",4
73,102.44,"Class2",73.352,-9.799,40,19.06,15.064,"K",3.148,"U",6
71,97.79,"Class2",71.125,61.188,41,16.012,14.648,"K",3.943,"Q",6
52,92.129,"Class2",73.144,43.184,46,6.187,34.444,"O",3.296,"Y",6
50,38.837,"Class1",86.177,2.961,47,49.625,44.656,"Y",89.076,"C",82
21,36.956,"Class1",84.752,45.248,65,48.678,33.113,"E",80.121,"U",12
33,91.733,"Class2",74.622,39.345,41,10.864,14.812,"K",3.863,"Y",2
59,90.905,"Class2",66.983,80.509,41,17.984,26.065,"K",3.805,"Q",2
65,94.799,"Class2",77.285,81.095,44,3.608,35.518,"W",3.759,"Y",6
28,39.231,"Class1",73.976,68.693,30,49.521,56.912,"A",80.405,"R",3
47,48.641,"Class1",76.853,53.782,50,48.567,56.212,"Q",90.502,"L",21
80,95.102,"Class2",68.608,-4.426,44,10.313,17.607,"O",3.386,"U",4
19,57.781,"Class1",84.344,66.545,31,48.945,57.51,"E",85.812,"L",24
27,91.575,"Class2",70.54,59.371,41,13.981,22.997,"X",3.638,"Q",4
20,27.542,"Class1",79.609,83.577,14,48.779,44.983,"E",80.707,"V",68
59,49.904,"Class1",83.268,53.264,31,49.739,36.68,"A",90.084,"V",59
45,36.289,"Class1",84.748,120.096,67,48.88,48.443,"Y",81.423,"R",69
51,18.993,"Class1",78.626,55.409,24,48.311,17.497,"A",84.592,"R",9
57,41.033,"Class1",83.864,40.95,45,48.641,29.586,"Y",81.781,"C",4
23,74.685,"Class1",83.767,61.785,36,49.52,40.798,"Y",80.917,"R",27
36,92.325,"Class2",72.631,57.523,42,7.785,16.292,"O",3.448,"Y",2
81,92.208,"Class2",71.22,76.775,43,22.5,27.961,"O",3.411,"Q",5
37,40.178,"Class1",77.966,34.474,43,49.834,50.821,"S",84.565,"U",50
94,95.878,"Class2",66.387,98.089,43,10.128,11.619,"X",3.03,"Y",6
76,98.248,"Class2",76.437,-7.216,33,22.871,25.506,"T",3.267,"G",6
55,97.089,"Class2",76.308,43.96,46,4.271,12.109,"O",3.163,"Q",4
40,96.732,"Class2",60.962,62.659,39,10.817,25.065,"T",3.143,"G",4
80,96.787,"Class2",66.047,60.793,39,13.766,11.968,"T",3.601,"Q",6
20,36.026,"Class1",77.681,59.494,63,48.821,12.339,"E",87.862,"L",61
56,15.267,"Class1",80.778,63.817,24,48.357,45.173,"E",91.658,"C",40
19,95.632,"Class2",69.955,88.754,43,9.132,32.533,"K",3.334,"Y",4
41,13.208,"Class1",85.951,86.775,57,49.256,50.481,"Q",86.544,"L",71
57,88.543,"Class2",63.199,19.959,44,23.292,30.327,"O",3.095,"Q",4
25,22.497,"Class1",86.194,70.968,39,49.799,29.249,"A",91.751,"V",44
37,94.763,"Class2",75.319,39.467,43,21.627,13.148,"X",3.072,"Y",3
61,31.566,"Class1",88.709,27.38,20,48.883,18.498,"Q",83.551,"C",51
94,96.282,"Class2",75.408,123.69,46,15.035,21.082,NA,3.795,"Q",3
25,96.577,"Class2",60.895,36.821,39,25.266,16.958,"W",3.682,"Y",2
57,13.486,"Class1",74.505,56.94,51,49.027,55.836,"Y",92.281,"L",26
64,98.468,"Class2",74.588,88.53,35,10.28,24.709,"X",3.991,"Q",5
53,44.67,"Class1",79.087,54.939,20,48.133,11.336,"S",79.774,"L",14
26,41.528,"Class1",86.785,32.222,58,48.854,15.266,"Y",89.366,"C",77
63,95.911,"Class2",64.638,75.488,38,1.516,28.596,"T",3.679,"G",4
49,97.439,"Class2",78.25,59.952,45,18.888,20.47,"T",3.19,"Y",2
55,63.091,"Class1",85.108,31.012,67,49.084,41.759,"E",89.696,"V",30
19,15.726,"Class1",74.587,20.671,67,48.856,29.016,"A",87.243,"V",59
26,12.193,"Class1",84.527,8.057,38,49.889,30.367,"Q",85.023,"R",18
92,92.381,"Class2",71.79,68.1,46,11.796,25.409,"W",3.915,"U",3
55,55.978,"Class1",77.748,49.368,34,48.016,36.617,"A",84.77,"L",9
35,10.786,"Class1",81.56,86.726,17,48.841,35.752,"S",92.103,"L",27
26,56.492,"Class1",86.45,6.458,44,49.934,31.713,"Q",87.559,"L",94
82,94.045,"Class2",73.235,10.361,34,12.968,23.569,NA,3.678,"G",5
89,96.358,"Class2",71.927,95.418,38,15.904,14.63,"W",3.912,"U",6
27,18.403,"Class1",82.492,42.789,67,48.997,55.74,"E",92.275,"L",32
21,20.596,"Class1",83.526,30.467,45,49.64,12.25,"A",88.892,"R",74
21,47.065,"Class1",81.461,62.464,61,48.091,44.505,"E",79.785,"V",15
24,52.623,"Class1",88.488,67.346,53,49.372,50.681,"A",82.249,"U",74
55,20.684,"Class1",74.908,NA,42,48.338,11.53,"Y",89.366,"L",83
44,43.786,"Class1",77.116,20.672,40,49.124,50.047,"S",87.34,"V",8
66,96.146,"Class2",69.621,33.644,45,15.553,19.166,"K",3.257,"G",5
28,49.022,"Class1",78.295,70.29,26,49.719,35.206,"Y",81.182,"U",80
