"T1","T2","T3","T4","T5","T6","Output19","T7","T8","T9","T10","T11"
2,"Y",93.318,42.866,46,42.651,"Class1",90.346,82,"B",58.108,68.102
5,"C",94.624,88.885,58,41.999,"Class1",50.554,82,"B",65.846,60.898
49,"M",88.912,-0.079,22,7.043,"Class2",23.436,50,"M",17.853,26.162
44,"F",56.861,15.348,85,23.677,"Class3",63.804,34,"J",63.629,26.701
52,"F",88.925,10.332,31,32.284,"Class3",55.568,38,"X",68.118,39.873
46,"W",88.242,20.352,27,21.695,"Class2",18.016,18,"M",62.66,25.051
61,"K",91.951,13.193,87,32.41,"Class3",34.954,42,"J",75.112,21.354
83,"S",69.427,12.532,34,51.73,"Class3",44.784,20,"D",83.318,28.403
18,"P",92.169,98.167,72,57.849,"Class1",59.205,83,"Z",62.641,67.475
50,"J",87.315,49.795,22,6.989,"Class2",32.689,54,"X",34.252,26.434
10,"Y",92.875,106.339,40,69.728,"Class1",75.17,82,NA,53.011,76.094
64,"K",49.482,12.516,69,40.314,"Class3",45.494,29,"X",84.096,31.406
58,"S",43.841,12.194,70,65.456,"Class3",65.621,58,"T",67.187,24.374
18,"C",91.085,70.664,23,70.792,"Class1",75.21,82,"W",85.743,76.434
50,"K",90.751,22.925,3,3.301,"Class2",21.017,28,"R",39.976,27.522
64,"K",84.751,13.596,57,52.598,"Class3",29.453,37,"J",70.795,30.499
12,"Y",93.525,30.371,66,70.944,"Class1",69.33,82,"R",55.419,62.494
48,"W",88.466,2.81,9,13.643,"Class2",32.251,44,"N",5.772,28.865
13,"C",92.145,68.391,71,51.15,"Class1",71.156,82,"R",61.085,60.666
47,"O",76.657,13.173,36,45.699,"Class3",67.272,30,"X",76.195,43.1
42,"K",83.917,10.249,29,22.457,"Class3",55.034,27,"X",71.368,42.35
47,"Y",87.802,69.812,27,12.673,"Class2",22.226,50,"M",23.354,28.389
48,"K",88.7,46.155,3,10.18,"Class2",21.882,52,"R",36.215,30.068
50,"K",86.331,100.995,26,23.142,"Class2",24.335,37,"R",10.078,29.397
47,"K",87.572,5.831,19,26.927,"Class2",41.435,38,"R",23.984,23.055
46,"O",76.791,13.505,42,34.976,"Class3",45.109,44,"X",64.144,16.357
11,"P",91.497,62.227,62,72.181,"Class1",62.184,82,"B",88.339,58.998
51,"Y",89.968,8.771,2,35.003,"Class2",5.189,31,"X",5.399,24.993
74,"I",75.633,14.225,32,43.081,"Class3",64.593,57,NA,72.814,23.48
50,"K",87.05,36.726,22,10.467,"Class2",32.313,51,"M",37.13,24.187
8,"N",94.358,63.806,42,55.269,"Class1",64.433,82,"Z",76.599,69.942
14,"P",91.304,47.326,33,39.94,"Class1",58.249,83,"D",71.303,65.574
56,"I",85.185,11.844,64,37.395,"Class3",70.457,29,"X",63.567,6.442
11,"P",91.985,32.987,34,24.268,"Class1",86.9,83,"R",46.992,60.243
