"S1","S2","S3","S4","Output18","S5","S6","S7","S8","S9","S10","S11"
47,59.807,43.678,36,"Class3",24,92.279,12.79,"R","D",67.85,78.574
50,55.718,38.762,46,"Class3",30,96.49,20.364,"W","F",65.386,40.97
8,70.203,74.119,66,"Class2",50,60.328,58.61,"L","C",67.471,75.909
32,34.49,76.657,73,"Class2",40,67.336,31.725,"L","K",85.26,34.178
13,35.643,60.941,72,"Class2",62,67.338,41.518,"L","C",72.762,41.781
43,52.828,40.631,37,"Class3",24,95.87,10.477,"K","F",66.71,51.752
49,74.168,39.312,67,"Class2",26,83.799,66.898,"L","R",75.107,51.386
44,55.496,53.58,34,"Class3",22,97.815,11.352,"N","Q",66.652,85.034
48,57.442,57.71,50,"Class3",26,97.979,3.644,"R","Q",67.555,45.533
49,55.851,48.516,42,"Class3",33,96.484,14.176,"W","Q",66.989,56.302
45,51.628,44.988,33,"Class3",21,97.73,6.805,"N","Q",67.515,35.245
22,83.165,26.265,69,"Class2",72,65.959,63.548,"F","K",71.094,25.652
80,79.469,69.789,18,"Class1",44,27.821,24.766,"N","X",35.929,42.763
77,73.476,62.972,13,"Class1",40,33.01,31.973,"H","X",41.596,44.345
27,39.005,48.264,75,"Class2",10,72.816,46.773,"L","C",77.478,60.187
51,57.007,48.523,45,"Class3",21,92.022,1.332,"K","F",66.805,56.299
24,66.86,82.576,72,"Class2",16,74.055,65.888,"F","C",76.089,86.725
79,69.443,63.421,25,"Class1",57,30.976,11.677,"U","J",59.478,42.155
46,57.269,43.403,35,"Class3",19,94.876,-3.838,"W","F",66.171,37.809
77,78.448,65.361,13,"Class1",40,31.603,16.041,"U","O",45.277,55.872
43,55.75,44.784,43,"Class3",28,96.904,18.352,"O","D",67.01,89.873
76,75.576,70.864,26,"Class1",43,29.781,34.055,"N","J",38.834,51.375
51,57.664,41.974,48,"Class3",33,96.318,18.082,"W","D",68.453,72.703
15,83.072,23.403,66,"Class2",64,53.533,49.968,"I","C",70.357,38.798
80,79.505,66.559,31,"Class1",41,26.112,30.782,"F","G",37.905,55.264
51,50.699,59.234,34,"Class3",18,97.476,20.516,"K","F",66.754,55.692
76,81.384,74.774,15,"Class1",49,27.83,23.928,"U","X",34.307,41.616
43,56.644,51.175,36,"Class3",31,92.049,20.057,"R","H",66.095,72.926
51,53.573,73.494,68,"Class2",71,85.822,70.475,"L","Y",82.626,44.534
81,79.5,73.173,35,"Class1",56,33.51,25.935,"F","Y",45.765,51.331
24,80.927,80.561,68,"Class2",77,67.86,44.126,"V","K",66.945,35.442
49,54.569,57.788,31,"Class3",29,96.112,1.525,"R","H",66.147,80.975
44,53.706,35.471,31,"Class3",24,95.04,6.72,"K","H",65.343,32.666
78,76.654,71.249,27,"Class1",53,27.73,24.375,"H","O",59.536,56.298
47,56.077,49.222,42,"Class3",30,93.008,-0.723,"N","F",66.94,53.018
79,72.297,62.399,14,"Class1",54,32.517,32.798,"P","O",54.994,52.515
31,50.753,24.187,65,"Class2",51,67.873,57.299,"L","J",70.437,64.801
12,16.135,26.161,NA,"Class2",74,73.663,60.833,"V","J",74.263,25.638
47,53.679,38.4,45,"Class3",19,92.603,17.418,"R","O",66.883,70.131
26,84.211,58.801,72,"Class2",30,60.531,65.897,"I","C",67.65,31.143
5,66.29,49.052,65,"Class2",24,66.647,84.463,"I","K",77.418,63.371
82,74.996,63.383,32,"Class1",42,31.702,39.166,"U","O",52.972,57.045
46,54.969,44.692,NA,"Class3",25,94.608,8.635,"N","O",67.699,89.992
1,55.028,85.012,66,"Class2",76,88.031,54.055,"V","J",72.092,52.818
48,52.16,46.202,32,"Class3",29,94.638,20.978,"K",NA,66.982,93.315
44,53.608,47.918,49,"Class3",28,96.009,6.237,"O","H",66.945,56.161
45,55.985,41.595,43,"Class3",30,97.601,17.569,"W","D",66.518,58.09
82,75.478,72.219,10,"Class1",55,30.697,27.615,"F","Y",49.764,54.21
0,64.753,78.739,71,"Class2",72,83.307,47.559,"I","J",66.639,80.046
37,53.776,36.332,70,"Class2",51,73.319,75.747,"V","J",61.739,29.865
81,72.834,71.598,NA,"Class1",40,30.719,31.54,"H","J",22.158,55.372
76,80.388,73.37,8,"Class1",51,28.83,19.321,"H","J",52.963,59.606
43,55.19,53.56,34,"Class3",33,92.723,19.863,"W","O",67.258,77.853
3,64.385,73.647,75,"Class2",9,91.821,86.878,"I","Y",74.175,81.083
46,57.583,35.175,31,"Class3",21,92.652,5.138,"O","O",65.816,34.741
37,63.857,62.788,65,"Class2",93,96.895,78.163,"L","K",67.199,41.396
40,51.322,33.614,69,"Class2",62,78.115,63.52,"L","Y",70.952,79.041
80,77.798,62.754,41,"Class1",47,31.588,26.173,"F","G",43.965,44.453
76,79.431,68.42,23,"Class1",49,30.117,25.774,"U","J",51.518,54.996
80,74.689,68.409,45,"Class1",51,26.532,26.403,"P","X",48.315,60.165
6,56.985,37.485,70,"Class2",51,70.234,56.507,"L","Y",60.286,36.654
49,56.044,38.262,44,"Class3",24,96.987,18.097,"W","F",66.935,30.63
20,65.829,22.071,63,"Class2",56,58.276,48.721,"I","K",63.493,82.107
31,63.538,70.803,73,"Class2",58,67.93,64.825,"F","R",69.528,68.122
79,77.351,69.186,42,"Class1",49,27.603,25.23,"N","J",56.637,53.768
6,57.238,72.783,75,"Class2",88,91.711,63.338,"I","J",72.414,37.931
78,78.313,68.757,8,"Class1",55,27.644,18.447,"P","X",41.765,40.313
44,57.547,50.114,37,"Class3",23,93.193,18.89,"R","F",68.495,33.696
42,50.929,50.148,34,"Class3",22,95.993,4.258,"O","D",67.44,79.461
80,74.752,73.712,26,"Class1",45,31.924,18.08,"F","X",51.621,40.719
48,51.336,77.522,68,"Class2",96,82.376,59.394,"F","C",70.984,61.178
0,31.32,64.314,70,"Class2",37,61.743,19.529,"C","R",71.188,34.641
15,27.789,61.486,75,"Class2",54,68.48,54.938,"L","R",71.936,67.092
8,75.931,70.627,69,"Class2",24,59.766,50.862,"V","C",74.711,91.539
