"C1","C2","Output2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"A",30.518,"Class3",85.808,"F",34,53.576,53,54.031,56.514,88,38.277
"A",51.592,"Class3",84.501,"K",35,62.379,45,81.517,56.643,72,79.124
"M",85.791,"Class1",14.12,"Q",53,40.722,48,66.943,28.047,62,20.433
"E",17.966,"Class2",95.966,"G",75,56.586,15,64.771,34.315,61,27.976
"Y",83.063,"Class1",83.165,"C",49,40.14,48,80.687,26.386,53,65.694
"M",89.304,"Class1",37.869,"C",51,41.97,57,51.843,27.651,58,44.917
"C",94.458,"Class1",73.195,"C",52,41.626,71,40.404,24.505,80,29.578
"Y",88.158,"Class1",65.222,"G",52,44.197,67,49.079,26.869,47,35.498
"I",18.538,"Class2",86.736,"U",82,49.323,11,71.65,62.374,14,28.416
"E",75.615,"Class1",48.045,"X",51,45.809,32,60.494,29.381,78,52.663
"M",93.223,"Class1",26.56,"Q",52,38.136,17,66.481,29.345,66,17.198
"Q",19.237,"Class2",100.46,"G",74,41.808,31,66.907,31.404,32,26.11
"C",80.78,"Class1",89.619,"Y",53,39.768,48,56.045,26.88,83,40.57
"C",46.732,"Class3",86.518,"B",32,63.152,51,12.149,66.681,55,88.508
"C",51.845,"Class3",87.608,"F",38,46.274,49,36.638,80.249,79,81.545
"H",19.162,"Class2",94.526,"U",82,18.481,69,76.153,23.958,57,26.996
"Y",95.373,"Class1",80.972,"Q",50,38.613,74,78.863,23.97,49,75.257
"P",42.75,"Class3",84.083,"B",45,54.81,37,35.045,61.745,77,46.916
"E",21.539,"Class2",100.277,"H",77,37.359,52,55.248,79.645,26,27.778
"M",85.81,"Class1",50.521,"Y",51,41.632,73,67.506,29.742,46,56.513
"C",51.232,"Class3",86.657,"G",44,68.131,37,36.347,83.431,67,35.163
"H",17.377,"Class2",88.484,"A",76,59.309,55,81.112,28.94,21,28.102
"Q",17.212,"Class2",95.317,"G",78,34.107,30,82.171,59.778,43,27.253
"I",23.07,"Class2",93.589,"A",76,44.182,32,74.858,13.749,67,28.044
"H",11.941,"Class2",89.593,"U",82,13.447,44,67.537,54.96,63,26.282
"C",41.711,"Class3",85.04,"G",32,82.716,51,56.023,53.223,30,58.846
"M",87.83,"Class1",39.524,"C",51,36.452,19,70.396,23.058,75,59.558
"N",85.541,"Class1",33.997,"X",51,40.065,24,59.845,24.999,17,55.673
"M",81.748,"Class1",50.278,"Y",50,51.396,78,78.281,28.517,65,13.749
"E",21.955,"Class2",84.608,"M",81,39.395,69,67.719,43.698,44,28.646
"Q",15.615,"Class2",95.967,"H",81,52.172,60,71.682,63.371,50,28.224
"E",22.769,"Class2",84.029,"H",75,24.454,29,68.633,76.847,39,28.925
"Y",19.4,"Class2",86.446,"U",80,67.363,31,54.979,58.676,32,26.502
"Q",14.441,"Class2",104.672,"G",78,75.167,25,76.69,15.139,49,27.455
"E",16.323,"Class2",80.728,"M",79,67.557,18,81.306,39.268,33,26.306
"Q",21.013,"Class2",89.471,"A",79,46.844,47,74.96,56.54,48,26.304
"E",14.3,"Class2",90.774,"H",78,38.816,33,61.94,38.02,60,26.542
"N",80.61,"Class1",71.647,"C",49,40.893,41,40.563,25.059,59,34.904
"P",48.457,"Class3",86.013,"D",30,43.943,38,33.549,71.85,90,29.136
"E",99.71,"Class1",53.619,"Q",50,40.386,18,58.554,29.119,18,57.144
"H",16.562,"Class2",86.943,"U",74,63.885,71,NA,58.092,43,26.198
"H",18.276,"Class2",86.247,"A",76,56.394,81,57.128,65.403,75,27.425
"M",80.781,"Class1",49.351,"X",52,38.053,33,34.679,25.066,85,17.196
"C",95.373,"Class1",23.458,"Y",51,38.246,17,61.699,28.158,57,43.493
"C",37.702,"Class3",85.519,"F",32,58.487,36,75.502,65.903,59,49.81
"E",83.609,"Class1",39.877,"G",NA,47.499,14,73.295,23.327,28,36.73
