"R1","Output17","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11"
85.907,"Class1",28.872,66,"J",5.198,31,35.999,17,14.677,4.628,"C"
57.431,"Class3",56.709,27,"M",18.273,56,68.269,77,3.234,NA,"C"
84.38,"Class1",58.091,28,"M",100.65,39,17.4,16,16.816,4.408,"C"
11.876,"Class3",56.408,34,"M",21.525,46,30.42,84,7.806,96.601,"C"
30.104,"Class3",54.336,30,"F",20.924,62,51.087,90,4.965,97.526,"F"
52.007,"Class4",69.517,22,"T",69.608,72,48.362,32,60.02,52.46,"X"
25.349,"Class4",41.496,78,"T",65.827,56,46.01,53,61.321,62.427,"X"
81.027,"Class1",24.213,40,"E",62.513,93,30.109,14,13.196,3.467,"D"
61.454,"Class2",49.873,46,"V",37.201,29,22.462,89,37.955,NA,"L"
85.303,"Class1",35.531,16,"E",14.584,37,24.898,25,10.228,6.061,"N"
NA,"Class3",50.099,25,"F",18.55,63,31.883,81,9.562,88.179,"M"
85.386,"Class1",26.071,57,"B",40.606,62,29.258,8,11.081,3.548,"M"
60.664,"Class3",51.724,39,"Y",9.15,57,62.05,81,4.127,90.927,"Z"
70.653,"Class2",43.884,44,"N",30.084,39,26.84,90,61.654,47.648,"L"
19.669,"Class4",40.137,68,"A",43.829,52,48.463,41,66.007,58.277,"D"
44.024,"Class4",42.198,51,"T",73.821,49,39.648,28,69.83,72.975,"X"
43.861,"Class3",55.17,45,"J",19.395,63,36.537,92,4.176,94.263,"I"
39.545,"Class3",53.815,44,"Y",22.546,66,61.278,78,11.894,95.392,"I"
80.916,"Class1",32.262,15,"M",24.29,84,25.83,6,11.604,6.995,"M"
84.146,"Class1",16.259,50,"M",34.29,70,28.656,19,13.41,3.832,"M"
NA,"Class1",29.939,63,"B",64.74,94,45.249,22,12.791,6.941,"M"
33.807,"Class3",50.143,33,"Y",14.623,46,28.136,82,7.723,93.838,"C"
30.071,"Class4",44.355,82,"T",67.247,60,45.604,44,62.094,59.218,"R"
64.675,"Class4",62.284,57,"T",75.217,53,39.015,47,61.191,61.216,"X"
67.134,"Class2",47.12,41,"B",34.784,37,32.895,91,50.367,91.405,"A"
49.76,"Class3",48.408,28,"F",14.869,64,40.212,77,11.48,94.653,"Z"
NA,"Class4",48.372,45,"T",63.386,43,47.958,30,53.309,40.645,"P"
NA,"Class3",59.412,33,"J",18.798,49,30.366,86,5.209,93.541,"F"
86.728,"Class1",52.219,13,"M",47.259,57,40.053,19,11.796,5.259,"N"
61.285,"Class4",66.217,83,"A",70.91,76,49.71,51,70.239,70.961,"I"
25.184,"Class4",72.535,79,"P",68.042,43,46.358,55,69.79,48.149,"R"
58.572,"Class3",57.301,27,"Y",5.441,62,57.153,91,8.937,90.244,"M"
59.175,"Class2",26.314,45,"V",45.074,24,55.517,94,60.864,NA,"T"
90.451,"Class1",31.454,55,"E",37.982,37,14.446,20,17.52,7.804,"D"
54.384,"Class4",70.441,73,"T",52.895,78,41.038,58,64.855,20.349,"X"
55.026,"Class2",41.858,43,"N",38.939,30,48.945,91,36.606,71.82,"T"
85.491,"Class1",41.491,32,"M",80.972,75,48.194,15,16.32,6.754,"D"
44.771,"Class3",55.672,37,"J",9.15,45,27.453,81,7.2,98.738,"C"
89.561,"Class1",32.252,66,"G",44.697,31,24.996,16,16.946,5.548,"D"
9.413,"Class4",47.556,39,"T",27.188,78,34.161,52,65.678,21.387,"D"
85.091,"Class1",50.382,38,"M",43.336,68,41.835,22,13.897,3.683,"P"
85.548,"Class1",26.509,57,"J",15.263,52,11.613,16,15.807,4.404,"N"
84.66,"Class1",35.111,57,"B",35.5,88,18.741,18,10.983,5.212,"D"
55.634,"Class3",53.151,38,"Y",18.568,64,62.859,75,12.779,93.226,"F"
45.528,"Class3",50.804,42,"W",19.401,61,63.707,77,6.808,96.281,"C"
64.465,"Class4",63.427,35,"R",45.591,49,39.669,46,74.743,67.653,"X"
85.977,"Class1",43.974,23,"M",7.537,51,23.287,14,15.738,5.283,"N"
85.641,"Class1",28.141,13,"G",26.579,78,43.665,9,16.713,5.748,"P"
42.514,"Class3",51.227,27,"Y",25.764,65,56.072,96,11.244,98.305,"Z"
65.597,"Class2",27.376,43,"V",57.138,37,24.147,92,64.48,59.666,"W"
7.918,"Class3",49.444,39,"Y",24.575,47,67.574,75,10.52,87.972,"Z"
84.915,"Class1",51.719,44,"E",55.985,81,24.911,22,16.75,4.491,"D"
58.453,"Class2",52.812,46,"H",41.706,19,33.282,92,41.632,61.435,"L"
61.474,"Class2",27.438,41,"B",26.836,21,30.621,92,40.028,91.091,"A"
NA,"Class4",38.729,21,"C",34.943,75,46.008,50,75.244,27.271,"X"
85.126,"Class1",59.248,35,"J",70.239,31,16.987,6,16.875,7.245,"D"
60.758,"Class2",33.395,44,"V",38.245,20,58.873,89,66.464,87.026,"A"
NA,"Class2",68.793,43,"H",42.607,24,47.394,89,38.347,91.509,"L"
56.605,"Class3",53.794,39,"J",17.048,53,79.666,82,13.495,95.354,"C"
66.557,"Class2",74.605,46,"B",39.513,35,35.13,94,66.567,85.408,"A"
50.61,"Class3",53.377,31,"M",17.912,45,43.579,83,11.518,89.823,"I"
86.431,"Class1",45.872,31,"B",58.722,44,34.172,15,16.162,3.279,"P"
53.173,"Class2",58.633,42,"B",26.501,39,18.296,95,54.442,49.532,"H"
85.876,"Class1",20.54,58,"G",58.43,87,20.592,6,10.12,5.539,"M"
