"K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","Output10","K11"
"I",69,38,92.099,90,74.325,77.674,30.321,"K",7.553,"Class3",47.947
"M",73,39,46.23,72,84.704,70.929,57.051,"Z",36.562,"Class1",67.466
"A",81,41,99.512,NA,44.046,64.408,48.351,"R",10.503,"Class3",71.976
"M",77,27,15.756,73,48.407,87.766,55.529,"Z",29.126,"Class1",69.553
"T",75,78,41.147,33,56.48,46.717,71.783,"G",57.73,"Class2",68.088
"G",71,91,86.709,84,40.95,73.843,59.207,"Z",17.036,"Class1",61.883
"I",55,76,84.109,37,27.768,48.494,68.186,"C",78.65,"Class2",32.108
"X",61,22,53.609,75,52.328,10.705,7.876,"P",22.962,"Class4",15.204
"W",38,37,93.567,90,89.837,54.064,68.737,"O",8.749,"Class3",77.307
"V",41,41,89.954,90,57.31,67.027,40.919,"R",10.139,"Class3",72.319
"I",75,47,5.357,27,45.373,4.611,72.023,"U",51.013,"Class2",32.105
"M",72,25,47.311,79,77.444,63.181,46.834,"Z",29.126,"Class1",74.294
"N",62,17,58.182,81,57.185,9.6,NA,"V",62.541,"Class4",19.706
"Z",63,16,60.797,NA,49.547,8.642,7.566,"P",79.753,"Class4",8.216
"X",60,7,47.855,88,48.818,6.353,10.807,"P",95.005,"Class4",18.39
"W",74,31,20.904,62,40.749,90.776,62.047,"Z",31.011,"Class1",53.952
"J",78,22,78.434,74,52.992,90.012,67,"V",21.818,"Class1",65.308
"E",58,58,-7.194,38,27.342,30.063,85.544,"C",54.485,"Class2",35.683
"F",75,40,2.192,68,58.944,76.15,50.697,"V",31.572,"Class1",57.85
"T",74,36,28.646,29,57.306,43.143,69.366,"U",60.546,"Class2",69.983
"A",27,45,87.994,90,67.232,66.403,51.842,"R",10.152,"Class3",33.257
"X",60,31,13.113,88,52.292,10.977,15.376,"V",16.598,"Class4",18.03
"J",73,73,0.167,55,83.94,72.413,47.041,"V",24.06,"Class1",87.738
"M",62,28,37.736,84,51.628,7.75,16.388,"V",58.487,"Class4",13.869
"M",73,80,59.15,76,57.744,67.823,52.446,"Z",21.35,"Class1",75.152
"O",57,52,33.048,23,64.217,23.455,75.859,"H",61.429,"Class2",69.291
"E",75,28,20.533,34,40.454,15.569,69.845,"V",42.706,"Class2",54.078
"G",73,48,67.244,68,82.624,89.684,68.586,"F",19.781,"Class1",51.298
"O",67,57,10.73,19,30.425,37.409,73.471,"V",58.044,"Class2",44.556
"I",59,46,89.822,91,82.862,89.122,53.97,"O",2.075,"Class3",40.585
"W",75,57,80.981,67,70.766,91.889,49.681,"C",21.307,"Class1",76.027
"Z",60,21,42.644,78,54.882,11.267,11.479,"P",-29.774,"Class4",13.723
"Z",63,30,37.489,86,48.009,8.159,5.965,"H",40.128,"Class4",8.114
"Z",62,43,52.769,86,50.492,13.324,5.417,"S",21.747,"Class4",9.452
"F",76,82,13.143,75,39.421,61.782,56.922,"V",30.188,"Class1",86.496
"O",49,44,29.495,24,25.967,17.649,69.311,"G",61.243,"Class2",74.346
"V",58,47,98.796,92,76.764,58.313,58.944,"N",5.62,"Class3",74.673
"X",61,3,26.991,NA,50.001,7.959,14.882,"H",60.889,"Class4",8.319
"B",62,43,14.516,73,57.907,11.289,10.092,"H",53.607,"Class4",19.523
"I",61,38,83.232,91,41.462,80.799,38.14,"O",14.278,"Class3",44.274
"I",57,70,40.589,35,67.446,12.471,NA,"G",58.259,"Class2",44.826
"J",75,19,38.43,77,84.181,93.654,59.491,"H",19.484,"Class1",75.267
"W",74,85,25.868,66,48.489,62.842,59.091,"Z",23.692,"Class1",70.23
"Z",60,41,23.624,72,51.046,11.21,10.327,"H",31.667,"Class4",18.701
"T",54,54,2.169,NA,62.834,5.042,76.43,"C",61.227,"Class2",70.087
"E",68,64,24.583,32,38.813,12.046,70.399,"H",73.147,"Class2",51.322
"I",76,40,81.909,91,86.066,91.23,58.144,"O",7.584,"Class3",68.294
"I",74,36,86.546,91,75.266,85.376,47.46,"R",11.521,"Class3",82.222
"F",78,90,-30.914,84,55.926,77.027,57.033,"Z",23.676,"Class1",52.416
"E",64,52,90.501,29,28.79,43.764,69.063,"V",65.534,"Class2",58.789
"W",12,46,86.555,92,83.066,71.866,64.171,"N",7.588,"Class3",70.246
"M",71,44,68.892,58,45.597,68.383,58.506,"Z",25.363,"Class1",81.845
