"J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","Output9"
80.178,74.956,51,"X","S",NA,13.31,66.933,7,91.598,44.168,"Class4"
62.008,69.38,10,"Y","H",40,77.544,61.512,65,85.937,48.715,"Class2"
81.929,74.725,65,"S","I",39,14.956,52.448,9,87.487,31.772,"Class4"
46.569,71.433,21,"T","G",78,72.78,48.646,77,80.86,60.749,"Class5"
66.538,61.886,10,"I","J",65,80.718,73.304,71,84.724,17.163,"Class2"
66.908,14.187,47,"K","X",NA,8.831,44.218,62,55.951,45.469,"Class1"
46.591,48.506,26,"T","I",81,74.299,49.148,27,79.39,50.757,"Class5"
46.521,58.099,29,"Q","G",79,78.396,48.874,55,81.151,67.663,"Class5"
12.279,37.178,2,"Z","C",67,42.508,90.034,51,19.315,21.999,"Class3"
61.531,74.648,74,"B","G",44,16.933,69.29,7,89.212,32.154,"Class4"
60.559,57.141,9,"C","A",32,88.836,84.991,49,93.757,70.669,"Class2"
46.787,54.367,15,"T","X",79,71.273,48.423,26,79.066,49.184,"Class5"
46.048,62.186,26,"B","H",83,76.769,48.844,73,77.678,64.496,"Class5"
23.454,37.527,54,"U","J",75,48.884,76.668,36,31.999,25.652,"Class3"
71.785,56.133,7,"Y","A",40,83.114,58.103,55,89.973,3.096,"Class2"
46.655,59.764,16,"B","H",80,76.481,48.712,65,82.774,68.922,"Class5"
46.493,46.286,14,"B","G",78,76.28,48.555,74,80.978,60.927,"Class5"
89.286,76.087,73,"B","G",35,11.721,52.083,7,90.745,68.712,"Class4"
69.686,74.926,7,"F","A",41,83.308,74.643,57,98.94,77.715,"Class2"
17.676,38.027,35,"Z","J",69,51.541,93.736,20,13.894,19.951,"Class3"
25.026,30.806,52,"Z","K",60,54.944,93.353,59,35.492,22.608,"Class3"
24.049,30.966,46,"Z","R",77,49.217,47.017,22,38.159,4.089,"Class3"
46.718,68.024,25,"C","H",85,77.301,49.576,23,87.305,68.663,"Class5"
22.261,62.507,47,"G","X",24,59.405,41.736,60,33.682,44.971,"Class1"
46.384,58.842,16,"C","C",77,79.488,48.846,71,86.567,71.461,"Class5"
46.348,59.698,21,"T","G",82,75.282,49.95,29,84.876,52.211,"Class5"
46.875,73.586,20,"V","C",81,74.496,49.163,38,74.583,67.813,"Class5"
40.738,57.452,56,"Q","P",35,52.273,41.225,48,42.942,46.162,"Class1"
46.297,64.22,26,"Q","I",85,77.782,48.366,30,81.063,44.281,"Class5"
48.662,47.361,54,"K","Y",33,54.504,42.2,54,46.869,45.92,"Class1"
45.97,47.77,28,"B","H",78,78.149,48.842,22,80.216,58.367,"Class5"
39.505,36.863,43,"G","T",35,71.363,44.769,55,50.645,47.301,"Class1"
75.456,74.84,69,"G","I",37,15.541,66.108,10,96.068,40.128,"Class4"
43.411,47.545,39,"T","F",29,49.078,42.268,59,47.249,44.411,"Class1"
17.804,31.392,54,"D","Y",76,47.168,39.575,33,21.594,34.054,"Class3"
10.592,44.473,58,"G","F",49,73.815,44.304,51,51.826,42.935,"Class1"
19.942,41.191,15,"A","J",97,48.366,61.232,49,20.579,37.634,"Class3"
37.803,10.645,37,"Q","P",27,61.641,44.689,49,30.879,46.492,"Class1"
47.037,63.214,16,"V","X",77,70.314,49.914,53,88.678,67.917,"Class5"
29.579,54.173,53,"M","Y",44,74.313,43.061,54,47.088,43.179,"Class1"
46.668,46.612,24,"Q","H",82,76.314,49.921,87,80.834,70.985,"Class5"
47.269,57.541,19,"B","I",80,74.291,49.059,33,81.928,63.731,"Class5"
86.407,76.128,24,"S","G",37,9.362,67.234,9,93.968,36.559,"Class4"
78.549,74.316,17,"S","I",39,19.204,64.691,10,91.898,24.682,"Class4"
46.364,65.82,22,"Q","C",84,75.54,49.327,64,89.385,58.338,"Class5"
84.773,79.741,42,"O","I",39,17.737,52.823,10,86.197,67.493,"Class4"
46.323,70.034,19,"B","G",86,78.451,48.1,82,84.425,56.379,"Class5"
46.489,73.145,18,"B","X",80,71.194,49.949,78,78.023,54.284,"Class5"
18.554,37.292,0,"F","J",80,47.255,42.329,58,41.429,32.562,"Class3"
46.644,52.302,26,"B","C",86,73.462,49.311,22,85.22,57.478,"Class5"
86.457,75.96,34,"O","X",37,14.233,64.107,6,90.594,27.059,"Class4"
36.593,13.563,46,"G","Y",32,74.017,42.769,61,35.964,43.673,"Class1"
77.004,78.63,36,"G","S",36,9.92,60.491,7,95.118,65.449,"Class4"
78.539,79.82,61,"X","J",33,13.454,69.925,6,91.394,50.016,"Class4"
46.923,73.044,16,"V","G",77,74.83,49.596,42,83.274,62.29,"Class5"
75.563,74.573,69,"O","G",34,13.576,64.461,7,88.14,35.63,"Class4"
46.37,52.426,24,NA,"C",77,72.342,48.022,46,84.62,48.379,"Class5"
46.225,50.004,18,"C","H",79,72.152,48.188,85,87.937,61.962,"Class5"
75.024,79.168,29,"B","X",42,15.138,52.149,7,91.439,52.507,"Class4"
70.316,78.703,46,"O","J",43,14.311,55.52,8,90.839,36.071,"Class4"
76.326,78.851,35,"S","G",42,16.563,54.899,7,93.102,44.038,"Class4"
62.607,29.371,44,"K","T",25,28.805,43.668,55,64.001,43.37,"Class1"
66.644,64.874,15,"Y","A",99,81.317,57.48,51,81.883,42.291,"Class2"
75.286,44.476,11,"I","A",34,80.715,83.574,49,91.846,45.675,"Class2"
12.767,50.83,34,NA,"J",74,53.125,92.723,43,32.964,5.816,"Class3"
77.829,67.318,9,"Y","J",67,80.018,58.927,66,96.018,55.482,"Class2"
42.973,57.738,48,"G","T",35,60.848,43.077,51,51.274,42.098,"Class1"
66.221,58.329,53,"K","T",44,81.416,44.161,52,63.13,44.15,"Class1"
13.685,42.462,9,"U","R",62,49.794,76.515,27,36.987,39.485,"Class3"
19.901,35.985,15,"U","K",72,52.61,92.081,24,37.918,54.247,"Class3"
21.127,31.461,60,"D","J",84,52.959,50.997,58,19.837,31.164,"Class3"
83.077,65.726,11,"I","A",81,85.968,70.663,70,88.525,14.531,"Class2"
70.049,51.305,36,"K","T",44,25.486,43.667,63,63.415,44.361,"Class1"
81.823,51.646,16,"O","A",85,84.046,78.816,44,84.363,75.814,"Class2"
78.715,64.527,10,"Y","J",77,83.146,53.09,66,85.377,50.894,"Class2"
17.765,32.927,51,NA,"J",55,49.968,88.07,58,23.204,30.041,"Class3"
19.032,38.708,59,"Z","K",68,51.404,71.973,31,21.788,7.989,"Class3"
69.544,53.951,16,"O","H",94,81.4,54.432,55,65.692,67.567,"Class2"
20.529,38.527,3,"U","C",94,52.166,55.918,28,23.262,20.183,"Class3"
67.127,54.791,9,NA,"N",40,79.62,81.682,68,89.079,81.109,"Class2"
46.638,56.675,16,"C","C",82,72.485,48.823,88,79.9,66.567,"Class5"
29.341,48.09,58,NA,"P",50,60.459,42.467,60,76.383,42.146,"Class1"
46.522,54.115,28,"C","G",77,76.142,48.086,43,77.823,63.643,"Class5"
58.753,26.693,64,NA,"Y",35,40.504,41.04,47,54.508,46.093,"Class1"
53.285,54.368,58,"T","T",50,33.384,41.599,48,51.231,43.967,"Class1"
16.601,41.907,18,"Z","J",55,50.272,93.605,14,24.726,15.88,"Class3"
60.365,65.803,7,"C","X",95,78.82,72.181,53,80.298,84.301,"Class2"
68.357,60.334,13,"F","N",86,84.099,73.517,58,96.35,53.176,"Class2"
22.28,37.023,34,"A","J",74,49.207,84.433,33,38.018,20.576,"Class3"
21.64,33.057,65,"A","R",67,45.977,76.112,33,34.164,36.985,"Class3"
64.702,72.045,7,"Y","H",37,75.49,56.682,55,96.527,36.218,"Class2"
18.038,38.725,55,"Z","Y",75,46.853,67.96,55,40.769,56.782,"Class3"
85.963,77.013,38,"X","I",42,17.416,67.371,9,90.447,25.554,"Class4"
56.618,76.114,51,"X","S",35,16.599,71.741,8,87.136,53.538,"Class4"
78.177,54.267,12,"C","N",92,78.724,79.176,57,82.635,52.64,"Class2"
15.602,46.017,27,"A","C",94,52.54,80.418,42,32.879,14.034,"Class3"
19.014,40.664,21,"A","K",65,52.364,91.887,11,21.679,23.849,"Class3"
