"F1","F2","F3","F4","Output5","F5","F6","F7","F8","F9","F10","F11"
9,23.136,"K",47,"Class1",50.197,51.135,38,48.618,82.567,3.898,"L"
22,41.809,"D",47,"Class2",30.694,5.528,79,46.898,53.34,7.193,"X"
44,54.634,"N",72,"Class4",89.767,91.33,44,37.874,16.424,61.962,"I"
25,55.096,"D",62,"Class2",0.144,9.948,89,46.925,77.705,41.87,"I"
26,44.381,"P",71,"Class4",51.083,80.112,45,36.436,16.384,56.895,"O"
82,13.345,"N",53,"Class3",50.449,4.076,77,44.748,86.935,23.725,"Z"
31,43.558,"V",84,"Class4",60.363,90.938,42,59.089,16.161,77.48,"O"
14,46.235,"K",34,"Class1",57.329,54.09,31,19.43,68.189,8.202,"K"
22,61.88,"V",80,"Class2",25.052,14.114,78,41.192,63.247,40.314,"T"
66,17.487,"M",44,"Class3",97.457,7.848,70,40.82,24.923,30.395,"U"
23,40.579,"V",58,"Class2",11.87,8.458,63,50.692,78.506,14.752,NA
23,19.077,"V",17,"Class2",18.316,0.568,81,42.745,66.798,14.326,"T"
21,58.562,"M",26,"Class2",47.625,1.019,90,46.77,82.237,33.162,NA
8,47.403,"K",25,"Class1",25.93,46.547,44,NA,70.279,4.049,"R"
65,13.987,"V",42,"Class3",72.169,6.878,88,45.199,63.022,37.011,"Z"
22,25.945,"K",38,"Class1",80.82,72.699,38,56.21,77.114,3.645,"Q"
56,41.454,"M",81,"Class4",89.065,85.573,46,37.125,16.251,29.169,"I"
22,62.737,"V",51,"Class2",32.42,4.29,61,50.15,82.771,32.753,"T"
11,58.467,"E",29,"Class1",102.93,89.017,34,33.279,71.394,8.522,"Q"
80,14.239,"N",60,"Class3",85.102,4.402,77,NA,40.805,29.959,"O"
21,42.315,"P",69,"Class4",71.461,90.051,36,NA,16.085,24.438,"U"
16,53.907,"K",63,"Class1",47.426,91.92,40,44.122,67.579,5.267,"I"
94,12.106,"V",44,"Class3",70.831,6.789,69,46.342,53.998,32.445,"Z"
100,16.151,"X",62,"Class3",85.264,4.248,66,43.857,25.634,10.755,"Z"
26,54.394,"V",34,"Class2",19.994,3.937,81,45.55,84.293,28.332,"M"
79,15.838,"V",51,"Class3",81.934,4.895,70,41.516,68.57,38.157,NA
25,22.595,"D",13,"Class2",4.736,11.797,66,43.92,75.268,39.774,"I"
99,13.519,"N",57,"Class3",77.917,4.295,88,45.204,79.78,61.334,"G"
74,16.478,"N",51,"Class3",68.471,5.245,84,45.844,47.613,42.669,"O"
50,52.175,"N",77,"Class4",85.793,80.115,42,38.483,16.411,57.661,"N"
