"B1","B2","B3","Output27","B4","B5","B6","B7","B8","B9","B10","B11"
97,42.659,29.337,"Class5","A",24.259,74.007,26.434,11,62,63.726,"S"
6,20.626,78.755,"Class4","B",31.588,34.879,62.04,72,52,43.27,"N"
94,52.902,77.031,"Class2","J",73.999,48.388,36.338,71,29,53.185,"A"
84,57.955,72.755,"Class2","A",35.5,44.483,42.046,69,29,46.562,"A"
6,21.026,64.96,"Class4","C",4.288,14.608,64.581,44,33,43.681,"N"
75,54.357,30.837,"Class5","V",88.115,66.086,40.71,24,64,81.833,"H"
87,66.793,70.732,"Class2","E",39.856,78.766,47.284,68,31,64.995,"C"
2,NA,71.442,"Class4","P",38.126,20.783,23.258,59,52,34.987,"S"
42,36.34,29.135,"Class3","W",26.583,37.952,53.717,66,74,67.577,"S"
50,50.618,32.493,"Class5","V",-7.064,66.301,38.033,22,57,50.236,"S"
47,12.414,20.527,"Class3","I",22.098,25.246,53.513,40,75,66.562,"S"
80,78.644,34.367,"Class1","Z",27.079,50.047,67.851,58,66,37.168,"G"
83,61.723,73.237,"Class2","E",50.792,47.575,44.518,70,29,29.366,"C"
65,56.278,24.195,"Class5","L",109.41,91.287,27.74,27,60,58.816,"S"
68,76.273,20.187,"Class1","L",28.083,34.848,41.093,58,60,43.354,"H"
2,9.25,68.949,"Class4","C",31.803,-0.402,65.364,96,45,33.86,"W"
6,15.791,65.354,"Class4","C",49.733,17.842,38.994,49,52,64.297,"D"
90,65.722,66.12,"Class2","J",62.67,60.902,46.257,74,30,27.19,"L"
95,45.096,39.154,"Class5","Z",55.335,49.983,37.618,14,63,39.881,"K"
8,11.595,76.71,"Class4","Z",21.918,15.602,30.415,87,34,46.49,"N"
83,72.116,17.997,"Class1","L",27.312,42.703,90.439,59,64,58.906,"H"
38,11.722,23.043,"Class3","L",22.272,37.79,51.791,78,73,55.49,"J"
66,72.487,32.617,"Class1","D",27.288,44.639,52.713,58,67,29.02,"H"
47,75.555,12.657,"Class3","H",26.11,18.763,51.186,64,75,57.578,"G"
5,32.241,69.871,"Class4","C",22.886,27.541,43.708,63,34,60.221,"N"
9,16.838,72.625,"Class4","P",57.135,51.369,27.01,55,48,53.21,"N"
59,73.249,35.466,"Class1","H",27.665,49.111,78.2,59,57,44.013,"Q"
83,59.892,77.054,"Class2","E",41.995,78.773,26.314,73,28,21.696,"C"
94,64.225,35.7,"Class5","L",36.032,84.981,34.374,35,63,64.906,"K"
5,20.038,68.337,"Class4","B",-18.864,14.043,14.125,89,34,36.219,"N"
85,60.286,78.804,"Class2","J",53.438,110.387,31.152,73,33,10.319,"O"
87,58.904,77.304,"Class2","A",58.517,101.389,46.422,69,33,15.883,"A"
61,NA,33.43,"Class1","Z",27.291,44.366,36.384,57,65,43.746,"Q"
9,11.358,77.747,"Class4","C",58.376,21.163,40.884,82,41,46.164,"J"
38,49.827,23.293,"Class3","I",23.944,27.103,51.249,42,75,65.203,"G"
47,18.526,31.522,"Class3","W",21.141,18.412,55.769,83,75,65.161,"S"
38,36.887,12.501,"Class3","L",27.592,-6.331,53.805,68,74,66.818,"I"
78,60.235,69.843,"Class2","J",66.627,61.352,33.694,71,30,61.65,"O"
43,45.761,31.662,"Class5","Z",53.713,87.146,32.246,24,61,84.045,"S"
44,49.045,33.286,"Class3","L",24.909,62.898,52.979,76,75,55.061,"G"
8,NA,79.852,"Class4","Z",29.216,34.699,43.211,77,38,60.873,"N"
4,20.388,72.108,"Class4","P",31.934,25.179,59.294,56,51,37.245,"J"
62,77.905,24.43,"Class1","H",27.268,39.754,58.517,58,60,63.722,"G"
3,17.764,70.992,"Class4","C",11.958,13.558,28.181,93,37,69.115,"S"
42,30.914,21.195,"Class3","W",27.156,31.154,51.816,44,73,60.378,"S"
NA,68.888,77.848,"Class2","U",88.086,49.991,33.582,72,33,19.987,"C"
51,56.362,33.082,"Class5","V",76.875,68.456,38.226,14,62,66.428,"D"
41,20.964,26.418,"Class3","L",24.233,24.805,54.091,73,75,64.549,"J"
42,43.993,30.212,"Class5","A",80.777,81.551,27.532,28,60,38.816,"S"
59,80.598,24.719,"Class1","L",27.338,30.277,91.029,58,57,63.589,"H"
51,36.426,17.043,"Class3","H",21.804,21.163,53.092,82,75,61.108,"B"
NA,9.021,72.796,"Class4","B",40.647,29.174,48.323,40,36,44.382,"J"
4,NA,63.411,"Class4","Z",53.841,19.862,55.065,74,52,60.576,"S"
37,25.519,28.871,"Class3","W",24.839,37.564,52.654,54,75,60.526,"I"
50,56.797,34.922,"Class5","O",53.631,70.031,36.888,17,60,60.501,"H"
45,33.689,27.769,"Class3","W",28.03,31.567,55.131,45,74,62.905,"G"
42,16.233,17.29,"Class3","W",25.836,31.718,55.117,83,75,60.374,"I"
75,NA,34.714,"Class1","H",27.338,45.534,34.045,57,62,35.969,"Q"
98,47.162,69.385,"Class2","J",46.805,87.551,42.274,70,32,19.322,"A"
2,NA,76.978,"Class4","C",34.812,34.296,23.041,91,45,31.457,"N"
79,69.168,68.72,"Class2","G",80.8,69.838,48.993,68,32,18.984,"C"
9,20.645,68.554,"Class4","S",34.181,15.225,41.843,80,49,54.763,"N"
87,64.289,75.454,"Class2","E",58.732,54.474,35.22,71,30,57.481,"C"
40,21.898,26.807,"Class3","L",21.519,12.607,54.111,44,73,62.825,"J"
5,18.677,60.916,"Class4","P",64.537,41.858,20.909,51,47,51.135,"W"
87,75.239,23.377,"Class1","L",27.123,62.094,31.705,63,72,48.618,"G"
49,35.193,27.408,"Class3","L",21.895,36.277,54.392,64,75,66.567,"I"
47,54.095,32.983,"Class3","L",20.097,21.57,54.055,54,73,55.376,"I"
65,78.131,18.002,"Class1","H",26.708,47.23,79.139,61,61,63.743,"Q"
44,11.282,34.115,"Class3","L",26.674,-11.185,55.679,70,75,58.49,"B"
3,NA,64.062,"Class4","Z",17.049,39.052,45.584,65,42,46.91,"S"
2,24.227,77.045,"Class4","Z",72.199,27.186,22.162,82,47,54.579,"W"
87,79.207,25.941,"Class1","G",27.16,48.953,55.514,59,76,26.711,"T"
82,60.052,70.31,"Class2","E",58.636,65.049,28.115,70,31,15.934,"A"
NA,46.829,40.3,"Class5","L",47.106,70.025,29.331,15,59,57.614,"H"
100,52.533,80.429,"Class2","A",29.165,71.888,32.111,73,31,25.313,"O"
98,42.823,69.324,"Class2","A",69.3,63.121,48.102,70,33,17.606,"L"
9,13.652,58.563,"Class4","B",28.172,41.213,8.953,46,47,54.546,"N"
95,70.173,79.713,"Class2","U",56.576,68.339,26.618,70,32,25.143,"L"
66,80.883,21.592,"Class1","L",27.206,55.188,64.241,62,80,35.199,"T"
85,79.954,37.376,"Class1","G",27.69,28.714,22.635,60,55,49.824,"Q"
90,64.983,71.374,"Class2","E",26.37,55.961,28.865,73,33,50.344,"A"
6,12.175,79.048,"Class4","P",31.289,34.489,25.865,60,39,39.122,"S"
61,81.955,16.037,"Class1","D",27.447,38.375,29.096,58,69,45.569,"H"
96,51.922,76.391,"Class2","J",55.009,72.103,44.434,72,33,15.824,"C"
8,22.893,78.762,"Class4","C",65.219,25.983,29.725,63,33,65.779,"J"
76,72.643,37.059,"Class1","L",27.141,37.953,63.281,57,89,29.1,"G"
79,59.493,73.173,"Class2","A",64.461,84.186,42.082,71,31,49.949,"A"
79,77.144,33.748,"Class5","L",68.77,84.827,40.192,11,58,79.96,"H"
59,NA,30.776,"Class1","Z",27.773,39.718,66.777,57,57,47.17,"H"
7,18.636,81.907,"Class4","S",8.303,25.338,55.881,58,44,34.921,"J"
48,65.522,37.227,"Class5","V",26.084,64.439,35.078,20,59,37.897,"N"
43,25.037,30.678,"Class3","L",25.281,8.542,53.368,79,75,57.044,"B"
84,61.731,78.014,"Class2","G",80.044,55.394,41.875,68,30,41.618,"A"
97,61.374,76.166,"Class2","J",41.482,66.975,36.72,69,32,41.6,"L"
48,6.828,12.422,"Class3","I",28.074,57.377,54.497,58,75,62.003,"J"
