"U1","U2","U3","Output20","U4","U5","U6","U7","U8","U9","U10","U11"
73,52,69.002,"Class2",23.289,42,"M",36.223,"F",64.455,42,61.781
74.054,72,NA,"Class2",113.477,48,"U",36.005,"E",62.193,24,30.017
31.108,60,15.916,"Class3",67.623,49,"W",37.919,"R",65.597,86,63.947
69.783,63,66.186,"Class2",11.289,34,"N",51.793,"J",52.378,59,28.823
74.92,86,27.25,"Class1",40.486,67,"E",30.956,"O",21.936,56,33.253
72.764,68,65.251,"Class2",31.701,29,"C",51.235,"F",44.842,61,31.98
73.64,85,43.417,"Class1",70.801,57,"E",30.331,"L",23.166,64,71.482
24.49,51,34.693,"Class3",56.804,57,"W",61.521,"Q",66.769,83,88.379
75.069,85,31.173,"Class1",6.855,51,"P",29.552,"L",25.506,63,77.446
69.208,36,73.955,"Class2",33.827,52,"U",36.398,"F",67.752,77,74.858
31.255,51,65.371,"Class3",78.997,59,"U",50.217,"S",67.048,90,93.986
72.947,37,61.398,"Class2",34.124,31,"U",54.326,"J",74.386,80,67.719
75.646,60,60.545,"Class2",21.119,37,"M",48.601,"F",43.757,85,69.567
69.409,93,NA,"Class1",33.689,40,"P",30.93,"O",28.6,55,70.828
78.089,87,37.638,"Class1",52.08,95,"J",30.953,"C",23.778,58,47.655
28.391,48,17.046,"Class3",63.219,56,"U",51.566,"E",66.216,90,84.828
27.299,66,31.774,"Class3",69.467,54,"P",45.897,"Q",65.474,93,97.529
17.456,57,61.174,"Class3",65.543,56,"P",67.865,"R",67.335,93,83.072
62.192,98,73.275,"Class1",81.907,36,"D",27.848,"C",26.374,64,49.508
57.693,95,71.85,"Class1",58.437,80,"K",28.569,"T",28.546,52,18.355
74.564,90,57.389,"Class1",106.508,63,"E",24.659,"T",27.82,52,NA
19.68,70,44.232,"Class3",73.231,49,"P",64.222,"R",66.773,85,96.966
24.578,53,19.433,"Class3",72.094,56,"W",87.567,"E",68.857,91,82.598
56.479,85,42.008,"Class1",46.633,45,"D",23.254,"L",25.14,60,82.852
69.175,50,61.527,"Class2",8.07,39,"C",39.803,"E",42.285,35,27.511
29.027,60,74.829,"Class3",59.871,54,"P",40.878,"S",67.071,93,70.048
24.472,50,NA,"Class3",57.575,58,"W",51.555,"S",65.118,92,69.748
72.687,93,60.355,"Class1",68.792,38,"E",36.092,"O",31.431,58,71.947
75.854,24,64.541,"Class2",39.813,34,"N",44.77,"V",40.237,50,47.102
70.656,96,48.854,"Class1",31.888,61,"D",30.372,"O",30.556,65,71.039
66.883,95,58.279,"Class1",26.839,61,"D",33.89,"L",20.481,59,32.747
71.654,67,71.868,"Class2",34.815,52,"M",49.488,"F",51.281,47,44.334
75.992,26,75.534,"Class2",37.774,19,"M",44.384,"E",62.2,69,51.365
25.548,68,NA,"Class3",58.268,57,"P",69.31,"Q",67.359,85,65.688
29.011,53,36.738,"Class3",69.481,57,"F",63.914,"Q",67.37,87,65.131
74.5,33,61.541,"Class2",38.239,21,"M",42.824,"V",74.53,23,NA
19.961,56,44.288,"Class3",70.001,50,"U",46.857,"E",68.383,87,82.639
20.686,56,NA,"Class3",78.007,56,"U",52.487,"R",65.598,93,90.913
74.798,75,75.868,"Class2",53.342,48,"M",48.32,"E",52.516,83,62.857
72.933,63,NA,"Class2",63.964,52,"U",42.397,"V",63.194,33,NA
57.277,86,72.749,"Class1",41.277,61,"P",34.495,"L",28.739,55,82.434
74.275,78,58.081,"Class2",95.617,37,"N",42.357,"J",44.473,41,43.26
